software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags,proof_url,proof_publication_date,proof_relevant_info,validation_result,correction_notes
BTQ Bitcoin Quantum,CSC-058,Blockchain & DLT Protocols,AppServers,Yes (with details),First quantum-safe fork of Bitcoin. Testnet replaces ECDSA with NIST-standardized ML-DSA signatures to protect against quantum threats. Increased block size to 64 MiB to accommodate larger PQC signatures (38-72x larger than ECDSA). Full transaction lifecycle with quantum-resistant cryptography. Protects ~6.26M BTC in addresses with exposed public keys against Harvest Now Decrypt Later attacks.,Open Source,Open Source,Testnet,2026-01-12,No,High,Bitcoin Network (Testnet),Cryptocurrency Finance,https://www.prnewswire.com/news-releases/btq-technologies-implements-bip-360-quantum-resistant-bitcoin-transactions-testnet-302585981.html,,First quantum-safe Bitcoin fork demonstrating ML-DSA feasibility for blockchain signatures. Open permissionless testnet for miners developers researchers and users.,Trusted Vendor,Verified,2026-02-13,migrate,digital-assets,VND-089,ietf,no-cert-backing,https://www.prnewswire.com/news-releases/btq-technologies-demonstrates-quantum-safe-bitcoin-using-nist-standardized-post-quantum-cryptography-protecting-2-trillion-market-at-risk-302585981.html,2025-10,ML-DSA quantum-safe Bitcoin testnet. First PQC Bitcoin implementation.,VALIDATED,PQC support validated with digital proof.
Hitachi DoMobile,CSC-036,Remote Access and VDI Software,AppServers,No,"The document mentions ""Post-Quantum Cyber Security"" and ""Quantum-Safe Email Security"" in the footer links but provides no details on implementation, algorithms, or maturity levels for the specific products listed.",Commercial,Commercial,Ver.5,2026-01-15,No (implements FIPS 203 algorithm; no NIST CMVP validation),Critical,Windows Mobile,Finance Enterprise Government,https://www.01com.com/news-media/hitachi-solutions-create-introduces-worlds-first-remote-access-system,https://www.hitachi-solutions-create.co.jp/domobile/,First commercial remote access product in Japan with production-ready NIST-standardized PQC. Demonstrates enterprise readiness for PQC in remote access scenarios.,Trusted Vendor,Verified,2026-03-31,migrate,vpn-ssh-pqc,VND-135,secom,no-cert-backing,"https://www.tradingview.com/news/reuters.com,2026-01-15:newsml_NFC12jQXg:0-01-quantum-inc-and-hitachi-solutions-create-ltd-announce-availability-of-domobile-ver-5",2026-01-15,DoMobile Ver.5 (Jan 2026) integrates 01 Quantum IronCAP PQC using FIPS 203 (ML-KEM). First in Japan.,CORRECTED,INCORRECT: Catalog says No but DoMobile Ver.5 has ML-KEM via IronCAP. Major error.
Project Eleven Solana PQC,CSC-058,Blockchain & DLT Protocols,AppServers,Yes (with details),First post-quantum testnet for Solana blockchain developed in collaboration with Solana Foundation. Replaces EdDSA signatures with NIST-standardized ML-DSA demonstrating quantum-resistant transactions are practical on high-throughput blockchain architectures (65000+ TPS). Open-sourced testnet with readiness assessments and migration test environments. $20M Series A funding announced January 2026.,Open Source,Open Source,Testnet,2026-01,No,High,Solana Network (Testnet),Cryptocurrency DeFi Web3,https://blog.projecteleven.com/posts/project-eleven-to-advance-post-quantum-security-for-the-solana-network,,Demonstrates high-throughput blockchains can successfully implement post-quantum signatures. Critical for Web3 and decentralized finance PQC migration.,Trusted Vendor,Verified,2026-02-13,migrate,digital-assets;migration-program,VND-091,ietf,no-cert-backing,https://www.prnewswire.com/news-releases/project-eleven-to-advance-post-quantum-security-for-the-solana-network-302642847.html,2026,ML-DSA quantum-safe Solana testnet. Solana Foundation collaboration.,VALIDATED,PQC support validated with digital proof.
SEALSQ Quantum Shield,CSC-034,Hardware Security and Semiconductors,Hardware,Yes (with details),Post-quantum semiconductor-based trust anchors deployed in U.S. systems. QS7001 and QVault-TPM post-quantum secure processors incorporating quantum-resistant algorithms and hardware roots of trust. Protection against harvest-now-decrypt-later attacks. Millions of devices deployed worldwide. Joint venture with Kaynes SemiCon in India for PQC chip manufacturing.,Commercial,Commercial,QS7001,2026-01,No (Hardware Root of Trust design),Critical,Embedded IoT Hardware,Government Defense Finance IoT,https://markets.financialcontent.com/wral/article/tokenring-2025-10-8-sealsq-unveils-quantum-shield-qs7001-and-wisesat-30-pqc-a-new-era-of-quantum-resistant-security-dawns-for-ai-and-space,,Post-quantum semiconductor chips with embedded quantum-resistant cryptography. First deployments in U.S. government and critical infrastructure.,Trusted Vendor,Verified,2026-03-31,"prepare,launch",aerospace-pqc;iot-ot-pqc,VND-056,ietf,doc-extraction; no-cert-backing,https://www.sealsq.com/investors/news-releases/sealsq-unveils-qs7001-at-qai-2025-conference-in-new-york,2025-11,"QS7001: ML-KEM, ML-DSA hardware. 80MHz RISC-V. CC EAL5+. 10x performance. $49.8M pipeline 2026-2028.",VALIDATED,PQC support validated with digital proof.
Forward Edge-AI Isidore Quantum,CSC-033,Network Security Software,Network,Yes (with details),Hardware-based plug-and-play post-quantum encryption platform. NSA CNSA 2.0 compliant protocol-agnostic solution working with legacy and modern networks. Features one-way data diode with NIST-approved PQC algorithms including ML-KEM. Tested by U.S. military branches with SpaceX deployment. Secures data in transit without software rewrites or PKI dependencies.,Commercial,Commercial,Current,2026,Claimed,Critical,Hardware Appliance Network,Defense Critical Infrastructure Telecom Enterprise,https://forwardedge.ai/isidore/,,Hardware-based quantum-resistant encryption for high-security environments. Deployed across U.S. military branches and SpaceX missions.,Unverified Vendor,Needs Verification,2026-02-13,"test,migrate",5g-security;aerospace-pqc;crypto-dev-apis;network-security-pqc;vpn-ssh-pqc,VND-140,nist-csrc,needs-extraction,https://thequantuminsider.com/2025/07/12/forward-edge-ai-secures-fips-140-3-compliance-for-isidore-quantum/,2025-07-12,"FIPS 140-3 compliance achieved. Deployed on SpaceX Transporter-13 mission. Field-tested with U.S. Air Force, Army, Navy, Space Force. CNSA 2.0 algorithms (AES-256 GCM, ML-KEM). <0.5ms latency, up to 2 Gbps throughput.",VALIDATED,PQC claims fully substantiated. Verification status should be updated to Verified.
QuSecure QuProtect R3,CSC-025,Cryptographic Agility Frameworks,Cloud,Yes (with details),First end-to-end cryptographic security platform for quantum era. Provides cryptographic discovery (Recon) crypto-agility engine (Resilience) and real-time compliance reporting. Enables dynamic cipher key and algorithm updates without code changes or downtime. Works across cloud on-premise and edge environments. Includes QuEverywhere for mobile PQC.,Commercial,Commercial,R3,2026-01,No,Critical,Cloud On-Premise Edge,Government Enterprise Finance,https://www.qusecure.com/qusecure-launches-quprotect-r3/,,Platform enabling organizations to transition to PQC with crypto-agility and zero-downtime cipher updates.,Trusted Vendor,Verified,2026-03-31,"assess,plan,rampup",arch-quantum-impact;crypto-agility;exec-quantum-impact;pqc-governance,VND-054,qusecure,doc-extraction; no-cert-backing,https://www.qusecure.com/qusecure-launches-quprotect-r3/,2025,"Crypto-agility: Discovery, Remediation, Compliance. NIST NCCoE collaboration on PQC migration.",VALIDATED,PQC support validated with digital proof.
SandboxAQ AQtive Guard,CSC-049,Cryptographic Discovery Platforms,"Cloud,Security Stack",Yes (with details),Platform for automated discovery and inventory of cryptographic assets. Facilitates transition to post-quantum cryptography and enhances cyber readiness against AI-powered attacks. Provides continuous visibility into cryptographic dependencies. Deployed in U.S. Department of Defense (DoD) CIO systems. HQC algorithm contributor selected by NIST.,Commercial,Commercial,Current,2025-12,No,Critical,Enterprise Cloud Government,Government Critical Infrastructure Defense,https://aqtiveguard.com,,Crypto-agility platform with automated cryptographic asset discovery for PQC migration. Powers DoD quantum readiness.,Trusted Vendor,Verified,2026-02-21,"assess,plan,rampup",aerospace-pqc;arch-quantum-impact;compliance-strategy;crypto-agility;data-asset-sensitivity;energy-utilities-pqc;exec-quantum-impact;migration-program;network-security-pqc;ops-quantum-impact;platform-eng-pqc;pqc-business-case;pqc-governance;pqc-risk-management;quantum-threats,VND-036,sandboxaq,no-cert-backing,https://www.sandboxaq.com/press/sandboxaq-and-dow-cio-partner-to-strengthen-us-defenses-against-quantum-and-ai-driven-cyber-threats,2025-12,5-year DoD CIO agreement. Automated cryptographic discovery (ACDI). DISA QRC PKI prototype.,VALIDATED,PQC support validated with digital proof.
01 Quantum IronCAP,CSC-001,Cryptographic Libraries,Libraries,Yes (with details),"Quantum-safe cryptographic engine using Modern McEliece, a patented optimization of Classic McEliece with Goppa code-based encryption, plus NIST-approved PQC algorithms and hash-based digital signatures. Not standard Classic McEliece. Powers Hitachi DoMobile Ver.5 remote access system in Japan. Developing Quantum AI Wrapper (QAW) for securing AI data with Full Homomorphic Encryption and Quantum Crypto Wrapper (QCW) for blockchain quantum-safety.",Commercial,Commercial,Current,2026-01,Yes (via partners),Critical,Cross-platform,Enterprise Government Finance Blockchain,https://www.ironcap.ca/ironcap-toolkits/,,NIST-compliant quantum-safe engine enabling partners to deploy PQC. Focus on agile deployment and AI/blockchain security.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",ai-security-pqc;dev-quantum-impact;digital-assets;hybrid-crypto;tls-basics,VND-052,cmvp,proprietary-mceliece-variant; no-cert-backing,https://csrc.nist.gov/projects/cryptographic-module-validation-program/,2026-03-31,No CMVP certificate found for IronCAP or 01 Communique in NIST database.,FIPS_ISSUE,"FIPS ""via partners"" claim cannot be verified. No evidence."
Bouncy Castle C# .NET,CSC-001,Cryptographic Libraries,"Libraries,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",Implements HQC (Hamming Quasi-Cyclic) and ML-KEM for .NET platform. Provides quantum-resistant key exchange mechanisms with good performance characteristics on .NET runtime.,Open Source,MIT/Bouncy Castle License,2.6.2,2025-07-31,Yes (FIPS 140-2 L1 BC-FNA cert #4416; FIPS 140-3 in progress),Critical,Windows Linux macOS (.NET),All industries,https://www.bouncycastle.org/resources/nist-pqc-support-and-more-bouncy-castle-c-net-2-5-0/,https://github.com/bcgit/bc-csharp,C# implementation of cryptographic algorithms for .NET platform with PQC interoperability support.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025,bouncy-castle,fips-140-2-not-140-3,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4416,2023-01,BC-FNA 1.0.2 FIPS 140-2 L1 cert #4416 CONFIRMED. FIPS 140-3 NOT yet obtained. FIPS 140-2 transitions to historical by Sep 2026.,FIPS_ISSUE,"FIPS 140-3 claim ""in progress"" but no cert found. Evidence flag fips-140-2-not-140-3 is accurate."
Bouncy Castle Java,CSC-001,Cryptographic Libraries,"Libraries,Security Stack","Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","Comprehensive PQC implementation supporting ML-KEM, ML-DSA, SLH-DSA, and HQC (Hamming Quasi-Cyclic). Provides quantum-resistant key encapsulation and digital signatures through JCE/JCA provider. Supports hybrid classical/PQC modes for gradual migration.",Open Source,MIT/Bouncy Castle License,1.83,2025-11,Yes (FIPS 140-3 BC-FJA 2.1.2 interim cert #4943),Critical,Java 1.8+ Android,All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-java,Comprehensive Java implementation of cryptographic algorithms. Supports JCE/JCA provider lightweight API PGP S/MIME DTLS TLS OCSP TSP CMP and certificate generation.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;email-signing;hybrid-crypto;tls-basics,VND-025,bouncy-castle,doc-extraction,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4943,2023,BC-FJA 2.1.2 FIPS 140-3 interim cert #4943 CONFIRMED. 2-year validity from issuance.,FIPS_VERIFIED,FIPS claim verified.
