question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
email-signing-learn-001,email-signing,Email & Document Signing,Which RFC defines the foundational Cryptographic Message Syntax (CMS) format used for signing and encrypting data in S/MIME?,"RFC 5652 defines the Cryptographic Message Syntax (CMS), which serves as the foundational format for digitally signing and encrypting arbitrary data. This standard powers S/MIME email security, code signing, PDF signatures, firmware updates, timestamping, and eIDAS signatures.",learn,recall,developer;architect,beginner;intermediate,Global,General,RFC 5652,,,,,,,/library?ref=RFC%205652;/learn/email-signing,library_ref:RFC 5652 EXISTS,RAG Summary: Overview and Key Concepts
email-signing-learn-002,email-signing,Email & Document Signing,What specific RFC standardizes the use of ML-DSA for signing within the CMS framework?,RFC 9882 defines the usage of ML-DSA signatures for the Cryptographic Message Syntax (CMS). This standard allows the integration of post-quantum digital signature algorithms into existing CMS SignedData structures.,learn,recall,developer;researcher,intermediate,Global,General,RFC 9882,,,,,,,/library?ref=RFC%209882;/learn/email-signing,library_ref:RFC 9882 EXISTS,RAG Summary: Key Concepts
email-signing-learn-003,email-signing,Email & Document Signing,Which RFC introduces the KEMRecipientInfo structure to enable KEM-based encryption in CMS?,"RFC 9629 introduces the KEMRecipientInfo structure, which bridges the gap between NIST's ML-KEM standard (FIPS 203) and the CMS format. This allows for KEM-based encryption where a shared secret is derived via encapsulation rather than traditional key transport.",learn,recall,developer;architect,intermediate,Global,General,FIPS 203;RFC 9629,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=RFC%209629;/algorithms?highlight=KEM;/learn/email-signing,library_ref:FIPS 203 EXISTS|library_ref:RFC 9629 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts
email-signing-learn-004,email-signing,Email & Document Signing,How does the CMS SignedData structure differ between classical algorithms like ECDSA and post-quantum algorithms like ML-DSA?,"The CMS SignedData structure remains identical for both classical and post-quantum algorithms; only the algorithm Object Identifiers (OIDs) and the size of the signature value change. This design ensures algorithm agility, allowing CMS to support new algorithms without structural changes.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,,,,/learn/email-signing,,Module Content: CMSSigningDemo.tsx
email-signing-learn-005,email-signing,Email & Document Signing,Why is KEM-based encryption preferred over RSA key transport for post-quantum security in S/MIME?,"KEM-based encryption is preferred because NIST standardized ML-KEM (FIPS 203) as a Key Encapsulation Mechanism primitive rather than a public-key encryption scheme. Unlike RSA key transport, which encrypts the content-encryption key directly and is vulnerable to Shor's algorithm, KEM encapsulation derives a shared secret to securely wrap the key.",learn,comprehension,architect;researcher,intermediate;advanced,Global,General,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/email-signing,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts
email-signing-learn-006,email-signing,Email & Document Signing,What are the specific certificate requirements for an S/MIME signing certificate versus an encryption certificate?,"Signing certificates require keyUsage set to digitalSignature or nonRepudiation, extKeyUsage of id-kp-emailProtection, and algorithms like ML-DSA-65. Encryption certificates require keyUsage of keyEncipherment (for RSA) or keyAgreement (for ECDH), with algorithms like ML-KEM-768.",learn,comprehension,developer;ops,intermediate,Global,General,,,,,ML-DSA-65;ML-KEM-768,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-KEM-768;/learn/email-signing,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv,RAG Summary: Key Concepts
email-signing-both-007,email-signing,Email & Document Signing,"If an organization migrates to ML-DSA-65 for signing, what is the approximate impact on the size of a signed email compared to ECDSA?","Migrating to ML-DSA-65 increases signature size from approximately 72 bytes (ECDSA) to about 3.3 KB. Consequently, signed emails including certificate chains can grow by an additional 10-15 KB, impacting bandwidth and storage.",both,application,ops;architect,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/email-signing,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Migration challenges
email-signing-both-008,email-signing,Email & Document Signing,How should an email sender determine if a recipient supports post-quantum algorithms before sending an encrypted message?,"Senders must discover recipient algorithm support by examining the smimeCapabilities attribute in the recipient's certificate or querying LDAP directories. This is necessary because S/MIME requires bidirectional compatibility, meaning both parties must support the same algorithms.",both,application,developer;ops,intermediate,Global,General,,,,,,,,/learn/email-signing,,RAG Summary: Migration challenges
email-signing-both-009,email-signing,Email & Document Signing,"In a scenario where an email gateway must process PQC-signed messages, what specific CMS structure change must the gateway support?","The email gateway must be updated to understand and parse the KEMRecipientInfo structure defined in RFC 9629 for encrypted messages. Additionally, it must handle larger signature values associated with ML-DSA (RFC 9882) within the SignedData structure.",both,application,ops;developer,intermediate;advanced,Global,General,RFC 9629;RFC 9882,,,,,,,/library?ref=RFC%209629;/library?ref=RFC%209882;/learn/email-signing,library_ref:RFC 9629 EXISTS|library_ref:RFC 9882 EXISTS,RAG Summary: Migration challenges
email-signing-both-010,email-signing,Email & Document Signing,Why is the transition to post-quantum cryptography in S/MIME more complex than upgrading TLS servers?,"S/MIME migration requires bidirectional compatibility, meaning both the sender and recipient must support the same algorithms simultaneously. In contrast, TLS allows servers to upgrade unilaterally without requiring immediate client-side changes.",both,synthesis,architect;executive,advanced,Global,General,,,,,,,,/learn/email-signing,,RAG Summary: Migration challenges
email-signing-both-011,email-signing,Email & Document Signing,How does the separation of signing and encryption key pairs impact certificate management during a PQC migration?,"Users typically require separate key pairs for signing (e.g., ML-DSA) and encryption (e.g., ML-KEM), necessitating distinct certificates with different keyUsage extensions. Organizations must issue dual-algorithm certificates during the transition to ensure compatibility with both classical and post-quantum systems.",both,synthesis,architect;ops,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/email-signing,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
email-signing-both-012,email-signing,Email & Document Signing,What are the long-term archival implications of signing emails with post-quantum algorithms like ML-DSA?,"Signed emails must remain verifiable for years or decades, requiring archival systems to support the larger signature sizes and specific algorithm OIDs defined in RFC 9882. Failure to update archival solutions may result in an inability to validate historical PQC-signed documents.",both,synthesis,architect;executive,advanced,Global,General,RFC 9882,,,,,,,/library?ref=RFC%209882;/learn/email-signing,library_ref:RFC 9882 EXISTS,RAG Summary: Migration challenges
email-signing-both-013,email-signing,Email & Document Signing,How does the KEM-based encryption workflow in RFC 9629 utilize HKDF and AES-WRAP to secure the content-encryption key?,"In the KEM workflow, a shared secret is derived via encapsulation, then HKDF is used to derive a key-wrap key. This key-wrap key subsequently encrypts (wraps) the random content-encryption key (CEK) using AES-WRAP before being stored in the KEMRecipientInfo structure.",both,synthesis,developer;researcher,advanced,Global,General,RFC 9629,,,,KEM,,,/library?ref=RFC%209629;/algorithms?highlight=KEM;/learn/email-signing,library_ref:RFC 9629 EXISTS|algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
email-signing-both-014,email-signing,Email & Document Signing,"Considering the size increase of ML-DSA signatures, how might this affect email systems with strict message size limits?","The increase from 72 bytes to 3.3 KB per signature, plus certificate chain growth, can cause emails to exceed strict size limits imposed by mail servers or DLP systems. Organizations may need to adjust quotas or implement compression strategies to accommodate these larger PQC-signed messages.",both,synthesis,ops;architect,advanced,Global,General,,,,,,,,/learn/email-signing,,RAG Summary: Migration challenges
email-signing-both-015,email-signing,Email & Document Signing,How does the use of AuthEnvelopedData (RFC 5083) in S/MIME encryption relate to the transition from RSA key transport to KEM-based methods?,"AuthEnvelopedData structures in S/MIME traditionally used KeyTransRecipientInfo for RSA key transport, but now utilize KEMRecipientInfo per RFC 9629 for post-quantum security. This shift replaces direct encryption of the CEK with a KEM encapsulation process while maintaining the AuthEnvelopedData container format.",both,synthesis,developer;architect,advanced,Global,General,RFC 5083;RFC 9629,,,,KEM,,,/library?ref=RFC%205083;/library?ref=RFC%209629;/algorithms?highlight=KEM;/learn/email-signing,library_ref:RFC 5083 EXISTS|library_ref:RFC 9629 EXISTS|algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
