id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,Government & Defense;Finance & Banking;Technology,United States;Canada;Australia,yes,2030 (NIST deprecation target),"CMVP validation will require PQC algorithm support. FIPS 203/204/205 already published.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST
COMMON-CRITERIA,Common Criteria,International security evaluation framework,Government & Defense;Technology,Global,yes,Ongoing — PQC protection profiles emerging,"New protection profiles for PQC are being developed. Certification timelines vary by scheme.",CC Recognition Arrangement,EUCC v2.0 ACM,
ANSSI,ANSSI,French national cybersecurity agency regulation,Government & Defense;Finance & Banking,European Union,yes,2025-2030 (phased),"French regulation requires hybrid PQC for new systems. Full migration by 2030.",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper,France:ANSSI
CNSA-2,CNSA 2.0,NSA mandate for national security systems,Government & Defense,United States,yes,"2025 (software), 2030 (infrastructure)","NSA mandate for U.S. national security systems. Aggressive timeline.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum,United States:NSA
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,Technology;Finance & Banking,European Union;Czech Republic,yes,2027+ (wallet deployments),"EU Digital Identity framework. PQC readiness expected for wallet implementations.",European Commission,ENISA PQC Guidelines,European Union:EC
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,Finance & Banking;Retail & E-Commerce,Global,no,No explicit PQC timeline yet,"Payment card industry will follow NIST guidance. Monitor for updates.",PCI SSC,,
HIPAA,HIPAA,US health data privacy and security rule,Healthcare,United States,no,No explicit PQC timeline yet,"Healthcare data has long sensitivity periods — HNDL risk is significant.",HHS OCR,,
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,Telecommunications,Global,yes,2026-2028,"Mobile network operator PQC guidance from GSMA. Covers 5G and beyond.",GSMA,GSMA FS.50 PQC Guidelines,International:GSMA
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,Telecommunications,European Union,yes,Ongoing,"ETSI specification for quantum-safe algorithms in telecom protocols.",ETSI,ETSI TR 103 619;ETSI TS 103 744,
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,Finance & Banking,European Union;Czech Republic,yes,2025 (effective),"Operational resilience requirements for EU financial entities. Crypto risk in scope.",EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,Finance & Banking,Global,no,Annual,"Annual security attestation required for SWIFT network participants.",SWIFT,,
ISO-27001,ISO 27001,International information security management standard,Finance & Banking;Technology;Healthcare;Telecommunications;Energy & Utilities,Global,no,Ongoing,"Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.",ISO/IEC,,
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,Technology;Finance & Banking;Healthcare,United States;Canada,no,Ongoing,"Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.",AICPA,,
GDPR,GDPR,EU General Data Protection Regulation,Healthcare;Technology;Finance & Banking;Retail & E-Commerce;Education,European Union;Czech Republic,no,Ongoing,"Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.",EU DPAs,ENISA PQC Guidelines,European Union:EC
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,Healthcare,United States,no,Ongoing,"Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.",HHS OCR,,
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,Healthcare,United States,no,Ongoing,"Signature integrity requirements applicable to PQC migration for regulated medical software.",FDA,,
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,Government & Defense,United States,yes,2027 (Rev 5 PQC guidance),"Cloud service authorization for U.S. federal agencies. Rev 5 expected to reference PQC.",GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026,United States:NIST
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,Government & Defense,United States,yes,Ongoing,"Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.",DISA,NSA CNSA 2.0,United States:NSA
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,Government & Defense,United States;European Union;Canada;Czech Republic;Australia,yes,Ongoing,"Coalition partner interoperability requirements. PQC transition affects classified data exchange.",NATO,,
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,Automotive,Global,yes,Ongoing,"Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.",ISO/SAE,,
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,Automotive,European Union,yes,Ongoing,"Type approval requires cybersecurity management systems and secure OTA update processes.",UNECE,,
NERC-CIP,NERC CIP,North American Electric Reliability Corporation Critical Infrastructure Protection,Energy & Utilities,United States;Canada,yes,Ongoing,"Mandatory cybersecurity standards for bulk power systems. Crypto controls in CIP-005/007/011.",NERC,,
IEC-62443,IEC 62443,Industrial cybersecurity standard for OT/ICS environments,Energy & Utilities;Aerospace,Global,yes,Ongoing,"Defense-in-depth for industrial control systems. PQC relevant for long-lived OT deployments.",IEC,,
DO-326A,DO-326A / ED-202A,Airworthiness security process specification for aircraft systems,Aerospace,Global,yes,Ongoing,"Aviation cybersecurity certification basis. PQC critical given 30-40 year aircraft lifespans.",RTCA/EUROCAE,,
RTCA-DO-355A,RTCA DO-355A,Information security guidance for continuing airworthiness,Aerospace,Global,yes,Ongoing,"Supplement to DO-326A for operational phase. Covers cryptographic controls in service.",RTCA,,
FERPA,FERPA,Family Educational Rights and Privacy Act,Education,United States,no,Ongoing,"Student record confidentiality. Long retention periods imply HNDL exposure for sensitive records.",US Dept of Education,,
