question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
pki-workshop-workshop-001,pki-workshop,PKI,What are the six structured steps included in the PKI Workshop module?,"The six steps are: Generate CSR, Create Root CA, Certificate Issuance, Parse Certificate, Revocation (CRL), and MTC Comparison. These steps mirror real-world PKI workflows using OpenSSL WASM in a browser-based environment.",workshop,recall,developer;architect;ops,intermediate,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/pki-workshop,migrate_ref:OpenSSL EXISTS,Module Description; Workshop Steps
pki-workshop-learn-002,pki-workshop,PKI,Which RFC standard defines the X.509v3 certificate structure and CRL profile?,"RFC 5280 defines the X.509v3 certificate structure, including fields like version, serial number, and extensions, as well as the Certificate Revocation List (CRL) profile.",learn,recall,developer;architect,intermediate,Global,General,RFC 5280,,,,,,,/library?ref=RFC%205280;/learn/pki-workshop,library_ref:RFC 5280 EXISTS,Key Concepts; Related Standards
pki-workshop-learn-003,pki-workshop,PKI,What are the two NIST FIPS standards for post-quantum digital signature algorithms mentioned in the module?,The module cites FIPS 204 for ML-DSA and FIPS 205 for SLH-DSA as the post-quantum replacements for classical signatures.,learn,recall,researcher;architect,intermediate,USA,General,FIPS 204;FIPS 205,,,,,,NIST,/library?ref=FIPS%20204;/library?ref=FIPS%20205;/learn/pki-workshop,library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|compliance_ref:NIST EXISTS,Key Concepts; Related Standards
pki-workshop-learn-004,pki-workshop,PKI,What is the specific deadline set by CNSA 2.0 for transitioning to a PQC-only PKI?,CNSA 2.0 sets a deadline of 2030 for organizations to migrate their Public Key Infrastructure to post-quantum cryptography only.,learn,recall,executive;architect,intermediate,USA,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-learn-005,pki-workshop,PKI,Which RFC standard governs the Online Certificate Status Protocol (OCSP)?,RFC 6960 is the standard that defines the Online Certificate Status Protocol (OCSP) for checking certificate revocation status.,learn,recall,developer;ops,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts; Related Standards
pki-workshop-learn-006,pki-workshop,PKI,What is the approximate size difference between a traditional PQC certificate chain and a Merkle Tree Certificate inclusion proof?,"A traditional PQC chain using ML-DSA-44 is approximately 12,272 bytes (~12.0 KB), whereas Merkle Tree Certificates (MTCs) use compact inclusion proofs of about 736 bytes — a reduction of roughly 94%. Higher-security chains (e.g., ML-DSA-87) would be approximately 22.7 KB, making the MTC advantage even greater.",learn,recall,architect;developer,intermediate,Global,General,,,,,ML-DSA-44,,,/algorithms?highlight=ML-DSA-44;/learn/pki-workshop,algorithm:ML-DSA-44 IN algorithms_csv,Key Concepts
pki-workshop-learn-007,pki-workshop,PKI,Why are RSA and ECDSA signatures considered vulnerable to quantum computers?,RSA and ECDSA signatures are vulnerable because Shor's algorithm can efficiently solve the mathematical problems underlying these classical algorithms on a sufficiently powerful quantum computer.,learn,comprehension,researcher;architect,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-learn-008,pki-workshop,PKI,What is the primary purpose of using hybrid or composite certificates during the PQC migration period?,Hybrid and composite certificates combine classical and post-quantum algorithms in a single certificate to ensure backward compatibility with legacy systems while introducing quantum resistance.,learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-learn-009,pki-workshop,PKI,How does the Merkle Tree Certificate (MTC) proposal reduce handshake overhead compared to traditional chains?,"The MTC proposal batches certificates into a Merkle tree, replacing large per-certificate PQ signatures with small inclusion proofs, significantly reducing the data transmitted during handshakes.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-learn-010,pki-workshop,PKI,What is the relationship between a Certificate Signing Request (CSR) and the final issued certificate?,"A CSR, defined by PKCS#10 (RFC 2986), contains the public key and identity information which a Certificate Authority signs to create the final X.509v3 certificate.",learn,comprehension,developer;ops,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts; Related Standards
pki-workshop-learn-011,pki-workshop,PKI,Why is migrating long-lived Root CA certificates considered a critical challenge in PQC adoption?,"Migrating Root CAs is critical because they have long lifespans and form the trust anchor for entire hierarchies, requiring careful planning to avoid breaking trust chains during the algorithm transition.",learn,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Module Description; Key Concepts
pki-workshop-learn-012,pki-workshop,PKI,What are the main components of the X.509v3 certificate structure listed in the module?,"The structure includes version, serial number, signature algorithm, issuer, validity, subject, Subject Public Key Info, and extensions such as Key Usage and Basic Constraints.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-workshop-013,pki-workshop,PKI,"In the workshop, what is the logical sequence of actions to create a valid certificate chain?","The sequence involves generating a key pair and CSR (Step 1), creating a self-signed Root CA (Step 2), and then using that Root CA to sign the CSR to issue the end-entity certificate (Step 3).",workshop,application,developer;ops,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Workshop Activities; Workshop Steps
pki-workshop-workshop-014,pki-workshop,PKI,"If a developer needs to revoke a certificate issued by their Root CA in the workshop, which step and mechanism should they use?","The developer should proceed to Step 5 of the workshop to generate a Certificate Revocation List (CRL) for the Root CA, following the profile defined in RFC 5280 Section 5.",workshop,application,developer;ops,intermediate,Global,General,RFC 5280,,,,,,,/library?ref=RFC%205280;/learn/pki-workshop,library_ref:RFC 5280 EXISTS,Workshop Activities; Key Concepts
pki-workshop-workshop-015,pki-workshop,PKI,How would you verify the specific fields and extensions of a certificate generated in Step 3?,"You would use the functionality provided in Step 4, 'Parse Certificate,' to inspect the generated certificate's details, including its validity period, subject, and extensions.",workshop,application,developer;ops,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Workshop Activities
pki-workshop-workshop-016,pki-workshop,PKI,"When comparing certificate sizes in Step 6, what specific metric should be analyzed to understand the efficiency of Merkle Tree Certificates?","The analysis should compare the total size of a traditional PQC chain against the compact MTC inclusion proof (~736 bytes). For an ML-DSA-44 chain (~12,272 bytes), the MTC proof represents a ~94% reduction; for an ML-DSA-87 chain (~22.7 KB), the reduction is even greater. This metric directly quantifies the TLS handshake overhead improvement that MTCs provide.",workshop,application,architect;developer,intermediate,Global,General,,,,,ML-DSA-44,,,/algorithms?highlight=ML-DSA-44;/learn/pki-workshop,algorithm:ML-DSA-44 IN algorithms_csv,Workshop Activities; Key Concepts
pki-workshop-learn-017,pki-workshop,PKI,"If an organization is constrained by device memory, how does the size of an ML-DSA-87 public key impact their PQC migration strategy?","The ML-DSA-87 public key is approximately 2,592 bytes compared to 294 bytes for ECDSA P-256, which may require organizations to optimize storage or use hybrid schemes to support constrained devices.",learn,application,architect;developer,intermediate,Global,General,,,,,ECDSA P-256;ML-DSA-87,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-87;/learn/pki-workshop,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-87 IN algorithms_csv,Key Concepts
pki-workshop-workshop-018,pki-workshop,PKI,How does the workshop environment ensure safety while allowing users to practice PKI operations?,"The workshop uses a learning sandbox where private keys are stored locally in the browser via OpenSSL WASM, ensuring they are not used in production environments.",workshop,application,developer;ops,intermediate,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/pki-workshop,migrate_ref:OpenSSL EXISTS,Module Content (extracted)
pki-workshop-learn-019,pki-workshop,PKI,What are the implications of the CNSA 2.0 deadline for an organization currently relying solely on RSA signatures?,The 2030 deadline implies that organizations must begin migrating from quantum-vulnerable RSA signatures to PQC algorithms like ML-DSA or SLH-DSA immediately to avoid non-compliance.,learn,synthesis,executive;architect,intermediate,USA,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-learn-020,pki-workshop,PKI,How does the IETF draft-davidben-tls-merkle-tree-certs proposal address the scalability issues of PQC in TLS handshakes?,"The proposal addresses scalability by batching certificates into a Merkle tree, allowing clients to verify inclusion with small proofs rather than processing large individual PQC signatures for every certificate.",learn,synthesis,architect;researcher,intermediate,Global,General,,,,,,,IETF,/learn/pki-workshop,compliance_ref:IETF EXISTS,Key Concepts; Related Standards
pki-workshop-learn-021,pki-workshop,PKI,"Considering the size difference between ECDSA and ML-DSA, what trade-off must an architect make when designing a hybrid certificate for IoT devices?","An architect must balance the security benefit of PQC resistance against the increased bandwidth and storage costs of larger keys, potentially opting for smaller PQC parameters or selective deployment.",learn,synthesis,architect;developer,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-both-022,pki-workshop,PKI,"How do the trust models (hierarchical, bridge CA, web of trust) relate to the certificate chain construction in the workshop?","The workshop demonstrates a hierarchical trust model where a Root CA signs an end-entity certificate, establishing a direct chain of trust that mirrors real-world PKI hierarchies defined by ITU-T X.509.",both,synthesis,architect;developer,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Key Concepts; Workshop Activities
pki-workshop-learn-023,pki-workshop,PKI,"If a Root CA certificate expires before the 2030 CNSA 2.0 deadline, what migration strategy involving cross-signed trust chains might be necessary?",Organizations may need to issue cross-signed certificates using both classical and PQC algorithms to maintain trust continuity while gradually phasing out the old algorithm before the new Root CA is fully deployed.,learn,synthesis,architect;executive,intermediate,USA,General,,,,,,,,/learn/pki-workshop,,Key Concepts
pki-workshop-workshop-024,pki-workshop,PKI,How does the integration of OpenSSL WASM in the browser enable the 'hands-on' aspect of the PKI workshop without backend servers?,"OpenSSL WASM allows cryptographic operations like key generation and signing to run client-side in the browser, enabling a self-contained sandbox for building certificate chains securely.",workshop,synthesis,developer;architect,intermediate,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/pki-workshop,migrate_ref:OpenSSL EXISTS,Module Description; Module Content (extracted)
pki-workshop-workshop-025,pki-workshop,PKI,What is the strategic value of comparing traditional chains with Merkle Tree Certificates in Step 6 for a cloud service provider?,"For a cloud provider, this comparison highlights potential latency and bandwidth savings in TLS handshakes, which is critical for high-volume services adopting PQC.",workshop,synthesis,architect;executive,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Workshop Activities; Key Concepts
pki-workshop-learn-026,pki-workshop,PKI,"How does the module's coverage of RFC 5280, FIPS 204, and CNSA 2.0 collectively guide a comprehensive PQC migration plan?","RFC 5280 provides the structural foundation for certificates, FIPS 204 defines the specific PQC algorithms to use, and CNSA 2.0 sets the regulatory timeline, together forming a complete technical and compliance roadmap.",learn,synthesis,architect;executive,intermediate,USA,General,FIPS 204;RFC 5280,,,,,,,/library?ref=FIPS%20204;/library?ref=RFC%205280;/learn/pki-workshop,library_ref:FIPS 204 EXISTS|library_ref:RFC 5280 EXISTS,Related Standards; Key Concepts
pki-workshop-workshop-027,pki-workshop,PKI,"In the context of the workshop, how does generating a CRL in Step 5 demonstrate the lifecycle management required for PQC certificates?","Generating a CRL demonstrates that even with new algorithms, the fundamental lifecycle processes like revocation remain essential and must be supported by the new PKI infrastructure.",workshop,synthesis,ops;architect,intermediate,Global,General,,,,,,,,/learn/pki-workshop,,Workshop Activities; Key Concepts
