question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
confidential-computing-learn-001,confidential-computing,Confidential Computing & TEEs,What are the three primary data states protected by Confidential Computing and TEEs compared to standard encryption methods?,"Confidential Computing protects Data-in-Use within hardware-isolated enclaves, complementing standard volume encryption for Data-at-Rest and TLS for Data-in-Transit. Unlike traditional methods, TEEs encrypt data transparently within the processor's DRAM to prevent access even if the host OS or hypervisor is compromised. This ensures that code and data remain inaccessible from the outside during active processing.",learn,recall,executive;architect;curious,beginner;intermediate,Global,General,,,,,,,,/learn/confidential-computing,,Curious Summary: What This Is About
confidential-computing-learn-002,confidential-computing,Confidential Computing & TEEs,Which specific NIST FIPS standards define the Post-Quantum Cryptography algorithms ML-KEM and ML-DSA?,FIPS 203 defines ML-KEM (formerly CRYSTALS-KYBER) as the standardized algorithm for quantum-resistant key encapsulation. FIPS 204 defines ML-DSA as the approved digital signature algorithm for protecting sensitive unclassified information in federal systems. These standards are critical for migrating TEE attestation chains to be quantum-resistant.,learn,recall,developer;architect;researcher,intermediate;advanced,USA;Global,General,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/confidential-computing,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"Authoritative Source Context: FIPS 203, FIPS 204"
confidential-computing-learn-003,confidential-computing,Confidential Computing & TEEs,List the five major TEE vendor architectures mentioned in the module description.,"The module covers Intel SGX and TDX, ARM TrustZone and CCA (Confidential Compute Architecture), AMD SEV and SEV-SNP, RISC-V Keystone, and AWS Nitro Enclaves. These platforms provide varying levels of hardware isolation, memory encryption, and remote attestation capabilities. Each architecture has specific mechanisms for protecting data-in-use within the processor.",learn,recall,developer;ops;architect,beginner;intermediate,Global,General,,,,,,ARM TrustZone,,/migrate?q=ARM%20TrustZone;/learn/confidential-computing,migrate_ref:ARM TrustZone EXISTS,Module Description: Topics Covered
confidential-computing-learn-004,confidential-computing,Confidential Computing & TEEs,What is the specific impact of Grover's algorithm on current TEE memory encryption engines using AES-128-XTS?,"Grover's algorithm halves the effective security margin of symmetric encryption, downgrading AES-128-XTS to an effective 64-bit security level. This reduction makes current TEE memory encryption engines vulnerable to quantum attacks that could decrypt data-in-use. Consequently, hardware vendors must upgrade to AES-256 to maintain adequate security margins.",learn,recall,researcher;architect;developer,intermediate;advanced,Global,General,,,,,,,,/learn/confidential-computing,,Curious Summary: Why It Matters
confidential-computing-learn-005,confidential-computing,Confidential Computing & TEEs,"Which classical cryptographic algorithm is currently used for signing attestation quotes in Intel SGX/TDX, AMD SEV-SNP, and ARM CCA?","All major attestation quotes today, including those from Intel SGX/TDX, AMD SEV-SNP, and ARM CCA, are signed using classical ECDSA with curves P-256 or P-384. This reliance on ECDSA creates a critical vulnerability because Shor's algorithm can completely break these signatures. An adversary with a quantum computer could forge these signatures to impersonate an enclave.",learn,recall,developer;architect;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/confidential-computing,,Curious Summary: Why It Matters
confidential-computing-learn-006,confidential-computing,Confidential Computing & TEEs,What is the primary function of a Sealing Key in the context of TEE memory encryption?,A Sealing Key is used to derive keys that allow data to be encrypted and stored securely within the TEE's memory or persistent storage. It ensures that only the specific enclave instance with the matching hardware identity can decrypt and access the sealed data. This mechanism protects data even if it leaves the immediate execution context.,learn,recall,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/confidential-computing,,Module Description: Topics Covered; Glossary: Sealing Key
confidential-computing-learn-007,confidential-computing,Confidential Computing & TEEs,"Which version of the PKCS#11 standard introduces native support for ML-KEM, ML-DSA, and SLH-DSA mechanisms?","PKCS #11 v3.2 introduces native support for Post-Quantum Cryptography algorithms including ML-KEM, ML-DSA, and SLH-DSA. This update is essential for integrating PQC capabilities into TEE-HSM trusted channel designs. It enables the use of quantum-resistant keys within hardware security modules interacting with enclaves.",learn,recall,developer;architect;ops,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/confidential-computing,algorithm:KEM IN algorithms_csv,Authoritative Source Context: PKCS11-V32-OASIS
confidential-computing-learn-008,confidential-computing,Confidential Computing & TEEs,How does a Trusted Execution Environment (TEE) differ from standard volume encryption regarding the threat model?,"Standard volume encryption protects data at rest but leaves it exposed in plaintext once loaded into memory by the OS or hypervisor. In contrast, a TEE provides hardware isolation that encrypts data transparently within the processor's DRAM, protecting it even if the host operating system or cloud administrator is fully compromised. This ensures code and data remain inaccessible from the outside during execution.",learn,comprehension,architect;executive;curious,intermediate;advanced,Global,General,,,,,,,,/learn/confidential-computing,,Curious Summary: What This Is About
confidential-computing-learn-009,confidential-computing,Confidential Computing & TEEs,Why is the transition to ML-DSA critical for Remote Attestation protocols in TEEs?,"The transition to ML-DSA is critical because current attestation chains rely on ECDSA, which is vulnerable to Shor's algorithm. If an adversary can forge ECDSA signatures using a quantum computer, they can impersonate a trusted enclave and steal secrets provisioned from an HSM. ML-DSA provides the necessary quantum resistance to guarantee the integrity of the trust chain.",learn,comprehension,architect;researcher;developer,intermediate;advanced,Global,General,,,,,,,,/learn/confidential-computing,,Curious Summary: Why It Matters
confidential-computing-learn-010,confidential-computing,Confidential Computing & TEEs,What is the relationship between the Quoting Enclave (QE) and the Attestation Key (AK) in Intel DCAP?,"In the Intel DCAP flow, the Quoting Enclave verifies the REPORT structure locally using a REPORT key before signing it. It then uses the platform's Attestation Key (AK) to sign the report and produce a Quote. This process ensures that the quote is cryptographically bound to the specific hardware platform.",learn,comprehension,developer;architect,advanced,Global,General,,,,,,,,/learn/confidential-computing,,Component Data: attestationData.ts (Intel DCAP steps)
