question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
digital-assets-learn-001,digital-assets,Digital Assets,Which elliptic curve and signature algorithm does Bitcoin primarily use for transaction signing?,Bitcoin uses the secp256k1 elliptic curve with the ECDSA (Elliptic Curve Digital Signature Algorithm) for generating digital signatures. This combination is fundamental to the cryptographic security of Bitcoin transactions.,learn,recall,developer;architect,beginner;intermediate,Global,Blockchain;Finance,,,,,Signature;secp256k1,,,/algorithms?highlight=Signature;/algorithms?highlight=secp256k1;/learn/digital-assets,algorithm:Signature IN algorithms_csv|algorithm:secp256k1 IN algorithms_csv,RAG Summary: Key Concepts - Elliptic curve cryptography
digital-assets-learn-002,digital-assets,Digital Assets,What specific hash functions are used in the Bitcoin address derivation pipeline?,The Bitcoin address derivation pipeline applies SHA-256 followed by RIPEMD-160 to the public key. The resulting hash is then encoded using Base58Check to produce the final address.,learn,recall,developer;architect,beginner;intermediate,Global,Blockchain,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - Address derivation pipelines
digital-assets-learn-003,digital-assets,Digital Assets,Which standard defines the mnemonic seed phrases used in Hierarchical Deterministic (HD) wallets?,BIP-39 is the standard that defines how to convert entropy into a 24-word mnemonic phrase for HD wallets. This mnemonic serves as the human-readable backup for the master seed.,learn,recall,developer;ops,beginner;intermediate,Global,Blockchain;Security,BIP-39,,,,,,,/library?ref=BIP-39;/learn/digital-assets,library_ref:BIP-39 EXISTS,RAG Summary: Key Concepts - Hierarchical Deterministic (HD) wallets
digital-assets-learn-004,digital-assets,Digital Assets,What is the primary difference between ECDSA and EdDSA regarding nonce generation?,"ECDSA requires a unique random nonce for each signature, where reuse can leak the private key. In contrast, EdDSA uses deterministic nonces derived from the private key and message, eliminating the risk of nonce-reuse vulnerabilities.",learn,recall,developer;researcher,intermediate,Global,Blockchain;Cryptography,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - Elliptic curve cryptography
digital-assets-learn-005,digital-assets,Digital Assets,Which NIST standards are cited as potential Post-Quantum Cryptography (PQC) replacements for blockchain signatures and key exchange?,"FIPS 204 (ML-DSA) is cited as a potential replacement for digital signatures, while FIPS 203 (ML-KEM) is proposed for key exchange schemes. These standards represent the lattice-based algorithms selected by NIST for PQC.",learn,recall,architect;researcher,intermediate;advanced,USA;Global,Blockchain;Government;Security,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/digital-assets,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Related Standards
digital-assets-learn-006,digital-assets,Digital Assets,How does Ethereum address derivation differ from Bitcoin's in terms of hashing and encoding?,"Ethereum derives addresses by applying Keccak-256 to the public key and taking the last 20 bytes, followed by EIP-55 checksumming. Unlike Bitcoin, it does not use RIPEMD-160 or Base58Check encoding.",learn,recall,developer;architect,beginner;intermediate,Global,Blockchain,EIP-55,,,,,,,/library?ref=EIP-55;/learn/digital-assets,library_ref:EIP-55 EXISTS,RAG Summary: Key Concepts - Address derivation pipelines
digital-assets-learn-007,digital-assets,Digital Assets,Why are hash functions like SHA-256 and Keccak-256 considered quantum-resistant compared to elliptic curve algorithms?,"Hash functions remain resistant against Grover's algorithm, which only provides a quadratic speedup for brute-force attacks. In contrast, elliptic curve algorithms are vulnerable to Shor's algorithm, which can efficiently derive private keys from public keys.",learn,comprehension,researcher;architect,intermediate;advanced,Global,Blockchain;Security,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - Quantum threats
digital-assets-learn-008,digital-assets,Digital Assets,What is the specific derivation path standard for Bitcoin and Ethereum within the BIP-44 hierarchy?,BIP-44 standardizes the derivation path as m/44'/0'/0'/0/0 for Bitcoin and m/44'/60'/0'/0/0 for Ethereum. These paths ensure that different cryptocurrencies are derived into separate account trees from the same master seed.,learn,comprehension,developer;ops,intermediate,Global,Blockchain,BIP-44,,,,,,,/library?ref=BIP-44;/learn/digital-assets,library_ref:BIP-44 EXISTS,RAG Summary: Key Concepts - Hierarchical Deterministic (HD) wallets
digital-assets-learn-009,digital-assets,Digital Assets,How does the Solana address derivation process simplify compared to Bitcoin and Ethereum?,"Solana directly Base58-encodes the 32-byte Ed25519 public key to create the address, without intermediate hashing steps like SHA-256 or RIPEMD-160. This direct mapping simplifies the derivation pipeline compared to other chains.",learn,comprehension,developer;architect,intermediate,Global,Blockchain,,,,,Ed25519,Solana,,/algorithms?highlight=Ed25519;/migrate?q=Solana;/learn/digital-assets,algorithm:Ed25519 IN algorithms_csv|migrate_ref:Solana EXISTS,RAG Summary: Key Concepts - Address derivation pipelines
digital-assets-learn-010,digital-assets,Digital Assets,What is the role of the recovery parameter (v) in Ethereum ECDSA signatures?,The recovery parameter (v) included in Ethereum ECDSA signatures allows the public key to be recovered from the signature and message alone. This feature is essential for verifying transactions without transmitting the full public key.,learn,comprehension,developer;researcher,intermediate,Global,Blockchain,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - Digital signatures
digital-assets-learn-011,digital-assets,Digital Assets,Why does Solana's HD wallet derivation (SLIP-0010) require all-hardened segments?,Solana uses SLIP-0010 with all-hardened segments because the Ed25519 algorithm does not support non-hardened derivation. This constraint ensures that child private keys cannot be derived without the parent private key.,learn,comprehension,developer;architect,intermediate;advanced,Global,Blockchain;Security,SLIP-0010,,,,Ed25519,Solana,,/library?ref=SLIP-0010;/algorithms?highlight=Ed25519;/migrate?q=Solana;/learn/digital-assets,library_ref:SLIP-0010 EXISTS|algorithm:Ed25519 IN algorithms_csv|migrate_ref:Solana EXISTS,RAG Summary: Key Concepts - Hierarchical Deterministic (HD) wallets
digital-assets-learn-012,digital-assets,Digital Assets,"In the context of institutional custody, what is the 'Harvest-now-decrypt-later' (HNDL) risk?",The HNDL risk involves adversaries recording encrypted TLS sessions today to decrypt them later once a Cryptographically Relevant Quantum Computer (CRQC) is available. This threatens the confidentiality of data transmitted over classical ECDHE channels.,learn,comprehension,architect;executive,intermediate;advanced,Global,Finance;Security,,,,,,,,/learn/digital-assets,,custodyConstants.ts: Architecture Layers - Web Portal
digital-assets-both-013,digital-assets,Digital Assets,"If a developer reuses a nonce in an ECDSA signature for Bitcoin, what is the immediate cryptographic consequence?",Reusing a nonce in an ECDSA signature allows an attacker to mathematically derive the private key from two signatures sharing the same nonce. This compromises the security of the wallet and allows unauthorized transaction signing.,both,application,developer;security,intermediate,Global,Blockchain;Security,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - Elliptic curve cryptography
digital-assets-workshop-014,digital-assets,Digital Assets,How would you construct a Bitcoin address from a generated secp256k1 public key in the workshop flow?,"To construct a Bitcoin address, one must hash the public key with SHA-256, then hash the result with RIPEMD-160. Finally, the output is encoded using Base58Check to produce the valid address string.",workshop,application,developer;ops,intermediate,Global,Blockchain,,,,,secp256k1,,,/algorithms?highlight=secp256k1;/learn/digital-assets,algorithm:secp256k1 IN algorithms_csv,RAG Summary: Workshop Activities - Bitcoin Flow
digital-assets-workshop-015,digital-assets,Digital Assets,What steps are required to sign a transaction in the Ethereum workshop flow?,"The Ethereum flow requires generating secp256k1 keys, deriving an address via Keccak-256 with EIP-55 checksumming, and then creating a transaction that includes a recovery parameter for signing. The signature is verified using the public key recovered from the (r, s, v) tuple.",workshop,application,developer;architect,intermediate,Global,Blockchain,EIP-55,,,,secp256k1,,,/library?ref=EIP-55;/algorithms?highlight=secp256k1;/learn/digital-assets,library_ref:EIP-55 EXISTS|algorithm:secp256k1 IN algorithms_csv,RAG Summary: Workshop Activities - Ethereum Flow
digital-assets-workshop-016,digital-assets,Digital Assets,How does the Solana workshop flow demonstrate the difference in address derivation compared to Bitcoin?,"The Solana flow demonstrates that addresses are derived by directly Base58-encoding the 32-byte Ed25519 public key, skipping the double-hashing steps (SHA-256/RIPEMD-160) required by Bitcoin. This highlights the structural differences in address generation.",workshop,application,developer;architect,intermediate,Global,Blockchain,,,,,Ed25519,Solana,,/algorithms?highlight=Ed25519;/migrate?q=Solana;/learn/digital-assets,algorithm:Ed25519 IN algorithms_csv|migrate_ref:Solana EXISTS,RAG Summary: Workshop Activities - Solana Flow
digital-assets-workshop-017,digital-assets,Digital Assets,"In an HD wallet scenario, how would you derive a child key for Ethereum using BIP-44?","To derive an Ethereum child key, one must follow the BIP-44 path m/44'/60'/0'/0/0 starting from the master seed generated via BIP-39. This specific path ensures the key is compatible with Ethereum's coin type and account structure.",workshop,application,developer;ops,intermediate,Global,Blockchain,BIP-39;BIP-44,,,,,,,/library?ref=BIP-39;/library?ref=BIP-44;/learn/digital-assets,library_ref:BIP-39 EXISTS|library_ref:BIP-44 EXISTS,RAG Summary: Workshop Activities - HD Wallet Flow
digital-assets-both-018,digital-assets,Digital Assets,"If a blockchain protocol wants to mitigate Shor's algorithm, why is migrating to FIPS 204 (ML-DSA) necessary?","Migrating to FIPS 204 (ML-DSA) is necessary because it uses lattice-based cryptography which is resistant to Shor's algorithm. Unlike secp256k1 or Ed25519, ML-DSA cannot be broken by a quantum computer capable of running Shor's algorithm.",both,application,architect;researcher,advanced,Global,Blockchain;Security,FIPS 204,,,,Ed25519;secp256k1,,,/library?ref=FIPS%20204;/algorithms?highlight=Ed25519;/algorithms?highlight=secp256k1;/learn/digital-assets,library_ref:FIPS 204 EXISTS|algorithm:Ed25519 IN algorithms_csv|algorithm:secp256k1 IN algorithms_csv,RAG Summary: Related Standards; Key Concepts - Quantum threats
digital-assets-workshop-019,digital-assets,Digital Assets,How does the 'PQC Defense Flow' in the workshop help architects understand block capacity constraints?,"The PQC Defense Flow allows users to compare classical signature sizes with larger post-quantum signatures, illustrating the impact on block capacity. This helps architects anticipate the need for consensus protocol changes to accommodate larger data structures.",workshop,application,architect;executive,advanced,Global,Blockchain;Infrastructure,,,,,,,,/learn/digital-assets,,RAG Summary: Workshop Activities - PQC Defense Flow
digital-assets-learn-020,digital-assets,Digital Assets,What are the primary challenges in migrating a blockchain like Bitcoin to Post-Quantum Cryptography?,"The primary challenges include the immutable nature of the ledger history, the increased size of post-quantum signatures and public keys, and the requirement for consensus protocol changes. Additionally, maintaining backward compatibility with existing address formats is difficult.",learn,synthesis,architect;executive,advanced,Global,Blockchain;Policy,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - PQC migration challenges
digital-assets-both-021,digital-assets,Digital Assets,How does the vulnerability of ECDHE in TLS 1.3 impact the security of institutional custody web portals?,"The vulnerability of ECDHE (X25519/P-256) to Shor's algorithm means that recorded TLS sessions can be decrypted by a future quantum computer, exposing sensitive client data. This necessitates a migration to hybrid key exchange schemes like ML-KEM-768.",both,synthesis,architect;security,advanced,Global,Finance;Security,,,,,ML-KEM-768;X25519,,,/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/digital-assets,algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,custodyConstants.ts: Architecture Layers - Web Portal
digital-assets-both-022,digital-assets,Digital Assets,Why is the transition to hybrid signature schemes critical for decentralized finance (DeFi) protocols?,"The transition is critical because DeFi relies on digital signatures for ownership verification, and current elliptic curve algorithms are vulnerable to quantum attacks. Without hybrid schemes, a CRQC could forge signatures and irreversibly steal funds from smart contracts.",both,synthesis,executive;architect,advanced,Global,Finance;Blockchain,,,,,,,,/learn/digital-assets,,Curious Summary: Why It Matters
digital-assets-both-023,digital-assets,Digital Assets,How do the cryptographic primitives in Solana's Ed25519 differ from Bitcoin's secp256k1 in terms of quantum threat mitigation strategies?,"While both are vulnerable to Shor's algorithm, Solana's Ed25519 uses deterministic nonces which prevents nonce-reuse attacks, a specific vulnerability in ECDSA. However, for PQC migration, both require replacing the underlying curve with lattice-based or hash-based alternatives.",both,synthesis,researcher;architect,advanced,Global,Blockchain;Cryptography,,,,,Ed25519;secp256k1,Solana,,/algorithms?highlight=Ed25519;/algorithms?highlight=secp256k1;/migrate?q=Solana;/learn/digital-assets,algorithm:Ed25519 IN algorithms_csv|algorithm:secp256k1 IN algorithms_csv|migrate_ref:Solana EXISTS,RAG Summary: Key Concepts - Elliptic curve cryptography
digital-assets-both-024,digital-assets,Digital Assets,"What is the relationship between BIP-32, BIP-39, and BIP-44 in constructing a secure HD wallet for multiple assets?","BIP-39 generates the mnemonic seed from entropy, BIP-32 defines the tree structure for deriving keys, and BIP-44 standardizes the path hierarchy to separate different cryptocurrencies. Together they enable a single mnemonic to securely manage Bitcoin, Ethereum, and other assets.",both,synthesis,developer;architect,intermediate;advanced,Global,Blockchain;Security,BIP-32;BIP-39;BIP-44,,,,,,,/library?ref=BIP-32;/library?ref=BIP-39;/library?ref=BIP-44;/learn/digital-assets,library_ref:BIP-32 EXISTS|library_ref:BIP-39 EXISTS|library_ref:BIP-44 EXISTS,RAG Summary: Key Concepts - Hierarchical Deterministic (HD) wallets
digital-assets-both-025,digital-assets,Digital Assets,How does the 'Harvest-now-decrypt-later' threat influence the migration readiness of institutional custody systems?,"The HNDL threat forces institutions to prioritize migration readiness even before CRQCs exist, as data encrypted today is at risk tomorrow. This drives the adoption of hybrid TLS and PQC certificate chains to protect against future decryption of recorded sessions.",both,synthesis,executive;architect,advanced,Global,Finance;Security,,,,,,,,/learn/digital-assets,,custodyConstants.ts: Architecture Layers - Web Portal
digital-assets-both-026,digital-assets,Digital Assets,"Considering the immutable ledger constraint, how might blockchain protocols implement PQC without breaking existing transactions?","Protocols may implement PQC by introducing hybrid signature schemes where new transactions use both classical and PQC signatures, while legacy transactions remain valid. This approach allows a gradual transition without invalidating historical data or requiring hard forks for old addresses.",both,synthesis,architect;researcher,advanced,Global,Blockchain;Policy,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - PQC migration challenges
digital-assets-both-027,digital-assets,Digital Assets,"How do the specific PQC algorithms mentioned in Ethereum research (FALCON, Sphincs-plus) align with NIST standards?","Ethereum research explores FALCON and Sphincs-plus as replacements for ECDSA, which aligns with NIST's selection of lattice-based (ML-DSA/FALCON) and hash-based (SLH-DSA/Sphincs-plus) algorithms. These choices reflect a consensus on the most viable post-quantum candidates.",both,synthesis,researcher;architect,advanced,Global,Blockchain;Cryptography,,,,,,,NIST,/learn/digital-assets,compliance_ref:NIST EXISTS,Authoritative Source Context: Ethereum-PQC-Tasklist-Ethresearch
digital-assets-both-028,digital-assets,Digital Assets,What are the implications of larger PQC public keys on the storage and bandwidth requirements of a blockchain network?,"Larger PQC public keys and signatures increase the size of transactions and blocks, which can strain block capacity and network bandwidth. This necessitates protocol upgrades to handle increased data loads and potentially higher transaction fees.",both,synthesis,architect;ops,advanced,Global,Blockchain;Infrastructure,,,,,,,,/learn/digital-assets,,RAG Summary: Key Concepts - PQC migration challenges
