id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,Government & Defense;Finance & Banking;Technology,United States;Canada;Australia,yes,2030 (NIST IR 8547 deprecation target),CMVP validation will require PQC algorithm support. FIPS 203/204/205 already published. The 2030 date reflects NIST IR 8547's timeline for deprecating 112-bit classical asymmetric algorithms.,NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST,certification_body
COMMON-CRITERIA,Common Criteria,International security evaluation framework,Government & Defense;Technology,Global,yes,Ongoing — PQC protection profiles emerging,New protection profiles for PQC are being developed. Certification timelines vary by scheme.,CC Recognition Arrangement,EUCC v2.0 ACM,,certification_body
ANSSI,ANSSI,French national cybersecurity agency regulation,Government & Defense;Finance & Banking,France,yes,2025-2030 (phased),French regulation requires hybrid PQC for new systems. Full migration by 2030.,ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper,France:ANSSI,compliance_framework
CNSA-2,CNSA 2.0,NSA mandate for national security systems,Government & Defense,United States,yes,"2025 (software), 2030 (infrastructure)",NSA mandate for U.S. national security systems. Aggressive timeline.,NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum,United States:NSA,compliance_framework
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,Technology;Finance & Banking,European Union,yes,2026 (wallet deployments),"EU Digital Identity framework (Regulation 2024/1183, effective May 2024). Member states have 24 months from entry into force to deploy at least one national wallet — targeting May 2026. PQC readiness expected for wallet implementations.",European Commission,ENISA PQC Guidelines,European Union:EC,compliance_framework
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,Finance & Banking;Retail & E-Commerce,Global,no,No explicit PQC timeline yet,Payment card industry will follow NIST guidance. Monitor for updates.,PCI SSC,,,compliance_framework
HIPAA,HIPAA,US health data privacy and security rule,Healthcare,United States,no,No explicit PQC timeline yet,Healthcare data has long sensitivity periods — HNDL risk is significant.,HHS OCR,,,compliance_framework
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,Telecommunications,Global,yes,2026-2028,Mobile network operator PQC guidance from GSMA. Covers 5G and beyond.,GSMA,GSMA PQ.03 PQC Guidelines,International:GSMA,compliance_framework
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,Telecommunications,European Union,yes,Ongoing,ETSI specification for quantum-safe algorithms in telecom protocols.,ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,standardization_body
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,Finance & Banking,European Union,yes,2025 (effective),Operational resilience requirements for EU financial entities. Crypto risk in scope.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC,compliance_framework
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,Finance & Banking,Global,no,Annual,Annual security attestation required for SWIFT network participants.,SWIFT,,,compliance_framework
ISO-27001,ISO 27001,International information security management standard,Finance & Banking;Technology;Healthcare;Telecommunications;Energy & Utilities,Global,no,Ongoing,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,,,standardization_body
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,Technology;Finance & Banking;Healthcare,United States;Canada,no,Ongoing,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,,,compliance_framework
GDPR,GDPR,EU General Data Protection Regulation,Healthcare;Technology;Finance & Banking;Retail & E-Commerce;Education,European Union,no,Ongoing,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,European Union:EC,compliance_framework
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,Healthcare,United States,no,Ongoing,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,,,compliance_framework
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,Healthcare,United States,no,Ongoing,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,,,compliance_framework
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,Government & Defense,United States,yes,Ongoing (Rev 5 — PQC guidance expected),Cloud service authorization for U.S. federal agencies. Rev 5 (2023) updated baseline controls; explicit PQC requirements are expected in forthcoming guidance.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026,United States:NIST,certification_body
