kat_id,algorithm,local_kat_file,main_site_source,specific_kat_url,source_freshness_date,learning_module_id,use_case_validated,integration_status
KAT-AGENT2AG-001,Generic-PQC,/kat/AISecurityPQC/Agent2AgentProtocol/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,Agent2AgentProtocol Execution,Active
KAT-AGENTAUT-002,Generic-PQC,/kat/AISecurityPQC/AgentAuthDesigner/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,AgentAuthDesigner Execution,Active
KAT-AGENTICC-003,Generic-PQC,/kat/AISecurityPQC/AgenticCommerceSimulator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,AgenticCommerceSimulator Execution,Active
KAT-DATAAUTH-004,ML-DSA,/kat/AISecurityPQC/DataAuthenticityVerifier/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,DataAuthenticityVerifier Execution,Active
KAT-DATAAUTH-005,ML-DSA,/kat/AISecurityPQC/DataAuthenticityVerifier/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,DataAuthenticityVerifier Execution,Active
KAT-DATAPROT-006,ML-DSA,/kat/AISecurityPQC/DataProtectionAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,DataProtectionAnalyzer Execution,Active
KAT-DATAPROT-007,ML-DSA,/kat/AISecurityPQC/DataProtectionAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,DataProtectionAnalyzer Execution,Active
KAT-MODELWEI-008,Generic-PQC,/kat/AISecurityPQC/ModelWeightVault/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,ModelWeightVault Execution,Active
KAT-SCALEENC-009,Generic-PQC,/kat/AISecurityPQC/ScaleEncryptionPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AISecurityPQC,Migration Assessment Analysis,Active
KAT-HYBRIDJW-010,Generic-PQC,/kat/APISecurityJWT/HybridJWT/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,HybridJWT Execution,Active
KAT-JWEENCRY-011,Generic-PQC,/kat/APISecurityJWT/JWEEncryption/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,JWEEncryption Execution,Active
KAT-JWTINSPE-012,Generic-PQC,/kat/APISecurityJWT/JWTInspector/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,JWTInspector Execution,Active
KAT-PQCJWTSI-013,ML-DSA,/kat/APISecurityJWT/PQCJWTSigning/step_1_hash.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,PQCJWTSigning Execution,Active
KAT-PQCJWTSI-014,ML-DSA,/kat/APISecurityJWT/PQCJWTSigning/step_2_sign.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,PQCJWTSigning Execution,Active
KAT-TOKENSIZ-015,ML-DSA,/kat/APISecurityJWT/TokenSizeAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,TokenSizeAnalyzer Execution,Active
KAT-TOKENSIZ-016,ML-DSA,/kat/APISecurityJWT/TokenSizeAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,APISecurityJWT,TokenSizeAnalyzer Execution,Active
KAT-AVIONICS-017,ML-DSA,/kat/AerospacePQC/AvionicsProtocolAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,AvionicsProtocolAnalyzer Execution,Active
KAT-AVIONICS-018,ML-DSA,/kat/AerospacePQC/AvionicsProtocolAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,AvionicsProtocolAnalyzer Execution,Active
KAT-CERTIFIC-019,ML-DSA,/kat/AerospacePQC/CertificationImpactAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,CertificationImpactAnalyzer Execution,Active
KAT-CERTIFIC-020,ML-DSA,/kat/AerospacePQC/CertificationImpactAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,CertificationImpactAnalyzer Execution,Active
KAT-EXPORTCO-021,Generic-PQC,/kat/AerospacePQC/ExportControlClassifier/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,ExportControlClassifier Execution,Active
KAT-FLEETINT-022,Generic-PQC,/kat/AerospacePQC/FleetInteroperabilityMatrix/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,FleetInteroperabilityMatrix Execution,Active
KAT-MISSIONC-023,Generic-PQC,/kat/AerospacePQC/MissionCryptoLifecyclePlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,Migration Assessment Analysis,Active
KAT-SATELLIT-024,Generic-PQC,/kat/AerospacePQC/SatelliteLinkBudgetCalculator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AerospacePQC,SatelliteLinkBudgetCalculator Execution,Active
KAT-CARKEYPR-025,Generic-PQC,/kat/AutomotivePQC/CarKeyProtocolExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,CarKeyProtocolExplorer Execution,Active
KAT-LIFECYCL-026,Generic-PQC,/kat/AutomotivePQC/LifecycleMigrationRoadmap/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,LifecycleMigrationRoadmap Execution,Active
KAT-OTAORCHE-027,Generic-PQC,/kat/AutomotivePQC/OTAOrchestrationPlanner/step_1_algorithm_selection.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,Migration Assessment Analysis,Active
KAT-SAFETYCR-028,ML-DSA,/kat/AutomotivePQC/SafetyCryptoAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,SafetyCryptoAnalyzer Execution,Active
KAT-SAFETYCR-029,ML-DSA,/kat/AutomotivePQC/SafetyCryptoAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,SafetyCryptoAnalyzer Execution,Active
KAT-SENSORDA-030,Generic-PQC,/kat/AutomotivePQC/SensorDataIntegritySimulator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,SensorDataIntegritySimulator Execution,Active
KAT-VEHICLEA-031,Generic-PQC,/kat/AutomotivePQC/VehicleArchitectureMapper/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,AutomotivePQC,VehicleArchitectureMapper Execution,Active
KAT-BINARYSI-032,ML-DSA-65,/kat/CodeSigning/BinarySigning/step_1_ml_dsa_65_keygen.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,BinarySigning Execution,Active
KAT-BINARYSI-033,ML-DSA-65,/kat/CodeSigning/BinarySigning/step_2_sign_artifact.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,BinarySigning Execution,Active
KAT-BINARYSI-034,ML-DSA-65,/kat/CodeSigning/BinarySigning/step_3_verify_artifact.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,BinarySigning Execution,Active
KAT-CERTCHAI-035,ML-KEM/ML-DSA,/kat/CodeSigning/CertChainBuilder/step_1_keygen.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,CertChainBuilder Execution,Active
KAT-CERTCHAI-036,ML-KEM/ML-DSA,/kat/CodeSigning/CertChainBuilder/step_2_compute.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,CertChainBuilder Execution,Active
KAT-PACKAGES-037,ML-DSA-65,/kat/CodeSigning/PackageSigning/step_1_ml_dsa_65_keygen.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,PackageSigning Execution,Active
KAT-PACKAGES-038,ML-DSA-65,/kat/CodeSigning/PackageSigning/step_2_sign_artifact.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,PackageSigning Execution,Active
KAT-PACKAGES-039,ML-DSA-65,/kat/CodeSigning/PackageSigning/step_3_verify_artifact.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,PackageSigning Execution,Active
KAT-SECUREBO-040,Generic-PQC,/kat/CodeSigning/SecureBootChain/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,SecureBootChain Execution,Active
KAT-SIGSTORE-041,Generic-PQC,/kat/CodeSigning/SigstoreFlow/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CodeSigning,SigstoreFlow Execution,Active
KAT-ATTESTAT-042,Generic-PQC,/kat/ConfidentialComputing/AttestationWorkshop/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,ConfidentialComputing,AttestationWorkshop Execution,Active
KAT-ENCRYPTI-043,Generic-PQC,/kat/ConfidentialComputing/EncryptionMechanisms/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,ConfidentialComputing,EncryptionMechanisms Execution,Active
KAT-QUANTUMT-044,Generic-PQC,/kat/ConfidentialComputing/QuantumThreatMigration/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,ConfidentialComputing,QuantumThreatMigration Execution,Active
KAT-TEEARCHI-045,Generic-PQC,/kat/ConfidentialComputing/TEEArchitectureExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,ConfidentialComputing,TEEArchitectureExplorer Execution,Active
KAT-TEEHSMTR-046,Generic-PQC,/kat/ConfidentialComputing/TEEHSMTrustedChannel/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,ConfidentialComputing,TEEHSMTrustedChannel Execution,Active
KAT-ABSTRACT-047,Generic-PQC,/kat/CryptoAgility/AbstractionLayerDemo/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoAgility,AbstractionLayerDemo Execution,Active
KAT-CBOMSCAN-048,Generic-PQC,/kat/CryptoAgility/CBOMScanner/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoAgility,CBOMScanner Execution,Active
KAT-MIGRATIO-049,Generic-PQC,/kat/CryptoAgility/MigrationPlanningExercise/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoAgility,MigrationPlanningExercise Execution,Active
KAT-APIARCHI-050,Generic-PQC,/kat/CryptoDevAPIs/APIArchitectureExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,APIArchitectureExplorer Execution,Active
KAT-BUILDBUY-051,ML-DSA,/kat/CryptoDevAPIs/BuildBuyAnalyzer/step_1_load_asset.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,BuildBuyAnalyzer Execution,Active
KAT-BUILDBUY-052,ML-DSA,/kat/CryptoDevAPIs/BuildBuyAnalyzer/step_2_verify_signature.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,BuildBuyAnalyzer Execution,Active
KAT-CRYPTOAG-053,Generic-PQC,/kat/CryptoDevAPIs/CryptoAgilityPatterns/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,CryptoAgilityPatterns Execution,Active
KAT-LANGUAGE-054,Generic-PQC,/kat/CryptoDevAPIs/LanguageEcosystemComparator/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,LanguageEcosystemComparator Execution,Active
KAT-MIGRATIO-055,Generic-PQC,/kat/CryptoDevAPIs/MigrationDecisionLab/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,MigrationDecisionLab Execution,Active
KAT-PQCLIBRA-056,Generic-PQC,/kat/CryptoDevAPIs/PQCLibraryExplorer/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,PQCLibraryExplorer Execution,Active
KAT-PQCSUPPO-057,Generic-PQC,/kat/CryptoDevAPIs/PQCSupportMatrix/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,PQCSupportMatrix Execution,Active
KAT-PROVIDER-058,Generic-PQC,/kat/CryptoDevAPIs/ProviderPatternWorkshop/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,CryptoDevAPIs,ProviderPatternWorkshop Execution,Active
KAT-ASSETINV-059,ML-KEM/ML-DSA,/kat/DataAssetSensitivity/AssetInventoryBuilder/step_1_keygen.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,AssetInventoryBuilder Execution,Active
KAT-ASSETINV-060,ML-KEM/ML-DSA,/kat/DataAssetSensitivity/AssetInventoryBuilder/step_2_compute.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,AssetInventoryBuilder Execution,Active
KAT-CLASSIFI-061,Generic-PQC,/kat/DataAssetSensitivity/ClassificationChallenge/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,ClassificationChallenge Execution,Active
KAT-PQCMIGRA-062,Generic-PQC,/kat/DataAssetSensitivity/PQCMigrationPriorityMap/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,PQCMigrationPriorityMap Execution,Active
KAT-SENSITIV-063,Generic-PQC,/kat/DataAssetSensitivity/SensitivityConflictResolver/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,SensitivityConflictResolver Execution,Active
KAT-SENSITIV-064,Generic-PQC,/kat/DataAssetSensitivity/SensitivityScoringEngine/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DataAssetSensitivity,SensitivityScoringEngine Execution,Active
KAT-BYOKKEYD-065,Generic-PQC,/kat/DatabaseEncryptionPQC/BYOKKeyDesigner/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DatabaseEncryptionPQC,BYOKKeyDesigner Execution,Active
KAT-DATABASE-066,Generic-PQC,/kat/DatabaseEncryptionPQC/DatabaseMigrationReadiness/step_1_execution.json,NIST CSRC,https://csrc.nist.gov/projects/post-quantum-cryptography,08/2024,DatabaseEncryptionPQC,DatabaseMigrationReadiness Execution,Active
