question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
vendor-risk-learn-001,vendor-risk,Vendor & Supply Chain Risk,What are the six weighted dimensions used in the Vendor PQC Scorecard to assess vendor readiness?,"The Vendor PQC Scorecard evaluates vendors across six dimensions: PQC Algorithm Support (25%), FIPS 140-3 Validation (20%), Published PQC Roadmap (15%), Crypto Agility (15%), SBOM/CBOM Delivery (10%), and Hybrid Mode Support (15%). These weights reflect the relative importance of each factor in determining a vendor's quantum-safe posture. Executives use this scorecard to prioritize vendor engagement based on specific risk areas.",learn,recall,executive;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Vendor PQC Scorecard
vendor-risk-learn-002,vendor-risk,Vendor & Supply Chain Risk,What is the specific weight assigned to FIPS 140-3 Validation in the Vendor PQC Scorecard?,FIPS 140-3 Validation accounts for 20% of the total score in the Vendor PQC Scorecard. This dimension assesses whether a vendor's cryptographic modules are CMVP-certified under the current standard or if they rely on older validations like FIPS 140-2. High scores in this area indicate a stronger compliance posture with current security requirements.,learn,recall,executive;ops,intermediate,USA,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Vendor PQC Scorecard
vendor-risk-learn-003,vendor-risk,Vendor & Supply Chain Risk,Which standard defines the Cryptographic Bill of Materials (CBOM) format mentioned in the module?,"The CycloneDX specification is the standard used for the Cryptographic Bill of Materials (CBOM). A CBOM provides an inventory of all cryptographic algorithms, key sizes, and their usage locations within a vendor's product. This data is essential for organizations to assess quantum vulnerability across their supply chain.",learn,recall,developer;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: CBOM (Cryptographic Bill of Materials); Related Standards
vendor-risk-learn-004,vendor-risk,Vendor & Supply Chain Risk,When did NIST stop accepting new submissions for FIPS 140-2 validation?,"NIST stopped accepting new FIPS 140-2 validation submissions in September 2021. Consequently, any vendor claiming compliance under the prior standard without a path to FIPS 140-3 is considered to have a lower readiness tier. This date marks the transition point where FIPS 140-3 became the only path for new CMVP certifications.",learn,recall,executive;compliance,intermediate,USA,General,,,,,,,NIST,/learn/vendor-risk,compliance_ref:NIST EXISTS,Key Concepts: FIPS Validation Tiers
vendor-risk-learn-005,vendor-risk,Vendor & Supply Chain Risk,What are the five categories of contract clauses recommended for quantum-safe procurement?,"The module recommends five categories of contract clauses: PQC timeline requirements, FIPS validation mandates, CBOM delivery obligations, crypto change notification, and audit rights. These clauses provide legal protection and ensure vendors adhere to specific cryptographic transition schedules. They are generated using the Contract Clause Generator tool in the workshop.",learn,recall,executive;legal,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Contract Clauses
vendor-risk-learn-006,vendor-risk,Vendor & Supply Chain Risk,How does the Supply Chain Risk Matrix visualize vendor readiness across infrastructure layers?,"The Supply Chain Risk Matrix visualizes readiness using a heatmap with four columns per layer: PQC-ready products, FIPS-validated products, hybrid-capable products, and total products. Each cell displays count ratios with percentage-based color coding to indicate the level of risk or readiness. This allows executives to quickly identify infrastructure layers with high exposure to quantum threats.",learn,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Supply Chain Risk Matrix
vendor-risk-learn-007,vendor-risk,Vendor & Supply Chain Risk,Why is the CBOM considered essential for assessing quantum vulnerability compared to a standard SBOM?,"While an SBOM lists software components and dependencies, a CBOM specifically inventories cryptographic algorithms, key sizes, and their usage locations. This granular cryptographic data is necessary to identify which specific parts of a vendor's product are vulnerable to quantum attacks. Therefore, the CBOM complements the SBOM by focusing on the cryptographic surface area.",learn,comprehension,developer;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: CBOM (Cryptographic Bill of Materials); SBOM (Software Bill of Materials)
vendor-risk-learn-008,vendor-risk,Vendor & Supply Chain Risk,What is the significance of a vendor having 'FIPS Mode / Self-Claim' status in the validation tiers?,"A 'FIPS Mode / Self-Claim' status indicates that the vendor asserts compliance without independent CMVP certification. This represents the lowest tier of assurance in the four-tier assessment, as it lacks third-party verification. Organizations must treat these claims with higher scrutiny compared to FIPS 140-3 Validated or Submitted products.",learn,comprehension,executive;ops,intermediate,USA,General,,,,,,,,/learn/vendor-risk,,Key Concepts: FIPS Validation Tiers
vendor-risk-workshop-009,vendor-risk,Vendor & Supply Chain Risk,How does the Vendor Scorecard Builder utilize live data from the migration catalog?,The Vendor Scorecard Builder integrates live data from the app's migration catalog to automatically score the FIPS validation status dimension. This automation reduces manual effort and ensures the assessment reflects the most current certification data available. Users can then focus on manually scoring other dimensions like roadmap publication or crypto agility.,workshop,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Overview; Workshop / Interactive Activities
vendor-risk-learn-010,vendor-risk,Vendor & Supply Chain Risk,Why is 'Hybrid Mode Support' included as a weighted dimension in the PQC Scorecard?,Hybrid Mode Support is weighted at 15% because it allows systems to use both classical and post-quantum algorithms simultaneously during the transition period. This approach mitigates risk by ensuring security even if one algorithm class is compromised before the other is fully validated. It is a critical factor for maintaining resilience while migrating to PQC standards.,learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Vendor PQC Scorecard
vendor-risk-both-011,vendor-risk,Vendor & Supply Chain Risk,"In a scenario where a vendor has FIPS 140-3 validation but no published PQC roadmap, how should the scorecard reflect this risk?","The scorecard would assign a high score for the FIPS 140-3 Validation dimension (20%) but a low or zero score for the Published PQC Roadmap dimension (15%). This discrepancy highlights a vendor that is currently compliant but lacks a clear plan for future quantum threats. The overall readiness score will be lower than a vendor with both validation and a roadmap, signaling a need for contract negotiation.",both,application,executive;architect,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Key Concepts: Vendor PQC Scorecard; Scenario: Critical Vendor Without PQC Roadmap
vendor-risk-workshop-012,vendor-risk,Vendor & Supply Chain Risk,How would you use the Contract Clause Generator to address a vendor that only supports classical algorithms?,"You would use the Contract Clause Generator to draft specific 'PQC Timeline Requirements' and 'FIPS Validation Mandates' requiring the vendor to support PQC algorithms by a set date, such as 2027. The tool allows customization of these parameters to create legal-style articles that enforce future readiness. This ensures the procurement agreement legally binds the vendor to transition their product.",workshop,application,executive;legal,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Workshop / Interactive Activities: Contract Clause Generator; Scenario: Critical Vendor Without PQC Roadmap
vendor-risk-workshop-013,vendor-risk,Vendor & Supply Chain Risk,"If an audit reveals that 60% of products lack CBOM delivery, how should the Supply Chain Risk Matrix be used to prioritize remediation?","The Supply Chain Risk Matrix should be used to visualize this exposure by layer, identifying which infrastructure layers have the highest concentration of products without CBOMs. By analyzing the percentage-coded cells, you can pinpoint the three highest-risk layers where cryptographic visibility is lowest. This data drives a prioritized vendor engagement plan to demand CBOM delivery in those specific areas first.",workshop,application,executive;ops,intermediate,Global,General,,,,,,,,/learn/vendor-risk,,Workshop / Interactive Activities: Supply Chain Risk Matrix; Scenario: Supply Chain Crypto Dependency Mapping
