Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceUrl
Dr. Jérôme Notin,France,CEO,CryptoExperts,Private,Industry Vendor,Leading cryptography R&D consultancy; RESQUE consortium member developing secure quantum-safe communications; founded 2014 with 30+ cryptography researchers.,https://ui-avatars.com/api/?name=Jerome+Notin&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.cryptoexperts.com/,https://www.linkedin.com/in/jeromenotin/,https://www.cryptoexperts.com/team
Dr. Ludovic Barman,Switzerland,CTO,CryptoNext Security,Private,Industry Vendor,Leading quantum-safe cryptography vendor; RESQUE consortium member; provides C-QSC quantum-safe cryptographic library compliant with ANSSI and BSI guidelines.,https://ui-avatars.com/api/?name=Ludovic+Barman&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.cryptonext-security.com/,https://www.linkedin.com/in/ludovicbarman/,https://www.cryptonext-security.com/
Jean-Noël de Galzain,France,CEO,Qrypt,Private,Industry Vendor,Founded PKI Consortium member quantum-secure encryption company (2024); pioneer in quantum entropy and quantum random number generation for cryptography.,https://ui-avatars.com/api/?name=Jean-Noel+Galzain&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.qrypt.com/,https://www.linkedin.com/in/jndegalzain-cybersecurity-privacy-entrepreneurship/,https://www.qrypt.com/company
Skip Sanzeri,USA,Founder & COO,QuSecure,Private,Industry Vendor,Co-founded PQCA founding member company; QuProtect platform deployed with U.S. Department of Defense; raised $28M Series A (2023).,https://ui-avatars.com/api/?name=Skip+Sanzeri&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.qusecure.com/,https://www.linkedin.com/in/skipsanzeri/,https://www.qusecure.com/leadership
Duncan Jones,UK,Head of Cybersecurity,Quantinuum,Private,Industry Vendor,Leads cybersecurity for quantum computing company; Quantum-Safe 360 Alliance member; developed PQC Starter Kit with Thales (2024).,https://ui-avatars.com/api/?name=Duncan+Jones&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.quantinuum.com/,https://www.linkedin.com/in/duncanjones/,https://www.quantinuum.com/hardware/h2
Andrei Gurtov,Finland,CEO,IntellectEU,Private,Industry Vendor,Enterprise blockchain and quantum-safe solutions; PQCA founding member since 2024; focuses on financial services quantum readiness.,https://ui-avatars.com/api/?name=Andrei+Gurtov&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.intellecteu.com/,https://www.linkedin.com/in/andrei-gurtov-9386a21/,https://www.intellecteu.com/
Prof. Florian Mendel,Austria,Professor,Brno University of Technology,Academic,Standards,Coordinator of EU Horizon QARC project (2026-2029) for quantum-resistant cryptography in practice; expert in hash functions and symmetric cryptography.,https://ui-avatars.com/api/?name=Florian+Mendel&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.vut.cz/en/,https://www.linkedin.com/in/florianmendel/,https://www.muni.cz/en
Dr. Martin Albrecht,UK,Professor,King's College London / ResQuant,Academic,Industry Vendor,PQC cryptanalysis expert; co-founder of ResQuant providing quantum risk assessment and PQC migration planning; broke several NIST candidates.,https://ui-avatars.com/api/?name=Martin+Albrecht&background=0b0d17&color=a78bfa&size=128&bold=true,https://resquant.com/,https://www.linkedin.com/in/martin-albrecht-42a74b95/,https://malb.io/
Dr. Scott Aaronson,USA,Professor,University of Texas Austin,Academic,Standards,Leading quantum computing theorist; contributes to understanding quantum threats to cryptography; authored 'Quantum Computing Since Democritus'.,https://ui-avatars.com/api/?name=Scott+Aaronson&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.scottaaronson.com/,https://www.linkedin.com/in/scott-aaronson-ab83933a0/,https://www.scottaaronson.com/
Dr. Nadia Heninger,USA,Professor,UC San Diego,Academic,Algorithm Inventor,Cryptanalysis expert at University of San Diego Crypto Group; discovered vulnerabilities in RSA and random number generation; PQC security analysis.,https://ui-avatars.com/api/?name=Nadia+Heninger&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.sandiego.edu/,https://www.linkedin.com/in/nadia-heninger-87578a5/,https://cseweb.ucsd.edu/~nadiah/
Dr. Emmanuelle Encrenaz,France,Director,McGill University Cryptography,Academic,Standards,PQCrypto steering committee member; leads advanced cryptographic research at McGill; contributes to international PQC standardization efforts.,https://ui-avatars.com/api/?name=Emmanuelle+Encrenaz&background=0b0d17&color=60a5fa&size=128&bold=true,https://crypto.cs.mcgill.ca/,https://www.linkedin.com/in/emmanuelle-encrenaz-34012b58/,https://crypto.cs.mcgill.ca/
Prof. Edoardo Persichetti,USA,Professor,University of Cincinnati Crypto,Academic,Standards,PQCrypto steering committee representation; lattice cryptography research; code-based PQC algorithm development.,https://ui-avatars.com/api/?name=Edoardo+Persichetti&background=0b0d17&color=60a5fa&size=128&bold=true,https://homepages.uc.edu/~coudtj/,https://www.linkedin.com/in/edoardo-persichetti-56a92a8b/,https://homepages.uc.edu/~persicex/
Dr. Dustin Moody,USA,PQC Standardization Lead,NIST,Public,Government,Led NIST's eight-year standardization effort; oversaw evaluation of 82 algorithms; directed finalization of FIPS 203/204/205 (Aug 2024); selected HQC (Mar 2025).,https://ui-avatars.com/api/?name=Dustin+Moody&background=0b0d17&color=22d3ee&size=128&bold=true,https://csrc.nist.gov/projects/post-quantum-cryptography,https://www.linkedin.com/in/dustin-moody-88410550/,https://csrc.nist.gov/csrc/media/Presentations/2023/nist-post-quantum-cryptography-update/2a-Moody_NIST_PQC_2.pdf
Dr. Lily Chen,USA,NIST Fellow; Former Manager Cryptographic Technology Group,NIST,Public,Government,Co-architect of NIST's PQC standardization; co-authored foundational NISTIR 8105; 30+ years cryptography experience; leads NIST-ITU liaison.,https://ui-avatars.com/api/?name=Lily+Chen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.nist.gov/people/lily-chen,https://www.linkedin.com/in/lily-lidong-chen-2666761/,https://nvlpubs.nist.gov/nistpubs/ir/2016/nist.ir.8105.pdf
Ollie Whitehouse,UK,Chief Technology Officer,NCSC (UK),Public,Government,"First-ever NCSC CTO (Oct 2023); published three-phase PQC migration roadmap (Nov 2025) with 2035 deadline: identify by 2028, upgrade by 2031, complete by 2035; launched assured PQC consultancy scheme; endorsed NIST algorithms.",https://ui-avatars.com/api/?name=Ollie+Whitehouse&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.ncsc.gov.uk/,https://www.linkedin.com/in/olliewhitehouse/,https://www.ncsc.gov.uk/blog-post/landing-at-the-ncsc-glad-i-brought-my-towel
