question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
platform-eng-pqc-workshop-001,platform-eng-pqc,Platform Engineering & PQC,What are the six specific stages of a CI/CD pipeline identified for cryptographic inventory in the Platform Engineering & PQC module?,"The six stages are Source Control, CI/CD Build, Artifact Signing, Container Registry, Kubernetes Deploy, and Runtime & Service Mesh. These stages encompass 16 distinct crypto assets that require inventorying for HNDL exposure.",workshop,recall,ops;developer;architect,intermediate;advanced,Global,General,,,,,,Kubernetes,,/migrate?q=Kubernetes;/learn/platform-eng-pqc,migrate_ref:Kubernetes EXISTS,Workshop Step 1: Pipeline Crypto Inventory
platform-eng-pqc-workshop-002,platform-eng-pqc,Platform Engineering & PQC,Which specific PQC algorithm is recommended for migrating Vault mTLS in the pipeline crypto inventory?,The module recommends migrating Vault mTLS to ML-KEM-768 X-Wing. This replacement addresses the high HNDL exposure rating associated with current TLS key exchanges.,workshop,recall,ops;architect,advanced,Global,General,,,,,ML-KEM-768,,,/algorithms?highlight=ML-KEM-768;/learn/platform-eng-pqc,algorithm:ML-KEM-768 IN algorithms_csv,Workshop Step 1: Pipeline Crypto Inventory
platform-eng-pqc-workshop-003,platform-eng-pqc,Platform Engineering & PQC,What is the signature size of an ML-DSA-65 signature compared to an ECDSA P-256 signature?,"An ML-DSA-65 signature is 3,309 bytes, whereas an ECDSA P-256 signature is only 64 bytes. This represents a 52-fold increase in size.",workshop,recall,developer;ops,intermediate;advanced,Global,General,,,,,ECDSA P-256;ML-DSA-65,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=ML-DSA-65;/learn/platform-eng-pqc,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:ML-DSA-65 IN algorithms_csv,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-004,platform-eng-pqc,Platform Engineering & PQC,Which container signing tool is identified as the best candidate for ML-DSA support and what is its current status?,Notation with the AWS Crypto Tools plugin is identified as the leading candidate for ML-DSA support; however its ML-DSA support is planned (not yet released). Cosign ML-DSA support is also on a 2026 roadmap via the OCI Signature Spec PQC profile. GPG/PQC support is pending OpenPGP draft finalization. No container signing tool has production-ready ML-DSA support today.,workshop,recall,developer;ops,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-005,platform-eng-pqc,Platform Engineering & PQC,What is the projected timeline for Let's Encrypt to support PQC ACME in production?,"Let's Encrypt is projected to move from staging in 2026 to production support for PQC ACME in 2027. Until then, internal CAs like Vault PKI or EJBCA are required for ML-DSA certificates.",workshop,recall,ops;architect,intermediate;advanced,Global,General,,,,,,EJBCA;Let's Encrypt,,/migrate?q=EJBCA;/migrate?q=Let%27s%20Encrypt;/learn/platform-eng-pqc,migrate_ref:EJBCA EXISTS|migrate_ref:Let's Encrypt EXISTS,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-006,platform-eng-pqc,Platform Engineering & PQC,Which algorithms are explicitly blocked by the Policy-as-Code Enforcer rules in Kubernetes admission control?,"The policy rules block RSA, ECDSA, and Ed25519. These quantum-vulnerable algorithm identifiers are prevented at admission time to enforce PQC standards.",workshop,recall,developer;architect;ops,advanced,Global,General,,,,,Ed25519,Kubernetes,,/algorithms?highlight=Ed25519;/migrate?q=Kubernetes;/learn/platform-eng-pqc,algorithm:Ed25519 IN algorithms_csv|migrate_ref:Kubernetes EXISTS,Workshop Step 4: Policy-as-Code Enforcer
platform-eng-pqc-workshop-007,platform-eng-pqc,Platform Engineering & PQC,What is the first critical phase in the six-phase platform migration runway?,"Phase 1, which involves migrating the Root CA to ML-DSA-65, is marked as CRITICAL and takes approximately 4 weeks. This follows Phase 0, which is a 2-week inventory.",workshop,recall,architect;ops,advanced,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/platform-eng-pqc,algorithm:ML-DSA-65 IN algorithms_csv,Workshop Step 6: Platform Migration Planner
platform-eng-pqc-learn-008,platform-eng-pqc,Platform Engineering & PQC,Why does the module state that short-lived certificates do not eliminate Harvest-Now-Decrypt-Later (HNDL) risk?,"HNDL exposure begins at the time of data capture, not when a Cryptographically Relevant Quantum Computer (CRQC) arrives. Therefore, even short-lived certificates are vulnerable if the encrypted data is harvested today and stored for future decryption.",learn,comprehension,architect;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 2: Quantum Threat Timeline
platform-eng-pqc-workshop-009,platform-eng-pqc,Platform Engineering & PQC,"How does the signature size of SLH-DSA-128f compare to ECDSA P-256, and why is it preferred for SBOMs?","SLH-DSA-128f signatures are 17,088 bytes, which is 67 times larger than ECDSA P-256. It is preferred for SBOMs because it is stateless and offers a long signature lifetime with over 20 years of validity.",workshop,comprehension,developer;architect,advanced,Global,General,,,,,ECDSA P-256,,,/algorithms?highlight=ECDSA%20P-256;/learn/platform-eng-pqc,algorithm:ECDSA P-256 IN algorithms_csv,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-010,platform-eng-pqc,Platform Engineering & PQC,What is the relationship between SLSA Level 4 and the required PQC algorithms for provenance?,"SLSA Level 4 requires the use of ML-DSA-87 or SLH-DSA-256 for provenance. This is a stricter requirement than Level 3, which only mandates ML-DSA or SLH-DSA.",workshop,comprehension,architect;developer,advanced,Global,General,,,,,ML-DSA-87,,,/algorithms?highlight=ML-DSA-87;/learn/platform-eng-pqc,algorithm:ML-DSA-87 IN algorithms_csv,Workshop Step 4: Policy-as-Code Enforcer
platform-eng-pqc-workshop-011,platform-eng-pqc,Platform Engineering & PQC,Why is Docker Content Trust considered a high priority for immediate migration despite having no PQC roadmap?,"Docker Content Trust relies on Notary v1, which is in maintenance mode and has no planned PQC support. Immediate migration is necessary to avoid being locked into a quantum-vulnerable system with no upgrade path.",workshop,comprehension,ops;developer,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-012,platform-eng-pqc,Platform Engineering & PQC,How does the capacity planning data illustrate the impact of PQC on TLS handshake sizes?,"The module indicates that a TLS handshake increases from 4KB to 18KB when migrating to PQC, representing a 4.5x increase. This significant growth impacts network latency and bandwidth requirements.",workshop,comprehension,ops;architect,intermediate;advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-013,platform-eng-pqc,Platform Engineering & PQC,What is the significance of the 'Audit mode first' strategy in the Policy-as-Code Enforcer deployment?,Deploying in Audit mode first allows teams to establish a 2-week baseline of policy violations without blocking deployments. This ensures that the transition to Enforce mode does not cause immediate service disruptions.,workshop,comprehension,ops;architect,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 4: Policy-as-Code Enforcer
platform-eng-pqc-workshop-014,platform-eng-pqc,Platform Engineering & PQC,Why is the X-Wing TLS KEX migration (Phase 2) marked as CRITICAL in the migration runway?,The X-Wing TLS KEX migration is critical because it addresses the most immediate HNDL risk for data in transit. It must be completed early to protect against current harvesting of encrypted traffic.,workshop,comprehension,architect;ops,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 6: Platform Migration Planner
platform-eng-pqc-workshop-015,platform-eng-pqc,Platform Engineering & PQC,"How does the etcd storage requirement change when scaling to 1,000 certificates with PQC?","With PQC, etcd storage grows from 3MB to 14MB per 1,000 certificates. This nearly five-fold increase necessitates careful capacity planning for Kubernetes control plane storage.",workshop,comprehension,ops;architect,advanced,Global,General,,,,,,Kubernetes,,/migrate?q=Kubernetes;/learn/platform-eng-pqc,migrate_ref:Kubernetes EXISTS,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-016,platform-eng-pqc,Platform Engineering & PQC,"If a developer is using cosign for container signing, what is the estimated timeline for PQC readiness?",Cosign has a roadmap for PQC readiness extending to 2026. Developers relying on it must plan their migration strategies around this future date or consider alternatives like Notation.,workshop,application,developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-017,platform-eng-pqc,Platform Engineering & PQC,A team needs to sign Helm Charts with high security requirements. Which PQC algorithm should they select based on the module?,The team should select ML-DSA-87 for Helm Chart signing. The module specifically maps this algorithm to Helm Chart Signing in the pipeline inventory.,workshop,application,developer;architect,advanced,Global,General,,,,,ML-DSA-87,,,/algorithms?highlight=ML-DSA-87;/learn/platform-eng-pqc,algorithm:ML-DSA-87 IN algorithms_csv,Workshop Step 1: Pipeline Crypto Inventory
platform-eng-pqc-workshop-018,platform-eng-pqc,Platform Engineering & PQC,How should an architect configure a Kyverno policy to enforce SLSA Level 3 compliance for artifact provenance?,The architect must write a Kyverno ClusterPolicy that requires ML-DSA or SLH-DSA algorithms for provenance signatures. This aligns with the SLSA Level 3 mapping defined in the module.,workshop,application,architect;developer,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 4: Policy-as-Code Enforcer
platform-eng-pqc-workshop-019,platform-eng-pqc,Platform Engineering & PQC,An operations team observes a TLS handshake size of 18KB. What does this indicate about their PQC migration status?,"A 18KB handshake size indicates that the system has successfully migrated to PQC, as this is the expected size compared to the legacy 4KB. It confirms the deployment of larger PQC certificates.",workshop,application,ops;architect,intermediate;advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-020,platform-eng-pqc,Platform Engineering & PQC,"If a company's data has a 12-year exposure window, how does the CRQC arrival timeline affect their HNDL risk?",Assets with an exposure window of 10+ years remain HNDL-exposed regardless of the CRQC arrival timeline (2030-2040). The risk exists because the data can be harvested now and decrypted later.,workshop,application,architect;researcher,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 2: Quantum Threat Timeline
platform-eng-pqc-workshop-021,platform-eng-pqc,Platform Engineering & PQC,What specific Prometheus exporters should be deployed to monitor the crypto posture of a Kubernetes cluster?,"The team should deploy four exporters: cert-manager, Vault audit log, Istio/Envoy, and x509-certificate-exporter. These provide the necessary metrics for monitoring certificate lifecycles and usage.",workshop,application,ops;developer,advanced,Global,General,,,,,,Kubernetes,,/migrate?q=Kubernetes;/learn/platform-eng-pqc,migrate_ref:Kubernetes EXISTS,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-022,platform-eng-pqc,Platform Engineering & PQC,A developer needs to generate ML-DSA keys for internal services before Let's Encrypt supports PQC. What is the recommended approach?,"The developer should use internal Certificate Authorities such as Vault PKI or EJBCA. These tools support ML-DSA key generation, whereas public ACME providers like Let's Encrypt do not until 2027.",workshop,application,developer;ops,advanced,Global,General,,,,,,EJBCA;Let's Encrypt,,/migrate?q=EJBCA;/migrate?q=Let%27s%20Encrypt;/learn/platform-eng-pqc,migrate_ref:EJBCA EXISTS|migrate_ref:Let's Encrypt EXISTS,Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-023,platform-eng-pqc,Platform Engineering & PQC,How should a team handle the migration of Service Mesh mTLS to ensure quantum resistance?,The team should migrate Service Mesh mTLS to a hybrid configuration using ML-DSA-44 and ML-KEM-512. This combination provides both signature and key exchange protection against quantum threats.,workshop,application,architect;ops,advanced,Global,General,,,,,ML-DSA-44;ML-KEM-512,,,/algorithms?highlight=ML-DSA-44;/algorithms?highlight=ML-KEM-512;/learn/platform-eng-pqc,algorithm:ML-DSA-44 IN algorithms_csv|algorithm:ML-KEM-512 IN algorithms_csv,Workshop Step 1: Pipeline Crypto Inventory
platform-eng-pqc-workshop-024,platform-eng-pqc,Platform Engineering & PQC,"If a rollback is required during Phase 3 (Artifact Signing), what specific dependency must be verified before proceeding?","Before rolling back, the team must verify that the Root CA migration (Phase 1) and X-Wing TLS KEX (Phase 2) are stable. The dependency graph ensures foundational crypto assets are secure before reverting artifact signing changes.",workshop,synthesis,architect;ops,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 6: Platform Migration Planner
platform-eng-pqc-workshop-025,platform-eng-pqc,Platform Engineering & PQC,How does the choice between ML-DSA-44 and ML-DSA-87 impact the trade-off between security level and storage overhead in a CI/CD pipeline?,"ML-DSA-87 offers NIST security level 5 suitable for SLSA Level 4 supply chain requirements, but incurs a ~72× signature size increase vs ECDSA P-256 (64 bytes → 4,627 bytes). ML-DSA-44 at security level 2 is ~38× larger (64 bytes → 2,420 bytes). Teams must weigh supply chain assurance requirements against artifact registry storage and signature verification overhead when choosing between the two.",workshop,synthesis,architect;developer,advanced,Global,General,,,,,ML-DSA-44;ML-DSA-87,,,/algorithms?highlight=ML-DSA-44;/algorithms?highlight=ML-DSA-87;/learn/platform-eng-pqc,algorithm:ML-DSA-44 IN algorithms_csv|algorithm:ML-DSA-87 IN algorithms_csv,Workshop Step 3: Container Signing Migration; Workshop Step 4: Policy-as-Code Enforcer
platform-eng-pqc-workshop-026,platform-eng-pqc,Platform Engineering & PQC,Synthesize a strategy for an organization that must maintain SLSA Level 4 compliance while minimizing etcd storage growth.,"The organization should prioritize ML-DSA-87 only for critical provenance artifacts requiring Level 4, while using SLH-DSA-256 where stateless long-term validity is needed. They must also implement aggressive certificate lifecycle management to mitigate the 14MB etcd growth per 1000 certs.",workshop,synthesis,architect;ops,advanced,Global,General,,,,,ML-DSA-87,,,/algorithms?highlight=ML-DSA-87;/learn/platform-eng-pqc,algorithm:ML-DSA-87 IN algorithms_csv,Workshop Step 4: Policy-as-Code Enforcer; Workshop Step 5: Crypto Posture Monitor
platform-eng-pqc-workshop-027,platform-eng-pqc,Platform Engineering & PQC,How does the HNDL threat model influence the prioritization of migrating Source Control vs. Runtime Service Mesh in the migration runway?,"Source Control and CI Identity (Phase 4) are prioritized after Root CA and TLS KEX because they protect the integrity of the build pipeline, which is a high-value target for long-term harvesting. Runtime Service Mesh is addressed earlier to secure data in transit immediately.",workshop,synthesis,architect;researcher,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 2: Quantum Threat Timeline; Workshop Step 6: Platform Migration Planner
platform-eng-pqc-workshop-028,platform-eng-pqc,Platform Engineering & PQC,Evaluate the feasibility of using Notation for a global enterprise with strict latency requirements given the signature size increase.,"While Notation is the best current option for ML-DSA, the 52x signature size increase (3,309B) may introduce latency in artifact verification. Enterprises must weigh this against the immediate security risk of ECDSA and potentially optimize network paths or caching strategies.",workshop,synthesis,architect;ops,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 3: Container Signing Migration
platform-eng-pqc-workshop-029,platform-eng-pqc,Platform Engineering & PQC,Design a monitoring dashboard query that correlates TLS handshake size anomalies with potential PQC migration failures.,"The dashboard should use Prometheus metrics from the x509-certificate-exporter to flag handshakes deviating from the expected 18KB range. A drop back to 4KB would indicate a fallback to legacy ECDSA, signaling a migration failure or rollback event.",workshop,synthesis,ops;developer,advanced,Global,General,,,,,,,,/learn/platform-eng-pqc,,Workshop Step 5: Crypto Posture Monitor
