question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
migration-program-learn-001,migration-program,Migration Program Mgmt,What are the seven phases of the NIST IR 8547 migration framework recommended for PQC transition?,"The NIST IR 8547 framework outlines a seven-phase approach consisting of Discovery, Inventory, Prioritization, Planning, Pilot, Migration, and Validation. This phased methodology is designed to guide organizations through the complex process of transitioning to post-quantum cryptography standards systematically.",learn,recall,executive;architect,beginner;intermediate,Global,General,NIST IR 8547,,,,,,NIST,/library?ref=NIST%20IR%208547;/learn/migration-program,library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - NIST 7-Phase Migration Framework
migration-program-learn-002,migration-program,Migration Program Mgmt,Which specific standards and initiatives are cited as related to the Migration Program Management module?,"The module aligns with NIST IR 8547 for transition standards, NSA CNSA 2.0 for commercial national security algorithms, PMI PMBOK for project management principles, and the CISA Post-Quantum Cryptography Initiative.",learn,recall,executive;compliance officer,beginner,USA;Global,General,NIST IR 8547;NSA CNSA 2.0,,,,,,NIST;NSA,/library?ref=NIST%20IR%208547;/library?ref=NSA%20CNSA%202.0;/learn/migration-program,library_ref:NIST IR 8547 EXISTS|library_ref:NSA CNSA 2.0 EXISTS|compliance_ref:NIST EXISTS|compliance_ref:NSA EXISTS,RAG Summary: Related Standards
migration-program-learn-003,migration-program,Migration Program Mgmt,What are the six weighted dimensions used in the KPI Tracker for measuring migration progress?,"The KPI Tracker measures progress across six dimensions: systems inventoried (15%), algorithms migrated (25%), vendors assessed (15%), compliance gaps closed (20%), budget vs. allocated (15%), and risk trend (10%).",learn,recall,executive;ops,intermediate,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Key Concepts - KPI Tracking
migration-program-learn-004,migration-program,Migration Program Mgmt,How does the Migration Roadmap tool assist executives in aligning internal milestones with external requirements?,"The Migration Roadmap functions as a Gantt-style timeline that overlays organizational milestones against external compliance deadlines from bodies like CNSA 2.0, NIST, and EU/ANSSI. This visualization enables a gap analysis between planned internal activities and mandatory regulatory requirements.",learn,comprehension,executive;architect,intermediate,USA;EU;Global,General,,,,,,,ANSSI;NIST,/learn/migration-program,compliance_ref:ANSSI EXISTS|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - Migration Roadmap
migration-program-learn-005,migration-program,Migration Program Mgmt,Why is PQC migration classified as a program rather than a single project?,"PQC migration is defined as a multi-year program because it encompasses multiple distinct projects across various infrastructure layers, rather than being a single initiative with a fixed timeline. This distinction requires executive sponsorship and cross-functional team formation to manage the complexity.",learn,comprehension,executive;project manager,intermediate,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Key Concepts - Program vs. Project
migration-program-learn-006,migration-program,Migration Program Mgmt,How does the Stakeholder Communications Planner address the diverse needs of different organizational groups?,"The planner utilizes a structured framework that maps stakeholders and creates audience-specific messaging for groups such as the board, technical leadership, development teams, and external partners. It also defines reporting cadence and escalation criteria to ensure consistent communication across these varied audiences.",learn,comprehension,executive;communications lead,intermediate,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Key Concepts - Stakeholder Communication
migration-program-workshop-007,migration-program,Migration Program Mgmt,"In the Financial Institution scenario, how should a CISO utilize the Roadmap Builder to address CNSA 2.0 compliance by 2030?",The CISO should use the Roadmap Builder to create a phased 3-year timeline that overlays internal milestones for crypto inventory and TLS pilots against the external CNSA 2.0 deadline of 2030. This approach ensures that the migration of 500+ applications using RSA-2048 is paced correctly to meet regulatory requirements.,workshop,application,executive;architect,intermediate;advanced,USA,Financial Services,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/migration-program,algorithm:RSA-2048 IN algorithms_csv,Module Content: Scenario - Financial Institution Migration
migration-program-workshop-008,migration-program,Migration Program Mgmt,How would you apply the Stakeholder Comms Planner to address concerns in a Healthcare Provider PQC Rollout involving HIPAA compliance?,"The planner should be used to design specific messages for clinical staff regarding patient data accessibility, IT teams on encryption migration, and compliance officers on maintaining HIPAA standards. It also facilitates communication with third-party EHR vendors to ensure their systems support the new PQC algorithms without disrupting care.",workshop,application,executive;compliance officer,intermediate,USA,Healthcare,,,,,,,HIPAA,/learn/migration-program,compliance_ref:HIPAA EXISTS,Module Content: Scenario - Healthcare Provider PQC Rollout
migration-program-workshop-009,migration-program,Migration Program Mgmt,"For a Government Agency Mandate, how should the KPI Tracker be configured to satisfy OMB reporting requirements?","The KPI Tracker should be configured to aggregate data from 200 systems across 15 departments into a dashboard that tracks progress at both the departmental and agency levels. It must include defined escalation criteria to flag departments falling behind schedule, ensuring timely quarterly reports to the OMB.",workshop,application,executive;ops,intermediate;advanced,USA,Government,,,,,,,,/learn/migration-program,,Module Content: Scenario - Government Agency Mandate
migration-program-both-010,migration-program,Migration Program Mgmt,How does the integration of live data from the country deadline database enhance the accuracy of the Migration Roadmap?,"By integrating live timeline data, the Roadmap Builder ensures that organizational milestones are dynamically aligned with the most current regulatory deadlines from various countries and standards bodies. This real-time alignment prevents planning errors caused by outdated compliance dates.",both,synthesis,executive;architect,advanced,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Overview; Workshop Steps - Roadmap Builder
migration-program-workshop-011,migration-program,Migration Program Mgmt,How do the 'Vendors Assessed' and 'Risk Trend' KPIs leverage live application data to provide real-time insights?,"These two KPI dimensions are auto-scored directly from the Migrate catalog and assessment data within the application, rather than relying on manual entry. This integration ensures that vendor readiness and risk trends reflect the actual current state of the organization's cryptographic assets.",workshop,synthesis,ops;architect,advanced,Global,General,,,,,,,,/learn/migration-program,,Module Content: KPITrackerTemplate.tsx - Live Data Integration
migration-program-learn-012,migration-program,Migration Program Mgmt,How does the distinction between a 'Program' and a 'Project' influence the formation of the cross-functional team required for PQC migration?,"Recognizing PQC migration as a multi-year program necessitates a cross-functional team structure that spans multiple infrastructure layers, rather than a single project team with a fixed scope. This approach ensures that executive sponsorship and gate reviews are maintained throughout the long-term transition.",learn,synthesis,executive;project manager,advanced,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Key Concepts - Program vs. Project; Critical Success Factors
migration-program-both-013,migration-program,Migration Program Mgmt,How can the NIST 7-Phase Framework be mapped to the specific interactive steps of the Workshop module?,"The Discovery and Inventory phases align with the Roadmap Builder's initial crypto inventory milestone, while Planning and Pilot correspond to the Stakeholder Comms and TLS pilot planning. The Migration and Validation phases are tracked via the KPI Tracker, which monitors algorithm migration and compliance gap closure.",both,synthesis,architect;executive,advanced,Global,General,,,,,,,NIST,/learn/migration-program,compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - NIST 7-Phase Migration Framework; Workshop Steps
migration-program-learn-014,migration-program,Migration Program Mgmt,How does the weighted scoring of KPIs reflect the strategic priorities of a PQC migration program?,"The weighting system prioritizes 'Algorithms Migrated' at 25% and 'Compliance Gaps Closed' at 20%, reflecting that technical execution and regulatory adherence are the primary drivers of success. Lower weights for budget and inventory indicate these are supporting metrics rather than the core value deliverables.",learn,synthesis,executive;ops,advanced,Global,General,,,,,,,,/learn/migration-program,,RAG Summary: Key Concepts - KPI Tracking
