category,id,label,description,industries,hndl_relevance,migration_priority,retention_years,compliance_deadline,compliance_notes,countries
use_case,TLS,TLS/HTTPS,Securing web and API traffic with TLS,"Telecommunications;Technology;Finance & Banking;Retail & E-Commerce;Education;Healthcare",6,10,,,,,
use_case,DATA-REST,Data-at-rest encryption,Encrypting stored data and files,"Healthcare;Finance & Banking;Government & Defense;Education;Energy & Utilities",9,7,,,,,
use_case,SIGNING,Digital signatures / code signing,Signing software and documents cryptographically,"Government & Defense;Technology;Aerospace;Finance & Banking",3,8,,,,,
use_case,KEY-EXCHANGE,Key exchange / agreement,Establishing shared secret keys between parties,"Government & Defense;Finance & Banking;Telecommunications",8,9,,,,,
use_case,AUTH,Authentication / identity,User and machine identity verification,"Government & Defense;Technology;Finance & Banking;Education;Healthcare;Retail & E-Commerce",4,7,,,,,
use_case,BLOCKCHAIN,Blockchain / cryptocurrency,Distributed ledger and digital asset cryptography,"Finance & Banking;Technology",5,6,,,,,
use_case,EMAIL-ENC,"Email encryption (S/MIME, PGP)",Encrypting and signing email communications,"Government & Defense;Finance & Banking;Healthcare",7,5,,,,,
use_case,VPN,VPN / IPSec,Encrypted network tunnels and site-to-site VPNs,"Government & Defense;Technology;Energy & Utilities;Telecommunications",7,8,,,,,
use_case,IOT,IoT device communication,Cryptographic communication for connected devices,"Automotive;Energy & Utilities;Telecommunications",5,6,,,,,
use_case,DB-ENC,Database encryption,Encrypting database contents and backups,"Healthcare;Finance & Banking;Retail & E-Commerce;Education",8,7,,,,,
use_case,SIM-ESIM,SIM/eSIM provisioning,Cryptographic provisioning of cellular subscriber identities,Telecommunications,8,9,,,,,
use_case,5G-SLICING,5G network slicing security,PQC for network slice authentication and isolation in 5G,Telecommunications,7,8,,,,,
use_case,SS7,SS7/Diameter protocol security,Signaling protocol integrity for telecom core networks,Telecommunications,6,8,,,,,
use_case,SWIFT-MSG,SWIFT messaging integrity,Cryptographic signing and verification of SWIFT interbank messages,Finance & Banking,9,9,,,,,
use_case,TRADING,Trading system code signing,Digital signatures for high-frequency trading software,Finance & Banking,5,8,,,,,
use_case,CARD-ENC,Card payment encryption,POS terminal and card-not-present transaction encryption,"Finance & Banking;Retail & E-Commerce",6,7,,,,,
use_case,MEDICAL-DEVICE,Medical device communication,Encrypted telemetry for connected medical devices,Healthcare,8,9,,,,,
use_case,EHR,EHR/FHIR data exchange,Secure exchange of electronic health records via HL7/FHIR,Healthcare,9,8,,,,,
use_case,V2X,V2X communication,Vehicle-to-everything communication security (DSRC/C-V2X),Automotive,7,9,,,,,
use_case,OTA,OTA firmware updates,Signed over-the-air vehicle and device software updates,"Automotive;Energy & Utilities",5,9,,,,,
use_case,ECU-BOOT,ECU secure boot,Root-of-trust for automotive electronic control units,Automotive,4,8,,,,,
use_case,SCADA,SCADA/OT system security,Cryptographic controls for industrial control systems,"Energy & Utilities;Aerospace",8,9,,,,,
use_case,SMART-METER,Smart meter communication,Encrypted AMI/AMR infrastructure for utility metering,Energy & Utilities,7,7,,,,,
use_case,AVIONICS,Avionics communication,Encrypted and authenticated flight-critical avionics comms,Aerospace,8,10,,,,,
use_case,SATELLITE,Satellite link encryption,Long-lived key protection for satellite command and telemetry,Aerospace,10,9,,,,,
use_case,PKI-HSPD12,PKI / HSPD-12,Federal identity credentialing and PIV card cryptography,Government & Defense,6,9,,,,,
use_case,CLASSIFIED,Classified data exchange,Cryptographic protection of classified communications,Government & Defense,10,10,,,,,
use_case,DNS-DNSSEC,DNS/DNSSEC,DNS resolution integrity and DNSSEC zone signing,"Technology;Telecommunications",3,8,,,,,
use_case,TIMESTAMPING,Timestamping services,Long-lived cryptographic timestamps for legal and financial evidence,"Finance & Banking;Government & Defense",9,7,,,,,
use_case,BACKUP-ENC,Backup/archive encryption,Encryption of backup tapes and cloud archives and disaster recovery stores,"Healthcare;Finance & Banking;Government & Defense",9,6,,,,,
use_case,API-GATEWAY,API gateway / microservices,mTLS and JWT signing for service-to-service communication,"Technology;Finance & Banking",5,8,,,,,
use_case,SECURE-BOOT,Secure boot (non-automotive),Root-of-trust and firmware verification for servers and devices,"Technology;Government & Defense",4,8,,,,,
retention,under-1y,Less than 1 year,Data that needs to stay confidential for under a year,,,,1,,,
