question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
slh-dsa-learn-001,slh-dsa,SLH-DSA: Stateless Hash Signatures,Which NIST FIPS standard defines the SLH-DSA stateless hash-based digital signature scheme?,"FIPS 205 defines the SLH-DSA (Stateless Hash-Based Digital Signature Standard). This standard was finalized on August 13, 2024, as part of the first wave of NIST post-quantum cryptography standards (alongside ML-KEM and ML-DSA). It provides a standardized method for generating signatures that rely on the security of hash functions rather than algebraic hardness assumptions.",learn,recall,executive;developer;architect,beginner;intermediate,Global,General,FIPS 203;FIPS 204;FIPS 205,,,,Signature,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=Signature;/learn/slh-dsa,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS|fips:205 MAPS_TO SLH-DSA|fips:203 MAPS_TO ML-KEM|fips:204 MAPS_TO ML-DSA,library:FIPS 203|library:FIPS 204|library:FIPS 205|algorithm:Signature|compliance:NIST|module:slh-dsa/rag-summary.md
slh-dsa-learn-002,slh-dsa,SLH-DSA: Stateless Hash Signatures,What are the three primary hash functions supported by SLH-DSA in FIPS 205?,"SLH-DSA supports SHA-256, SHA-512, and SHAKE256 as its underlying hash functions. The security of the scheme rests entirely on the collision resistance and second-preimage resistance of these specific hash functions. These functions are used to construct the WOTS+ and FORS components of the signature.",learn,recall,developer;researcher,beginner;intermediate,Global,General,FIPS 205,,,,,,,/library?ref=FIPS%20205;/learn/slh-dsa,library_ref:FIPS 205 EXISTS,library:FIPS 205|module:slh-dsa/rag-summary.md
slh-dsa-learn-003,slh-dsa,SLH-DSA: Stateless Hash Signatures,How many parameter sets are defined in FIPS 205 Table 2 for SLH-DSA?,"FIPS 205 Table 2 defines exactly twelve parameter sets for SLH-DSA. These sets cover three NIST security levels (1, 3, and 5) and two hash families (SHA-2 and SHAKE). Each set offers different trade-offs between signature size and signing speed.",learn,recall,developer;architect,beginner;intermediate,Global,General,FIPS 205,,,,,,NIST,/library?ref=FIPS%20205;/learn/slh-dsa,library_ref:FIPS 205 EXISTS|compliance_ref:NIST EXISTS|fips:205 MAPS_TO SLH-DSA,library:FIPS 205|compliance:NIST|module:slh-dsa/rag-summary.md
slh-dsa-learn-004,slh-dsa,SLH-DSA: Stateless Hash Signatures,What is the fixed value of the Winternitz parameter (lg_w) in FIPS 205?,The Winternitz parameter lg_w is fixed at 4 in FIPS 205. This parameter determines the chain lengths used in the WOTS+ one-time signature component. A fixed value simplifies implementation and ensures consistent security properties across all parameter sets.,learn,recall,developer;researcher,intermediate;advanced,Global,General,FIPS 205,,,,,,,/library?ref=FIPS%20205;/learn/slh-dsa,library_ref:FIPS 205 EXISTS|fips:205 MAPS_TO SLH-DSA,library:FIPS 205|module:slh-dsa/rag-summary.md
slh-dsa-workshop-005,slh-dsa,SLH-DSA: Stateless Hash Signatures,Which PKCS#11 mechanism is used for Pure SLH-DSA signing operations?,"The PKCS#11 mechanism used for Pure SLH-DSA is CKM_SLH_DSA. This mechanism is distinct from the one used for the pre-hash variant, which is CKM_HASH_SLH_DSA_SHA256. Developers must select the correct mechanism based on whether they are signing raw messages or pre-hashed digests.",workshop,recall,developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/slh-dsa,,module:slh-dsa/rag-summary.md
slh-dsa-learn-006,slh-dsa,SLH-DSA: Stateless Hash Signatures,What is the signature size of the SLH-DSA-SHA2-128s parameter set?,"The SLH-DSA-SHA2-128s parameter set produces a signature size of 7,856 bytes. This is the smallest signature size available in the FIPS 205 standard, corresponding to NIST Security Level 1. It achieves this small size by using fewer hypertree layers, which results in slower signing speeds.",learn,recall,architect;developer,intermediate;advanced,Global,General,FIPS 205,,,,SLH-DSA-SHA2-128s,,NIST,/library?ref=FIPS%20205;/algorithms?highlight=SLH-DSA-SHA2-128s;/learn/slh-dsa,library_ref:FIPS 205 EXISTS|algorithm:SLH-DSA-SHA2-128s IN algorithms_csv|compliance_ref:NIST EXISTS|fips:205 MAPS_TO SLH-DSA,library:FIPS 205|algorithm:SLH-DSA-SHA2-128s|compliance:NIST|module:slh-dsa/rag-summary.md
slh-dsa-learn-007,slh-dsa,SLH-DSA: Stateless Hash Signatures,Why is SLH-DSA considered 'stateless' compared to LMS or XMSS?,"SLH-DSA is stateless because it does not require the signer to track which keys have been used; each signing operation internally selects a fresh WOTS+ leaf using a pseudorandom index. In contrast, stateful schemes like LMS and XMSS require strict state management to prevent key reuse, which poses risks in distributed environments. This makes SLH-DSA safer for serverless and multi-instance deployments.",learn,comprehension,architect;developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/slh-dsa,,module:slh-dsa/rag-summary.md
slh-dsa-learn-008,slh-dsa,SLH-DSA: Stateless Hash Signatures,How does the 's' (small) variant differ from the 'f' (fast) variant in SLH-DSA parameter sets?,"The 's' variants use fewer hypertree layers (lower d), resulting in smaller signature sizes but requiring more hash rounds per layer, which slows down signing. Conversely, 'f' variants use more layers to achieve faster signing speeds at the cost of significantly larger signature sizes. This trade-off allows implementers to prioritize either bandwidth or performance based on their specific constraints.",learn,comprehension,architect;developer,intermediate;advanced,Global,General,,,,,,,,/learn/slh-dsa,,module:slh-dsa/rag-summary.md
slh-dsa-learn-009,slh-dsa,SLH-DSA: Stateless Hash Signatures,What is the role of the FORS (Forest of Random Subsets) component in the SLH-DSA architecture?,"FORS acts as the few-time signature layer situated between the WOTS+ one-time signatures and the hypertree structure. It signs a k-subset of values using a-level hash trees, where the parameters k and a directly control the signature size and security against multi-target attacks. This layer allows the scheme to sign multiple messages without the state management required by pure one-time schemes.",learn,comprehension,researcher;developer,advanced,Global,General,,,,,,,,/learn/slh-dsa,,module:slh-dsa/rag-summary.md
slh-dsa-learn-010,slh-dsa,SLH-DSA: Stateless Hash Signatures,How does the hypertree architecture in SLH-DSA authenticate the public key?,"The hypertree consists of d layers of Merkle trees, where the bottom layer authenticates a FORS public key and higher layers each authenticate a WOTS+ public key. The root of the topmost tree serves as the final SLH-DSA public key. This multi-layered structure allows the scheme to derive a unique path for every signature without maintaining state.",learn,comprehension,researcher;architect,advanced,Global,General,,,,,,,,/learn/slh-dsa,,module:slh-dsa/rag-summary.md
