question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
crypto-agility-learn-001,crypto-agility,Crypto Agility,What is the primary definition of crypto agility according to the module?,"Crypto agility is defined as the ability to rapidly switch cryptographic algorithms, protocols, and implementations without requiring significant changes to application code or infrastructure. It is cited as NIST's top recommendation for preparing organizations for the transition to Post-Quantum Cryptography (PQC).",learn,recall,architect;developer;executive,beginner;intermediate,Global,General,,,,,,,NIST,/learn/crypto-agility,compliance_ref:NIST EXISTS,Module Description; Key Concepts
crypto-agility-learn-002,crypto-agility,Crypto Agility,Which three specific dimensions of crypto agility are identified in the learning material?,"The module identifies three dimensions: algorithm agility (swapping algorithms like RSA to ML-KEM via configuration), protocol agility (supporting multiple versions like TLS 1.2/1.3 simultaneously), and implementation agility (switching between providers like OpenSSL or AWS-LC without app changes).",learn,recall,developer;architect,intermediate,Global,General,,,,,KEM,AWS-LC;OpenSSL,,/algorithms?highlight=KEM;/migrate?q=AWS-LC;/migrate?q=OpenSSL;/learn/crypto-agility,algorithm:KEM IN algorithms_csv|migrate_ref:AWS-LC EXISTS|migrate_ref:OpenSSL EXISTS,Key Concepts
crypto-agility-learn-003,crypto-agility,Crypto Agility,What standard is used to generate a Cryptographic Bill of Materials (CBOM)?,"The CycloneDX standard is used to generate a CBOM, which inventories cryptographic algorithms, key sizes, usage locations, security levels, and compliance requirements across an organization.",learn,recall,ops;developer;architect,intermediate,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts; Related Standards
crypto-agility-learn-004,crypto-agility,Crypto Agility,How does the 'Provider Model' architecture pattern facilitate implementation agility?,"The Provider Model allows applications to use abstraction APIs, such as JCA or OpenSSL Providers, enabling them to swap backend cryptographic implementations via configuration changes rather than rewriting application code.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/crypto-agility,migrate_ref:OpenSSL EXISTS,Key Concepts
crypto-agility-learn-005,crypto-agility,Crypto Agility,Why is a Service Mesh or Proxy pattern considered beneficial for data-in-transit security?,"This pattern offloads cryptographic operations for data-in-transit, such as mTLS, to infrastructure proxies like Envoy or Istio. This approach allows organizations to upgrade crypto protocols without making any changes to the application code itself.",learn,comprehension,architect;ops,intermediate,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts
crypto-agility-learn-006,crypto-agility,Crypto Agility,What is the relationship between an External KMS/HSM and enterprise-wide crypto upgrades?,"By outsourcing crypto operations to a central service like AWS KMS or Azure Key Vault, upgrading the KMS effectively upgrades the cryptographic security for the entire enterprise. This centralizes the management of algorithm transitions.",learn,comprehension,architect;executive;ops,intermediate,Global,General,,,,,,AWS KMS;Azure Key Vault,,/migrate?q=AWS%20KMS;/migrate?q=Azure%20Key%20Vault;/learn/crypto-agility,migrate_ref:AWS KMS EXISTS|migrate_ref:Azure Key Vault EXISTS,Key Concepts
crypto-agility-learn-007,crypto-agility,Crypto Agility,"If an organization needs to replace RSA with ML-KEM without rewriting their application, which dimension of agility should they prioritize?","They should prioritize algorithm agility, which specifically enables swapping algorithms like RSA to ML-KEM through configuration changes rather than code rewrites.",learn,application,developer;architect,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/crypto-agility,algorithm:KEM IN algorithms_csv,Key Concepts
crypto-agility-workshop-008,crypto-agility,Crypto Agility,A company wants to discover all quantum-vulnerable algorithms in their legacy systems. Which tool or process should they utilize?,"The organization should utilize a CBOM scanner, such as the IBM Quantum Safe Explorer or Keyfactor CBOM Generator, to scan their architecture and produce a CycloneDX-format inventory of vulnerable assets.",workshop,application,ops;developer;architect,intermediate,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts; Workshop Steps
crypto-agility-workshop-009,crypto-agility,Crypto Agility,"During the migration planning phase, how should an organization align their timeline with government standards?","Organizations should align their 7-phase migration framework with timelines and guidance from NIST IR 8547, CISA, and NSA CNSA 2.0 to ensure compliance and readiness for PQC transition.",workshop,application,executive;architect;ops,intermediate,USA;Global,General,NIST IR 8547;NSA CNSA 2.0,,,,,,NIST;NSA,/library?ref=NIST%20IR%208547;/library?ref=NSA%20CNSA%202.0;/learn/crypto-agility,library_ref:NIST IR 8547 EXISTS|library_ref:NSA CNSA 2.0 EXISTS|compliance_ref:NIST EXISTS|compliance_ref:NSA EXISTS,Module Description; Workshop Steps
crypto-agility-learn-010,crypto-agility,Crypto Agility,How does the case study of Cloudflare demonstrate the practical impact of implementing hybrid PQC key exchange?,"Cloudflare's implementation of hybrid PQC key exchange (X25519MLKEM768) resulted in an approximately 4% increase in TLS handshake time, illustrating a measurable performance trade-off for enhanced security.",learn,synthesis,architect;developer;executive,intermediate;advanced,Global,Technology,,,,,,,,/learn/crypto-agility,,Key Concepts
crypto-agility-learn-011,crypto-agility,Crypto Agility,Compare the PQC adoption strategies of Google Chrome and Apple iMessage based on the provided case studies.,"Google Chrome enabled hybrid PQC by default in version 124 and upgraded to standardized X25519MLKEM768 in version 131, while Apple iMessage adopted the PQ3 protocol (P-256 ECDH + Kyber-1024) specifically in iOS 17.4.",learn,synthesis,researcher;architect;developer,intermediate;advanced,Global,Technology,,,,,,Google Chrome,,/migrate?q=Google%20Chrome;/learn/crypto-agility,migrate_ref:Google Chrome EXISTS,Key Concepts
crypto-agility-both-012,crypto-agility,Crypto Agility,How does the 'Assessment and Inventory' phase of the migration framework rely on CBOM generation tools?,"The first phase of the 7-phase migration framework requires a comprehensive inventory of crypto assets, which is achieved by using CBOM generation tools to catalog algorithms, key sizes, and usage locations before risk prioritization can occur.",both,synthesis,architect;ops;executive,intermediate;advanced,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts; Workshop Steps
crypto-agility-learn-013,crypto-agility,Crypto Agility,Why is the 'Hybrid Migration' phase critical for maintaining security during the transition to PQC?,"The Hybrid Migration phase allows organizations to support both classical and post-quantum algorithms simultaneously, ensuring backward compatibility and resilience against quantum attacks while legacy systems are phased out.",learn,synthesis,architect;developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts
crypto-agility-learn-014,crypto-agility,Crypto Agility,"How do the three architecture patterns (Provider, Service Mesh, External KMS) collectively address the three dimensions of crypto agility?",The Provider Model primarily addresses implementation agility via abstraction APIs; the Service Mesh handles protocol agility for data-in-transit by offloading to proxies; and External KMS supports algorithm agility by centralizing key management and upgrades.,learn,synthesis,architect;executive,advanced,Global,General,,,,,,,,/learn/crypto-agility,,Key Concepts
crypto-agility-learn-015,crypto-agility,Crypto Agility,"In the context of NSA CNSA 2.0, how does the 7-phase migration framework ensure long-term security compliance?","The framework aligns its phases with NSA CNSA 2.0 timelines and NIST IR 8547 guidance, ensuring that organizations systematically move from assessment to monitoring while adhering to commercial national security algorithm requirements.",learn,synthesis,executive;architect;researcher,advanced,USA;Global,Government;Defense,NIST IR 8547;NSA CNSA 2.0,,,,,,NIST;NSA,/library?ref=NIST%20IR%208547;/library?ref=NSA%20CNSA%202.0;/learn/crypto-agility,library_ref:NIST IR 8547 EXISTS|library_ref:NSA CNSA 2.0 EXISTS|compliance_ref:NIST EXISTS|compliance_ref:NSA EXISTS,Module Description; Key Concepts
