software_name,category_id,category_name,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date
BTQ Bitcoin Quantum,CSC-035,Blockchain and Cryptocurrency Software,Yes (ML-DSA),First quantum-safe fork of Bitcoin. Testnet replaces ECDSA with NIST-standardized ML-DSA signatures to protect against quantum threats. Increased block size to 64 MiB to accommodate larger PQC signatures (38-72x larger than ECDSA). Full transaction lifecycle with quantum-resistant cryptography. Protects ~6.26M BTC in addresses with exposed public keys against Harvest Now Decrypt Later attacks.,Open Source,Open Source,Testnet,2026-01-12,No,High,Bitcoin Network (Testnet),Cryptocurrency Finance,https://www.prnewswire.com/news-releases/btq-technologies-launches-bitcoin-quantum-302352891.html,,First quantum-safe Bitcoin fork demonstrating ML-DSA feasibility for blockchain signatures. Open permissionless testnet for miners developers researchers and users.,Trusted Vendor,Verified,2026-02-13
Hitachi DoMobile,CSC-036,Remote Access and VDI Software,Yes (ML-KEM FIPS 203),Japan's first remote access system with built-in post-quantum cryptographic protection powered by 01 Quantum. Implements NIST FIPS 203 (ML-KEM) to protect against Harvest Now Decrypt Later attacks. Free upgrade for existing customers. Serving ~7000 companies and 36000 users primarily in finance sector. In production since 2002.,Commercial,Commercial,Ver.5,2026-01-15,Yes (FIPS 203),Critical,Windows Mobile,Finance Enterprise Government,https://www.01com.com/news-media/hitachi-solutions-create-introduces-worlds-first-remote-access-system,https://www.hitachi-solutions-create.co.jp/domobile/,First commercial remote access product in Japan with production-ready NIST-standardized PQC. Demonstrates enterprise readiness for PQC in remote access scenarios.,Trusted Vendor,Verified,2026-02-13
Project Eleven Solana PQC,CSC-035,Blockchain and Cryptocurrency Software,Yes (ML-DSA),First post-quantum testnet for Solana blockchain developed in collaboration with Solana Foundation. Replaces EdDSA signatures with NIST-standardized ML-DSA demonstrating quantum-resistant transactions are practical on high-throughput blockchain architectures (65000+ TPS). Open-sourced testnet with readiness assessments and migration test environments. $20M Series A funding announced January 2026.,Open Source,Open Source,Testnet,2026-01,No,High,Solana Network (Testnet),Cryptocurrency DeFi Web3,https://quantumcomputingreport.com/project-eleven-works-with-solana-foundation-to-launch-first-post-quantum-testnet/,,Demonstrates high-throughput blockchains can successfully implement post-quantum signatures. Critical for Web3 and decentralized finance PQC migration.,Trusted Vendor,Verified,2026-02-13
SEALSQ Quantum Shield,CSC-034,Hardware Security and Semiconductors,Yes (Post-Quantum Trust Anchors),Post-quantum semiconductor-based trust anchors deployed in U.S. systems. QS7001 and QVault-TPM post-quantum secure processors incorporating quantum-resistant algorithms and hardware roots of trust. Protection against harvest-now-decrypt-later attacks. Millions of devices deployed worldwide. Joint venture with Kaynes SemiCon in India for PQC chip manufacturing.,Commercial,Commercial,QS7001,2026-01,Yes (Hardware Root of Trust),Critical,Embedded IoT Hardware,Government Defense Finance IoT,https://www.sealsq.com,,Post-quantum semiconductor chips with embedded quantum-resistant cryptography. First deployments in U.S. government and critical infrastructure.,Trusted Vendor,Verified,2026-02-13
Forward Edge-AI Isidore Quantum,CSC-033,Network Security Software,Yes (ML-KEM AES-256 GCM),Hardware-based plug-and-play post-quantum encryption platform. NSA CNSA 2.0 compliant protocol-agnostic solution working with legacy and modern networks. Features one-way data diode with NIST-approved PQC algorithms including ML-KEM. Tested by all U.S. military branches including SpaceX deployment. Secures data in transit without software rewrites or PKI dependencies.,Commercial,Commercial,Current,2026,Yes (FIPS 140-3),Critical,Hardware Appliance Network,Defense Critical Infrastructure Telecom Enterprise,https://forwardedge.ai,,Hardware-based quantum-resistant encryption for high-security environments. Successfully deployed on military and space missions.,Trusted Vendor,Verified,2026-02-13
QuSecure QuProtect R3,CSC-025,Cryptographic Agility Frameworks,Yes (Crypto-Agility Platform),First end-to-end cryptographic security platform for quantum era. Provides cryptographic discovery (Recon) crypto-agility engine (Resilience) and real-time compliance reporting. Enables dynamic cipher key and algorithm updates without code changes or downtime. Works across cloud on-premise and edge environments. Includes QuEverywhere for mobile PQC.,Commercial,Commercial,R3,2026-01,No,Critical,Cloud On-Premise Edge,Government Enterprise Finance,https://qusecure.com,,Platform enabling organizations to transition to PQC with crypto-agility and zero-downtime cipher updates.,Trusted Vendor,Verified,2026-02-13
SandboxAQ AQtive Guard,CSC-025,Cryptographic Agility Frameworks,Yes (Cryptographic Discovery and Migration),Platform for automated discovery and inventory of cryptographic assets. Facilitates transition to post-quantum cryptography and enhances cyber readiness against AI-powered attacks. Provides continuous visibility into cryptographic dependencies. Deployed in U.S. Department of War CIO systems. HQC algorithm contributor selected by NIST.,Commercial,Commercial,Current,2025-12,No,Critical,Enterprise Cloud Government,Government Critical Infrastructure Defense,https://www.sandboxaq.com,,Crypto-agility platform with automated cryptographic asset discovery for PQC migration. Powers DoW quantum readiness.,Trusted Vendor,Verified,2026-02-13
01 Quantum IronCAP,CSC-001,Cryptographic Libraries,Yes (NIST-aligned PQC),NIST-aligned quantum-safe cryptographic engine. Powers Hitachi DoMobile Ver.5 remote access system in Japan. Developing Quantum AI Wrapper (QAW) for securing AI data with Full Homomorphic Encryption and Quantum Crypto Wrapper (QCW) for blockchain quantum-safety. Early-stage quantum-safe security leader.,Commercial,Commercial,Current,2026-01,Yes (via partners),Critical,Cross-platform,Enterprise Government Finance Blockchain,https://01quantum.com,,NIST-compliant quantum-safe engine enabling partners to deploy PQC. Focus on agile deployment and AI/blockchain security.,Trusted Vendor,Verified,2026-02-13
Bouncy Castle C# .NET,CSC-001,Cryptographic Libraries,Yes (HQC ML-KEM),Implements HQC (Hamming Quasi-Cyclic) and ML-KEM for .NET platform. Provides quantum-resistant key exchange mechanisms with good performance characteristics on .NET runtime.,Open Source,MIT/Bouncy Castle License,2.6.2,2025-08-05,Yes (FIPS 140-3),Critical,Windows Linux macOS (.NET),All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-csharp,C# implementation of cryptographic algorithms for .NET platform with PQC interoperability support.,Trusted Vendor,Verified,2026-02-13
Bouncy Castle Java,CSC-001,Cryptographic Libraries,Yes (ML-KEM ML-DSA SLH-DSA HQC),"Comprehensive PQC implementation supporting ML-KEM, ML-DSA, SLH-DSA, and HQC (Hamming Quasi-Cyclic). Provides quantum-resistant key encapsulation and digital signatures through JCE/JCA provider. Supports hybrid classical/PQC modes for gradual migration.",Open Source,MIT/Bouncy Castle License,1.83,2025-12,Yes (BC-FJA 2.1.2 FIPS 140-3),Critical,Java 1.8+ Android,All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-java,Comprehensive Java implementation of cryptographic algorithms. Supports JCE/JCA provider lightweight API PGP S/MIME DTLS TLS OCSP TSP CMP and certificate generation.,Trusted Vendor,Verified,2026-02-13
