question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
kms-pqc-learn-001,kms-pqc,KMS & PQC Key Management,Which NIST Special Publication provides guidance on Key Encapsulation Mechanism (KEM) recommendations for key wrapping?,NIST SP 800-227 provides the specific guidance and recommendations for Key Encapsulation Mechanisms (KEM) used in key wrapping scenarios. This standard is critical for understanding how to securely wrap keys using post-quantum algorithms.,learn,recall,architect;developer;researcher,intermediate,Global,General,NIST SP 800-227,,,,KEM,,NIST,/library?ref=NIST%20SP%20800-227;/algorithms?highlight=KEM;/learn/kms-pqc,library_ref:NIST SP 800-227 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Topics Covered: NIST SP 800-227 KEM guidance for key wrapping
kms-pqc-learn-002,kms-pqc,KMS & PQC Key Management,"What are the three specific FIPS standards mentioned in the module that define ML-KEM, ML-DSA, and SLH-DSA?","The module identifies FIPS 203 for ML-KEM, FIPS 204 for ML-DSA, and FIPS 205 for SLH-DSA. These standards formalize the cryptographic algorithms selected by NIST for post-quantum security.",learn,recall,developer;architect;researcher,intermediate,Global,General,FIPS 203;FIPS 204;FIPS 205,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=KEM;/learn/kms-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"Key Standards: FIPS 203, FIPS 204, FIPS 205"
kms-pqc-learn-003,kms-pqc,KMS & PQC Key Management,Which protocol version is specified for Key Management Interoperability Protocol (KMIP) operations in this module?,The module specifies KMIP v2.1 as the protocol version for key management interoperability operations. This version includes specific enumerations and operations relevant to PQC key types.,learn,recall,ops;architect;developer,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Topics Covered: KMIP v2.1 protocol operations
kms-pqc-workshop-004,kms-pqc,KMS & PQC Key Management,Name the three levels of keys involved in the PQC key hierarchy design described in Workshop Step 1.,"The three-level PQC key hierarchy consists of a Root KEK (Key Encryption Key), a Zone KEK, and a DEK (Data Encryption Key). This structure is designed to manage key separation and scope effectively.",workshop,recall,architect;developer,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Workshop Steps: Step 1: Key Hierarchy
kms-pqc-learn-005,kms-pqc,KMS & PQC Key Management,Which NSA standard is cited in the module regarding compliance deadlines and PQC transition strategies?,CNSA 2.0 (Commercial National Security Algorithm Suite 2.0) is the NSA standard cited for compliance deadlines and transition strategies. It outlines requirements for federal agencies to adopt post-quantum cryptography.,learn,recall,executive;architect;ops,intermediate,USA,Government;Defense,,,,,,,NSA,/learn/kms-pqc,compliance_ref:NSA EXISTS,Topics Covered: PQC key rotation strategies and compliance deadlines (CNSA 2.0)
kms-pqc-learn-006,kms-pqc,KMS & PQC Key Management,What is the specific hybrid key wrapping combination mentioned that uses X25519?,The module explicitly mentions the X25519+ML-KEM-768 combination as a hybrid key wrapping pattern. This approach combines classical elliptic curve cryptography with post-quantum lattice-based cryptography.,learn,recall,developer;architect,intermediate,Global,General,,,,,ML-KEM-768;X25519,,,/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/kms-pqc,algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,Topics Covered: Hybrid key wrapping (X25519+ML-KEM-768)
kms-pqc-learn-007,kms-pqc,KMS & PQC Key Management,How does envelope encryption with ML-KEM differ from classical RSA-OAEP in the context of this module?,"Envelope encryption with ML-KEM utilizes post-quantum lattice-based algorithms to encapsulate keys, whereas RSA-OAEP relies on classical integer factorization. The module contrasts these methods to highlight the quantum resistance of ML-KEM.",learn,comprehension,developer;architect;researcher,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/kms-pqc,algorithm:KEM IN algorithms_csv,Topics Covered: Envelope encryption with ML-KEM vs RSA-OAEP
kms-pqc-learn-008,kms-pqc,KMS & PQC Key Management,Why is algorithm separation a fundamental concept in PQC key management?,Algorithm separation is fundamental because it addresses the risk of 'key size explosion' and ensures that different cryptographic primitives are managed distinctly. This prevents vulnerabilities in one algorithm from compromising the entire key hierarchy.,learn,comprehension,architect;researcher,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,"Topics Covered: PQC key management fundamentals (algorithm separation, key size explosion)"
kms-pqc-learn-009,kms-pqc,KMS & PQC Key Management,What is the primary function of KMIP in a multi-cloud environment using multiple KMS providers?,KMIP enables centralized rotation scheduling and cross-provider key synchronization for enterprises using multiple KMS providers. It acts as a unified control plane to propagate policies across different cloud environments.,learn,comprehension,architect;ops,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Module Content: KMIP Cross-Provider Rotation
kms-pqc-learn-010,kms-pqc,KMS & PQC Key Management,How does the 'X-Wing' pattern relate to hybrid key wrapping strategies?,The X-Wing pattern is listed alongside specific algorithm combinations like X25519+ML-KEM-768 as a recognized hybrid key wrapping strategy. It represents a method for combining classical and post-quantum algorithms to ensure security during the transition period.,learn,comprehension,developer;architect,intermediate,Global,General,,,,,ML-KEM-768;X25519,,,/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/kms-pqc,algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,Topics Covered: Hybrid key wrapping (... X-Wing)
kms-pqc-learn-011,kms-pqc,KMS & PQC Key Management,What is the relationship between NIST IR 8547 and PQC transition planning?,"NIST IR 8547 provides guidance on the PQC transition, serving as a reference for organizations planning their migration from classical to post-quantum cryptography. It complements standards like CNSA 2.0 in defining timelines and strategies.",learn,comprehension,executive;architect;ops,intermediate,Global,General,NIST IR 8547,,,,,,NIST,/library?ref=NIST%20IR%208547;/learn/kms-pqc,library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,Topics Covered: PQC key rotation strategies and compliance deadlines (NIST IR 8547)
kms-pqc-both-012,kms-pqc,KMS & PQC Key Management,"In a scenario where an enterprise uses AWS, GCP, and Azure, how can KMIP facilitate key rotation?","KMIP facilitates key rotation by allowing a single rotation policy to propagate across AWS, GCP, and Azure through a unified control plane. Providers like Thales CipherTrust and HashiCorp Vault support KMIP server mode to enable this cross-provider orchestration.",both,application,architect;ops,intermediate,Global,General,,,,,,HashiCorp Vault,,/migrate?q=HashiCorp%20Vault;/learn/kms-pqc,migrate_ref:HashiCorp Vault EXISTS,Module Content: KMIP Cross-Provider Rotation
kms-pqc-both-013,kms-pqc,KMS & PQC Key Management,"If a developer needs to wrap a Data Encryption Key (DEK) using post-quantum standards, which FIPS standard should they reference for the encapsulation algorithm?","The developer should reference FIPS 203, which defines ML-KEM. This standard provides the specifications for the lattice-based key encapsulation mechanism required to securely wrap the DEK against quantum threats.",both,application,developer;architect,intermediate,Global,General,FIPS 203,,,,KEM,,,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/kms-pqc,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv,Key Standards: FIPS 203 (ML-KEM)
kms-pqc-workshop-014,kms-pqc,KMS & PQC Key Management,How would you design a key hierarchy for a multi-zone cloud deployment using the patterns in Workshop Step 1?,"You would design a three-level hierarchy starting with a Root KEK at the top, followed by Zone KEKs for each specific cloud zone, and finally DEKs for encrypting actual data. This structure ensures that compromise of a single zone key does not expose the root or other zones.",workshop,application,architect;developer,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Workshop Steps: Step 1: Key Hierarchy
kms-pqc-workshop-015,kms-pqc,KMS & PQC Key Management,"When planning a migration to PQC, how does the 'Storage Impact Analysis' in the Rotation Planner help an organization?",The Storage Impact Analysis calculates the increase in storage requirements due to larger public key sizes in PQC algorithms compared to classical ones. This helps organizations anticipate and budget for the 'key size explosion' during migration.,workshop,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Module Content: Storage Impact Analysis
kms-pqc-both-016,kms-pqc,KMS & PQC Key Management,"If an organization must comply with CNSA 2.0, which hybrid wrapping combination involving P-256 is recommended in the module?",The module recommends the P-256+ML-KEM-768 combination for organizations needing to comply with CNSA 2.0 while transitioning to post-quantum cryptography. This hybrid approach maintains compatibility with existing classical infrastructure.,both,application,architect;developer,intermediate,USA,Government;Defense,,,,,ML-KEM-768,,,/algorithms?highlight=ML-KEM-768;/learn/kms-pqc,algorithm:ML-KEM-768 IN algorithms_csv,Topics Covered: Hybrid key wrapping (P-256+ML-KEM-768)
kms-pqc-workshop-017,kms-pqc,KMS & PQC Key Management,How can an architect use the 'KMIP Protocol Explorer' to validate readiness for cross-provider synchronization?,An architect can use the KMIP Protocol Explorer to compare KMIP operations against provider-specific APIs and visualize PQC key type mappings. This tool helps identify gaps in protocol support before attempting cross-provider key sync.,workshop,application,architect;ops,intermediate,Global,General,,,,,,,,/learn/kms-pqc,,Workshop Steps: Step 5: KMIP Protocol
