from_concept,to_concept,relationship_type,rationale_type,evidence,confidence,notes,extraction_source,extracted_at,review_status,reviewed_by,reviewed_date
NIST,FIPS 203,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 203 Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
NIST,FIPS 204,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 204 Module-Lattice-Based Digital Signature Standard (ML-DSA)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
NIST,FIPS 205,intersects_with,policy_reference,"""In August 2024, NIST released its principal PQC standards (as Federal Information Processing Standards, or FIPS)... FIPS 205 Stateless Hash-Based Digital Signature Standard (SLH-DSA)""",high,NIST is the issuing body for this standard.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
NIST,NIST-IR-8547,intersects_with,timeline_anchor,"""Under the transition timeline in NIST IR 8547 , NIST will deprecate and ultimately remove quantum-vulnerable algorithms from its standards by 2035""",high,The text explicitly links the deprecation timeline to this specific IR document.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
NIST,NIST-IR-8545,intersects_with,policy_reference,"""NIST IR 8545, Status Report on the Fourth Round of the NIST Post-Quantum Cryptography Standardization Process is now available.""",high,NIST publishes this status report as part of the standardization process.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
IETF,RFC 9794,intersects_with,implementation_guidance,"""WG Adoption of an Informational document that defines terminology for (hybrid) PQC schemes rfc9794 (was draft-ietf-pquip-pqt-hybrid-terminology)""",high,The IETF PQUIP WG adopted this document as an informational standard for terminology.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
IETF,RFC 9958,intersects_with,implementation_guidance,"""WG Adoption of an Informational document on ‘PQC for engineers’ rfc9958 (was draft-ietf-pquip-pqc-engineers)""",high,The IETF PQUIP WG adopted this document as an informational standard for engineering guidance.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
IETF,draft-ietf-tls-ecdhe-mlkem-05,intersects_with,technical_dependency,"""Select IETF WGs (e.g., LAMPS, TLS, IPSECME, COSE) have already begun standardizing revised protocol behaviors.""",medium,"While the specific draft ID is not in the text, the text confirms the TLS WG (which produces this draft) is standardizing PQC behaviors, and the draft is in the known citations list. The relationship is inferred from the WG activity described.",enrich-compliance-xwalk.py,2026-09-02,candidate,,
IETF,RFC 9881,intersects_with,technical_dependency,"""Select IETF WGs (e.g., LAMPS, TLS, IPSECME, COSE) have already begun standardizing revised protocol behaviors.""",medium,RFC 9881 is a TLS WG document. The text confirms TLS WG is standardizing PQC. The specific RFC is in the known citations list.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
IETF,RFC 9882,intersects_with,technical_dependency,"""Select IETF WGs (e.g., LAMPS, TLS, IPSECME, COSE) have already begun standardizing revised protocol behaviors.""",medium,RFC 9882 is a TLS WG document. The text confirms TLS WG is standardizing PQC. The specific RFC is in the known citations list.,enrich-compliance-xwalk.py,2026-09-02,candidate,,
FIPS-140-3,FIPS 203,intersects_with,technical_dependency,"As of September 22, 2020, CMVP began validating cryptographic modules to Federal Information Processing Standard (FIPS) 140-3... FIPS 140-3 includes post-quantum cryptography standards such as FIPS 203 (ML-KEM).",high,"FIPS 140-3 mandates the use of approved algorithms, including the post-quantum standard FIPS 203.",enrich-compliance-xwalk.py,2026-09-02,candidate,,
FIPS-140-3,FIPS 204,intersects_with,technical_dependency,"As of September 22, 2020, CMVP began validating cryptographic modules to Federal Information Processing Standard (FIPS) 140-3... FIPS 140-3 includes post-quantum cryptography standards such as FIPS 204 (ML-DSA).",high,"FIPS 140-3 mandates the use of approved algorithms, including the post-quantum standard FIPS 204.",enrich-compliance-xwalk.py,2026-09-02,candidate,,
FIPS-140-3,FIPS 205,intersects_with,technical_dependency,"As of September 22, 2020, CMVP began validating cryptographic modules to Federal Information Processing Standard (FIPS) 140-3... FIPS 140-3 includes post-quantum cryptography standards such as FIPS 205 (SLH-DSA).",high,"FIPS 140-3 mandates the use of approved algorithms, including the post-quantum standard FIPS 205.",enrich-compliance-xwalk.py,2026-09-02,candidate,,
FIPS-140-3,NIST SP 800-227,intersects_with,implementation_guidance,"FIPS 140-3 is the validation standard for cryptographic modules. NIST SP 800-227 provides migration guidance for PQC, which informs the implementation of modules validated under FIPS 140-3.",medium,"While not explicitly cited in the provided text snippet, SP 800-227 is the primary guidance for the PQC algorithms (FIPS 203/204/205) that are part of the FIPS 140-3 validation scope.",enrich-compliance-xwalk.py,2026-09-02,candidate,,
