id,Source_Name,Source_Type,Region,Primary_URL,Description,Leaders_CSV,Library_CSV,Algorithm_CSV,Threats_CSV,Timeline_CSV,Compliance_CSV,Migrate_CSV,Patents_CSV,Last_Verified_Date,primary_url_quality
cmu-cylab,Carnegie Mellon CyLab,Academic,Americas,https://www.cylab.cmu.edu/,Advanced PQC research including vulnerability analysis of NIST algorithms and quantum-safe protocol development,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
uc-berkeley-bqic,UC Berkeley BQIC,Academic,Americas,https://bqic.berkeley.edu/,Berkeley Quantum Information & Computation Center focusing on quantum cryptography and algorithm research,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
ruhr-university-bochum-cryptography,Ruhr University Bochum Cryptography,Academic,EMEA,https://www.crypto.rub.de/,Leading European PQC research; developers of NIST-selected CRYSTALS algorithms,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
max-planck-institute-security-and-privacy,Max Planck Institute Security and Privacy,Academic,EMEA,https://www.mpi-sp.org/,German research institute contributing to NIST PQC standardization efforts,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_needs_review
brno-university-of-technology,Brno University of Technology,Academic,EMEA,https://www.vut.cz/en/,Coordinator of EU Horizon QARC project for quantum-resistant cryptography in practice (2026-2029),No,No,Yes,Yes,No,No,No,No,2026-05-06,url_needs_review
duke-university-quantum-center,Duke University Quantum Center,Academic,Americas,https://quantum.duke.edu/,Interdisciplinary quantum research including quantum-safe cryptography foundations,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
yale-university-quantum-institute,Yale University Quantum Institute,Academic,Americas,https://quantuminstitute.yale.edu/,Collaborative quantum research across physics engineering and computer science,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
virginia-tech-cybersecurity,Virginia Tech Cybersecurity,Academic,Americas,https://cyber.vt.edu/,Lattice-based cryptographic algorithm evaluation for NIST standardization,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
george-mason-university-crypto,George Mason University Crypto,Academic,Americas,https://csis.gmu.edu/,Hardware implementation and security analysis of PQC candidates,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
university-of-san-diego-crypto-group,UC San Diego Cryptography Group,Academic,Americas,https://cseweb.ucsd.edu/~nadiah/,PQC research publications and algorithm development,No,No,Yes,Yes,No,No,No,No,2026-05-06,url_authoritative
