reference_id,document_title,download_url,initial_publication_date,last_update_date,last_verified,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,free_summary_url,access_type,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,download_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason,pqc_heatmap_protocols,pqc_heatmap_protocols_evidence,math_family,pqc_round,lifecycle_state,superseded_by,purpose
KpqC-Competition-Results,Korean Post-Quantum Cryptography Competition Final Results,https://kpqc.or.kr/contents/03_exhibit/board.html?board_id=board_competition&mode=view&no=9&cate=,2023-12-07,2025-01-31,2026-08-16,Final Results,Korea selects HAETAE and AIMer (signatures) plus SMAUG-T and NTRU+ (KEMs) as national PQC standards. Target standardization by 2029 migration by 2035.,Reference,Government; Telecom; Finance; Critical Infrastructure,KISA; Ministry of Science and ICT; NIS Korea,NIST IR 8545;NIST IR 8547,KR;PQC-REGION-GLOBAL,Lattice-based; MPC-based,"L1,L3,L5",Korean national PQC standards,Korean government systems,High,New,Algorithm Specifications,yes,,,library/KpqC-Competition-Results.html,quantum-threats;standards-bodies;pqc-candidates,KpqC Competition,kisa,partial,NIST,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | 2026-08-16: cached file was the KpqC group homepage. Repointed to the actual Round 2/Final results announcement (16 Jan 2025): AIMer, HAETAE (signatures), NTRU+, SMAUG-T (KEM).",60,active,,,,,Lattice; Multivariate; Code-based,Round 2,,,
NIST-FIPS140-3-IG-PQC,Implementation Guidance for FIPS 140-3 and the Cryptographic Module Validation Program,https://csrc.nist.gov/csrc/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf,2020-09-21,2026-04-16,2026-08-11,Published Update,Updated FIPS 140-3 Implementation Guidance adding self-test requirements for FIPS 203/204/205 PQC algorithms and new guidance for Key Encapsulation Mechanisms.,Compliance Framework,Government; Finance; Defense; HSM Vendors,NIST CMVP,FIPS 203;FIPS 204;FIPS 205,US;PQC-REGION-GLOBAL,Lattice; Hash-based,"L1,L3,L5",FIPS 140-3 validation requirements,HSM vendors; FIPS module developers,High,Updated,NIST Standards,yes,,,library/NIST-FIPS140-3-IG-PQC.pdf,confidential-computing;crypto-dev-apis;database-encryption-pqc;entropy-randomness;hsm-pqc;kms-pqc;ops-quantum-impact;secrets-management-pqc;standards-bodies;crypto-mgmt-modernization;vendor-risk,FIPS 140-3,nist-csrc,partial,NIST,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | 2026-06-05: refreshed to latest version — IG update dated 2026-04-09 | 2026-07-10: dates corrected to match cached PDF cover page (Initial Release: September 21, 2020; Last Update: April 16, 2026) — prior CSV dates (2025-09-02 / 2026-04-09) did not match source document.",60,active,,,,,,,,,
3GPP-PQC-Study-2025,3GPP TR 33.938 V19.2.0 — 3GPP Cryptographic Inventory (Release 19),https://www.3gpp.org/ftp/Specs/archive/33_series/33.938/33938-j20.zip,2026-01-16,2025-05-01,2026-08-13,Study Item Approved,"3GPP Technical Report 33.938 v19.2.0 (2026-01), the cryptographic inventory of 3GPP specifications: enumerates where RSA, ECDSA, ECDH and ECIES are used across the 3GPP protocol suite as the basis for transition planning. Note it names neither SUCI nor ML-KEM — the ML-KEM SUCI ""Profile C"" is one research paper's own proposal, not a 3GPP profile (3GPP defines Profiles A and B only).",Standard,Mobile Networks; Telecom; 5G,3GPP SA3,NIST IR 8545;NIST IR 8547,PQC-REGION-GLOBAL,Hybrid PQC approaches,"L3,L5",5G network security; TLS; IPSec; IKEv2,5G network equipment vendors,High,New,Protocols,yes,,,library/3GPP-PQC-Study-2025.docx,5g-security;standards-bodies;web-gateway-pqc,TR 33.938;IETF PQC RFCs,3gpp,no,,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | Re-verified 2026-07-09: download_url confirmed reachable (HTTP 200) on fresh check. Corrected 2026-08-13: title named a PQC transition study, but the cached document is TR 33.938, the cryptographic inventory; download_url pointed at the FTP directory listing rather than the file (verified byte-identical to 33938-j20.zip); trusted_source_id was gsma, corrected to 3gpp.",60,active,,,,,,,,,
liboqs-v0.15.0,Open Quantum Safe liboqs Library v0.15.0,https://openquantumsafe.org/liboqs/,2025-11-14,2025-11-14,2026-08-12,Released,Latest liboqs release with updated PQC algorithm implementations including NIST-standardized ML-KEM ML-DSA and SLH-DSA. Part of Linux Foundation PQCA.,Reference,Software Development; IT; Research,Open Quantum Safe; Linux Foundation PQCA,FIPS 203;FIPS 204;FIPS 205,PQC-REGION-GLOBAL,Lattice; Hash-based; Code-based,"L1,L3,L5",TLS; SSH; X.509 integration,Open source PQC implementations,High,New,Migration Guidance,yes,,,library/liboqs-v0.15.0.html,crypto-dev-apis;dev-quantum-impact;pqc-101;research-quantum-impact,,oqs-project,no,,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,60,active,,,,,,,,,reference
TCG-TPM-V185-Part0,TCG TPM 2.0 Library Specification V185 — Part 0: Introduction,https://trustedcomputinggroup.org/wp-content/uploads/Trusted-Platform-Module-2.0-Library-Part-0-Introduction_Version-185_pub.pdf,2026-03-12,2026-03-12,2026-08-11,Draft Specification,Overview and change summary for the TCG TPM 2.0 Library V1.85 RC4 specification. Introduces PQC algorithm IDs (TPM_ALG_MLKEM=0x00A0; TPM_ALG_MLDSA=0x00A1) and explains the rationale for enlarging TPM_BUFFER_MAX from 4096 to 8192 bytes to accommodate ML-DSA-87 signatures.,Reference,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1;TCG-TPM-V185-Part2;TCG-TPM-2.0-Library-v1.85-Part3-Published,PQC-REGION-GLOBAL,Lattice; Hash-based,"L1,L3,L5",TPM-based key hierarchy and attestation,TPM manufacturers; Platform vendors,High,Updated,Algorithm Specifications,yes,,,library/TCG-TPM-V185-Part0-Introduction.pdf,automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | TPM v1.85 published 2026-05; this row tracks the Dec 2025 RC4. Re-download published Part to align with TCG-TPM-2.0-Library-v1.85-Part3-Published. | 2026-06-05: recovered + refreshed to latest — TPM 2.0 Library V185 (final), 2026-03-12",85,active,,,,,,,Draft,,
TCG-TPM-V185-Part1,TCG TPM 2.0 Library Specification V185 — Part 1: Architecture,https://trustedcomputinggroup.org/wp-content/uploads/Trusted-Platform-Module-2.0-Library-Part-1-Architecture_Version-185_pub.pdf,2026-03-12,2026-03-12,2026-08-11,Draft Specification,Defines the TPM 2.0 architecture including the four-hierarchy model (Platform/Endorsement/Storage/Owner) and their handle values (TPM_RH_ENDORSEMENT=0x4000000B; TPM_RH_OWNER=0x40000001; TPM_RH_PLATFORM=0x4000000C). Specifies PQC key roles (EK; SRK; AIK; IDevID) and the impact of ML-KEM-768 and ML-DSA-65 adoption on attestation flows and TPM_BUFFER_MAX.,Reference,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204,PQC-REGION-GLOBAL,Lattice; Hash-based,"L1,L3,L5",TPM key hierarchy; Attestation; Secure boot,TPM manufacturers; Platform vendors; Device identity,High,Updated,Implementations,yes,,,library/TCG-TPM-V185-Part1-Architecture.pdf,automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | TPM v1.85 published 2026-05; this row tracks the Dec 2025 RC4. Re-download published Part to align with TCG-TPM-2.0-Library-v1.85-Part3-Published. | 2026-06-05: recovered + refreshed to latest — TPM 2.0 Library V185 (final), 2026-03-12 Category normalised 2026-08-22: Architecture -> Implementations, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",85,active,,,,,,,Draft,,
TCG-TPM-V185-Part2,TCG TPM 2.0 Library Specification V185 — Part 2: Structures,https://trustedcomputinggroup.org/wp-content/uploads/Trusted-Platform-Module-2.0-Library-Part-2-Structures_Version-185_pub.pdf,2026-03-12,2026-03-12,2026-08-11,Draft Specification,Normative structure definitions for TPM 2.0 V1.85. Assigns TPM_ALG_MLKEM=0x00A0 and TPM_ALG_MLDSA=0x00A1. Defines TPMT_ASYM_SCHEME for ML-KEM encapsulation and ML-DSA signing. Specifies key-size constants: ML-KEM-768 pk=1184B/ct=1088B; ML-DSA-65 pk=1952B/sig=3309B. Sets TPM_BUFFER_MAX=8192 and TPM2B_MAX_BUFFER size.,Reference,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1,PQC-REGION-GLOBAL,Lattice; Hash-based,"L1,L3,L5",TPM wire protocol structures; Key size budgeting,TPM manufacturers; Firmware engineers,High,Updated,Algorithm Specifications,yes,,,library/TCG-TPM-V185-Part2-Structures.pdf,automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,,url_authoritative,registered,"Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | TPM v1.85 published 2026-05; this row tracks the Dec 2025 RC4. Re-download published Part to align with TCG-TPM-2.0-Library-v1.85-Part3-Published. | 2026-06-05: recovered + refreshed to latest — TPM 2.0 Library V185 (final), 2026-03-12",85,active,,,,,,,Draft,,
TCG-TPM-V185-Part3,TCG TPM 2.0 Library V1.85 RC4 — Part 3: Commands,https://trustedcomputinggroup.org/resource/tpm-library-specification/,2025-01-01,2025-12-12,,Draft Specification,Command specification for TPM 2.0 V1.85. Defines TPM2_CreatePrimary for PQC key roles using ML-KEM-768 (EK/SRK; TPM_ALG_MLKEM=0x00A0) and ML-DSA-65 (AIK/IDevID; TPM_ALG_MLDSA=0x00A1). Specifies TPM2_Quote behaviour with ML-DSA signatures and TPM2_EncryptDecap for KEM-based credential activation replacing classical RSA-OAEP.,Reference,Hardware Security; IoT; Embedded Systems; Enterprise,Trusted Computing Group,FIPS 203;FIPS 204;TCG-TPM-V185-Part1;TCG-TPM-V185-Part2,PQC-REGION-GLOBAL,Lattice; Hash-based,"L1,L3,L5",TPM commands; Attestation; Credential activation,TPM manufacturers; Firmware engineers; Protocol implementers,High,New,Algorithm Specifications,no-forbidden,,,,automotive-pqc;confidential-computing;hsm-pqc;iot-ot-pqc;secure-boot-pqc,,tcg,yes,TCG,,url_needs_review,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged. | Fixed 2026-07-11: superseded_by set to 'TCG-TPM-2.0-Library-v1.85-Errata' (was '') so this revision correctly rolls into the current active tile.,85,deprecated,2026-05-15,superseded by TCG-TPM-2.0-Library-v1.85-Part3-Published (final v1.85 release),TPM,,,,Draft,TCG-TPM-2.0-Library-v1.85-Errata,
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,2024-08-13,2024-08-13,2026-08-11,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets (512, 768, 1024) for quantum-resistant key establishment. Errata Oct 2024.",Reference,Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure,NIST,,US;PQC-REGION-GLOBAL,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,KEM,yes,,,library/FIPS_203.pdf,5g-security; aerospace-pqc; ai-security-pqc; api-security-jwt; automotive-pqc; confidential-computing; crypto-agility; crypto-dev-apis; database-encryption-pqc; dev-quantum-impact; email-signing; emv-payment-pqc; energy-utilities-pqc; healthcare-pqc; hsm-pqc; hybrid-crypto; iot-ot-pqc; kms-pqc; ops-quantum-impact; os-pqc; pqc-101; quantum-threats; secrets-management-pqc; standards-bodies; tls-basics; vpn-ssh-pqc; web-gateway-pqc; iam-pqc; pqc-candidates; arch-quantum-impact; compliance-strategy; crypto-mgmt-modernization; data-asset-sensitivity; digital-assets; entropy-randomness; government-defense-pqc; network-security-pqc; pki-enrollment-protocols; platform-eng-pqc; pqc-governance; pqc-grc; pqc-testing-validation; qkd; research-quantum-impact; skills-team-structure; soc-implementation-pqc; vendor-risk; digital-id; exec-quantum-impact; migration-program; mls-group-messaging,NIST PQC Project;CRYSTALS-Kyber,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,Lattice,Standardised,,,
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,2024-08-13,2024-10-15,2026-08-11,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms with three parameter sets (44, 65, 87). Errata Oct 2024.",Reference,IT; Finance; Telecom; Government; Identity Management,NIST,FIPS 186-5,US;PQC-REGION-GLOBAL,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature",OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs,High,Validated,Digital Signature,yes,,,library/FIPS_204.pdf,aerospace-pqc; ai-security-pqc; api-security-jwt; automotive-pqc; code-signing; confidential-computing; crypto-agility; crypto-dev-apis; dev-quantum-impact; email-signing; emv-payment-pqc; energy-utilities-pqc; healthcare-pqc; hsm-pqc; hybrid-crypto; iam-pqc; iot-ot-pqc; kms-pqc; ops-quantum-impact; os-pqc; pki-workshop; platform-eng-pqc; pqc-101; quantum-threats; secrets-management-pqc; secure-boot-pqc; standards-bodies; tls-basics; vpn-ssh-pqc; web-gateway-pqc; merkle-tree-certs; pqc-candidates; digital-id; 5g-security; arch-quantum-impact; crypto-mgmt-modernization; data-asset-sensitivity; database-encryption-pqc; digital-assets; entropy-randomness; government-defense-pqc; pki-enrollment-protocols; pqc-governance; pqc-grc; pqc-testing-validation; qkd; research-quantum-impact; skills-team-structure; soc-implementation-pqc; trust-services-pqc; vendor-risk; compliance-strategy; migration-program; mls-group-messaging; network-security-pqc; slh-dsa; stateful-signatures,CRYSTALS-Dilithium; Errata published 2024-10-15,nist-csrc,yes,NIST,,url_authoritative,registered,Proposed 2026-05-06: dates normalized ISO 8601; download_url_quality flag added; trusted_source_id_status tagged.,85,active,,,,,Lattice,Standardised,,,
