question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
standards-bodies-learn-001,standards-bodies,"Standards, Certification & Compliance Bodies","Which organization led the six-year PQC competition from 2016 to 2024 and published FIPS 203, 204, and 205 in August 2024?","NIST (National Institute of Standards and Technology) is the US federal agency that led the six-year PQC competition. In August 2024, NIST published FIPS 203 for ML-KEM, FIPS 204 for ML-DSA, and FIPS 205 for SLH-DSA.",learn,recall,executive;architect;researcher,beginner;intermediate,USA;Global,General,FIPS 203;FIPS 204;FIPS 205,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=KEM;/learn/standards-bodies,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Module Content: Organizations Covered - Standards Bodies (NIST)
standards-bodies-learn-002,standards-bodies,"Standards, Certification & Compliance Bodies",What specific cryptographic standard did ISO/IEC JTC 1/SC 27 publish in 2024 regarding XMSS and LMS?,"ISO/IEC JTC 1/SC 27 published the standard ISO/IEC 14888-4:2024, which covers XMSS and LMS. This international standards body uses a five-stage process involving over 170 national member bodies to vote on cryptographic standards.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,General,ISO/IEC 14888-4:2024,,,,,,,/library?ref=ISO/IEC%2014888-4%3A2024;/learn/standards-bodies,library_ref:ISO/IEC 14888-4:2024 EXISTS,Module Content: Organizations Covered - Standards Bodies (ISO/IEC)
standards-bodies-learn-003,standards-bodies,"Standards, Certification & Compliance Bodies",Which European SDO produces the normative Technical Specification ETSI TS 103 744 for quantum-safe requirements?,"ETSI (European Telecommunications Standards Institute) is the European SDO that produces ETSI TS 103 744. This document contains normative 'shall' requirements for quantum safety, alongside guidance documents like TR 103 619.",learn,recall,architect;compliance officer,beginner;intermediate,EU,Telecommunications;General,ETSI TS 103 744,,,,,,ETSI,/library?ref=ETSI%20TS%20103%20744;/learn/standards-bodies,library_ref:ETSI TS 103 744 EXISTS|compliance_ref:ETSI EXISTS,Module Content: Organizations Covered - Standards Bodies (ETSI)
standards-bodies-learn-004,standards-bodies,"Standards, Certification & Compliance Bodies",What are the IETF PQC working groups and their focus areas?,"The IETF has five active PQC working groups: PQUIP (cross-cutting coordination and best practices), LAMPS (CMS and PKIX certificate format updates), TLS (PQC key exchange in TLS 1.3), COSE (CBOR object signing and encryption), and SSH (public key algorithm updates). All operate under an open, no-membership-fee model and publish output as RFCs.",learn,recall,developer;architect,beginner;intermediate,Global,Internet Services;General,,,,,,,IETF,/learn/standards-bodies,compliance_ref:IETF EXISTS,Module Content: Organizations Covered - Standards Bodies (IETF)
standards-bodies-learn-005,standards-bodies,"Standards, Certification & Compliance Bodies",Which German regulatory agency publishes the TR-02102 series of binding Technical Guidelines?,"BSI (Bundesamt für Sicherheit in der Informationstechnik) is the German governmental regulatory agency responsible for the TR-02102 series. These guidelines cover cryptographic mechanisms, TLS, IPsec, and SSH for government and critical infrastructure.",learn,recall,compliance officer;architect,beginner;intermediate,EU,Government;Critical Infrastructure,,,,,,,BSI,/learn/standards-bodies,compliance_ref:BSI EXISTS,Module Content: Organizations Covered - Regulatory Agencies (BSI)
standards-bodies-learn-006,standards-bodies,"Standards, Certification & Compliance Bodies",What unique security assumption does ANSSI permit for standalone SLH-DSA in French systems?,ANSSI permits the use of standalone SLH-DSA based on a hash-only security assumption. This is a unique position compared to other agencies that typically require hybrid approaches for sensitive systems.,learn,recall,architect;developer;researcher,intermediate;advanced,EU,Government;Defense,,,,,,,ANSSI,/learn/standards-bodies,compliance_ref:ANSSI EXISTS,Module Content: Organizations Covered - Regulatory Agencies (ANSSI)
standards-bodies-learn-007,standards-bodies,"Standards, Certification & Compliance Bodies",Which specific algorithms does CNSA 2.0 mandate for National Security Systems?,"CNSA 2.0, published by the NSA in September 2022, mandates the use of ML-KEM-1024 and ML-DSA-87 for National Security Systems. This mandate is binding for the US government and Department of Defense contractors.",learn,recall,executive;architect;compliance officer,intermediate;advanced,USA,Defense;Government,,,,,ML-DSA-87;ML-KEM-1024,,NSA,/algorithms?highlight=ML-DSA-87;/algorithms?highlight=ML-KEM-1024;/learn/standards-bodies,algorithm:ML-DSA-87 IN algorithms_csv|algorithm:ML-KEM-1024 IN algorithms_csv|compliance_ref:NSA EXISTS,Module Content: Organizations Covered - Regulatory Agencies (NSA)
standards-bodies-learn-008,standards-bodies,"Standards, Certification & Compliance Bodies",What are the three phases of the UK NCSC's PQC migration roadmap?,"The NCSC roadmap consists of Discovery (2025–2028), Priority Migration (2028–2031), and Full Migration (2031–2035). This timeline is aligned with the NIST FIPS 203, 204, and 205 standards.",learn,recall,executive;architect;ops,intermediate,UK;Global,Government;General,FIPS 203,,,,,,NIST,/library?ref=FIPS%20203;/learn/standards-bodies,library_ref:FIPS 203 EXISTS|compliance_ref:NIST EXISTS,Module Content: Organizations Covered - Regulatory Agencies (NCSC)
standards-bodies-learn-009,standards-bodies,"Standards, Certification & Compliance Bodies",Which algorithms were selected by KISA in the KpqC competition for signatures and KEMs?,"KISA selected HAETAE and AIMer for signatures, and SMAUG-T and NTRU+ for Key Encapsulation Mechanisms (KEMs). The target is standardization by 2029 and migration by 2035.",learn,recall,architect;researcher,intermediate;advanced,APAC,Government;General,,,,,,,,/learn/standards-bodies,,Module Content: Organizations Covered - Regulatory Agencies (KISA)
standards-bodies-learn-010,standards-bodies,"Standards, Certification & Compliance Bodies",What is the primary function of a Certification Body in the PQC ecosystem?,"A Certification Body validates that a specific product or implementation meets a defined standard. Examples include CMVP, ENISA (EUCC), and CCRA, which issue validation certificates rather than creating the standards themselves.",learn,comprehension,architect;compliance officer;developer,beginner;intermediate,Global,General,,,,,,,ENISA;EUCC,/learn/standards-bodies,compliance_ref:ENISA EXISTS|compliance_ref:EUCC EXISTS,Module Content: Core Concepts - The Three Roles
