id,label,description,industries,countries,requires_pqc,deadline,notes,enforcement_body,library_refs,timeline_refs,body_type,website
NIST,NIST,National Institute of Standards and Technology — US federal agency that standardized the first PQC algorithms,Government & Defense;Finance & Banking;Technology;Healthcare;Energy & Utilities,United States,yes,Ongoing,"NIST's PQC Standardization Project (launched 2016) selected ML-KEM (FIPS 203), ML-DSA (FIPS 204), and SLH-DSA (FIPS 205) as the first post-quantum standards, published August 2024. FN-DSA (FIPS 206, Falcon) is in final draft. NIST IR 8547 defines the transition timeline: deprecate 112-bit classical asymmetric by 2030, disallow by 2035. NIST also runs CMVP (module validation) and CAVP (algorithm validation) programs that enforce these standards globally.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST,standardization_body,https://csrc.nist.gov/projects/post-quantum-cryptography
ENISA,ENISA,European Union Agency for Cybersecurity — EU's PQC guidance authority and EUCC scheme co-manager,Government & Defense;Technology;Finance & Banking,European Union,yes,Ongoing,ENISA published the landmark 2022 Post-Quantum Cryptography report and subsequent PQC guidelines adopted across EU member states. Co-manages the EUCC certification scheme with ECCG. Provides technical support for NIS2 implementation and coordinates EU-wide PQC migration readiness. ENISA's guidelines are the primary reference for EU organizations planning PQC transitions.,ENISA,ENISA PQC Guidelines,European Union:EC,standardization_body,https://www.enisa.europa.eu/topics/cryptography/post-quantum-cryptography
ISO-IEC,ISO/IEC JTC 1/SC 27,"ISO/IEC Joint Technical Committee 1, Subcommittee 27 — international body standardizing PQC algorithms for global adoption",Government & Defense;Technology;Finance & Banking;Healthcare,Global,yes,Ongoing,"ISO/IEC JTC 1/SC 27 Working Group 2 standardizes cryptographic mechanisms for global use. Key PQC work items: ISO/IEC 14888-4 (ML-DSA/Dilithium digital signatures, under development), ISO/IEC 18033 series (encryption, ML-KEM alignment). ISO standards often harmonize with NIST outputs to enable global adoption outside US jurisdiction. Relevant for organizations requiring internationally recognized standards beyond NIST FIPS.",ISO/IEC,,,standardization_body,https://www.iso.org/committee/45306.html
IETF,IETF,"Internet Engineering Task Force — open standards body integrating PQC algorithms into internet protocols (TLS, SSH, CMS, S/MIME)",Technology;Telecommunications;Finance & Banking,Global,yes,Ongoing,"IETF's PQUIP (Post-Quantum Use In Protocols) working group coordinates PQC integration across the internet protocol stack. 30+ active RFCs and drafts for PQC in 2025-2026 including: RFC 9881/9882 (ML-DSA in X.509/CMS), RFC 9794 (hybrid terminology), RFC 9814 (SLH-DSA in CMS), draft-ietf-tls-ecdhe-mlkem (TLS 1.3 hybrid), draft-ietf-lamps-pq-composite-kem (composite KEM). 6+ drafts in RFC Editor Queue as of early 2026.",IETF,RFC 9794;RFC 9881;RFC 9882;draft-ietf-tls-ecdhe-mlkem-04;draft-ietf-pquip-pqc-engineers-14,,standardization_body,https://datatracker.ietf.org/wg/pquip/about/
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,Government & Defense;Finance & Banking;Technology,United States;Canada;Australia,yes,2030 (NIST IR 8547 deprecation target),"CMVP validation will require PQC algorithm support. FIPS 203/204/205 already published. The 2030 date reflects NIST IR 8547's timeline for deprecating 112-bit classical asymmetric algorithms. Important milestone: all FIPS 140-2 certificates move to the Historical list on September 21 2026 — after that date only FIPS 140-3 validated modules may be procured for new federal systems.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-module-validation-program
COMMON-CRITERIA,Common Criteria,International security evaluation framework,Government & Defense;Technology,Global,yes,Ongoing — PQC protection profiles emerging,New protection profiles for PQC are being developed. Certification timelines vary by scheme.,CC Recognition Arrangement,EUCC v2.0 ACM,,certification_body,https://www.commoncriteriaportal.org
ANSSI,ANSSI,French national cybersecurity agency regulation,Government & Defense;Finance & Banking,France,yes,"2025-2030 (phased; mandatory PQC qualification by 2027)","French regulation requires hybrid PQC for new systems. Full migration by 2030. ANSSI issued first PQC security certifications Sept-Oct 2025 (Thales Smartcard MultiApp 5.2 Premium PQC, Samsung S3SSE2A). Updated PQC FAQ published Oct 2025 with comprehensive algorithm guidance. Mandatory PQC qualification requirement effective 2027.",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025,France:ANSSI,compliance_framework,https://www.ssi.gouv.fr
CNSA-2,CNSA 2.0,NSA mandate for national security systems,Government & Defense,United States,yes,"2025-2033 (phased by category)","NSA mandate for U.S. national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud prefer 2025 exclusively 2033; networking prefer 2026 exclusively 2030; OS prefer 2027 exclusively 2033; niche/legacy 2030-2033. Revised May 2025 algorithm document specifies ML-KEM-1024, ML-DSA-87, AES-256, SHA-384/512, LMS/XMSS. Executive Order 14306 (June 2025) ties CNSA 2.0 to federal procurement mandates via CISA product category list.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum;EO-14306;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://www.nsa.gov/Cybersecurity/CNSA-2-0/
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,Technology;Finance & Banking,European Union,yes,"2026 (wallet deployments); 2030 (PQC high-risk); 2035 (PQC full)","EU Digital Identity framework (Regulation 2024/1183, effective May 2024). Member states have 24 months to deploy at least one national wallet — targeting May 2026. EUDI Wallet ARF specifies PQC migration roadmap: Dec 2026 national PQC roadmaps, Dec 2030 high-risk migration, Dec 2035 full PQC transition. ENISA wallet security analysis identifies wallet providers as high-impact targets for early PQC adoption.",European Commission,ENISA PQC Guidelines;EUDI-Wallet-ARF;ENISA-EUDI-Wallet-Security,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/eidas-regulation
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,Finance & Banking;Retail & E-Commerce,Global,no,No explicit PQC timeline yet,"PCI DSS 4.0 Requirement 12.3.3 (mandatory since March 2025) requires documented cryptographic cipher suite inventory and a plan for anticipated crypto changes — effectively a crypto-agility mandate. Payment card industry will follow NIST guidance for PQC algorithm specifics.",PCI SSC,,,compliance_framework,https://www.pcisecuritystandards.org
HIPAA,HIPAA,US health data privacy and security rule,Healthcare,United States,no,No explicit PQC timeline yet,Healthcare data has long sensitivity periods — HNDL risk is significant.,HHS OCR,,,compliance_framework,https://www.hhs.gov/hipaa
GSMA-NG116,GSMA NG.116 / FS.40,GSMA PQC guidelines for mobile network operators,Telecommunications,Global,yes,2026-2028,Mobile network operator PQC guidance from GSMA. Covers 5G and beyond.,GSMA,GSMA PQ.03 PQC Guidelines,International:GSMA,compliance_framework,https://www.gsma.com/solutions-and-impact/technologies/networks/ng116/
ETSI-TS103744,ETSI TS 103 744,ETSI quantum-safe cryptography for telecommunications,Telecommunications,European Union,yes,Ongoing,ETSI specification for quantum-safe algorithms in telecom protocols.,ETSI,ETSI TR 103 619;ETSI TS 103 744,International:ETSI/IQC,technical_standard,https://www.etsi.org/committee/1430-cyber
DORA,DORA (EU Digital Operational Resilience),EU financial sector ICT risk and resilience regulation,Finance & Banking,European Union,yes,2025 (effective),Operational resilience requirements for EU financial entities. Crypto risk in scope.,EBA/ESMA/EIOPA,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://www.eba.europa.eu/regulation-and-policy/operational-resilience/digital-operational-resilience-act-dora
SWIFT-CSP,SWIFT CSP,SWIFT Customer Security Programme mandatory controls,Finance & Banking,Global,no,Annual,Annual security attestation required for SWIFT network participants.,SWIFT,,,compliance_framework,https://www.swift.com/our-solutions/compliance-and-shared-services/security/customer-security-programme
ISO-27001,ISO 27001,International information security management standard,Finance & Banking;Technology;Healthcare;Telecommunications;Energy & Utilities,Global,no,Ongoing,Widely adopted ISMS standard. No explicit PQC deadline but requires crypto risk management.,ISO/IEC,,,technical_standard,https://www.iso.org/standard/27001
SOC-2,SOC 2,Service Organization Control 2 trust services criteria,Technology;Finance & Banking;Healthcare,United States;Canada,no,Ongoing,Trust Services Criteria. Cryptographic controls reviewed in SOC 2 Type II audits.,AICPA,,,compliance_framework,https://www.aicpa-cima.com/topic/audit-assurance/audit-and-assurance-excellence/soc-2
GDPR,GDPR,EU General Data Protection Regulation,Healthcare;Technology;Finance & Banking;Retail & E-Commerce;Education,European Union,no,Ongoing,Art. 32 requires appropriate encryption. PQC becoming expected standard for long-lived personal data.,EU DPAs,ENISA PQC Guidelines,European Union:EC,compliance_framework,https://gdpr.eu
HITECH,HITECH Act,Health Information Technology for Economic and Clinical Health Act,Healthcare,United States,no,Ongoing,Extends HIPAA enforcement. Mandates breach notification and strong encryption for ePHI.,HHS OCR,,,compliance_framework,https://www.hhs.gov/hipaa/for-professionals/special-topics/hitech-act-enforcement-interim-final-rule/index.html
FDA-21CFR11,FDA 21 CFR Part 11,Electronic records and signatures in FDA-regulated industries,Healthcare,United States,no,Ongoing,Signature integrity requirements applicable to PQC migration for regulated medical software.,FDA,,,compliance_framework,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/part-11-electronic-records-electronic-signatures-scope-and-application
FEDRAMP,FedRAMP,Federal Risk and Authorization Management Program,Government & Defense,United States,yes,Ongoing (Rev 5 — PQC guidance expected),Cloud service authorization for U.S. federal agencies. Rev 5 (2023) updated baseline controls; explicit PQC requirements are expected in forthcoming guidance.,GSA/FedRAMP PMO,CISA-PQC-CATEGORY-LIST-2026;EO-14306;GSA-PQC-Buyers-Guide-2025,United States:NIST,certification_body,https://www.fedramp.gov
DISA-STIG,DISA STIGs,Defense Information Systems Agency Security Technical Implementation Guides,Government & Defense,United States,yes,Ongoing,Mandatory hardening guides for U.S. DoD systems. Crypto requirements updated regularly.,DISA,NSA CNSA 2.0;DoD-CIO-PQC-Memo-2025,United States:NSA,compliance_framework,https://public.cyber.mil/stigs/
NATO-4774,NATO STANAG 4774,NATO confidentiality metadata labeling standard,Government & Defense,United States;European Union;Canada;Czech Republic;Australia,yes,Ongoing,Coalition partner interoperability requirements. PQC transition affects classified data exchange.,NATO,,NATO:NATO,compliance_framework,https://www.nato.int/cps/en/natohq/topics_78170.htm
ISO-SAE-21434,ISO/SAE 21434,Road vehicle cybersecurity engineering standard,Automotive,Global,yes,Ongoing,Full vehicle lifecycle security including post-quantum readiness. Required for new type approvals.,ISO/SAE,IEEE 1609.2 Amendment,,technical_standard,https://www.iso.org/standard/70918.html
UN-ECE-WP29,UN ECE WP.29 R155/R156,UN regulations for vehicle cybersecurity and software updates,Automotive,European Union,yes,Ongoing,Type approval requires cybersecurity management systems and secure OTA update processes.,UNECE,,,compliance_framework,https://unece.org/transport/vehicle-regulations
