industry,use_case_id,use_case_label,use_case_icon,protocols_current,protocols_target,pqc_claim_basis,classical_mechanisms,pqc_mechanisms,migration_status,summary,related_standards,main_source,source_url,trusted_source_id,local_file,peer_reviewed,vetting_body,confidence_score,last_verified,status,deprecated_at,deprecated_reason,learn_module_id,playground_tools,mechanism_refs,no_protocol_reason,source_library_ref,source_citation_type,migrate_product_refs,fips_140,fips_140_level,common_criteria,common_criteria_profile,common_criteria_scheme,pci_certification,pci_certification_program,national_certification,national_certification_scheme,hsm_certification_logic,hsm_certification_refs,certification_future,certification_future_date,certification_future_refs
Aerospace / Aviation,aero-avionics-pki,Avionics & flight-system authentication,Cpu,x509,x509,standardised,RSA;ECDSA,ML-DSA,none,"Aircraft avionics rely on RSA/ECDSA PKI (ARINC 664 networks, flight management systems) with 30–40-year service lives and no practical mid-life crypto retrofit path (RTCA DO-326A/DO-356A airworthiness security processes).",,ICAO Assembly Resolution A41-19,https://www.icao.int/sites/default/files/sp-files/aviationcybersecurity/Documents/A41-19.pdf,icao,threats/AERO-003.pdf,no,ICAO,0.85,2026-07-29,active,,,aerospace-pqc,pki-workshop;hybrid-certs;cert-capacity,RFC 5280;RFC 9881,,ICAO-Assembly-Resolution-A41-19-Aviation-Cybersecurity,driver,,none,,none,,,none,,none,,,ICAO-Assembly-Resolution-A41-19-Aviation-Cybersecurity;EU-2023-203-Part-IS,,,
Aerospace / Aviation,aero-satcom,Satellite communications & ground links,Satellite,ike-ipsec;tls-1-3,ike-ipsec;tls-1-3,standardised,RSA;ECDSA;ECDH,ML-KEM;ML-DSA,pilot,Military and commercial satellite uplinks/downlinks use RSA/ECDSA with 15–25-year operational lifespans; NSA CNSA 2.0 mandates quantum-resistant algorithms for national-security space systems by 2033.,CNSA-2.0,NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,nsa-media,threats/AERO-002.pdf,yes,ISO,0.85,2026-07-29,active,,,aerospace-pqc,vpn-sim;tls-simulator;openssl-studio,IETF RFC 7296;draft-ietf-ipsecme-ikev2-pqc-auth-08;RFC 8784;draft-ietf-tls-ecdhe-mlkem-05,,NSA CNSA 2.0,technical,,mandated,140-3 L3,mandated,NIAP-approved PPs carrying CNSA 2.0 algorithms (none named by CNSSP-11),NIAP,none,,mandated,"NSA CNSA 2.0 / CNSSP 11 / CNSSP 15 -- NSA approval, not FIPS validation, is the actual NSS acceptance test",all-of,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NIST SP 800-208,,,
Aerospace / Aviation,aero-atc-datalink,Air-traffic control data links (ADS-B/ACARS),Radio,,,proposed,ECDSA;ECDH,ML-KEM,none,ADS-B broadcasts are unauthenticated and ACARS messaging uses legacy RSA-based protection; ICAO Assembly Resolution A41-19 frames the aviation cybersecurity obligations these links fall under.,,ICAO Assembly Resolution A41-19,https://www.icao.int/sites/default/files/sp-files/aviationcybersecurity/Documents/A41-19.pdf,icao,threats/AERO-003.pdf,no,ICAO,0.85,2026-08-13,active,,,aerospace-pqc,cert-capacity,IACR-2024-046-Aviation-Quantum-Secure,"ADS-B broadcasts are unauthenticated and ACARS message security is specified in ARINC 823, which is not an IETF/consortium protocol tracked by the matrix.",ICAO-Assembly-Resolution-A41-19-Aviation-Cybersecurity,driver,,none,,none,,,none,,none,,,ICAO-Assembly-Resolution-A41-19-Aviation-Cybersecurity;IACR-2024-046-Aviation-Quantum-Secure,,,
Automotive / Connected Vehicles,auto-v2x,V2X message signing (IEEE 1609.2),Antenna,x509,x509,standardised,ECDSA,ML-DSA,draft,Vehicle-to-everything messages are signed with ECDSA P-256 under IEEE 1609.2 certificate hierarchies; a PQC amendment for V2X is in progress while ISO/SAE 21434 governs the vehicle cybersecurity lifecycle.,,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-001.html,yes,ISO,0.85,2026-07-29,active,,,automotive-pqc,pki-workshop;cert-capacity;hybrid-certs,RFC 9881,,,,,mandated,140-3 L3,mandated,BSI-CC-PP-0114-2021 V2X HSM,SOG-IS / BSI,none,,none,,any-of,UNECE-WP29-R155;C-ITS-Certificate-Policy-Release-3.0;BSI-CC-PP-0114-V2X-HSM;SCMS-Manager-EE-Requirements-v1-00,,,
Automotive / Connected Vehicles,auto-secure-boot,ECU secure boot & OTA update signing,ShieldCheck,uefi,uefi,standardised,RSA;ECDSA,ML-DSA;LMS,draft,ECU firmware verification and over-the-air update signing chains use RSA/ECDSA today; hash-based (LMS) and ML-DSA signing are the candidate replacements for long-lived vehicle platforms whose cybersecurity lifecycle ISO/SAE 21434 governs.,,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-001.html,yes,ISO,0.85,2026-08-13,active,,,automotive-pqc,firmware-signing;lms-hss;sbx-firmware-hss,UEFI-SPEC-2.10-SecureBoot;NIST SP 800-208;FIPS 204,,,,,none,,none,,,none,,none,,,UNECE-WP29-R155;UNECE-R156;NIST SP 800-208,,,
Automotive / Connected Vehicles,auto-telematics,Telematics & connected-car cloud APIs,Smartphone,tls-1-3;tls-1-2,tls-1-3,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,Connected-car telematics and OTA delivery ride on TLS where hybrid ML-KEM key establishment is already deployable; UNECE R155/R156 make cybersecurity and software-update management type-approval requirements.,,UNECE WP.29 Regulations R155/R156,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A42021X0387,unece,threats/AUTO-003.html,no,,0.85,2026-07-29,active,,,automotive-pqc,tls-simulator;openssl-studio;sbx-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,UNECE-WP29-R155,driver,,none,,none,,,none,,none,,,UNECE-WP29-R155;EU-CRA-REG-2024-2847,,,
Automotive / Connected Vehicles,auto-invehicle,In-vehicle networks & HSM key storage,Cpu,macsec,macsec,none,ECDH;ECDSA,,none,"In-vehicle Ethernet security, CAN authentication, and general automotive HSM key storage rely on classical ECC with no deployed PQC path yet, and no cryptographic-module certification is mandated for this general case -- searched directly, not assumed. (Digital tachograph components carry a real, narrower Common Criteria mandate: see auto-tachograph.)",,ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,iso-iec-sc27,threats/AUTO-004.html,yes,ISO,0.85,2026-08-13,active,,,automotive-pqc,kdf-derivation;hsm-capacity,AUTOSAR-CP-SWS-CryptoDriver-R23-11,,,,,none,,none,,,none,,none,,,,,,
Cloud Computing / Data Centers,cloud-kms,Cloud KMS / BYOK key wrapping,KeyRound,kmip;pkcs11,kmip;pkcs11,standardised,RSA;ECDH,ML-KEM,production,"Cloud key-management services, BYOK/HYOK import, and secrets management wrap keys under RSA/ECDH; ML-KEM-based wrapping has moved past pilot stage — AWS KMS, Certificate Manager, and Secrets Manager now support ML-KEM hybrid post-quantum key agreement (hybridized with X25519) generally available in all AWS Regions, alongside PKCS#11 v3.2 and KMIP profile work elsewhere in the ecosystem.",KMIP-2.1,Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/a-practitioners-guide-to-post-quantum-cryptography,csa-cloud,threats/CLOUD-002.html,no,Cloud Security Alliance,0.85,2026-08-13,active,,,kms-pqc,envelope-encrypt;cacp-kmip;sbx-cloud-kms,KMIP-V2-1-OASIS;FIPS 203;AWS-Security-Blog-ML-KEM-Post-Quantum-TLS-in-KMS-ACM-Secrets,,CSA-PQC-Guide-2025,technical,,mandated,140-3 L3,mandated,applicable NIAP Protection Profiles (not named by the SRG),NIAP,none,,none,,all-of,DoD-Cloud-Service-Provider-SRG-V1R7,,,
Cloud Computing / Data Centers,cloud-tenant-tls,Tenant-facing TLS & API endpoints,Globe,tls-1-3,tls-1-3,adopted,RSA;ECDSA;ECDH;X25519,ML-KEM,production,"Hyperscaler front doors terminate TLS for tenant workloads; hybrid X25519+ML-KEM key establishment is in production across major clouds, and NIST IR 8547 frames the federal transition expectations.",NIST-IR-8547,NIST IR 8547 / NIST SP 800-210,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,nist-csrc,threats/CLOUD-003.pdf,yes,NIST,0.85,2026-07-29,active,,,kms-pqc,tls-simulator;sbx-tls;sbx-browser-tls,RFC-9846-The-Transport-Layer-Security-TLS-Protocol-Version-1;draft-ietf-tls-ecdhe-mlkem-05,,NIST IR 8547,driver,,mandated,not-specified,none,,,none,,none,,all-of,DoD-Cloud-Service-Provider-SRG-V1R7,,,
Cloud Computing / Data Centers,cloud-hsm-roots,Cloud HSM root keys & FIPS modules,Server,pkcs11,pkcs11,standardised,RSA;ECDSA,ML-KEM;ML-DSA,production,"Cloud HSM root keys, tenant isolation keys, and FIPS 140-3 module boundaries anchor on RSA/ECDSA; PQC key types have reached general availability in validated modules — Google Cloud KMS now offers GA quantum-safe digital signatures (ML-DSA-44/65/87, SLH-DSA-SHA2-128s) and ML-KEM key encapsulation, alongside NIST SP 800-210's cloud access-control expectations.",,NIST SP 800-210 Cloud Access Control,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-210.pdf,nist-csrc,threats/CLOUD-004.pdf,yes,NIST,0.85,2026-07-29,active,,,kms-pqc,hsm-capacity;token-migration;sbx-hsm-perf-bench,PKCS11-V32-OS-OASIS;Google-Cloud-Blog-Quantum-Safe-Digital-Signatures-in-Cloud-K,,NIST-SP-800-210-General-Access-Control-Guidance-for-Cloud-Sy,technical,,mandated,140-3 L3,mandated,applicable NIAP Protection Profiles (not named by the SRG),NIAP,none,,none,,all-of,DoD-Cloud-Service-Provider-SRG-V1R7,,,
