"industry","threat_id","threat_description","criticality","crypto_at_risk","pqc_replacement","main_source","source_url","accuracy_pct","related_modules","trusted_source_id","local_file","peer_reviewed","vetting_body"
"Aerospace / Aviation","AERO-001","Aircraft avionics cryptographic exposure: RTCA DO-326A defines airworthiness security processes for aircraft systems with 30-40 year service lives. ARINC 664 (AFDX) network security and flight management systems rely on RSA/ECDSA. Aircraft entering service today will operate well beyond CRQC arrival with no practical mid-life cryptographic retrofit path.","Critical","Avionics PKI, ARINC 664 network security, flight management system authentication","Crypto-agile avionics design, ML-DSA for flight software signing, hybrid certificate chains","RTCA DO-326A / DO-356A Airworthiness Security","https://www.rtca.org/wp-content/uploads/2020/02/DO-326A-Airworthiness-Security-Process-Specification.html","80","code-signing|kms-pqc|hsm-pqc|iot-ot-pqc|aerospace-pqc","","public/threats/AERO-001.html","no",""
"Aerospace / Aviation","AERO-002","Satellite communication HNDL vulnerability: Military and commercial satellites have 15-25 year operational lifespans. NSA CNSA 2.0 mandates PQC for all national security systems including satellite uplink/downlink by 2035. Currently intercepted satellite communications are harvestable for future quantum decryption.","Critical","Satellite uplink/downlink RSA/ECDSA, ground station TLS, inter-satellite link encryption","ML-KEM-1024, ML-DSA-87 per CNSA 2.0, AES-256","NSA CNSA 2.0 Cybersecurity Advisory","https://media.defense.gov/2022/Sep/07/2003071834/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS_.PDF","80","kms-pqc|hsm-pqc|vpn-ssh-pqc|hybrid-crypto|aerospace-pqc","","","yes","ISO"
"Aerospace / Aviation","AERO-003","Air traffic management authentication gap: ICAO Assembly Resolution A41-19 (2022) addresses aviation cybersecurity but ADS-B transmissions remain unencrypted and unauthenticated. ADS-B currently lacks any cryptographic protection; quantum computing becomes relevant when authenticated ADS-B is deployed using public-key cryptography, which would itself require PQC to remain secure.","High","ADS-B (unencrypted), Mode S, ATC data links, ACARS messaging","Authenticated ADS-B with ML-DSA, quantum-safe ATC protocols","ICAO Assembly Resolution A41-19","https://www.icao.int/events/a41/resolutions","80","quantum-threats|pqc-101|aerospace-pqc","","public/threats/AERO-003.html","no",""
"Automotive / Connected Vehicles","AUTO-001","V2X PKI quantum transition: ISO/SAE 21434 (published August 2021) establishes cybersecurity engineering requirements for road vehicles. V2X communications use ECDSA P-256 certificates per IEEE 1609.2. Vehicles have 12+ year lifecycles meaning 2026 production vehicles remain on roads through 2038+ when CRQCs may be operational.","Critical","ECDSA P-256 V2X certificates, IEEE 1609.2 PKI, digital key infrastructure","ML-DSA V2X certificates, hybrid V2X authentication, FN-DSA for constrained ECUs","ISO/SAE 21434 Road Vehicle Cybersecurity","https://www.iso.org/standard/70918.html","80","iot-ot-pqc|pki-workshop|hybrid-crypto|automotive-pqc","","public/threats/AUTO-004.html","yes","ISO"
"Automotive / Connected Vehicles","AUTO-002","OTA firmware update signature forgery: Over-the-Air update mechanisms for modern connected vehicles use RSA/ECDSA code signing. Quantum forgery of update signatures enables malicious code injection into vehicle ECUs controlling braking, steering, and powertrain systems.","Critical","RSA/ECDSA code signing, secure boot chains, ECU firmware verification","ML-DSA firmware signing, SLH-DSA for safety-critical ECUs, dual-signature verification","SAE J3061 / ISO/SAE 21434 Vehicle Cybersecurity","https://www.sae.org/standards/content/j3061_202112/","80","code-signing|iot-ot-pqc|stateful-signatures|automotive-pqc|secure-boot-pqc","","public/threats/AUTO-002.html","yes","ISO"
"Automotive / Connected Vehicles","AUTO-003","UNECE WP.29 R155/R156 cybersecurity regulation gap: Mandatory for new vehicle type approvals in EU since July 2022 and extended to all new vehicles July 2024. Requires cybersecurity management systems and secure OTA updates but does not yet address post-quantum cryptography creating a future compliance gap.","High","TLS for telematics, RSA/ECDSA for OTA signing, connected car cloud API authentication","Hybrid TLS 1.3 with ML-KEM, ML-DSA OTA signing, crypto-agile telematics","UNECE WP.29 Regulations R155/R156","https://unece.org/transport/vehicle-regulations","75","tls-basics|iot-ot-pqc|hybrid-crypto|automotive-pqc","","","no",""
"Automotive / Connected Vehicles","AUTO-004","In-vehicle network security quantum exposure: ISO/SAE 21434 covers the full vehicle cybersecurity lifecycle including CAN bus, LIN, FlexRay, and automotive Ethernet backbone networks. Embedded ECUs have limited computational resources and constrained crypto-agility, making mid-lifecycle PQC migration impractical for vehicles already in production.","High","CAN bus authentication, secure boot in ECUs, in-vehicle Ethernet encryption, HSM key storage","Hardware security modules with PQC support, crypto-agile ECU design, ML-DSA for secure boot","ISO/SAE 21434 Road Vehicle Cybersecurity","https://www.iso.org/standard/70918.html","75","iot-ot-pqc|kms-pqc|hsm-pqc|crypto-agility|automotive-pqc|secure-boot-pqc","","public/threats/AUTO-004.html","yes","ISO"
"Cloud Computing / Data Centers","CLOUD-001","Cloud backup and disaster recovery HNDL risk: Air-gapped backups and long-term archival storage encrypted with RSA/ECDSA key wrapping are vulnerable to harvest-now-decrypt-later. Cloud backup data often retained for 7+ years for compliance.","High","Backup encryption key wrapping, archival storage TLS, disaster recovery replication","PQC-enabled backup encryption, ML-KEM key wrapping, AES-256 for archival","Cloud Security Alliance Quantum-Safe Guidelines","https://cloudsecurityalliance.org/research/working-groups/quantum-safe-security","75","kms-pqc|hsm-pqc|hybrid-crypto|data-asset-sensitivity|secrets-management-pqc","","public/threats/CLOUD-002.html","no",""
"Cloud Computing / Data Centers","CLOUD-002","Cloud Security Alliance quantum readiness guidance: CSA published quantum-safe security guidance identifying crypto-agility as critical requirement for cloud deployments. Multi-cloud environments using 5+ key management systems face fragmented PQC migration paths.","High","Cloud KMS key wrapping, multi-cloud encryption, BYOK/HYOK solutions, secrets management","Unified PQC key management, ML-KEM cloud HSM integration, crypto-agile KMS","Cloud Security Alliance Quantum-Safe Security","https://cloudsecurityalliance.org/research/working-groups/quantum-safe-security","75","kms-pqc|hsm-pqc|crypto-agility|secrets-management-pqc","","public/threats/CLOUD-002.html","no",""
"Cloud Computing / Data Centers","CLOUD-003","Federal cloud PQC compliance requirements: NIST SP 800-210 general access control guidance for cloud systems combined with NIST IR 8547 deprecation timeline means federal cloud deployments must transition to PQC by 2030. FedRAMP and StateRAMP certifications will require FIPS 203/204/205 compliance.","Critical","Federal cloud TLS, FedRAMP-authorized encryption, cloud HSM FIPS modules","FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) cloud implementations","NIST IR 8547 / NIST SP 800-210","https://csrc.nist.gov/pubs/ir/8547/ipd","80","compliance-strategy|migration-program|pqc-101|pqc-governance","","public/threats/CROSS-002.html","yes","NIST"
