question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
data-asset-sensitivity-learn-001,data-asset-sensitivity,Data & Asset Sensitivity,What are the four tiers defined in the data sensitivity classification model described in the module?,"The module defines a four-tier data sensitivity classification model consisting of Low, Medium, High, and Critical. These tiers are used to categorize organizational data assets based on their importance and potential impact if compromised. This classification is foundational for determining subsequent risk assessments and PQC migration priorities.",learn,recall,architect;developer;ops,beginner;intermediate,Global,General,,,,,,,,/learn/data-asset-sensitivity,,Topics Covered: Four-tier data sensitivity classification model
data-asset-sensitivity-learn-002,data-asset-sensitivity,Data & Asset Sensitivity,Which specific global data protection regulations are explicitly listed in the module's topics?,"The module explicitly lists GDPR, HIPAA, PCI DSS, CCPA/CPRA, NIS2, and DORA as key global data protection regulations. It also references FIPS 140-3, CNSA 2.0, NIST IR 8547, and ISO 27001 in the context of compliance and standards. These regulations form the basis for mapping compliance obligations to specific data assets.",learn,recall,executive;architect;ops,beginner;intermediate,Global,General,NIST IR 8547,,,,,,DORA;GDPR;HIPAA;NIS2;NIST,/library?ref=NIST%20IR%208547;/learn/data-asset-sensitivity,library_ref:NIST IR 8547 EXISTS|compliance_ref:DORA EXISTS|compliance_ref:GDPR EXISTS|compliance_ref:HIPAA EXISTS|compliance_ref:NIS2 EXISTS|compliance_ref:NIST EXISTS,Topics Covered: Global data protection regulations
data-asset-sensitivity-learn-003,data-asset-sensitivity,Data & Asset Sensitivity,What are the six steps of the NIST Risk Management Framework (RMF) process mentioned in the content?,"The NIST RMF process described in the module follows a six-step sequence: Prepare, Categorize, Select, Implement, Assess, and Monitor. This framework is identified as NIST SP 800-37 and is used to manage risk throughout the lifecycle of information systems. It serves as one of the primary methodologies for assessing data asset sensitivity.",learn,recall,architect;developer;ops,intermediate,USA,General,NIST SP 800-37,,,,,,NIST,/library?ref=NIST%20SP%20800-37;/learn/data-asset-sensitivity,library_ref:NIST SP 800-37 EXISTS|compliance_ref:NIST EXISTS,Topics Covered: NIST Risk Management Framework (RMF) SP 800-37
data-asset-sensitivity-learn-004,data-asset-sensitivity,Data & Asset Sensitivity,What is the formula provided for calculating HNDL risk windows?,"The module defines the HNDL (Harvest Now, Decrypt Later) risk window formula as CRQC arrival minus retention years. This calculation helps organizations understand the time window during which data remains vulnerable to future quantum decryption attacks. It is a critical metric for prioritizing PQC migration efforts.",learn,recall,architect;researcher;developer,intermediate,Global,General,,,,,,,,/learn/data-asset-sensitivity,,"Topics Covered: HNDL (Harvest Now, Decrypt Later) risk windows"
data-asset-sensitivity-learn-005,data-asset-sensitivity,Data & Asset Sensitivity,Which PQC algorithms are mentioned for selection based on sensitivity tier and asset type?,The module mentions ML-KEM and ML-DSA as specific PQC algorithms for selection. It also notes that hybrid combinations of these algorithms may be used depending on the sensitivity tier and asset type. These selections are part of generating a prioritized PQC migration list.,learn,recall,developer;architect;researcher,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/data-asset-sensitivity,algorithm:KEM IN algorithms_csv,Topics Covered: PQC algorithm selection by sensitivity tier and asset type
data-asset-sensitivity-workshop-006,data-asset-sensitivity,Data & Asset Sensitivity,What are the five workshop steps outlined for the Data & Asset Sensitivity Assessment?,"The five workshop steps are: Asset Inventory Builder, Compliance Matrix, Risk Methodology Explorer, Sensitivity Scoring Engine, and PQC Migration Priority Map. These steps guide users through cataloging assets, mapping regulations, applying risk models, scoring sensitivity, and generating migration plans. Each step builds upon the previous to create a comprehensive assessment.",workshop,recall,architect;ops;executive,intermediate,Global,General,,,,,,,,/learn/data-asset-sensitivity,,Workshop: 1-5 steps
data-asset-sensitivity-learn-007,data-asset-sensitivity,Data & Asset Sensitivity,How does the module define the relationship between asset types and sensitivity classification?,"The module establishes an asset type taxonomy that includes data stores, key material, communications, credentials, and code artifacts. These asset types are then classified using the four-tier sensitivity model (Low, Medium, High, Critical). The combination of asset type and sensitivity tier determines the specific risk profile and PQC requirements.",learn,comprehension,architect;developer;ops,intermediate,Global,General,,,,,,,,/learn/data-asset-sensitivity,,Topics Covered: Asset type taxonomy; Four-tier data sensitivity classification model
data-asset-sensitivity-learn-008,data-asset-sensitivity,Data & Asset Sensitivity,Why is the HNDL risk window calculation critical for PQC migration planning?,"The HNDL risk window calculation is critical because it quantifies the time remaining before a quantum computer could decrypt currently harvested data. By subtracting retention years from the estimated CRQC arrival, organizations can identify which long-retained assets are most vulnerable to future attacks. This directly informs the urgency of migrating those specific assets to PQC algorithms.",learn,comprehension,architect;executive;researcher,intermediate,Global,General,,,,,,,,/learn/data-asset-sensitivity,,"Topics Covered: HNDL (Harvest Now, Decrypt Later) risk windows"
data-asset-sensitivity-learn-009,data-asset-sensitivity,Data & Asset Sensitivity,How do the NIST RMF and ISO 27005 methodologies differ in their approach to risk assessment as described?,"NIST RMF follows a structured six-step lifecycle process (Prepare to Monitor) focused on system categorization and control implementation. In contrast, ISO 27005 emphasizes threat scenario modeling and uses a 5x5 likelihood versus consequence matrix to determine treatment options. Both are used in the module to provide comparative risk outputs for assets.",learn,comprehension,architect;ops;researcher,intermediate;advanced,Global,General,,,,,,,NIST,/learn/data-asset-sensitivity,compliance_ref:NIST EXISTS,Topics Covered: NIST Risk Management Framework (RMF); ISO 27005 risk assessment
data-asset-sensitivity-workshop-010,data-asset-sensitivity,Data & Asset Sensitivity,What is the purpose of the 'Conflict Resolver' step in the workshop?,"The Conflict Resolver step addresses scenarios where multiple regulatory frameworks, such as GDPR, HIPAA, CNSA 2.0, and FIPS 140-3, provide conflicting sensitivity classifications for the same asset. Its purpose is to determine which tier governs the asset when these mandates disagree. This ensures a unified compliance strategy that satisfies the most stringent requirements.",workshop,comprehension,architect;executive;ops,intermediate,Global,General,,,,,,,GDPR;HIPAA,/learn/data-asset-sensitivity,compliance_ref:GDPR EXISTS|compliance_ref:HIPAA EXISTS,Workshop Steps: Step 3: Conflict Resolver
