reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets (512, 768, 1024) for quantum-resistant key establishment. Errata Oct 2024.",Algorithm,"Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure",NIST,"NIST PQC Project; CRYSTALS-Kyber",USA; Global,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping","OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs",High,Validated,KEM
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms with three parameter sets (44, 65, 87). Errata Oct 2024.",Algorithm,"IT; Finance; Telecom; Government; Identity Management",NIST,"CRYSTALS-Dilithium; FIPS 186-5",USA; Global,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature","OpenSSL 3.5+; BoringSSL; AWS-LC; liboqs",High,Validated,Digital Signature
FIPS 205,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies SLH-DSA (SPHINCS+) stateless hash-based signatures with 12 parameter sets.",Algorithm,"Firmware; Critical Infrastructure; Software Updates; Long-term Archival",NIST,"SPHINCS+; SP 800-208",USA; Global,"Hash-based (stateless)","L1,L3,L5","CMS signatures, software signing, long-term archival signing","liboqs; BoringSSL; Bouncy Castle",Medium,Validated,Digital Signature
FIPS 206,FFT over NTRU-Lattice-Based Digital Signature Algorithm (FN-DSA),https://csrc.nist.gov/projects/post-quantum-cryptography,2025-01-01,2025-12-09,Draft in Development,"Specifies FN-DSA (FALCON) compact signature algorithm. Expected draft 2026, final 2027.",Algorithm,"Constrained Devices; IoT; Embedded Systems; Mobile",NIST,"FALCON; FIPS 186-5",USA; Global,Lattice-based (NTRU),"L1,L5","Compact signatures for resource-constrained environments","In development",High,New,Digital Signature
FIPS 186-5,Digital Signature Standard (DSS),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-5.pdf,2023-02-03,2025-05-12,Final Standard,"Specifies RSA, ECDSA, EdDSA. Removes DSA. Errata May 2025. Transition to PQC planned.",Algorithm,"IT; Finance; Gov; Web PKI",NIST,"PKCS#1; EdDSA RFCs",USA; Global,Classical,"Various","TLS, CMS, PKI, code signing",Universal,Medium,Validated,Digital Signature
NIST SP 800-208,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,2020-10-29,2020-10-29,Final,"Specifies LMS and XMSS stateful hash-based signature schemes for firmware signing.",Algorithm,"Firmware; Embedded Systems; IoT; Boot Security",NIST,"RFC 8554; RFC 8391",USA; Global,"Hash-based (stateful)","L1-L5 equivalent","Firmware signing, secure boot, archival","wolfSSL; Bouncy Castle",Medium,Validated,Digital Signature
NIST SP 800-227,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,2025-01-06,2025-09-18,Final,"Guidance for implementing KEMs securely including hybrid KEMs and FIPS 140 validation requirements.",Compliance/Guidance,"IT; Finance; Gov; Cloud; HSM Vendors",NIST,"FIPS 203; SP 800-56C",USA; Global,Lattice-based,"L1,L3,L5","KEM usage guidelines for TLS/VPN/SSH","Reference guidance",High,Updated,KEM
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,2024-11-12,2024-11-12,Initial Public Draft,"Roadmap for transitioning to PQC. Proposes 2030 deprecation and 2035 disallowment of classical asymmetric crypto.",Compliance/Guidance,"IT; Gov; Finance; Telecom; Cloud",NIST,"FIPS 203/204/205",USA; Global,N/A,N/A,"Enterprise-wide PQC migration planning","Migration tools",High,Validated,General PQC Migration
NIST IR 8545,Status Report on the Fourth Round of the NIST PQC Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,2025-03-11,2025-03-11,Final,"Documents HQC selection as fourth PQC standard providing code-based cryptographic diversity.",Research/Report,"IT; Cryptography Research",NIST,"FIPS 203; HQC",USA; Global,Code-based,"L1,L3,L5","Future FIPS standard (HQC)","Reference",Medium,Updated,KEM
HQC Specification,Hamming Quasi-Cyclic (HQC) Algorithm Specification,https://pqc-hqc.org/download.php?file=hqc-specification_2024-02-23.pdf,2024-02-23,2024-02-23,NIST Round 4 Selection,"Code-based KEM selected March 2025 as backup to ML-KEM. Draft FIPS expected 2026, final 2027.",Algorithm,"IT; Gov; Critical Infrastructure",NIST/HQC Team,"NIST PQC Round 4",USA; Global,Code-based,"L1,L3,L5","Future TLS/IPsec/SSH integration","Reference implementation",Medium,Updated,KEM
RFC 9629,Using Key Encapsulation Mechanism (KEM) Algorithms in CMS,https://www.rfc-editor.org/rfc/rfc9629.html,2024-08-01,2024-08-01,Proposed Standard,"Defines CMS KEMRecipientInfo structure for PQ KEMs including ML-KEM.",Protocol,"IT; Email; Web PKI; Secure Messaging","IETF LAMPS","RFC 5652; RFC 5280; FIPS 203",International,Lattice-based,"L1,L3,L5","CMS encryption, S/MIME","OpenSSL CMS",High,Validated,Protocols
RFC 9708,Use of the HSS/LMS Hash-Based Signature Algorithm in CMS,https://www.rfc-editor.org/rfc/rfc9708.html,2025-01-01,2025-01-01,Standards Track,"Updated HSS/LMS usage in CMS. Obsoletes RFC 8708.",Protocol,"Firmware; Critical Infrastructure","IETF LAMPS","RFC 8554; SP 800-208",International,"Hash-based (stateful)","L1-L5","CMS signatures for firmware","wolfSSL; Bouncy Castle",Medium,Updated,Protocols
RFC 9794,Terminology for Post-Quantum Traditional Hybrid Schemes,https://www.rfc-editor.org/rfc/rfc9794.html,2025-06-01,2025-06-01,Informational,"Defines terminology for PQ/T hybrid schemes including composite KEMs and signatures.",Guidance,"IT; Standards Bodies; Protocol Developers","IETF PQUIP","N/A",International,N/A,N/A,"Hybrid terminology standardization",N/A,High,New,General PQC Migration
RFC 9802,Use of HSS and XMSS Hash-Based Signature Algorithms in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9802.html,2025-06-01,2025-06-01,Proposed Standard,"Defines OIDs and certificate structures for stateful hash-based signatures in X.509.",PKI/Certificate,"PKI; Gov; Critical Infrastructure","IETF LAMPS","RFC 8391; RFC 8554; SP 800-208",International,"Hash-based (stateful)","L1-L5","X.509 certificates with HBS","Bouncy Castle",Medium,Updated,PKI Certificate Management
RFC 9810,Certificate Management Protocol (CMP) Updates for KEM,https://www.rfc-editor.org/rfc/rfc9810.html,2025-07-01,2025-07-01,Standards Track,"Adds KEM key transport to CMP. Obsoletes RFC 4210.",Protocol,"PKI; Enterprise CA; IoT","IETF LAMPS","RFC 9629; FIPS 203",International,Lattice-based,"L1,L3,L5","PKI certificate management with PQC","PKI implementations",Medium,Updated,PKI Certificate Management
RFC 9814,Use of SLH-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9814.html,2025-07-19,2025-07-19,Proposed Standard,"Defines SPHINCS+ (SLH-DSA) usage in Cryptographic Message Syntax.",Protocol,"IT; Critical Infrastructure; Archival","IETF LAMPS","FIPS 205; RFC 5652",International,"Hash-based (stateless)","L1,L3,L5","CMS signatures, S/MIME","liboqs",Medium,Validated,Protocols
RFC 9858,LMS Algorithm Identifiers for Alternative Hash Functions,https://www.rfc-editor.org/rfc/rfc9858.html,2025-04-01,2025-04-01,Standards Track,"Extends RFC 8554 with SHA-3 and SHAKE hash function options for LMS.",Algorithm,"Firmware; IoT","IETF CFRG","RFC 8554",International,"Hash-based (stateful)","L1-L5","Extended LMS options","Firmware implementations",Low,Updated,Digital Signature
RFC 9881,Algorithm Identifiers for ML-DSA in X.509 PKI,https://www.rfc-editor.org/rfc/rfc9881.html,2025-10-01,2025-10-01,Proposed Standard,"Defines X.509 OIDs and certificate structures for ML-DSA (Dilithium) signatures.",PKI/Certificate,"Gov; Finance; Web PKI; Identity","IETF LAMPS","FIPS 204; RFC 5280",International,Lattice-based,"L2,L3,L5","PQ signatures in X.509 certificates","OpenSSL 3.5+; BoringSSL",High,New,PKI Certificate Management
RFC 9882,Use of ML-DSA in CMS,https://www.rfc-editor.org/rfc/rfc9882.html,2025-10-29,2025-10-29,Standards Track,"Defines ML-DSA (Dilithium) usage in CMS for document and message signing.",Protocol,"Email; Messaging; JAR signing; Document Signing","IETF LAMPS","FIPS 204; RFC 5652",International,Lattice-based,"L2,L3,L5","CMS signatures","OpenSSL provider",High,Validated,Protocols
draft-ietf-tls-hybrid-design-16,Hybrid key exchange in TLS 1.3,https://datatracker.ietf.org/doc/draft-ietf-tls-hybrid-design/,2020-08-01,2025-09-07,Internet-Draft,"Framework for hybrid key exchange combining traditional and PQ algorithms in TLS 1.3.",Protocol,"Web; Cloud; Enterprise; IoT","IETF TLS WG","RFC 8446; FIPS 203",International,"PQ/T Hybrid","L1,L3,L5","TLS 1.3 hybrid key exchange design","TLS implementations",High,Updated,Protocols
