Classical Algorithm,Key Size,PQC Replacement,Function,Deprecation Date,Standardization Date,Region,Status,Status URL
RSA,2048-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
RSA,3072-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
RSA,4096-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
ECDH (P-256),256-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
ECDH (P-384),384-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
ECDH (P-521),521-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
X25519,256-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
X448,448-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
DH (Diffie-Hellman),2048-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203),NIST,FIPS 203,https://csrc.nist.gov/pubs/fips/203/final
RSA,2048-bit,HQC-128 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
RSA,3072-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
RSA,4096-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
ECDH (P-256),256-bit,HQC-128 (NIST Level 1),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
ECDH (P-384),384-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
ECDH (P-521),521-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027),NIST,Candidate,https://csrc.nist.gov/projects/post-quantum-cryptography
