patent_number,title,inventors,assignee,priority_date,issue_date,cpc_codes,one_sentence_summary,primary_inventive_claim,crypto_agility_mode,migration_strategy,quantum_relevance,quantum_notes,protocols,classical_algorithms,pqc_algorithms,quantum_technology,key_management_ops,hardware_components,authentication_factors,standards_referenced,threat_model,entropy_source,primitive_types,application_domain,independent_claim_subjects,performance_claims,data_types_protected,compliance_targets,citation_graph,claim_dependencies,nist_round_status
10277400,Biometric electronic signature tokens,Griffin; Phillip H. et al.,"WELLS FARGO BANK, N.A.",2016-10-20,2019-04-30,H04L9/3231;H04L9/3297;H04L9/14;H04L9/3263;H04L9/30;H04L9/3247;H04L9/3236;H04L9/0866,"A system generates biometric electronic signature tokens by tokenizing a user's biometric sample, hashing it, binding it to a timestamp, and digitally signing the result with a private key to provide two-factor authentication.","The invention claims a method of generating a biometric electronic signature token by tokenizing a biometric sample, cryptographically binding its hash to a trusted time stamp, and digitally signing both the record and the tokenized sample with a user's private key. This process enables dual-factor authentication combining possession of a private key and inherence of a biometric trait.",classical_only,none,none,,PKI; X.509,SHA-256; RSA; ECDSA,,,generation; storage,mobile,possession; inherence/biometric,X9.95; ESIGN; GPEA,replay,,signature; hash,banking; blockchain; cloud,method for generating biometric electronic signature token; system for managing biometric electronic signature token; method for verifying biometric electronic signature token,,biometric; PII; financial,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for generating biometric electronic signature token""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""trusted time stamp token""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""validity determination of digital signature""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""certificate validation""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""identity authentication via detokenization""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""certificate extension for signing""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""tokenization service provider transmission""}, {""claim"": 8, ""depends_on"": [6], ""subject"": ""extension identifying tokenization service provider""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""SignedData cryptographic message syntax""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""bundled certificate extension""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""confirmation verification generation""}, {""claim"": 12, ""depends_on"": [], ""subject"": ""system for managing biometric electronic signature token""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""trusted time stamp token""}, {""claim"": 14, ""depends_on"": [12], ""subject"": ""hash generation and signing""}, {""claim"": 15, ""depends_on"": [12], ""subject"": ""certificate extension for signing""}, {""claim"": 16, ""depends_on"": [12], ""subject"": ""SignedData cryptographic message syntax""}, {""claim"": 17, ""depends_on"": [16], ""subject"": ""bundled certificate extension""}, {""claim"": 18, ""depends_on"": [12], ""subject"": ""tokenization service provider transmission""}, {""claim"": 19, ""depends_on"": [12], ""subject"": ""extension identifying tokenization service provider""}, {""claim"": 20, ""depends_on"": [12], ""subject"": ""confirmation verification generation""}, {""claim"": 21, ""depends_on"": [], ""subject"": ""method for verifying biometric electronic signature token""}]",[]
10680820,Method of creating and recovering digital wallet,Zhuang; Jay et al.,COOLBITX LTD.,2018-03-09,2020-06-09,H04L9/0819;G06Q20/4014;H04L9/0869;G06Q20/3672;G06Q20/36;H04L9/006;H04L9/32;H04L9/0894,"A method for creating and recovering a digital wallet using a closed storage device with a security element and a connected device, where a recovery mnemonic is displayed on the storage device for manual backup to prevent unauthorized access.","The invention provides a method where a recovery mnemonic is generated by a security element and displayed directly on a closed storage device's information conveying unit, requiring the user to manually record it before the connected device can access the digital wallet. This ensures that even if the connected device is compromised, the wallet cannot be recovered without physical access to the storage device and the manually recorded mnemonic.",unclear,none,none,,,,,,generation; derivation; storage,smart-card; mobile; IoT,knowledge; possession; inherence/biometric,,HNDL,,,blockchain; banking,method of creating and recovering digital wallet via closed storage device; method of creating and recovering digital wallet via first and second connected devices,,financial; transactions,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method of creating and recovering digital wallet via closed storage device and connected device""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""information conveying unit showing mnemonic via sensory perception""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""user inputting instruction to verify backup completion""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""recovering request input on connected device when storage device lost""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""connected device generating private key and transmitting with encoded seed key""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""method of creating and recovering digital wallet via first and second connected devices""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""information conveying unit showing mnemonic via sensory perception""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""user inputting instruction to verify backup completion""}, {""claim"": 9, ""depends_on"": [6], ""subject"": ""recovering request input on second connected device when first device or storage lost""}, {""claim"": 10, ""depends_on"": [6], ""subject"": ""second connected device generating private key and transmitting with encoded seed key""}]",[]
10686590,Methods and systems for crowdsourcing an outcome to an issue,Santilli; Joseph et al.,"Santilli; Joseph,Casha; Benjamin",2017-12-26,2020-06-16,G06F16/23;H04L67/306;H04L9/3226;H04L9/3239;H04L67/10;H04L9/0825;H04L9/3247;H04L9/006;H04L9/0643,"A blockchain-based voting system assigns hashed identifiers and public keys to users, digitally signs votes, and immutably stores records on a distributed ledger to ensure verifiable and auditable election outcomes.","The invention provides a method for crowdsourcing election outcomes by generating immutable blockchain records containing a user's hashed identifier, public key, and voting data. It further enables users to revise votes prior to an election closing date by generating new signed records that replace or update the previous vote on the distributed ledger.",classical_only,none,none,,PKI,SHA-256; ECDSA,,,generation; distribution; storage,mobile; IoT,knowledge; possession,,replay; insider,OS,signature; hash; commitment,blockchain; government,method for crowdsourcing an outcome to an issue; method for assigning hashed identifiers and signing voting data; system comprising a voting server and blockchain nodes,,PII; transactions,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for crowdsourcing an outcome to an issue""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""record comprising prior record hashed identifier""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""record comprising actor identifier""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""record comprising target identifier""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""record comprising stamp""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""assigning private signing key and signing voting data""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""record comprising data format indication""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""generating hashed identifier from user data""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""receiving election request and assigning election hashed identifier""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""receiving revision to election request""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""publishing election when open""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""determining outcome based on plurality of voting data""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""publishing outcome to accounts""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""new record comprising actor, target, and action identifiers""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""broadcasting new record""}, {""claim"": 16, ""depends_on"": [1], ""subject"": ""record comprising plurality of data fields""}, {""claim"": 17, ""depends_on"": [1], ""subject"": ""election comprising issue and responses""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""publishing messages in support or opposition""}, {""claim"": 19, ""depends_on"": [18], ""subject"": ""vote indicating support or opposition""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""determining outcome based on plurality of votes""}, {""claim"": 21, ""depends_on"": [20], ""subject"": ""publishing outcome to officer account""}, {""claim"": 22, ""depends_on"": [21], ""subject"": ""receiving indication from officer account""}, {""claim"": 23, ""depends_on"": [22], ""subject"": ""publishing indication to accounts""}, {""claim"": 24, ""depends_on"": [1], ""subject"": ""publishing political election""}, {""claim"": 25, ""depends_on"": [1], ""subject"": ""publishing officer schedule""}, {""claim"": 26, ""depends_on"": [], ""subject"": ""method for assigning hashed identifier and signing voting data""}, {""claim"": 27, ""depends_on"": [26], ""subject"": ""generating record with prior record hashed identifier""}, {""claim"": 28, ""depends_on"": [27], ""subject"": ""record comprising actor identifier""}, {""claim"": 29, ""depends_on"": [28], ""subject"": ""record comprising target identifier""}, {""claim"": 30, ""depends_on"": [27], ""subject"": ""record comprising stamp""}, {""claim"": 31, ""depends_on"": [26], ""subject"": ""generating hashed identifier from user data""}, {""claim"": 32, ""depends_on"": [26], ""subject"": ""receiving election request and assigning election hashed identifier""}, {""claim"": 33, ""depends_on"": [32], ""subject"": ""publishing election request""}, {""claim"": 34, ""depends_on"": [33], ""subject"": ""receiving modification requests""}, {""claim"": 35, ""depends_on"": [34], ""subject"": ""publishing election based on requests""}, {""claim"": 36, ""depends_on"": [26], ""subject"": ""revised voting data replacing vote""}, {""claim"": 37, ""depends_on"": [36], ""subject"": ""generating revised record""}, {""claim"": 38, ""depends_on"": [27], ""subject"": ""attempt to change signed voting data invalidates subsequent records""}, {""claim"": 39, ""depends_on"": [], ""subject"": ""system comprising voting server and blockchain nodes""}]",[]
10728043,Method and apparatus for providing secure communication among constrained devices,Moses; Timothy Edward,"Entrust, Inc.",2016-07-20,2020-07-28,H04L9/083;H04L9/006;H04L9/3263;H04L9/0825;H04L9/0833;H04L9/0891;H04L63/0428;H04L9/30;H04L63/0435;H04L9/16;H04L9/3234;H04L63/06,A method for managing cryptographic updates in constrained IoT devices by identifying communication partners via certificates and synchronizing algorithm replacements to maintain compatibility.,The invention issues cryptographic communication rights (certificates or tickets) to constrained devices that store only one algorithm per function. It identifies a subset of devices that must share the same algorithm to communicate and coordinates a simultaneous update of their cryptographic code modules to prevent communication breaks.,classical_only,in_place_upgrade,none,,PKI; X.509,RSA; ECC; SHA-1; SHA-2,,,distribution; rotation,IoT,possession,X.509; PKCS #7; PKIX,cryptanalysis,,symmetric-cipher; KEM; signature; hash,IoT,method for secure communication between constrained devices; apparatus comprising processors for issuing rights; system comprising constrained devices and servers,,session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure communication between constrained devices""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""provisioning replacement cryptographic code module""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""issuing request by software update server""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""issuing request by network management device""}, {""claim"": 5, ""depends_on"": [], ""subject"": ""apparatus comprising processors""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""system comprising constrained devices and servers""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""system comprising network management server""}]",[]
10728044,User authentication with self-signed certificate and identity verification and migration,Melo; Nelson et al.,BEYOND IDENTITY INC.,2020-02-20,2020-07-28,H04L9/0825;H04L9/14;H04L63/083;H04L9/3265;H04L9/006;H04L9/3271;H04L63/0428;H04L9/0861;H04L9/3247;G06F16/2379;G06F16/214;H04L9/0894;H04L9/0897;H04L63/126;H04L9/3073;H04L63/0823;H04L9/3268;G06F21/46;H04L63/061,"A user authentication system replaces passwords with self-signed certificate chains, allowing users to act as their own Certificate Authority and migrate trust between devices via secure enclaves.",The invention enables users to generate a self-signed root certificate and intermediate certificates signed by that root to form a chain of trust. This chain is used to authenticate the user to a verifying party and can be migrated to new devices by signing new intermediate certificates with the root key.,classical_only,in_place_upgrade,none,,TLS; PKI; X.509; WebAuthn,RSA; ECDSA; SHA-256,,,generation; storage; distribution; rotation; escrow,HSM; mobile; smart-card,possession,X.509; TLS; WebAuthn,MITM; replay; phishing,OS,signature; hash,cloud; PKI; banking,method for authenticating a user to a verifying party computer; non-transitory computer readable medium for authenticating a user,,PII; root-keys; session-keys,,US20130145151; US20120036364; US20190075099,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for authenticating a user to a verifying party computer""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""migrating step comprising generating key pair and sending CSR""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""generating second user device key pair and sending CSR""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""validating CSR, signing new intermediate certificate""}, {""claim"": 5, ""depends_on"": [3], ""subject"": ""bundling leaf packages and encrypting payload""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""migrating certificate chain to third user device""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""downloading signing application and creating private key""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""storing root private key in external server and deleting from device""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""recovering root private key from credential recovery service""}, {""claim"": 10, ""depends_on"": [], ""subject"": ""method for authenticating a user to a verifying party computer""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""migrating comprising generating key pair and sending CSR""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""generating second user device key pair and sending CSR""}, {""claim"": 13, ""depends_on"": [12], ""subject"": ""validating CSR, signing new intermediate certificate""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""migrating certificate chain to third user device""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""non-transitory computer readable medium for authenticating a user""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""storing intermediate private key in signing application""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""creating root private key with signing application""}, {""claim"": 18, ""depends_on"": [17], ""subject"": ""downloading signing application over network""}]",[]
10733284,Trusted execution environment secure element communication,Broumas; Antonios Dimitrios et al.,"Samsung Electronics Co., Ltd.",2016-10-06,2020-08-04,G06F21/575;H04L9/3273;G06F21/74;G06F21/606;H04L9/0869;G06F21/44;H04L9/0838;H04L9/006;G06F21/53,"A method for secure communication binds an isolated environment to a secure component, performing tamper checks via trusted boot attestation before acting as an encrypted intermediary for data exchange.","The invention establishes a secure communication channel between an isolated environment (TEE) and a secure component (SE) by binding them via encrypted channels. It utilizes the isolated environment to perform tamper checks, including trusted boot attestation and device root key verification, before acting as an intermediary to decrypt and forward data to normal world applications.",negotiated,none,none,,PKI,RSA; AES,,,storage; exchange; distribution,smart-card; mobile; HSM,knowledge; possession; inherence/biometric; location,,tampering; replay; compromised_application,OS,symmetric-cipher; KEM; signature,telecom; banking; IoT,method for secure communication; apparatus for secure communication; non-transitory computer-readable medium,,root-keys; session-keys; credentials,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for secure communication""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""authentication using secured credentials""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""identifying compromised application""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""secure component operated within isolated environment""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""establishing PKI or symmetric encryption""}, {""claim"": 6, ""depends_on"": [], ""subject"": ""apparatus for secure communication""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""authentication using secured credentials""}, {""claim"": 8, ""depends_on"": [6], ""subject"": ""identifying compromised application""}, {""claim"": 9, ""depends_on"": [6], ""subject"": ""secure component operated within isolated environment""}, {""claim"": 10, ""depends_on"": [6], ""subject"": ""establishing PKI or symmetric encryption""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""non-transitory computer-readable medium""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""authentication using secured credentials""}, {""claim"": 13, ""depends_on"": [11], ""subject"": ""identifying compromised application""}, {""claim"": 14, ""depends_on"": [11], ""subject"": ""secure component operated within isolated environment""}, {""claim"": 15, ""depends_on"": [1], ""subject"": ""device root key installed on both environments""}, {""claim"": 16, ""depends_on"": [6], ""subject"": ""device root key installed on both environments""}, {""claim"": 17, ""depends_on"": [11], ""subject"": ""device root key installed on both environments""}]",[]
10742426,Public key infrastructure and method of distribution,Barry; Marc,Westgate Cyber Security Limited,2019-07-31,2020-08-11,H04L9/321;H04L9/006;H04L9/3263;H04L9/0825,A lightweight public key infrastructure method using arbitrary short identifiers in digital certificates to facilitate secure entity identity validation and connection establishment via a discovery service.,"The invention claims a method where entities exchange arbitrary, non-identity-revealing identifiers associated with public keys in digital certificates. These identifiers are exchanged via a secure or in-person channel to validate identities before establishing a direct secure connection using a discovery service.",classical_only,none,none,,PKI,,,,generation; exchange; distribution; storage,IoT; mobile,knowledge; possession,,MITM,OS,signature; hash,PKI; telecom,computer-implemented method for connecting to or validating respective identities; network of systems comprising entity systems; certificate authority; and discovery service,,session-keys,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""computer-implemented method for connecting to or validating respective identities""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""identifier arbitrary such that identity cannot be discerned""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""identifier selection not related to identity""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""identifier generation random or pseudo-random""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""certificate generated by Certificate Authority""}, {""claim"": 6, ""depends_on"": [1], ""subject"": ""certificate generated in response to CSR""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""certificate transmitted to co-operating entity""}, {""claim"": 8, ""depends_on"": [1], ""subject"": ""identifier generation using dictionary, hash, random source, etc.""}, {""claim"": 9, ""depends_on"": [1], ""subject"": ""identifier exchange conducted in person or non-secure method""}, {""claim"": 10, ""depends_on"": [9], ""subject"": ""non-secure method enables MITM detection""}, {""claim"": 11, ""depends_on"": [1], ""subject"": ""demonstrating private key knowledge via CSR""}, {""claim"": 12, ""depends_on"": [1], ""subject"": ""demonstrating private key knowledge via validation process""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""demonstrating private key knowledge via discovery service""}, {""claim"": 14, ""depends_on"": [1], ""subject"": ""identifier short relative to public key""}, {""claim"": 15, ""depends_on"": [], ""subject"": ""network of systems comprising entity, CA, and discovery service""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""CA generates certificate in response to CSR""}, {""claim"": 17, ""depends_on"": [15], ""subject"": ""CA maintains record of certificates""}, {""claim"": 18, ""depends_on"": [15], ""subject"": ""CA issues or transmits certificate""}, {""claim"": 19, ""depends_on"": [15], ""subject"": ""discovery service provides directory, registration, relay services""}, {""claim"": 20, ""depends_on"": [19], ""subject"": ""discovery service accesses or updates register""}, {""claim"": 21, ""depends_on"": [19], ""subject"": ""discovery service records location of entity""}, {""claim"": 22, ""depends_on"": [19], ""subject"": ""discovery service introduces entities""}, {""claim"": 23, ""depends_on"": [19], ""subject"": ""discovery service transmits network address""}, {""claim"": 24, ""depends_on"": [19], ""subject"": ""discovery service accesses or updates register""}]",[]
10756906,Architecture and methods for self-sovereign digital identity,Toth; Kalman Csaba,Toth; Kalman Csaba,2018-11-12,2020-08-25,H04L9/0894;H04W12/068;H04L9/3213;H04L9/3218;G06F21/602;H04L9/0643;H04L9/3273;H04L9/0841;G06F21/33;H04L9/3247;H04W12/126;H04L9/3013;H04L9/3242;H04L9/006;H04L9/3271;H04L9/14;G06F21/6245,"A self-sovereign digital identity architecture using identity engines on personal devices to manage keys, verify possession and custody, and exchange identities via adapted Diffie-Hellman protocols.",The invention claims a method for synchronously verifying digital identities by combining proof-of-possession via challenge-response with proof-of-custody via user authentication. It further claims a method for securely exchanging identities using an adapted Diffie-Hellman key exchange to derive symmetric keys for encrypting the transfer of digital identity artifacts.,classical_only,none,none,,Diffie-Hellman,Diffie-Hellman; Hash,,,generation; exchange; storage,mobile; smart-card,knowledge; possession; inherence/biometric,,MITM; replay; impersonation,OS,signature; hash; KEM; symmetric-cipher,government; banking; healthcare; telecom,method for synchronously verifying digital identities; method for securely exchanging self-sovereign digital identities; method for using consent tokens to reliably grant access to resources,,PII; digital-identities; consent-tokens,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for synchronously verifying digital identities""}, {""claim"": 2, ""depends_on"": [], ""subject"": ""method for securely exchanging self-sovereign digital identities""}, {""claim"": 3, ""depends_on"": [], ""subject"": ""method for using consent tokens to reliably grant access to resources""}]",[]
10771265,Cryptographic methods and systems for managing digital certificates with linkage values,"Simplicio, Jr.; Marcos A. et al.","LG Electronics, Inc.,University of Sao Paulo",2018-09-20,2020-09-08,H04W12/069;H04L9/0825;H04L9/3247;H04L63/0823;H04L9/006;H04L9/3268;H04L9/0861;H04L63/104;H04L9/3239;H04L63/108;H04L9/0869;H04L9/3297;H04L9/321;H04L9/008;H04W12/04,A method for managing digital certificates in connected vehicles using split linkage values to enable group revocation while eliminating the need for a dedicated linkage authority.,"The invention distributes the generation of linkage values between two entities, where one entity combines its pre-linkage value with an encrypted pre-linkage value from a second entity without decryption. This allows the second entity to create certificates with linkage values that enable group revocation without either entity knowing the full linkage value or being able to track users alone.",classical_only,none,none,,PKI; SCMS,AES; SHA-2; SHA-3,,,generation; distribution; rotation,IoT; mobile; FPGA,possession,FIPS 197; FIPS 180-4; FIPS 202,insider; tracking; sybil,,symmetric-cipher; hash; signature,IoT; telecom; PKI,method for managing digital certificates by entities; method for managing digital certificates by entities (second entity perspective); tangible non-transitory machine readable storage medium,,PII,,,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for managing digital certificates by entities""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""second entity operations""}, {""claim"": 3, ""depends_on"": [1], ""subject"": ""verification operations on groups""}, {""claim"": 4, ""depends_on"": [1], ""subject"": ""second entity ignorance of selection""}, {""claim"": 5, ""depends_on"": [1], ""subject"": ""group revocation process""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""certificate generation request determination""}, {""claim"": 7, ""depends_on"": [1], ""subject"": ""group revocation with verification""}, {""claim"": 8, ""depends_on"": [6], ""subject"": ""validity time periods""}, {""claim"": 9, ""depends_on"": [6], ""subject"": ""certificate types""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""user requests and encryption""}, {""claim"": 11, ""depends_on"": [], ""subject"": ""method for managing digital certificates by entities (second entity perspective)""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""user requests and encryption""}, {""claim"": 13, ""depends_on"": [], ""subject"": ""tangible non-transitory machine readable storage medium""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""first entity comprising storage medium""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""second entity operations""}, {""claim"": 16, ""depends_on"": [14], ""subject"": ""verification operations on groups""}, {""claim"": 17, ""depends_on"": [14], ""subject"": ""second entity ignorance of selection""}]",[]
10771459,"Terminal apparatus, server apparatus, blockchain and method for FIDO universal authentication using the same",Kim; Seok-Hyun et al.,Electronics and Telecommunications Research Institute,2018-08-30,2020-09-08,H04L63/08;H04L63/0853;H04L9/0825;H04L9/3239;H04L9/3271;H04L9/0637;H04L9/3247;H04L9/006;G06F21/64;G06F21/32,A method for FIDO universal authentication using a blockchain to verify user credentials and enable shared authentication across multiple application services without a trusted third party.,The invention utilizes a blockchain to verify FIDO service response messages generated by a terminal apparatus after local user authentication. This allows multiple application services to share FIDO authentication information securely without requiring repeated registration processes or a trusted third party.,classical_only,none,none,,FIDO; PKI; Blockchain,ECDSA; SHA-256,,,generation; storage; distribution,mobile; IoT,possession; inherence/biometric,FIDO,MITM; replay; insider,OS,signature; hash,blockchain; banking; telecom,method for FIDO universal authentication; terminal apparatus; server apparatus,,PII; biometric; session-keys,,US101829721,"[{""claim"": 1, ""depends_on"": [], ""subject"": ""method for FIDO universal authentication""}, {""claim"": 2, ""depends_on"": [1], ""subject"": ""sending FIDO service request via blockchain retrieval""}, {""claim"": 3, ""depends_on"": [2], ""subject"": ""acquiring basic info from user database""}, {""claim"": 4, ""depends_on"": [3], ""subject"": ""retrieving FIDO info from database or blockchain""}, {""claim"": 5, ""depends_on"": [4], ""subject"": ""creating blockchain identifier""}, {""claim"": 6, ""depends_on"": [5], ""subject"": ""retrieving FIDO info and creating auth list""}, {""claim"": 7, ""depends_on"": [6], ""subject"": ""server retrieving FIDO info and creating auth list""}, {""claim"": 8, ""depends_on"": [7], ""subject"": ""verifying response via credential check""}, {""claim"": 9, ""depends_on"": [8], ""subject"": ""FIDO registration with new public key""}, {""claim"": 10, ""depends_on"": [1], ""subject"": ""blockchain database storing metadata and FIDO info""}, {""claim"": 11, ""depends_on"": [10], ""subject"": ""metadata types for terminal ID and public key""}, {""claim"": 12, ""depends_on"": [11], ""subject"": ""FIDO info types for blockchain ID and credential ID""}, {""claim"": 13, ""depends_on"": [1], ""subject"": ""creating blockchain identifier on success""}, {""claim"": 14, ""depends_on"": [13], ""subject"": ""creating identifier using basic user info""}, {""claim"": 15, ""depends_on"": [14], ""subject"": ""storing identifier in user database""}, {""claim"": 16, ""depends_on"": [15], ""subject"": ""processing request via blockchain identifier""}, {""claim"": 17, ""depends_on"": [], ""subject"": ""terminal apparatus""}, {""claim"": 18, ""depends_on"": [], ""subject"": ""server apparatus""}]",[]
