software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id
BTQ Bitcoin Quantum,CSC-058,Blockchain & DLT Protocols,Application,Yes (ML-DSA),First quantum-safe fork of Bitcoin. Testnet replaces ECDSA with NIST-standardized ML-DSA signatures to protect against quantum threats. Increased block size to 64 MiB to accommodate larger PQC signatures (38-72x larger than ECDSA). Full transaction lifecycle with quantum-resistant cryptography. Protects ~6.26M BTC in addresses with exposed public keys against Harvest Now Decrypt Later attacks.,Open Source,Open Source,Testnet,2026-01-12,No,High,Bitcoin Network (Testnet),Cryptocurrency Finance,https://www.prnewswire.com/news-releases/btq-technologies-launches-bitcoin-quantum-302352891.html,,First quantum-safe Bitcoin fork demonstrating ML-DSA feasibility for blockchain signatures. Open permissionless testnet for miners developers researchers and users.,Trusted Vendor,Verified,2026-02-13,migrate,digital-assets,VND-089
Hitachi DoMobile,CSC-036,Remote Access and VDI Software,Application,Yes (ML-KEM FIPS 203),Japan's first remote access system with built-in post-quantum cryptographic protection powered by 01 Quantum. Implements NIST FIPS 203 (ML-KEM) to protect against Harvest Now Decrypt Later attacks. Free upgrade for existing customers. Serving ~7000 companies and 36000 users primarily in finance sector. In production since 2002.,Commercial,Commercial,Ver.5,2026-01-15,No (implements FIPS 203 algorithm; no NIST CMVP validation),Critical,Windows Mobile,Finance Enterprise Government,https://www.01com.com/news-media/hitachi-solutions-create-introduces-worlds-first-remote-access-system,https://www.hitachi-solutions-create.co.jp/domobile/,First commercial remote access product in Japan with production-ready NIST-standardized PQC. Demonstrates enterprise readiness for PQC in remote access scenarios.,Trusted Vendor,Verified,2026-02-13,migrate,vpn-ssh-pqc,VND-135
Project Eleven Solana PQC,CSC-058,Blockchain & DLT Protocols,Application,Yes (ML-DSA),First post-quantum testnet for Solana blockchain developed in collaboration with Solana Foundation. Replaces EdDSA signatures with NIST-standardized ML-DSA demonstrating quantum-resistant transactions are practical on high-throughput blockchain architectures (65000+ TPS). Open-sourced testnet with readiness assessments and migration test environments. $20M Series A funding announced January 2026.,Open Source,Open Source,Testnet,2026-01,No,High,Solana Network (Testnet),Cryptocurrency DeFi Web3,https://quantumcomputingreport.com/project-eleven-works-with-solana-foundation-to-launch-first-post-quantum-testnet/,,Demonstrates high-throughput blockchains can successfully implement post-quantum signatures. Critical for Web3 and decentralized finance PQC migration.,Trusted Vendor,Verified,2026-02-13,migrate,digital-assets;migration-program,VND-091
SEALSQ Quantum Shield,CSC-034,Hardware Security and Semiconductors,Hardware,Yes (ML-KEM; ML-DSA),Post-quantum semiconductor-based trust anchors deployed in U.S. systems. QS7001 and QVault-TPM post-quantum secure processors incorporating quantum-resistant algorithms and hardware roots of trust. Protection against harvest-now-decrypt-later attacks. Millions of devices deployed worldwide. Joint venture with Kaynes SemiCon in India for PQC chip manufacturing.,Commercial,Commercial,QS7001,2026-01,No (Hardware Root of Trust design),Critical,Embedded IoT Hardware,Government Defense Finance IoT,https://www.sealsq.com,,Post-quantum semiconductor chips with embedded quantum-resistant cryptography. First deployments in U.S. government and critical infrastructure.,Trusted Vendor,Verified,2026-02-13,"prepare,launch",aerospace-pqc;iot-ot-pqc,VND-056
Forward Edge-AI Isidore Quantum,CSC-033,Network Security Software,Network,Yes (ML-KEM AES-256 GCM),Hardware-based plug-and-play post-quantum encryption platform. NSA CNSA 2.0 compliant protocol-agnostic solution working with legacy and modern networks. Features one-way data diode with NIST-approved PQC algorithms including ML-KEM. Tested by U.S. military branches with SpaceX deployment. Secures data in transit without software rewrites or PKI dependencies.,Commercial,Commercial,Current,2026,Claimed,Critical,Hardware Appliance Network,Defense Critical Infrastructure Telecom Enterprise,https://forwardedge.ai,,Hardware-based quantum-resistant encryption for high-security environments. Deployed across U.S. military branches and SpaceX missions.,Unverified Vendor,Needs Verification,2026-02-13,"test,migrate",5g-security;aerospace-pqc;crypto-dev-apis;network-security-pqc;vpn-ssh-pqc,VND-140
QuSecure QuProtect R3,CSC-025,Cryptographic Agility Frameworks,Cloud,Yes (ML-KEM; ML-DSA; SLH-DSA),First end-to-end cryptographic security platform for quantum era. Provides cryptographic discovery (Recon) crypto-agility engine (Resilience) and real-time compliance reporting. Enables dynamic cipher key and algorithm updates without code changes or downtime. Works across cloud on-premise and edge environments. Includes QuEverywhere for mobile PQC.,Commercial,Commercial,R3,2026-01,No,Critical,Cloud On-Premise Edge,Government Enterprise Finance,https://qusecure.com,,Platform enabling organizations to transition to PQC with crypto-agility and zero-downtime cipher updates.,Trusted Vendor,Verified,2026-02-13,"assess,plan,rampup",arch-quantum-impact;crypto-agility;exec-quantum-impact;pqc-governance,VND-054
SandboxAQ AQtive Guard,CSC-049,Cryptographic Discovery Platforms,"Cloud,Security Stack",Yes (Cryptographic Discovery and Migration; HQC),Platform for automated discovery and inventory of cryptographic assets. Facilitates transition to post-quantum cryptography and enhances cyber readiness against AI-powered attacks. Provides continuous visibility into cryptographic dependencies. Deployed in U.S. Department of Defense (DoD) CIO systems. HQC algorithm contributor selected by NIST.,Commercial,Commercial,Current,2025-12,No,Critical,Enterprise Cloud Government,Government Critical Infrastructure Defense,https://www.sandboxaq.com,,Crypto-agility platform with automated cryptographic asset discovery for PQC migration. Powers DoD quantum readiness.,Trusted Vendor,Verified,2026-02-21,"assess,plan,rampup",aerospace-pqc;arch-quantum-impact;compliance-strategy;crypto-agility;data-asset-sensitivity;energy-utilities-pqc;exec-quantum-impact;migration-program;network-security-pqc;ops-quantum-impact;platform-eng-pqc;pqc-business-case;pqc-governance;pqc-risk-management;quantum-threats,VND-036
01 Quantum IronCAP,CSC-001,Cryptographic Libraries,Application,Yes (Classic McEliece),NIST-aligned quantum-safe cryptographic engine. Powers Hitachi DoMobile Ver.5 remote access system in Japan. Developing Quantum AI Wrapper (QAW) for securing AI data with Full Homomorphic Encryption and Quantum Crypto Wrapper (QCW) for blockchain quantum-safety. Early-stage quantum-safe security leader.,Commercial,Commercial,Current,2026-01,Yes (via partners),Critical,Cross-platform,Enterprise Government Finance Blockchain,https://01quantum.com,,NIST-compliant quantum-safe engine enabling partners to deploy PQC. Focus on agile deployment and AI/blockchain security.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",ai-security-pqc;dev-quantum-impact;digital-assets;hybrid-crypto;tls-basics,VND-052
Bouncy Castle C# .NET,CSC-001,Cryptographic Libraries,"Application,Security Stack",Yes (ML-KEM ML-DSA SLH-DSA HQC FN-DSA),Implements HQC (Hamming Quasi-Cyclic) and ML-KEM for .NET platform. Provides quantum-resistant key exchange mechanisms with good performance characteristics on .NET runtime.,Open Source,MIT/Bouncy Castle License,2.6.2,2025-07-31,"Yes (FIPS 140-3 classical only, BC-FNA cert #4416)",Critical,Windows Linux macOS (.NET),All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-csharp,C# implementation of cryptographic algorithms for .NET platform with PQC interoperability support.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025
Bouncy Castle Java,CSC-001,Cryptographic Libraries,"Application,Security Stack",Yes (ML-KEM ML-DSA SLH-DSA HQC),"Comprehensive PQC implementation supporting ML-KEM, ML-DSA, SLH-DSA, and HQC (Hamming Quasi-Cyclic). Provides quantum-resistant key encapsulation and digital signatures through JCE/JCA provider. Supports hybrid classical/PQC modes for gradual migration.",Open Source,MIT/Bouncy Castle License,1.83,2025-11,Yes (BC-FJA 2.1.2 FIPS 140-3),Critical,Java 1.8+ Android,All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-java,Comprehensive Java implementation of cryptographic algorithms. Supports JCE/JCA provider lightweight API PGP S/MIME DTLS TLS OCSP TSP CMP and certificate generation.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;email-signing;hybrid-crypto;tls-basics,VND-025
Bouncy Castle Java LTS,CSC-001,Cryptographic Libraries,"Application,Security Stack",Yes (ML-DSA composite signatures),"Long-term support release with ML-DSA composite signatures, enabling hybrid quantum-classical signature schemes. Allows organizations to use both traditional (RSA/ECDSA) and post-quantum signatures simultaneously for defense-in-depth.",Mixed/Dual,Bouncy Castle License,2.73.9,2025-09-23,Yes,Critical,Java 8 11 17 21,All industries,https://www.bouncycastle.org/,https://github.com/bcgit/bc-java,Long-term support release with enterprise stability. Includes PQC support and supply chain transparency features.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025
OpenSSL,CSC-001,Cryptographic Libraries,"Application,Security Stack",Yes (ML-KEM ML-DSA SLH-DSA in v3.5+),"Full support for NIST-standardized PQC algorithms including ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism) for key exchange, ML-DSA (Module-Lattice-Based Digital Signature Algorithm) for signatures, and SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). Enables quantum-safe TLS 1.3 connections with hybrid mode support.",Open Source,Apache-2.0,3.6.1,2026-01-27,Yes (FIPS 140-3),Critical,Linux macOS Windows Android OpenVMS,All industries,https://www.openssl.org/,https://github.com/openssl/openssl,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Community/Commercial,Verified,2026-02-13,"prepare,test,migrate",code-signing;compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;email-signing;entropy-randomness;hybrid-crypto;os-pqc;pqc-101;quantum-threats;tls-basics,VND-049
Google Tink,CSC-001,Cryptographic Libraries,"Application,Security Stack",Planned (ML-DSA SLH-DSA ML-KEM in progress),"Multi-language library (C++, Go, Java). PQC algorithm integration in progress but not yet shipped in stable releases. Used in Google infrastructure and Cloud KMS.",Open Source,Apache-2.0,1.20.0,2025-12,Yes (via BoringCrypto),Critical,Cross-platform,All industries,https://developers.google.com/tink,https://github.com/tink-crypto/tink-java,Google's multi-language crypto library designed for safe and simple API usage. PQC suite integration in progress.,Community/Commercial,Verified,2026-02-21,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018
Botan,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA McEliece FrodoKEM),"C++ cryptography library with extensive PQC support recommended by BSI. Includes Classic McEliece, FrodoKEM, and all NIST-standardized algorithms (ML-KEM, ML-DSA, SLH-DSA). Botan 2.x reached end-of-life on 2025-01-01.",Open Source,BSD-2,3.10.0,2025-11-06,No,High,Linux Windows macOS BSD,All industries,https://botan.randombit.net/,https://github.com/randombit/botan,Feature-rich C++ crypto library. BSI project for PQC reference implementations.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-069
SafeLogic CryptoComply,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA Hybrid),FIPS 140-3 validated cryptographic modules. Supports hybrid mode (classical + PQC) and includes CryptoComply PQ TLS for quantum-safe data in transit. Drop-in OpenSSL compatibility. CryptoComply Go v4.0 adds all NIST PQC algorithms (ML-KEM FIPS 203 ML-DSA FIPS 204 SLH-DSA FIPS 205). PQC capabilities rolled out across Core v3.5 Mobile v3.5 Java v4 and Go v4.,Commercial,Commercial,Go v4.0,2026-01,Yes (FIPS 140-3),Critical,Linux Windows macOS Mobile,"Finance, Government, Healthcare, Defense",https://www.safelogic.com/,,Enterprise cryptographic modules with immediate PQC support and FIPS validation.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-034
SAP Cryptographic Library,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA),Version 8.6 introduces quantum-safe TLS 1.3 with hybrid key exchange (X25519MLKEM768). Integrates liboqs implementations of ML-KEM and ML-DSA.,Commercial,Commercial,8.6,2025-12-12,Yes (CommonCryptoLib FIPS 140-3 L1 #5093),Critical,SAP Ecosystem,All industries,https://www.sap.com/,,SAP's proprietary cryptographic library now enabling PQC for SAP applications and secure communications.,Trusted Vendor,Verified,2026-03-25,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-033
PQShield PQSDK,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA Falcon),"Comprehensive SDK for PQC integration. Features PQCryptoLib-Core (FIPS 140-3 certified) and PQCryptoLib-Soft. Supports mobile, server, and embedded.",Commercial,Commercial,Current,2025,Yes (FIPS 140-3),Critical,Cross-platform Embedded,All industries,https://pqshield.com/,,High-assurance post-quantum cryptography SDK for enterprise and embedded security.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-030
Go stdlib crypto/mlkem,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM Hybrid PQC TLS),Native ML-KEM-768 and ML-KEM-1024 since Go 1.24 (Feb 2025). Hybrid post-quantum TLS enabled by default since Go 1.24 combining classical elliptic-curve cryptography with ML-KEM. Go 1.26 adds crypto/hpke and crypto/mlkem/mlkemtest packages with derandomized encapsulation for known-answer tests. FIPS 203 compliant.,Open Source,BSD-3-Clause,1.26,2026-02-10,Yes (Go FIPS Module),Critical,Cross-platform,All industries,https://pkg.go.dev/crypto/mlkem,https://github.com/golang/go/tree/master/src/crypto/mlkem,Standard library implementation of NIST FIPS 203 key encapsulation. Hybrid PQC TLS default since Go 1.24; Go 1.26 adds crypto/hpke and mlkemtest.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018
RustCrypto ml-kem,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM),"Pure Rust implementation of NIST FIPS 203 ML-KEM. Modular, zero-unsafe code (mostly), and part of the RustCrypto organization.",Open Source,Apache-2.0/MIT,0.3.0,2025-10,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-kem,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,Pure Rust ML-KEM implementation standardizing on FIPS 203.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050
RustCrypto ml-dsa,CSC-001,Cryptographic Libraries,Application,Yes (ML-DSA),Pure Rust implementation of NIST FIPS 204 ML-DSA signatures. Provides highly modular and type-safe interface for next-gen digital signatures.,Open Source,Apache-2.0/MIT,0.0.4,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/ml-dsa,https://github.com/RustCrypto/signatures/tree/master/ml-dsa,Pure Rust ML-DSA implementation compliant with FIPS 204.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050
RustCrypto slh-dsa,CSC-001,Cryptographic Libraries,Application,Yes (SLH-DSA),Pure Rust implementation of NIST FIPS 205 SLH-DSA (SPHINCS+) hash-based signatures. suitable for high-security applications requiring conservative security assumptions.,Open Source,Apache-2.0/MIT,0.1.0,2025,No (Un-audited),High,Cross-platform,All industries,https://docs.rs/slh-dsa,https://github.com/RustCrypto/signatures/tree/master/slh-dsa,Pure Rust SLH-DSA implementation compliant with FIPS 205.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050
pqcrypto,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA + Pre-Standard),Rust bindings to PQClean C implementations. Access to a wide range of NIST PQC candidates and standardized algorithms.,Open Source,Apache-2.0/MIT,0.18.1,2024-12,No,Medium,Cross-platform,All industries,https://crates.io/crates/pqcrypto,https://github.com/rustpq/pqcrypto,Rust wrapper around PQClean providing FFI bindings to reference implementations.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-080
liboqs-rust (oqs crate),CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM; ML-DSA; SLH-DSA; FrodoKEM; HQC; BIKE; Classic McEliece; FN-DSA; NTRU),High-level Rust wrapper for liboqs C library. Provides safe abstractions for NIST PQC algorithms supported by the Open Quantum Safe project.,Open Source,Apache-2.0/MIT,0.11.0,2025-04,No,High,Cross-platform,All industries,https://crates.io/crates/oqs,https://github.com/open-quantum-safe/liboqs-rust,Official Rust bindings for the Open Quantum Safe library.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-048
mlkem-native,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM),Formally verified and optimized C/Assembly implementation of ML-KEM. Part of Linux Foundation PQCA PQ Code Package. Proven memory safety and functional correctness. Reached stable v1.0.0 release.,Open Source,Apache-2.0/MIT/ISC,1.0.0,2025-06-04,No (Formally Verified),Critical,Linux macOS (AArch64 optimized),All industries,https://pqca.org/pq-code-package/,https://github.com/pq-code-package/mlkem-native,High-assurance production-ready ML-KEM implementation formally verified for correctness.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-079
leancrypto,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA HQC SHA-3 SHAKE Ascon),"Minimal functionality cryptographic library for bare-metal embedded systems. Supports ML-KEM and ML-DSA (FIPS 203/204) alongside HQC, SHA-3/SHAKE, and Ascon primitives; used as GnuTLS PQC backend.",Open Source,GPL-2.0+/BSD/Leancrypto,Current,2025,Yes (CAVP for Hash),High,Embedded Bare-metal Linux,All industries,https://leancrypto.org/,https://github.com/wolfeidau/leancrypto,Lean crypto library optimized for small footprint embedded environments.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;tls-basics,VND-087
Cosmian covercrypt,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM),Implementation of ETSI TS 104 015 Quantum-Safe Hybrid Key Exchanges with Hidden Access Policies. Enables attribute-based encryption (ABE) with post-quantum security.,Open Source,Apache-2.0,Current,2025-02,No,High,Cross-platform,Finance Healthcare Defense,https://cosmian.com/,https://github.com/Cosmian/cover_crypt,"Attribute-based encryption with quantum resistance, compliant with ETSI TS 104 015.",Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-085
pqm4,CSC-001,Cryptographic Libraries,Application,Yes (NIST PQC Suite; ML-KEM; ML-DSA),"Library for benchmarking and testing PQC on ARM Cortex-M4 microcontrollers. Contains optimized implementations of ML-KEM, ML-DSA, etc.",Open Source,Apache-2.0/MIT/CC0,Current,2025,No,Medium,ARM Cortex-M4,Embedded,https://github.com/mupq/pqm4,https://github.com/mupq/pqm4,Testing and benchmarking framework for PQC on embedded ARM Cortex-M4 devices.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;iot-ot-pqc;research-quantum-impact;tls-basics,VND-077
HQC Algorithm,CSC-001,Cryptographic Libraries,Application,Yes (HQC),NIST-selected backup Key Encapsulation Mechanism (March 2025). Code-based cryptography offering an alternative to lattice-based ML-KEM.,Open Source,Apache-2.0 (PQClean),N/A,2025-03,No (NIST Selected),Critical,Cross-platform,All industries,https://pqc-hqc.org/,https://github.com/PQClean/PQClean,Reference implementation of the Hamming Quasi-Cyclic (HQC) KEM.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;research-quantum-impact;tls-basics,VND-078
citadel_pqcrypto,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM NTRU+),Rust library for Citadel Protocol with multi-layered encryption and anti-replay protection. Features novel 3D matrix ratcheting and scramcryption.,Open Source,Apache-2.0/MIT,Current,2025,No,High,Cross-platform,All industries,https://crates.io/crates/citadel_pqcrypto,https://github.com/citadel-protocol/citadel_pqcrypto,PQC library for Citadel Protocol with built-in anti-replay and ratcheting.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-000
Microsoft SymCrypt,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA XMSS LMS),Core cryptographic library for Windows Azure and Microsoft 365. Now integrated with ML-KEM ML-DSA and XMSS stateful signatures. Undergoing FIPS 140-3 validation for PQC module.,Commercial,Commercial,v103.9.1,2025-07-28,Yes (In Progress),Critical,Windows Linux Azure,All industries,https://github.com/microsoft/SymCrypt,https://github.com/microsoft/SymCrypt,Microsoft's core crypto library powering Windows Azure and O365. Optimized for performance and FIPS compliance.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;energy-utilities-pqc;hybrid-crypto;os-pqc;tls-basics,VND-027
AWS-LC,CSC-001,Cryptographic Libraries,"Application,Security Stack",Yes (ML-KEM ML-DSA),"AWS's open-source crypto library derived from BoringSSL. FIPS 140-3 validated with ML-KEM and ML-DSA support. Powers AWS KMS, Secrets Manager, and Certificate Manager. Hybrid PQ KeyShares enabled by default in v1.68.0.",Open Source,Apache-2.0/ISC,v1.69.0,2025-03-02,Yes (FIPS 140-3),Critical,Linux AWS Cloud,All industries,https://github.com/aws/aws-lc,https://github.com/aws/aws-lc,FIPS 140-3 validated crypto library for AWS services. Includes optimized ML-KEM and ML-DSA. Hybrid PQ KeyShares enabled by default.,Trusted Vendor,Verified,2026-02-20,"prepare,test,migrate",compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;hybrid-crypto;os-pqc;tls-basics,VND-001
Nvidia cuPQC,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA Optimized),GPU-accelerated PQC library for high-throughput workloads. Achieves 143x/99x/84x speedup over CPU for ML-KEM Keygen/Encapsulation/Decapsulation. Integrated with Open Quantum Safe (OQS) project via Linux Foundation PQCA. Essential for AI/ML security and high-performance computing.,Proprietary,Nvidia License,Current,2025,No,Critical,Linux Windows (Nvidia GPUs),AI Data Center,https://developer.nvidia.com/cupqc,,GPU-accelerated PQC SDK. Delivers massive throughput for ML-KEM and ML-DSA on Nvidia hardware. Now integrated with OQS.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",ai-security-pqc;dev-quantum-impact;hybrid-crypto;tls-basics,VND-125
Cisco IOS XE PQC,CSC-032,Network Operating Systems,OS,Yes (ML-KEM),IOS XE 26 delivers industry-first full-stack post-quantum cryptography for enterprise routing and switching. Protects networking devices data in transit and control plane traffic with NIST-approved algorithms. Supports 8000 Series Secure Routers and C9000 Series Smart Switches. Also maintains RFC 8784 PQC PSK for IKEv2/IPsec VPN protection.,Commercial,Commercial,IOS XE 26,2026-02-10,Yes (FIPS 140-3 L1 #4752 #5160),Critical,Cisco 8000 C9000 ISR ASR CSR,Enterprise Government,https://www.cisco.com/c/en/us/products/ios-nx-os-software/ios-xe/index.html,,Full-stack quantum-safe networking OS with NIST PQC algorithms for routing switching and VPN.,Trusted Vendor,Verified,2026-03-25,"test,migrate",network-security-pqc;vpn-ssh-pqc,VND-008
Google ALTS,CSC-005,TLS/SSL Implementation Software,Application,Yes (NTRU-HRSS+X25519),Application Layer Transport Security with hybrid post-quantum key exchange (NTRU-HRSS + X25519). Protections Google's internal infrastructure traffic against quantum decryption.,Open Source,Apache-2.0,Current,2025,No,Critical,Google Cloud Internal,All industries,https://cloud.google.com/security/encryption-in-transit,,Google's internal transport security protocol now hardened with hybrid PQC.,Trusted Vendor,Verified,2026-03-25,"test,migrate",dev-quantum-impact;tls-basics,VND-018
Apple PQ3 / CoreCrypto,CSC-011,Secure Messaging and Communication,Application,Yes (ML-KEM ML-DSA Hybrid HPKE),iMessage protocol (PQ3) achieving Level 3 security with hybrid ML-KEM since iOS 17.4 (March 2024). CryptoKit framework in iOS 26/macOS 26 extends PQC with ML-KEM 768/1024 and ML-DSA-65/ML-DSA-87 APIs for third-party apps via HPKE. Apple services including CloudKit Push Notifications Safari Maps Weather and iCloud Private Relay adopting quantum-secure TLS.,Proprietary,Commercial,iOS 26.3,2026-02-11,Yes (FIPS 140-3 CoreCrypto),Critical,iOS macOS iPadOS watchOS tvOS visionOS,Consumer Enterprise,https://security.apple.com/blog/imessage-pq3/,,First messaging protocol to achieve Level 3 security with separate PQC rekeying (iOS 17.4). System-wide PQC support in Apple ecosystem via CryptoKit ML-KEM and ML-DSA APIs (iOS 26).,Trusted Vendor,Verified,2026-02-13,launch,crypto-dev-apis;email-signing;tls-basics,VND-002
