question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
pqc-governance-learn-001,pqc-governance,PQC Governance & Policy,What are the four levels of the escalation path defined for PQC conflict resolution?,"The escalation framework consists of a four-level path starting with the Working Group (5 days), followed by the Steering Committee (10 days), then the Executive Sponsor CISO/CTO (5 days), and finally the Board/Risk Committee for formal risk acceptance. This structured approach ensures that conflicts regarding PQC migration are resolved efficiently at the appropriate organizational level.",learn,recall,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: Escalation & Conflict Resolution
pqc-governance-learn-002,pqc-governance,PQC Governance & Policy,Which specific algorithms are listed as approved in the PQC policy templates?,"The policy templates include approved algorithms such as ML-KEM-512/768/1024, HQC, FrodoKEM, ML-DSA-44/65/87, FN-DSA, SLH-DSA, LMS, and XMSS. These selections align with current standards like FIPS 203, FIPS 204, FIPS 205, and draft standards for FN-DSA.",learn,recall,developer;architect;researcher,beginner,Global,General,FIPS 203;FIPS 204;FIPS 205,,,,ML-DSA-44;ML-KEM-512,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=ML-DSA-44;/algorithms?highlight=ML-KEM-512;/learn/pqc-governance,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:ML-DSA-44 IN algorithms_csv|algorithm:ML-KEM-512 IN algorithms_csv,Key Concepts: Policy Templates
pqc-governance-learn-003,pqc-governance,PQC Governance & Policy,What are the six key performance indicators (KPIs) used in the PQC governance dashboard?,"The KPI dashboard tracks six specific metrics: systems inventoried, algorithms migrated, vendor readiness, compliance gaps closed, training completion, and budget utilization. These indicators provide a comprehensive view of the migration program's progress for board reporting.",learn,recall,executive;ops,beginner,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: KPI Dashboard
pqc-governance-workshop-004,pqc-governance,PQC Governance & Policy,How does the RACI matrix validation feature ensure accountability in PQC migration activities?,"The RACI matrix builder includes a validation mechanism that warns users when any of the ten migration activities lack an 'Accountable' assignment. This ensures that every critical task, from crypto inventory to stakeholder communications, has a designated owner responsible for the outcome.",workshop,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: RACI Matrix; Workshop Step 1
pqc-governance-learn-005,pqc-governance,PQC Governance & Policy,What is the difference between a Centralized and a Federated governance model for PQC?,"A Centralized model establishes a single crypto authority to make all decisions, whereas a Federated model distributes decision-making power while adhering to overarching guidelines. The module also presents a Hybrid approach that combines centralized policy with federated execution.",learn,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: Governance Models
pqc-governance-workshop-006,pqc-governance,PQC Governance & Policy,How does the Policy Template Generator handle compliance integration for different regions?,"The generator auto-populates policy documents with relevant frameworks and country-specific deadlines based on the user's assessment data. This ensures that policies automatically align with standards like CNSA 2.0, NIST, ETSI, or ANSSI depending on the organization's operational footprint.",workshop,comprehension,executive;architect;developer,beginner,Global,General,,,,,,,ANSSI;ETSI;NIST,/learn/pqc-governance,compliance_ref:ANSSI EXISTS|compliance_ref:ETSI EXISTS|compliance_ref:NIST EXISTS,Key Concepts: Compliance Integration; Workshop Step 2
pqc-governance-both-007,pqc-governance,PQC Governance & Policy,"In a scenario where regional teams require autonomy due to local laws like ANSSI or BSI, which governance model is most appropriate?",A Hybrid governance model is most appropriate as it allows for centralized policy mandates while enabling federated execution to accommodate local compliance requirements. This approach balances the CISO's need for a unified strategy with the regional teams' necessity to adhere to specific national regulations.,both,application,executive;architect,intermediate,EU;USA,General,,,,,,,ANSSI;BSI,/learn/pqc-governance,compliance_ref:ANSSI EXISTS|compliance_ref:BSI EXISTS,Learn Section 1; Workshop Exercise 1
pqc-governance-both-008,pqc-governance,PQC Governance & Policy,"If a critical application relies on a vendor library that only supports ECDH, how should the policy exception process be applied?",The organization should utilize the exception process defined in the Policy Hierarchy to document the deviation from the mandated ML-KEM-768 requirement. This involves formally recording the risk and the vendor's timeline for PQC support while maintaining compliance with the overall migration policy.,both,application,executive;developer;architect,intermediate,Global,General,,,,,ML-KEM-768,,,/algorithms?highlight=ML-KEM-768;/learn/pqc-governance,algorithm:ML-KEM-768 IN algorithms_csv,Learn Section 2; Workshop Exercise 2
pqc-governance-both-009,pqc-governance,PQC Governance & Policy,"How should a board-level KPI dashboard be designed to satisfy the conflicting needs of the CFO, CRO, and CTO?","The dashboard must prioritize metrics that address cost (budget utilization), risk (compliance gaps closed), and technical progress (algorithms migrated) within a single-page view. Visualizing these dimensions together allows the board to understand the trade-offs between financial investment, risk reduction, and technical achievement in 10 minutes.",both,application,executive;architect,intermediate,Global,General,,,,,,,,/learn/pqc-governance,,Learn Section 3; Workshop Exercise 3
pqc-governance-both-010,pqc-governance,PQC Governance & Policy,"How does the RACI matrix facilitate cross-functional coordination between the CISO, CTO, and Procurement teams?","By mapping ten specific migration activities across six organizational roles, the RACI matrix clarifies who is Responsible, Accountable, Consulted, or Informed for each task. This structure prevents role ambiguity and ensures that critical functions like vendor assessment and algorithm selection involve the correct stakeholders from CISO to Procurement.",both,synthesis,executive;architect;ops,intermediate,Global,General,,,,,,,,/learn/pqc-governance,,Overview; Key Concepts: RACI Matrix
pqc-governance-both-011,pqc-governance,PQC Governance & Policy,How can the Policy Hierarchy be used to enforce OMB Memorandum M-23-02 requirements within an enterprise?,"The Enterprise Cryptographic Policy at the top of the hierarchy can mandate executive sponsorship and governance structures as required by OMB M-23-02. Lower-level policies, such as Vendor Crypto Requirements and Migration Timeline Policies, then operationalize these mandates into specific deadlines and supply chain obligations.",both,synthesis,executive;architect,intermediate,USA;Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: Policy Hierarchy; Governance Authority
pqc-governance-both-012,pqc-governance,PQC Governance & Policy,How does the KPI Dashboard's 'vendor readiness' metric integrate with the broader migration strategy?,"The vendor readiness score is auto-calculated from migration catalog data, providing a real-time indicator of supply chain risk. This metric feeds into the overall governance strategy by highlighting dependencies that could delay the migration of systems inventoried or algorithms migrated.",both,synthesis,executive;ops;architect,intermediate,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: KPI Dashboard; Workshop Step 3
pqc-governance-both-013,pqc-governance,PQC Governance & Policy,How should an organization balance the adoption of draft standards like HQC and FN-DSA with established FIPS standards in their policy?,"The Policy Template Generator allows organizations to include both finalized FIPS standards (203, 204, 205) and draft standards (HQC, FN-DSA) as approved algorithms. This flexibility enables forward-looking migration strategies while maintaining compliance with current regulatory frameworks.",both,synthesis,architect;developer;researcher,advanced,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: Policy Templates; Related Standards
pqc-governance-both-014,pqc-governance,PQC Governance & Policy,How does the escalation framework support risk acceptance decisions at the Board level?,"The four-level escalation path culminates in the Board/Risk Committee, which is responsible for formal risk acceptance when lower levels cannot resolve conflicts. This ensures that high-stakes decisions regarding PQC migration delays or policy exceptions receive appropriate executive oversight.",both,synthesis,executive;architect,advanced,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: Escalation & Conflict Resolution
pqc-governance-both-015,pqc-governance,PQC Governance & Policy,How can the RACI matrix and Policy Hierarchy be combined to ensure accountability for 'compliance auditing' activities?,"The RACI matrix assigns specific roles (Responsible, Accountable) to the compliance auditing activity, while the Policy Hierarchy defines the Enterprise Cryptographic Policy that mandates these audits. Together, they ensure that the audit is not only required by policy but also has a designated owner accountable for its execution.",both,synthesis,executive;architect;ops,advanced,Global,General,,,,,,,,/learn/pqc-governance,,Key Concepts: RACI Matrix; Policy Hierarchy
