question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
database-encryption-pqc-learn-001,database-encryption-pqc,Database Encryption & PQC,Which symmetric encryption algorithm is used for Transparent Data Encryption (TDE) and is considered quantum-safe?,"AES-256 is the symmetric encryption algorithm used for TDE to protect database files on disk. It is already considered quantum-safe, meaning the migration scope for TDE is limited to replacing the DEK wrapping algorithm rather than the data encryption itself.",learn,recall,developer;architect;ops,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,TDE Migration Steps
database-encryption-pqc-learn-002,database-encryption-pqc,Database Encryption & PQC,What is the specific Post-Quantum Cryptography (PQC) algorithm required to replace RSA-OAEP for DEK wrapping in TDE migration?,The module specifies ML-KEM-1024 as the required PQC algorithm to replace RSA-OAEP for wrapping Data Encryption Keys (DEKs). This change addresses the vulnerability of classical public-key algorithms against quantum attacks while maintaining AES-256 for data encryption.,learn,recall,architect;developer,intermediate,Global,General,,,,,ML-KEM-1024,,,/algorithms?highlight=ML-KEM-1024;/learn/database-encryption-pqc,algorithm:ML-KEM-1024 IN algorithms_csv,TDE Migration Steps
database-encryption-pqc-learn-003,database-encryption-pqc,Database Encryption & PQC,Which SQL Server system view is used to enumerate encrypted databases during the inventory phase of TDE migration?,The `sys.dm_database_encryption_keys` system view in SQL Server is used to enumerate all encrypted databases. This step is part of the Inventory & Key Hierarchy Audit to document RSA/ECC-wrapped DEK locations before generating a CBOM.,learn,recall,developer;ops,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,TDE Migration Steps
database-encryption-pqc-learn-004,database-encryption-pqc,Database Encryption & PQC,What is the size of the ML-KEM ciphertext generated during the Master Key Rotation step?,"The ML-KEM ciphertext generated during the encapsulation process is 1,568 bytes in size. This ciphertext, along with the wrapped DEK, is stored alongside the old RSA entry during the transition period.",learn,recall,architect;developer,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/database-encryption-pqc,algorithm:KEM IN algorithms_csv,TDE Migration Steps
database-encryption-pqc-learn-005,database-encryption-pqc,Database Encryption & PQC,Which Oracle command is used to perform online re-encryption of a tablespace during TDE migration?,"The command `ALTER TABLESPACE REKEY` is used in Oracle databases to perform online re-encryption. This allows for migration with zero application downtime, supporting the transition to PQC-wrapped keys.",learn,recall,developer;ops,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,TDE Migration Steps
database-encryption-pqc-learn-006,database-encryption-pqc,Database Encryption & PQC,What is the PQC readiness percentage for a Provider-Managed key architecture?,"A Provider-Managed key architecture has a PQC readiness score of 30%. In this model, the cloud provider generates and stores all key material, leaving no customer control over the PQC migration timeline.",learn,recall,executive;architect,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,BYOK/HYOK Patterns
database-encryption-pqc-learn-007,database-encryption-pqc,Database Encryption & PQC,Why is AES-256 considered quantum-safe in the context of database encryption?,"AES-256 is considered quantum-safe because it is a symmetric algorithm with a key size large enough to resist attacks from quantum computers using Grover's algorithm. Consequently, PQC migration efforts for TDE focus solely on replacing the asymmetric DEK wrapping mechanism.",learn,comprehension,architect;researcher,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,TDE Migration Steps
database-encryption-pqc-learn-008,database-encryption-pqc,Database Encryption & PQC,What is the primary security difference between BYOK and HYOK regarding key material exposure?,"In a BYOK model, the cloud KMS briefly holds the unwrapped Customer Master Key (CMK) in HSM memory, creating residual exposure. In contrast, HYOK ensures the customer key never leaves on-premises infrastructure, with the cloud database receiving only encrypted DEKs.",learn,comprehension,architect;security,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,BYOK/HYOK Patterns
database-encryption-pqc-learn-009,database-encryption-pqc,Database Encryption & PQC,How does the key flow in a HYOK architecture utilize ML-KEM-1024 and HKDF-SHA-256?,"The HYOK key flow uses ML-KEM-1024.Encaps to generate a KEM ciphertext and a shared secret. This shared secret is then processed via HKDF-SHA-256 to derive a 256-bit wrapping key, which is subsequently used with AES-256-KW to wrap the DEK.",learn,comprehension,architect;developer,advanced,Global,General,,,,,KEM;ML-KEM-1024,,,/algorithms?highlight=KEM;/algorithms?highlight=ML-KEM-1024;/learn/database-encryption-pqc,algorithm:KEM IN algorithms_csv|algorithm:ML-KEM-1024 IN algorithms_csv,BYOK/HYOK Patterns
database-encryption-pqc-learn-010,database-encryption-pqc,Database Encryption & PQC,Why are classical RSA keys marked as DEACTIVATED rather than deleted during the TDE migration decommissioning phase?,"Classical RSA keys must be marked as DEACTIVATED but not deleted because they are still required to decrypt old backups. Deleting them immediately would render historical data inaccessible, whereas deactivation enforces a policy for new key wrapping while preserving legacy access.",learn,comprehension,ops;architect,intermediate,Global,General,,,,,,,,/learn/database-encryption-pqc,,TDE Migration Steps
database-encryption-pqc-learn-011,database-encryption-pqc,Database Encryption & PQC,Which regulatory frameworks specifically require the HYOK pattern for compliance?,"The HYOK pattern is required for NSM-8 classified systems, DORA Article 9 financial entities, and ENISA HYOK guidelines. These regulations mandate that customer keys never leave on-premises infrastructure to ensure maximum control over cryptographic material.",learn,comprehension,executive;architect,intermediate,EU;USA,Financial Services;Government,,,,,,,DORA;ENISA,/learn/database-encryption-pqc,compliance_ref:DORA EXISTS|compliance_ref:ENISA EXISTS,BYOK/HYOK Patterns
database-encryption-pqc-learn-012,database-encryption-pqc,Database Encryption & PQC,What is the specific PKCS#11 mechanism used for ML-KEM key pair generation in on-prem HSMs?,"The specific PKCS#11 v3.2 mechanism used for ML-KEM key pair generation is `CKM_ML_KEM_KEY_PAIR_GEN`. This mechanism is supported by on-prem HSMs like Thales CipherTrust, Entrust DataControl, and Utimaco for HYOK implementations.",learn,comprehension,developer;architect,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/database-encryption-pqc,algorithm:KEM IN algorithms_csv,BYOK/HYOK Patterns
