question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
5g-security-learn-001,5g-security,5G Security,"Which 3GPP specification defines the core security architecture for 5G networks, including SUCI concealment and 5G-AKA?","The core security architecture for 5G networks is defined by 3GPP TS 33.501. This specification covers the three pillars of 5G security: subscriber privacy via SUCI concealment, mutual authentication through 5G-AKA, and SIM key provisioning.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,Telecommunications,3GPP TS 33.501,,,,,,,/library?ref=3GPP%20TS%2033.501;/learn/5g-security,library_ref:3GPP TS 33.501 EXISTS,"RAG Summary: Key Concepts, Related Standards"
5g-security-learn-002,5g-security,5G Security,"What are the three specific SUCI concealment profiles mentioned in the module, and which one utilizes the ML-KEM algorithm?","The three SUCI concealment profiles are Profile A (X25519), Profile B (P-256), and Profile C. Profile C is the only one that utilizes the lattice-based ML-KEM (Kyber) algorithm to provide quantum-resistant key encapsulation.",learn,recall,developer;architect,intermediate;advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
5g-security-learn-003,5g-security,5G Security,Which NIST standard defines the ML-KEM algorithm used in 3GPP Profile C for post-quantum security?,"The ML-KEM algorithm is defined by FIPS 203. This standard establishes ML-KEM as the quantum-resistant key encapsulation mechanism, which is being studied for integration into 5G security under 3GPP TR 33.841.",learn,recall,researcher;architect,intermediate;advanced,USA;Global,Telecommunications,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/5g-security,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary: Related Standards, Authoritative Source Context: FIPS 203"
5g-security-learn-004,5g-security,5G Security,How does the SUCI mechanism specifically address the security vulnerability known as 'IMSI catching' found in previous mobile generations?,"SUCI addresses IMSI catching by encrypting the subscriber's permanent identity (SUPI/IMSI) before it is transmitted over the air interface. This prevents adversaries from intercepting and identifying subscribers, a flaw that plagued 2G, 3G, and 4G networks where identities were sent in plaintext.",learn,comprehension,architect;ops;curious,intermediate,Global,Telecommunications,,,,,,,,/learn/5g-security,,"RAG Summary: Key Concepts, Curious Summary"
5g-security-learn-005,5g-security,5G Security,Why is the MILENAGE algorithm used in 5G-AKA considered quantum-resistant despite the vulnerabilities of asymmetric cryptography?,"MILENAGE relies on the symmetric AES-128 algorithm, which remains quantum-resistant because Grover's algorithm only reduces its effective key length to 64 bits rather than breaking it entirely. In contrast, the asymmetric ECDH used in SUCI concealment is vulnerable to Shor's algorithm.",learn,comprehension,researcher;architect,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,RAG Summary: Key Concepts
5g-security-learn-006,5g-security,5G Security,What is the primary difference in cryptographic primitives between Profile A/B and Profile C regarding their vulnerability to quantum computers?,"Profiles A and B use elliptic curve cryptography (X25519 and P-256 respectively), which are vulnerable to Shor's algorithm on a quantum computer. Profile C uses the lattice-based ML-KEM algorithm, which is designed to be resistant to quantum attacks.",learn,comprehension,developer;researcher,intermediate;advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
5g-security-both-007,5g-security,5G Security,"In a scenario where an operator wants to migrate to post-quantum security for SUCI concealment, which specific algorithm and profile must they implement?","The operator must implement Profile C, which utilizes the ML-KEM (Kyber) algorithm. This migration replaces the quantum-vulnerable ECIES-based profiles (A and B) with a lattice-based key encapsulation mechanism to secure subscriber identities against future quantum threats.",both,application,architect;ops,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"RAG Summary: Key Concepts, Curious Summary"
5g-security-workshop-008,5g-security,5G Security,"If a network engineer needs to derive the KAUSF anchor key during the 5G-AKA process, what inputs and algorithm are required according to the module?","To derive the KAUSF anchor key, the engineer must use the CK and IK keys generated by MILENAGE as inputs. These are processed through an HMAC-SHA-256 function bound to the Serving Network Name to create the anchor key.",workshop,application,developer;ops,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"RAG Summary: Key Concepts, Workshop Activities"
5g-security-workshop-009,5g-security,5G Security,How would you configure a simulation to test the SUCI deconcealment process using a hybrid approach that combines classical and post-quantum algorithms?,"To test a hybrid approach, configure the simulation for Profile C with the 'hybrid' mode enabled. This setup combines X25519 (classical) and ML-KEM (post-quantum) to ensure security against both current and future quantum threats during the key agreement phase.",workshop,application,developer;researcher,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"RAG Summary: Key Concepts, Workshop Activities"
5g-security-both-010,5g-security,5G Security,"Synthesize the relationship between the 'harvest now, decrypt later' threat model and the necessity of migrating from Profile A/B to Profile C in 5G networks.","The 'harvest now, decrypt later' threat implies that adversaries are currently recording encrypted SUCI traffic using vulnerable Profile A or B algorithms. Once quantum computers become available, this recorded data can be decrypted retroactively; therefore, migrating to the quantum-resistant Profile C is essential to protect historical and future subscriber privacy.",both,synthesis,executive;architect;researcher,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Curious Summary, RAG Summary: Key Concepts"
5g-security-both-011,5g-security,5G Security,Compare the supply chain security requirements for SIM provisioning with the air-interface security of SUCI concealment in terms of their quantum vulnerability.,"SIM provisioning relies on symmetric encryption (AES) and key generation in factory HSMs, which remain quantum-resistant against Shor's algorithm. Conversely, SUCI concealment uses asymmetric ECDH for key agreement, making it vulnerable to quantum attacks unless migrated to Profile C (ML-KEM).",both,synthesis,architect;ops;researcher,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
5g-security-learn-012,5g-security,5G Security,Analyze how the 5G key hierarchy (CK/IK to KgNB) ensures that a compromise in the radio layer does not expose the long-term subscriber keys stored in the USIM.,"The 5G key hierarchy derives session-specific keys like KgNB from the anchor key KAUSF, which itself is derived from CK and IK generated by MILENAGE. This hierarchical structure ensures that compromising a lower-level radio key does not reveal the higher-level authentication keys or the long-term K stored in the USIM.",learn,synthesis,architect;developer,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,RAG Summary: Key Concepts
5g-security-both-013,5g-security,5G Security,Evaluate the trade-offs of implementing Profile C (ML-KEM) in terms of public key size and network latency compared to Profile A (X25519).,"Profile C uses ML-KEM with significantly larger public keys (1,184 bytes) compared to Profile A's X25519 (32 bytes), which increases bandwidth usage. Additionally, the heavier processing required for lattice-based cryptography may impact network latency, requiring operators to upgrade equipment to maintain performance.",both,synthesis,architect;ops;executive,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"RAG Summary: Key Concepts, Curious Summary"
5g-security-both-014,5g-security,5G Security,How does the integration of FIPS 203 (ML-KEM) into 3GPP standards align with broader regulatory requirements for critical infrastructure protection against quantum threats?,"Integrating FIPS 203 into 3GPP standards via Profile C aligns with global mandates like GSMA PQ.03 and national strategies (e.g., Singapore NQSN+) that require organizations to identify and remediate quantum vulnerabilities in critical infrastructure. This ensures mobile networks meet compliance for long-term data security.",both,synthesis,executive;architect;researcher,advanced,USA;EU;APAC;Global,Telecommunications,FIPS 203,,Singapore,,KEM,,,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/timeline?country=Singapore;/learn/5g-security,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv,"RAG Summary: Related Standards, Authoritative Source Context"
5g-security-both-015,5g-security,5G Security,Construct a comprehensive migration strategy for a 5G operator that addresses both the immediate 'harvest now' threat and the long-term quantum readiness of their subscriber identity protection.,"The strategy involves immediately conducting a cryptographic discovery to identify all Profile A/B deployments, followed by a phased rollout of Profile C (ML-KEM) in hybrid mode. This approach secures new traffic against future decryption while maintaining compatibility with existing classical infrastructure during the transition period.",both,synthesis,executive;architect;ops,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"Curious Summary, Authoritative Source Context: GSMA PQ.03"
aerospace-pqc-learn-001,aerospace-pqc,Aerospace PQC,Which NIST FIPS standard defines ML-DSA as the approved algorithm for protecting sensitive unclassified information in federal systems?,FIPS 204 defines ML-DSA (Module-Lattice-Based Digital Signature Algorithm) as the approved standard for digital signatures. It is compliant with FIPS 186-5 and NIST Special Publication 800-208. This standard ensures quantum-resistant signature capabilities for federal information systems.,learn,recall,architect;developer;researcher,intermediate;advanced,USA;Global,Aerospace;Government,FIPS 186-5;FIPS 204,,,,Signature,,NIST,/library?ref=FIPS%20186-5;/library?ref=FIPS%20204;/algorithms?highlight=Signature;/learn/aerospace-pqc,library_ref:FIPS 186-5 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,Authoritative Source Context: FIPS 204
aerospace-pqc-learn-002,aerospace-pqc,Aerospace PQC,What is the approximate one-way latency for Low Earth Orbit (LEO) satellite communications?,"Low Earth Orbit (LEO) satellites, operating at altitudes between 500 and 2000 km, typically exhibit a one-way latency of approximately 20 milliseconds. This low latency is characteristic of constellations like Starlink and OneWeb. However, frequent handoffs in LEO complicate key freshness requirements.",learn,recall,architect;ops,intermediate;advanced,Global,Aerospace;Satellite,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Satellite orbit types and link budget impact
aerospace-pqc-learn-003,aerospace-pqc,Aerospace PQC,Which export control regulation governs military avionics cryptography in the United States?,"The International Traffic in Arms Regulations (ITAR) governs military avionics cryptography. In contrast, the Export Administration Regulations (EAR) apply to dual-use items. Standard encryption may qualify as EAR99 or fall under ECCN 5E002 depending on the specific implementation.",learn,recall,executive;architect,intermediate;advanced,USA,Aerospace;Defense,,,International;United States,,,,,/timeline?country=International;/timeline?country=United%20States;/learn/aerospace-pqc,,RAG Summary: Export control
aerospace-pqc-learn-004,aerospace-pqc,Aerospace PQC,What is the data rate and word size limitation of the ARINC 429 avionics protocol?,"The ARINC 429 protocol operates at a data rate of 12.5 Kbps with a legacy 32-bit (4-byte) data word structure. Due to these strict constraints, PQC signatures are physically impossible to transmit directly on-wire without external processing or gateway mediation.",learn,recall,developer;architect,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Avionics protocols and crypto constraints
aerospace-pqc-learn-005,aerospace-pqc,Aerospace PQC,Which NIST FIPS standard covers the Stateless Hash-Based Signature (SLH-DSA) algorithm?,"FIPS 205 defines SLH-DSA, a stateless hash-based signature scheme selected for standardization by NIST. It is compliant with FIPS 186-5 and SP 800-140C. This standard provides an alternative to lattice-based schemes for specific use cases.",learn,recall,researcher;developer,intermediate;advanced,USA;Global,Aerospace;Government,FIPS 186-5;FIPS 205,,,,Signature,,NIST,/library?ref=FIPS%20186-5;/library?ref=FIPS%20205;/algorithms?highlight=Signature;/learn/aerospace-pqc,library_ref:FIPS 186-5 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,Authoritative Source Context: FIPS 205
aerospace-pqc-learn-006,aerospace-pqc,Aerospace PQC,What is the typical service life range for Geostationary Earth Orbit (GEO) satellites?,"Geostationary Earth Orbit (GEO) satellites typically have a service life ranging from 15 to 20 years. This long operational window exposes telemetry and command links encrypted today to 'Harvest Now, Decrypt Later' threats for the duration of their mission.",learn,recall,architect;executive,intermediate;advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: HNDL risk for satellite telemetry
aerospace-pqc-learn-007,aerospace-pqc,Aerospace PQC,Which certification standard addresses airworthiness security processes in the aerospace industry?,"DO-326A is the standard that defines the airworthiness security process for aviation systems. It works in conjunction with EUROCAE ED-202A, which covers airworthiness security methods and considerations. Compliance is mandatory for modern aircraft certification.",learn,recall,architect;executive,advanced,USA;EU;Global,Aerospace,,,,,,,DO-326A,/learn/aerospace-pqc,compliance_ref:DO-326A EXISTS,RAG Summary: Certification and airworthiness
aerospace-pqc-learn-008,aerospace-pqc,Aerospace PQC,Why is the ARINC 664/AFDX protocol considered more feasible for PQC implementation than ARINC 429?,"ARINC 664/AFDX operates over a 100 Mbps Ethernet backbone, providing sufficient bandwidth to manage ML-DSA overhead with proper framing. In contrast, ARINC 429 is limited to 12.5 Kbps and 4-byte words, making native PQC signatures physically impossible on the wire.",learn,comprehension,architect;developer,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Avionics protocols and crypto constraints
aerospace-pqc-learn-009,aerospace-pqc,Aerospace PQC,"How does the 'Harvest Now, Decrypt Later' (HNDL) threat specifically impact satellites launched in 2028?","Satellites launched in 2028 will likely still be operational when quantum computers capable of breaking classical cryptography become available. Since their hardware cannot be physically upgraded post-launch, telemetry and command links encrypted with RSA or ECDSA today are vulnerable to future decryption.",learn,comprehension,architect;researcher,advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,Curious Summary: Why It Matters
aerospace-pqc-learn-010,aerospace-pqc,Aerospace PQC,What is the primary reason that changing cryptographic algorithms in safety-critical avionics requires full DO-178C re-certification?,"Any change to cryptographic algorithms in safety-critical software impacts the Design Assurance Level (DAL) requirements, necessitating a full re-certification process. This involves extensive testing and validation, potentially taking 3–7 years and costing tens of millions of dollars per aircraft type.",learn,comprehension,executive;architect,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Certification and airworthiness
aerospace-pqc-learn-011,aerospace-pqc,Aerospace PQC,Why are hash-based algorithms like LMS or XMSS recommended for ultra-constrained or highly radiated hardware?,"Hash-based algorithms rely entirely on public data and do not use fragile lattice matrices, making them more resilient to Single Event Upsets (SEUs) caused by cosmic radiation. They also offer smaller signature sizes suitable for protocols where ML-DSA's large overhead is prohibitive.",learn,comprehension,architect;developer,advanced,Global,Aerospace;Satellite,,,,,,,,/learn/aerospace-pqc,,Curious Summary: The Key Takeaway
aerospace-pqc-learn-012,aerospace-pqc,Aerospace PQC,How does the latency of Geostationary Earth Orbit (GEO) satellites impact interactive key exchange protocols?,"GEO satellites have a round-trip latency of approximately 500 ms due to their altitude of 35,786 km. This significant delay negatively impacts interactive key exchange protocols that rely on rapid handshakes, requiring careful protocol design to maintain session efficiency.",learn,comprehension,architect;ops,advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Satellite orbit types and link budget impact
aerospace-pqc-learn-013,aerospace-pqc,Aerospace PQC,What is the relationship between ITAR/EAR regulations and the export of PQC-equipped aerospace products?,"ITAR governs military avionics cryptography, while EAR covers dual-use items. The classification of specific PQC algorithms like ML-DSA under these regimes is subject to review by the Bureau of Industry and Security (BIS), with formal rulings pending as of early 2026.",learn,comprehension,executive;architect,advanced,USA;Global,Aerospace;Defense,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Export control
aerospace-pqc-learn-014,aerospace-pqc,Aerospace PQC,Why is the ACARS protocol considered infeasible for native PQC handshakes?,"ACARS operates over VHF with a very limited bandwidth of 2400 bps. The large size of PQC signatures and key exchange parameters exceeds the capacity of this legacy link, making native implementation impossible without ground-based gateway mediation.",learn,comprehension,architect;developer,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Avionics protocols and crypto constraints
aerospace-pqc-learn-015,aerospace-pqc,Aerospace PQC,How do radiation-hardened processors like the RAD750 constrain PQC implementation?,Rad-hard processors such as the RAD750 typically run at low clock speeds (50–200 MHz) with limited crypto acceleration. This necessitates careful software profiling for ML-DSA verification or the use of dedicated crypto coprocessors like RTAX-S FPGAs to meet real-time signing requirements.,learn,comprehension,developer;architect,advanced,Global,Aerospace;Satellite,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Radiation-hardened processor constraints
