question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
stateful-signatures-learn-001,stateful-signatures,Stateful Hash Signatures,Which NIST publication standardizes the LMS and XMSS stateful hash-based signature schemes?,"The LMS and XMSS schemes are standardized in NIST Special Publication 800-208, titled 'Recommendation for Stateful Hash-Based Signature Schemes,' published in October 2020. This document establishes the security requirements and specifications for these conservative post-quantum algorithms.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,General,,,,,Signature,,NIST,/algorithms?highlight=Signature;/learn/stateful-signatures,algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary, Related Standards"
stateful-signatures-learn-002,stateful-signatures,Stateful Hash Signatures,What specific cryptographic properties form the basis of security for hash-based signatures like LMS and XMSS?,"Hash-based signature security relies solely on the collision resistance and second-preimage resistance of the underlying hash function. Unlike other post-quantum schemes, these algorithms do not require new or unproven cryptographic hardness assumptions.",learn,recall,researcher;architect,intermediate;advanced,Global,General,,,,,,,,/learn/stateful-signatures,,"Key Concepts, Module Description"
stateful-signatures-learn-003,stateful-signatures,Stateful Hash Signatures,Which RFCs define the specifications for LMS and XMSS respectively?,"The Leighton-Micali Signature (LMS) scheme is defined in RFC 8554, while the eXtended Merkle Signature Scheme (XMSS) is defined in RFC 8391. These IETF standards provide the technical details for implementing these stateful hash-based signatures.",learn,recall,developer;architect,beginner;intermediate,Global,General,,,,,Signature,,IETF,/algorithms?highlight=Signature;/learn/stateful-signatures,algorithm:Signature IN algorithms_csv|compliance_ref:IETF EXISTS,"Related Standards, Key Concepts"
stateful-signatures-learn-004,stateful-signatures,Stateful Hash Signatures,What is the primary consequence of signing two different messages with the same one-time signature (OTS) key in LMS or XMSS?,"Signing two different messages with the same OTS key allows an attacker to compute enough of the private key to forge arbitrary signatures, resulting in a catastrophic break. This event necessitates the immediate revocation of the entire key pair.",learn,recall,developer;ops;architect,intermediate;advanced,Global,General,,,,,,,,/learn/stateful-signatures,,"Key Concepts, Workshop Activities"
stateful-signatures-learn-005,stateful-signatures,Stateful Hash Signatures,Which stateless hash-based signature scheme is defined in FIPS 205?,SLH-DSA (Stateless Hash-Based Digital Signature Algorithm) is the stateless alternative standardized in FIPS 205. It offers unlimited signature counts but typically results in larger signature sizes compared to stateful schemes.,learn,recall,architect;developer,intermediate;advanced,USA,General,FIPS 205,,,,Signature,,,/library?ref=FIPS%20205;/algorithms?highlight=Signature;/learn/stateful-signatures,library_ref:FIPS 205 EXISTS|algorithm:Signature IN algorithms_csv,"Key Concepts, Related Standards"
stateful-signatures-learn-006,stateful-signatures,Stateful Hash Signatures,How does the Winternitz parameter (W) in WOTS+ affect the trade-off between signature size and signing speed?,"The Winternitz parameter W controls a trade-off where W=1 provides the fastest signing speed but results in the largest signature size, while W=8 yields the smallest signatures but is the slowest to sign. Changing this parameter has zero impact on the security level of the scheme.",learn,comprehension,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/stateful-signatures,,Key Concepts
stateful-signatures-learn-007,stateful-signatures,Stateful Hash Signatures,Why is the Merkle tree root used as the public key in LMS and XMSS schemes?,"In these schemes, each leaf of the Merkle tree contains the hash of a unique one-time signature (OTS) public key. The root of the tree serves as the overall public key because it cryptographically binds all the individual OTS keys together via the authentication path.",learn,comprehension,architect;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/stateful-signatures,,Key Concepts
stateful-signatures-learn-008,stateful-signatures,Stateful Hash Signatures,What is the primary architectural difference between LMS and HSS regarding signing capacity?,"LMS utilizes a single Merkle tree with heights ranging from 5 to 25, supporting up to approximately 33 million signatures. HSS extends this by stacking up to 8 tree levels, enabling massive signing capacity far beyond the limits of a single LMS tree.",learn,comprehension,architect;developer,advanced,Global,General,,,,,,,,/learn/stateful-signatures,,Key Concepts
stateful-signatures-learn-009,stateful-signatures,Stateful Hash Signatures,How does XMSS provide forward security compared to standard LMS implementations?,"XMSS offers forward security, meaning that past signatures remain secure even if the current private key state is compromised. This property is achieved through its specific construction and tighter security proofs requiring only second-preimage resistance.",learn,comprehension,architect;researcher,advanced,Global,General,,,,,,,,/learn/stateful-signatures,,Key Concepts
stateful-signatures-learn-010,stateful-signatures,Stateful Hash Signatures,Why does CNSA 2.0 mandate LMS/XMSS for firmware and software signing in national security systems?,"CNSA 2.0 mandates these schemes because they rely on hash function properties, which are considered the most conservative and well-understood cryptographic assumptions against quantum attacks. They are specifically required for firmware and software signing to ensure long-term integrity.",learn,comprehension,executive;architect;ops,intermediate;advanced,USA,Government;Defense,,,,,,,,/learn/stateful-signatures,,"RAG Summary, Related Standards"
stateful-signatures-workshop-011,stateful-signatures,Stateful Hash Signatures,"In a scenario where an organization needs to sign millions of firmware updates with minimal signature size, why might they choose LMS over SLH-DSA?","They would choose LMS because it offers significantly smaller signature sizes (1.3-9 KB) compared to SLH-DSA (8-49 KB), which is critical for bandwidth-constrained firmware updates. Additionally, LMS provides faster signing speeds, though it requires strict state management.",workshop,application,architect;developer,advanced,Global,IoT;Automotive,,,,,,,,/learn/stateful-signatures,,"Key Concepts, Workshop Activities"
