source_id,source_name,source_type,trust_tier,region,primary_url,description,verification_status,last_verified_date,leaders_csv,library_csv,algorithm_csv,threats_csv,timeline_csv,compliance_csv,migrate_csv,patents_csv,local_doc_count,last_download_date,download_status,doc_collection,notes,primary_url_quality,name,type,domain,date_stamp,status,deprecated_at,deprecated_reason
01quantum,01 Quantum,Industry_Workgroup,4_Contextual,Global,https://01quantum.com/,Early-stage quantum-safe security leader focusing on agile PQC deployment,Verified,2026-02-13,No,No,No,No,No,No,Yes,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
1password-inc,1Password Inc.,Vendor,3_Supporting,,https://1password.com,"1Password Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
3gpp,3GPP,Standards_Body,1_Authoritative,Global,https://www.3gpp.org/,3rd Generation Partnership Project; mobile telecom standards (5G/6G) including PQC work items,Verified,2026-07-12,No,No,No,No,Yes,No,No,No,0,,None,none,,url_authoritative,,,,2026-07-09,active,,
405-d-program-hhs-health-indus,405(d) Program — HHS Health Industry Cybersecurity Practices,Government,2_Core,Americas,https://405d.hhs.gov/post/detail/c840201e-c552-4f9a-9684-6bbe687fea1b,HHS-run healthcare-sector cybersecurity program (Cybersecurity Act of 2015 Sec. 405(d)); published the Health Industry Cybersecurity Strategic Plan,Verified,2026-07-28,,,,,,,,No,,,,,"Confirmed live (200 via curl). Distinct Government entity from the companion Industry_Workgroup body HSCC (healthsectorcouncil.org, added separately above) -- 405(d) is the HHS-run federal program; HSCC is its private-sector execution partner.",url_authoritative,,,,,active,,
5g-americas,5G Americas,Industry_Workgroup,2_Core,Global,https://www.5gamericas.org/,Telecom industry trade association; white papers on PQC transition in mobile networks,Verified,2026-07-12,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-07-09,active,,
6wind-sa,6WIND SA,Vendor,3_Supporting,,https://www.6wind.com,"6WIND SA — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
a10-networks-inc,"A10 Networks, Inc.",Vendor,3_Supporting,,https://www.a10networks.com/,"A10 Networks, Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
aacs,AACS Licensing Administrator (AACS LA),Industry_Workgroup,3_Supporting,Global,https://www.aacsla.com/,Advanced Access Content System Licensing Administrator; defines content protection key management for Blu-ray and HD media formats,Verified,2026-03-28,No,Yes,No,Yes,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
aarhus-university-post-quantum,Aarhus University — Post-Quantum Security Research Group,Academic,3_Supporting,EMEA,https://projects.au.dk/quantum/post-quantum-security-and-communication,Aarhus University PQC research group; submitted Picnic and FEAST to the NIST PQC competition,Verified,2026-07-28,,,,,,,,No,,,,,"Confirmed live via WebFetch, including the Picnic/FEAST NIST-submission claim (MPC-in-the-head signature schemes).",url_needs_review,,,,,active,,
abi-research,ABI Research Technology Analysis,Industry_Analyst,4_Contextual,Global,https://www.abiresearch.com/,Industry technology forecasting including HSM and PQC adoption analysis,Verified,2025-12-15,No,No,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
acpr-france,Autorité de contrôle prudentiel et de résolution (France),Government,1_Authoritative,EMEA,https://acpr.banque-france.fr/,"French banking and insurance prudential regulator, part of the Banque de France. Sets cryptographic-control and operational-resilience expectations for FS-regulated entities.",Verified,2026-05-16,No,No,No,No,Yes,Yes,No,No,0,,None,none,Added 2026-05-16 for P2 #19 trusted_source orphan resolution.,url_authoritative,,,,2026-05-16,active,,
acs-australia,ACS (Australian Computer Society),Industry_Workgroup,3_Supporting,APAC,https://www.acs.org.au/,Australian ICT professional association; Information Age coverage of PQC developments,Verified,2026-07-12,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-07-09,active,,
acsc,ACSC Australian Signals Directorate,Government,1_Authoritative,APAC,https://www.cyber.gov.au/,Australian Cyber Security Centre quantum security guidance,Verified,2025-12-15,No,Yes,No,No,Yes,Yes,No,No,1,2024-12-01,Active,timeline,Fixed tagging: timeline_csv compliance_csv,url_authoritative,,,,2026-05-06,active,,
adguard,AdGuard,Vendor,3_Supporting,,https://adguard-dns.io,"AdGuard — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
adobe-inc,Adobe Inc.,Vendor,3_Supporting,,https://adobe.com,"Adobe Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
adva,Adtran Networks (formerly ADVA),Vendor,3_Supporting,EMEA,https://www.adtran.com,Optical transport and edge networking company; shipping PQC-enabled FSP 3000 CloudConnect with QKD and hybrid PQC integration for carrier networks,Verified,2026-03-31,No,Yes,No,No,No,No,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
advanced-micro-devices-inc,Advanced Micro Devices Inc.,Vendor,3_Supporting,,https://amd.com,"Advanced Micro Devices Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
advanced-technology-research-council,Advanced Technology Research Council,Vendor,3_Supporting,,https://www.atrc.ae,"Advanced Technology Research Council — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
aeec-sae,"Airlines Electronic Engineering Committee (AEEC) — ARINC Industry Activities, SAE ITC",Standards_Body,2_Core,Global,https://aviation-ia.sae-itc.com/,"AEEC / ARINC Industry Activities under SAE Industry Technologies Consortia; publishes the ARINC Standards for commercial avionics, incl. ARINC 811 and 827 information-security guidance.",Verified,2026-07-31,No,Yes,No,No,No,No,No,No,0,,None,none,"Added 2026-07-31 (WP-6.4): library rows ARINC-Standard-811/827 cited trusted_source_id=aeec-sae with no registry row, one of the 4 dangling FKs behind the trusted-sources accuracy FAIL.",url_authoritative,,,,2026-07-31,active,,
africa-quantum-consortium,Africa Quantum Consortium,Vendor,3_Supporting,,https://africaquantum.org,"Africa Quantum Consortium — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
africacert,AfricaCERT,Industry_Workgroup,3_Supporting,EMEA,https://www.africacert.org/home/,Pan-African CERT coordination body (Accra HQ) linking 50+ national CERTs,Verified,2026-07-28,,,,,,,,No,,,,,Confirmed live via WebFetch. Fills a pan-African regional-coordination gap; no PQC-specific content independently verified.,url_needs_review,,,,,active,,
african-institute-for-mathematical-sciences-aims,African Institute for Mathematical Sciences (AIMS),Vendor,3_Supporting,,https://qla.aimsric.org,"African Institute for Mathematical Sciences (AIMS) — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
age-project,age Project,Vendor,3_Supporting,,https://age-encryption.org,"age Project — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 1 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
agesic-uruguay-e-government-an,AGESIC — Uruguay e-Government and Information Society Agency,Government,3_Supporting,Americas,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/,"Uruguay's e-government agency, with a digital-strategy and cybersecurity mandate",Verified,2026-07-28,,,,,,,,No,,,,,Confirmed live via WebFetch. Broader e-government mandate rather than cybersecurity-only; fills a LatAm gap; no PQC-specific content verified.,url_needs_review,,,,,active,,
agesic-uy,"AGESIC (Agencia de Gobierno Electronico y Sociedad de la Informacion y del Conocimiento, Uruguay)",Government,1_Authoritative,Americas,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/,"Uruguay's e-government agency; operates the national PKI (raiz nacional) and authored the National Cybersecurity Strategy 2024-2030, which commits to a quantum-resistant national PKI and PQC algorithm adoption. Distinct from the pre-existing urcdp-uy entry (URCDP, the data-protection unit housed within AGESIC).",Verified,2026-08-07,No,No,No,No,Yes,No,No,No,0,,None,none,Added 2026-08-07 (timeline refresh remediation): new timeline row citing AGESIC's own National Cybersecurity Strategy 2024-2030.,url_needs_review,,,,2026-08-07,active,,
ahp-tech,AhP-Tech Inc.,Vendor,3_Supporting,APAC,https://www.ahptech.com.tw/en/,Taiwan quantum computing vendor; ACVP-validated Ah-Crypto library (FIPS-203/204),Verified,2026-07-14,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
aicpa,AICPA,Industry_Workgroup,2_Core,Americas,https://www.aicpa-cima.com/,American Institute of CPAs; issues SOC 2 and related assurance frameworks for service organizations and cloud providers,Verified,2026-03-28,No,No,No,No,No,Yes,No,No,0,,None,none,,url_needs_review,,,,2026-05-06,active,,
aisep,AISEP (Australian Information Security Evaluation Program),Government,1_Authoritative,APAC,https://www.cyber.gov.au/business-government/protecting-devices-systems/assessment-evaluation-programs/australian-information-security-evaluation-program,Australia national Common Criteria evaluation and certification scheme; certificates issued by the Australian Certification Authority (ACA).,Verified,2026-07-31,No,No,No,No,No,Yes,No,No,0,,None,none,"Added 2026-07-31 (WP-3.3, remediation plan) -- cross-links the compliance-landscape certification-body row added in the same batch (Phase 5 B1). URL and description sourced from the same real document fetched for that row.",url_authoritative,,,,2026-07-31,active,,
akamai-technologies-inc,"Akamai Technologies, Inc.",Vendor,3_Supporting,,https://www.akamai.com,"Akamai Technologies, Inc. — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 3 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
algorand,Algorand Foundation,Vendor,4_Contextual,Global,https://algorand.foundation/,Algorand blockchain protocol; actively developing PQC migration path for consensus and signature schemes on a live public blockchain network,Verified,2026-03-31,No,Yes,No,No,No,No,No,No,0,,None,none,url corrected 2026-07-09: Algorand Foundation site is algorand.foundation,url_needs_review,,,,2026-05-06,active,,
alibaba-cloud,Alibaba Cloud,Vendor,3_Supporting,,https://www.alibabacloud.com,"Alibaba Cloud — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 2 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
alpine-linux-project,Alpine Linux Project,Vendor,3_Supporting,,https://alpinelinux.org,"Alpine Linux Project — primary vendor website, sourced from the vendors catalog's existing verified record.",Verified,2026-07-07,No,No,No,No,No,No,Yes,No,0,,None,none,"Backfilled 2026-07-16 from pqc_authoritative_sources_reference_07162026.csv (pqc_authoritative_sources_reference) — trust_tier=3_Supporting assigned via Vendor's existing modal precedent in this registry, NOT independently researched; skim before treating as verified. Cited by 0 active migrate row(s), 1 active vendor row(s).",url_needs_review,,,,2026-07-16,active,,
