question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
emv-payment-pqc-learn-001,emv-payment-pqc,EMV Payment Systems & PQC,Which five payment networks are explicitly covered in the EMV Payment Systems & PQC module for quantum-safe migration planning?,"The module covers Visa, Mastercard, American Express (Amex), UnionPay, and Discover. These networks represent the world's largest deployed PKI with 14.7 billion chip cards.",learn,recall,executive;architect,beginner;intermediate,Global,Financial Services;Payment Processing,,,,,,,,/learn/emv-payment-pqc,,Module Description; RAG Summary - Module Overview
emv-payment-pqc-learn-002,emv-payment-pqc,EMV Payment Systems & PQC,What are the three types of EMV card authentication methods mentioned in the module?,"The three authentication methods are Static Data Authentication (SDA), Dynamic Data Authentication (DDA), and Combined Data Authentication (CDA). All currently utilize RSA-2048 certificate chains.",learn,recall,developer;architect,intermediate;advanced,Global,Financial Services;Payment Processing,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/emv-payment-pqc,algorithm:RSA-2048 IN algorithms_csv,RAG Summary - Key Topics: EMV Card Authentication
emv-payment-pqc-learn-003,emv-payment-pqc,EMV Payment Systems & PQC,Which payment network is identified as the only one with active PQC pilots using TLS 1.3 hybrid ML-KEM?,Mastercard is the only network mentioned in the module that has active PQC pilots utilizing TLS 1.3 hybrid ML-KEM.,learn,recall,executive;researcher,intermediate;advanced,Global,Financial Services;Payment Processing,,,,,KEM,,,/algorithms?highlight=KEM;/learn/emv-payment-pqc,algorithm:KEM IN algorithms_csv,RAG Summary - Key Topics: Payment Network Comparison
emv-payment-pqc-learn-004,emv-payment-pqc,EMV Payment Systems & PQC,What is the approximate size of the FN-DSA-512 certificate chain compared to ML-DSA-44 for card provisioning?,"The FN-DSA-512 certificate chain is approximately 6.7 KB, while the ML-DSA-44 chain is approximately 15.3 KB.",learn,recall,developer;architect,advanced,Global,Financial Services;Payment Processing,,,,,FN-DSA-512;ML-DSA-44,,,/algorithms?highlight=FN-DSA-512;/algorithms?highlight=ML-DSA-44;/learn/emv-payment-pqc,algorithm:FN-DSA-512 IN algorithms_csv|algorithm:ML-DSA-44 IN algorithms_csv,RAG Summary - Key Topics: Card Provisioning
emv-payment-pqc-learn-005,emv-payment-pqc,EMV Payment Systems & PQC,What is the total number of chip cards deployed across the five major payment networks mentioned in the module?,"The EMV payment ecosystem includes 14.7 billion chip cards across Visa, Mastercard, Amex, UnionPay, and Discover.",learn,recall,executive;curious,beginner;intermediate,Global,Financial Services;Payment Processing,,,,,,,,/learn/emv-payment-pqc,,RAG Summary - Module Overview
emv-payment-pqc-learn-006,emv-payment-pqc,EMV Payment Systems & PQC,Which specific cryptographic algorithm is used for the RSA-2048 certificate chains vulnerable to quantum computers in EMV authentication?,"The module states that SDA, DDA, and CDA all use RSA-2048 certificate chains which are vulnerable to quantum computers.",learn,recall,developer;researcher,intermediate;advanced,Global,Financial Services;Payment Processing,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/emv-payment-pqc,algorithm:RSA-2048 IN algorithms_csv,RAG Summary - Key Topics: EMV Card Authentication
emv-payment-pqc-learn-007,emv-payment-pqc,EMV Payment Systems & PQC,What is the primary quantum vulnerability associated with POS terminals regarding key management?,"The primary quantum vulnerability in POS terminals is the Key Injection Facility (KIF) ceremony, specifically the RSA-2048 key transport of the Base Derivation Key (BDK).",learn,recall,ops;architect,advanced,Global,Financial Services;Retail,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/emv-payment-pqc,algorithm:RSA-2048 IN algorithms_csv,RAG Summary - Key Topics: POS Terminals
emv-payment-pqc-learn-008,emv-payment-pqc,EMV Payment Systems & PQC,Why is FN-DSA-512 preferred over ML-DSA-44 for constrained card NVM during the provisioning process?,"FN-DSA-512 is preferred because its certificate chain size (~6.7 KB) is significantly smaller than ML-DSA-44 (~15.3 KB), making it more suitable for the limited Non-Volatile Memory (NVM) on payment cards.",learn,comprehension,developer;architect,intermediate;advanced,Global,Financial Services;Payment Processing,,,,,FN-DSA-512;ML-DSA-44,,,/algorithms?highlight=FN-DSA-512;/algorithms?highlight=ML-DSA-44;/learn/emv-payment-pqc,algorithm:FN-DSA-512 IN algorithms_csv|algorithm:ML-DSA-44 IN algorithms_csv,RAG Summary - Key Topics: Card Provisioning
emv-payment-pqc-learn-009,emv-payment-pqc,EMV Payment Systems & PQC,How do online authorization flows differ from offline DDA/CDA flows regarding quantum safety?,"Online authorization flows use ARQC/ARPC symmetric MACs which are considered quantum-safe, whereas offline DDA and CDA flows rely on RSA signatures that are vulnerable to quantum attacks.",learn,comprehension,developer;architect,intermediate;advanced,Global,Financial Services;Payment Processing,,,,,,,,/learn/emv-payment-pqc,,RAG Summary - Key Topics: Transaction Flows
emv-payment-pqc-learn-010,emv-payment-pqc,EMV Payment Systems & PQC,What is the relationship between UnionPay's card base size and its PQC readiness status?,"UnionPay has the largest card base with 9.4 billion cards, but its PQC readiness is tied to pending China GB/T standards rather than active pilots like Mastercard.",learn,comprehension,executive;researcher,intermediate;advanced,APAC;Global,Financial Services;Payment Processing,,,China,,,,,/timeline?country=China;/learn/emv-payment-pqc,,RAG Summary - Key Topics: Payment Network Comparison
