question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
5g-security-learn-001,5g-security,5G Security,"Which 3GPP specification defines the core security architecture for 5G networks, including SUCI concealment and 5G-AKA?","The core security architecture for 5G networks is defined by 3GPP TS 33.501. This specification covers the three pillars of 5G security: subscriber privacy via SUCI concealment, mutual authentication through 5G-AKA, and SIM key provisioning.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,Telecommunications,3GPP TS 33.501,,,,,,,/library?ref=3GPP%20TS%2033.501;/learn/5g-security,library_ref:3GPP TS 33.501 EXISTS,"RAG Summary: Key Concepts, Related Standards"
5g-security-learn-002,5g-security,5G Security,"What are the three specific SUCI concealment profiles mentioned in the module, and which one utilizes the ML-KEM algorithm?","The three SUCI concealment profiles are Profile A (X25519), Profile B (P-256), and Profile C. Profile C is the only one that utilizes the lattice-based ML-KEM (Kyber) algorithm to provide quantum-resistant key encapsulation.",learn,recall,developer;architect,intermediate;advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
5g-security-learn-003,5g-security,5G Security,Which NIST standard defines the ML-KEM algorithm used in 3GPP Profile C for post-quantum security?,"The ML-KEM algorithm is defined by FIPS 203. This standard establishes ML-KEM as the quantum-resistant key encapsulation mechanism, which is being studied for integration into 5G security under 3GPP TR 33.841.",learn,recall,researcher;architect,intermediate;advanced,USA;Global,Telecommunications,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/5g-security,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary: Related Standards, Authoritative Source Context: FIPS 203"
5g-security-learn-004,5g-security,5G Security,How does the SUCI mechanism specifically address the security vulnerability known as 'IMSI catching' found in previous mobile generations?,"SUCI addresses IMSI catching by encrypting the subscriber's permanent identity (SUPI/IMSI) before it is transmitted over the air interface. This prevents adversaries from intercepting and identifying subscribers, a flaw that plagued 2G, 3G, and 4G networks where identities were sent in plaintext.",learn,comprehension,architect;ops;curious,intermediate,Global,Telecommunications,,,,,,,,/learn/5g-security,,"RAG Summary: Key Concepts, Curious Summary"
5g-security-learn-005,5g-security,5G Security,Why is the MILENAGE algorithm used in 5G-AKA considered quantum-resistant despite the vulnerabilities of asymmetric cryptography?,"MILENAGE relies on the symmetric AES-128 algorithm, which remains quantum-resistant because Grover's algorithm only reduces its effective key length to 64 bits rather than breaking it entirely. In contrast, the asymmetric ECDH used in SUCI concealment is vulnerable to Shor's algorithm.",learn,comprehension,researcher;architect,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,RAG Summary: Key Concepts
5g-security-learn-006,5g-security,5G Security,What is the primary difference in cryptographic primitives between Profile A/B and Profile C regarding their vulnerability to quantum computers?,"Profiles A and B use elliptic curve cryptography (X25519 and P-256 respectively), which are vulnerable to Shor's algorithm on a quantum computer. Profile C uses the lattice-based ML-KEM algorithm, which is designed to be resistant to quantum attacks.",learn,comprehension,developer;researcher,intermediate;advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
5g-security-both-007,5g-security,5G Security,"In a scenario where an operator wants to migrate to post-quantum security for SUCI concealment, which specific algorithm and profile must they implement?","The operator must implement Profile C, which utilizes the ML-KEM (Kyber) algorithm. This migration replaces the quantum-vulnerable ECIES-based profiles (A and B) with a lattice-based key encapsulation mechanism to secure subscriber identities against future quantum threats.",both,application,architect;ops,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"RAG Summary: Key Concepts, Curious Summary"
5g-security-workshop-008,5g-security,5G Security,"If a network engineer needs to derive the KAUSF anchor key during the 5G-AKA process, what inputs and algorithm are required according to the module?","To derive the KAUSF anchor key, the engineer must use the CK and IK keys generated by MILENAGE as inputs. These are processed through an HMAC-SHA-256 function bound to the Serving Network Name to create the anchor key.",workshop,application,developer;ops,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"RAG Summary: Key Concepts, Workshop Activities"
5g-security-workshop-009,5g-security,5G Security,How would you configure a simulation to test the SUCI deconcealment process using a hybrid approach that combines classical and post-quantum algorithms?,"To test a hybrid approach, configure the simulation for Profile C with the 'hybrid' mode enabled. This setup combines X25519 (classical) and ML-KEM (post-quantum) to ensure security against both current and future quantum threats during the key agreement phase.",workshop,application,developer;researcher,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"RAG Summary: Key Concepts, Workshop Activities"
5g-security-both-010,5g-security,5G Security,"Synthesize the relationship between the 'harvest now, decrypt later' threat model and the necessity of migrating from Profile A/B to Profile C in 5G networks.","The 'harvest now, decrypt later' threat implies that adversaries are currently recording encrypted SUCI traffic using vulnerable Profile A or B algorithms. Once quantum computers become available, this recorded data can be decrypted retroactively; therefore, migrating to the quantum-resistant Profile C is essential to protect historical and future subscriber privacy.",both,synthesis,executive;architect;researcher,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,"Curious Summary, RAG Summary: Key Concepts"
5g-security-both-011,5g-security,5G Security,Compare the supply chain security requirements for SIM provisioning with the air-interface security of SUCI concealment in terms of their quantum vulnerability.,"SIM provisioning relies on symmetric encryption (AES) and key generation in factory HSMs, which remain quantum-resistant against Shor's algorithm. Conversely, SUCI concealment uses asymmetric ECDH for key agreement, making it vulnerable to quantum attacks unless migrated to Profile C (ML-KEM).",both,synthesis,architect;ops;researcher,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
5g-security-learn-012,5g-security,5G Security,Analyze how the 5G key hierarchy (CK/IK to KgNB) ensures that a compromise in the radio layer does not expose the long-term subscriber keys stored in the USIM.,"The 5G key hierarchy derives session-specific keys like KgNB from the anchor key KAUSF, which itself is derived from CK and IK generated by MILENAGE. This hierarchical structure ensures that compromising a lower-level radio key does not reveal the higher-level authentication keys or the long-term K stored in the USIM.",learn,synthesis,architect;developer,advanced,Global,Telecommunications,,,,,,,,/learn/5g-security,,RAG Summary: Key Concepts
5g-security-both-013,5g-security,5G Security,Evaluate the trade-offs of implementing Profile C (ML-KEM) in terms of public key size and network latency compared to Profile A (X25519).,"Profile C uses ML-KEM with significantly larger public keys (1,184 bytes) compared to Profile A's X25519 (32 bytes), which increases bandwidth usage. Additionally, the heavier processing required for lattice-based cryptography may impact network latency, requiring operators to upgrade equipment to maintain performance.",both,synthesis,architect;ops;executive,advanced,Global,Telecommunications,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/5g-security,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,"RAG Summary: Key Concepts, Curious Summary"
5g-security-both-014,5g-security,5G Security,How does the integration of FIPS 203 (ML-KEM) into 3GPP standards align with broader regulatory requirements for critical infrastructure protection against quantum threats?,"Integrating FIPS 203 into 3GPP standards via Profile C aligns with global mandates like GSMA PQ.03 and national strategies (e.g., Singapore NQSN+) that require organizations to identify and remediate quantum vulnerabilities in critical infrastructure. This ensures mobile networks meet compliance for long-term data security.",both,synthesis,executive;architect;researcher,advanced,USA;EU;APAC;Global,Telecommunications,FIPS 203,,Singapore,,KEM,,,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/timeline?country=Singapore;/learn/5g-security,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv,"RAG Summary: Related Standards, Authoritative Source Context"
5g-security-both-015,5g-security,5G Security,Construct a comprehensive migration strategy for a 5G operator that addresses both the immediate 'harvest now' threat and the long-term quantum readiness of their subscriber identity protection.,"The strategy involves immediately conducting a cryptographic discovery to identify all Profile A/B deployments, followed by a phased rollout of Profile C (ML-KEM) in hybrid mode. This approach secures new traffic against future decryption while maintaining compatibility with existing classical infrastructure during the transition period.",both,synthesis,executive;architect;ops,advanced,Global,Telecommunications,,,,,KEM,,,/algorithms?highlight=KEM;/learn/5g-security,algorithm:KEM IN algorithms_csv,"Curious Summary, Authoritative Source Context: GSMA PQ.03"
