"category","id","label","description","industries","hndl_relevance","migration_priority","retention_years","compliance_deadline","compliance_notes","countries","compliance_id","threat_id"
"use_case","TLS","TLS/HTTPS","Securing web and API traffic with TLS","Telecommunications;Technology;Finance & Banking;Retail & E-Commerce;Education;Healthcare","6","10","","2030","CNSA 2.0 mandates ML-KEM hybrid by 2030 for U.S. government TLS. ANSSI / BSI both recommend hybrid by 2026-2028. Browsers + CDNs already deploying X25519MLKEM768.","","CNSA-2;FIPS-140-3;IETF","CROSS-001;CROSS-013"
"use_case","DATA-REST","Data-at-rest encryption","Encrypting stored data and files","Healthcare;Finance & Banking;Government & Defense;Education;Energy & Utilities","9","7","","2030","Symmetric ciphers (AES-256) remain quantum-safe. Critical migration target is the key-encapsulation mechanism (KEK / wrapping). HNDL risk is high for long-retention data.","","CNSA-2;FIPS-140-3;HIPAA;GDPR","CROSS-001;CROSS-013"
"use_case","SIGNING","Digital signatures / code signing","Signing software and documents cryptographically","Government & Defense;Technology;Aerospace;Finance & Banking","3","8","","2030","CNSA 2.0: code/firmware signing — 2025 preferred (ML-DSA / SLH-DSA), 2030 required, 2035 disallow non-PQC. Long device lifetimes mean signed binaries deployed today must verify with PQC keys post-2030.","","CNSA-2;FIPS-140-3;FDA-21CFR11","CROSS-001"
"use_case","KEY-EXCHANGE","Key exchange / agreement","Establishing shared secret keys between parties","Government & Defense;Finance & Banking;Telecommunications","8","9","","2030","CNSA 2.0 + IETF hybrid drafts: ML-KEM + ECDH hybrid by 2026-2028, pure ML-KEM acceptable by 2030.","","CNSA-2;FIPS-140-3;IETF","CROSS-001;CROSS-013"
"use_case","AUTH","Authentication / identity","User and machine identity verification","Government & Defense;Technology;Finance & Banking;Education;Healthcare;Retail & E-Commerce","4","7","","2030","eIDAS 2.0 wallet: PQ-ready by 2026. FIDO2/WebAuthn ML-DSA proposals in IETF draft. FedRAMP requires PQC by 2030.","","FIPS-140-3;EIDAS;FEDRAMP","CROSS-001"
"use_case","BLOCKCHAIN","Blockchain / cryptocurrency","Distributed ledger and digital asset cryptography","Finance & Banking;Technology","5","6","","2032","No regulatory deadline — protocol-driven. Ethereum Foundation BIP-360 (ML-DSA + SLH-DSA) targets 2027-2029. Post-quantum migration here is rebase-style, not retrofit.","","NIST;FIPS-140-3","CRYPTO-001;CRYPTO-002"
"use_case","EMAIL-ENC","Email encryption (S/MIME, PGP)","Encrypting and signing email communications","Government & Defense;Finance & Banking;Healthcare","7","5","","2030","OpenPGP & S/MIME PQ algorithm IDs in IETF drafts; Thunderbird / Mozilla pilot deployments. Apple iMessage PQ3 already production. Most enterprise email lags; aim 2030 for full migration.","","CNSA-2;FIPS-140-3","CROSS-001;CROSS-013"
"use_case","VPN","VPN / IPSec","Encrypted network tunnels and site-to-site VPNs","Government & Defense;Technology;Energy & Utilities;Telecommunications","7","8","","2028","CNSA 2.0 + DISA STIGs: IPSec/IKEv2 hybrid ML-KEM by 2026, required by 2028 for U.S. federal. Most enterprise VPN vendors shipping hybrid in 2025-2026.","","CNSA-2;DISA-STIG;FEDRAMP","CROSS-001;CROSS-013"
"use_case","IOT","IoT device communication","Cryptographic communication for connected devices","Automotive;Energy & Utilities;Telecommunications","5","6","","2030","IEC 62443 + ETSI TS 103 744 + GSMA NG.116. Constrained-device timelines lag general crypto by ~3 years. Device fleets with 10-15 yr lifecycle drive immediate planning.","","NIST;ETSI-TS103744;GSMA-NG116","IOT-001;IOT-002"
"use_case","DB-ENC","Database encryption","Encrypting database contents and backups","Healthcare;Finance & Banking;Retail & E-Commerce;Education","8","7","","2030","AES TDE remains quantum-safe; column-level public-key encryption needs migration. PCI DSS 4.0 + HIPAA push for PQ-ready KMS by 2027-2030.","","FIPS-140-3;HIPAA;PCI-DSS","CROSS-001;CROSS-013"
