question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
aerospace-pqc-learn-001,aerospace-pqc,Aerospace PQC,Which NIST FIPS standard defines ML-DSA as the approved algorithm for protecting sensitive unclassified information in federal systems?,FIPS 204 defines ML-DSA (Module-Lattice-Based Digital Signature Algorithm) as the approved standard for digital signatures. It is compliant with FIPS 186-5 and NIST Special Publication 800-208. This standard ensures quantum-resistant signature capabilities for federal information systems.,learn,recall,architect;developer;researcher,intermediate;advanced,USA;Global,Aerospace;Government,FIPS 186-5;FIPS 204,,,,Signature,,NIST,/library?ref=FIPS%20186-5;/library?ref=FIPS%20204;/algorithms?highlight=Signature;/learn/aerospace-pqc,library_ref:FIPS 186-5 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,Authoritative Source Context: FIPS 204
aerospace-pqc-learn-002,aerospace-pqc,Aerospace PQC,What is the approximate one-way latency for Low Earth Orbit (LEO) satellite communications?,"Low Earth Orbit (LEO) satellites, operating at altitudes between 500 and 2000 km, typically exhibit a one-way latency of approximately 20 milliseconds. This low latency is characteristic of constellations like Starlink and OneWeb. However, frequent handoffs in LEO complicate key freshness requirements.",learn,recall,architect;ops,intermediate;advanced,Global,Aerospace;Satellite,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Satellite orbit types and link budget impact
aerospace-pqc-learn-003,aerospace-pqc,Aerospace PQC,Which export control regulation governs military avionics cryptography in the United States?,"The International Traffic in Arms Regulations (ITAR) governs military avionics cryptography. In contrast, the Export Administration Regulations (EAR) apply to dual-use items. Standard encryption may qualify as EAR99 or fall under ECCN 5E002 depending on the specific implementation.",learn,recall,executive;architect,intermediate;advanced,USA,Aerospace;Defense,,,International;United States,,,,,/timeline?country=International;/timeline?country=United%20States;/learn/aerospace-pqc,,RAG Summary: Export control
aerospace-pqc-learn-004,aerospace-pqc,Aerospace PQC,What is the data rate and word size limitation of the ARINC 429 avionics protocol?,"The ARINC 429 protocol operates at a data rate of 12.5 Kbps with a legacy 32-bit (4-byte) data word structure. Due to these strict constraints, PQC signatures are physically impossible to transmit directly on-wire without external processing or gateway mediation.",learn,recall,developer;architect,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Avionics protocols and crypto constraints
aerospace-pqc-learn-005,aerospace-pqc,Aerospace PQC,Which NIST FIPS standard covers the Stateless Hash-Based Signature (SLH-DSA) algorithm?,"FIPS 205 defines SLH-DSA, a stateless hash-based signature scheme selected for standardization by NIST. It is compliant with FIPS 186-5 and SP 800-140C. This standard provides an alternative to lattice-based schemes for specific use cases.",learn,recall,researcher;developer,intermediate;advanced,USA;Global,Aerospace;Government,FIPS 186-5;FIPS 205,,,,Signature,,NIST,/library?ref=FIPS%20186-5;/library?ref=FIPS%20205;/algorithms?highlight=Signature;/learn/aerospace-pqc,library_ref:FIPS 186-5 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,Authoritative Source Context: FIPS 205
aerospace-pqc-learn-006,aerospace-pqc,Aerospace PQC,What is the typical service life range for Geostationary Earth Orbit (GEO) satellites?,"Geostationary Earth Orbit (GEO) satellites typically have a service life ranging from 15 to 20 years. This long operational window exposes telemetry and command links encrypted today to 'Harvest Now, Decrypt Later' threats for the duration of their mission.",learn,recall,architect;executive,intermediate;advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: HNDL risk for satellite telemetry
aerospace-pqc-learn-007,aerospace-pqc,Aerospace PQC,Which certification standard addresses airworthiness security processes in the aerospace industry?,"DO-326A is the standard that defines the airworthiness security process for aviation systems. It works in conjunction with EUROCAE ED-202A, which covers airworthiness security methods and considerations. Compliance is mandatory for modern aircraft certification.",learn,recall,architect;executive,advanced,USA;EU;Global,Aerospace,,,,,,,DO-326A,/learn/aerospace-pqc,compliance_ref:DO-326A EXISTS,RAG Summary: Certification and airworthiness
aerospace-pqc-learn-008,aerospace-pqc,Aerospace PQC,Why is the ARINC 664/AFDX protocol considered more feasible for PQC implementation than ARINC 429?,"ARINC 664/AFDX operates over a 100 Mbps Ethernet backbone, providing sufficient bandwidth to manage ML-DSA overhead with proper framing. In contrast, ARINC 429 is limited to 12.5 Kbps and 4-byte words, making native PQC signatures physically impossible on the wire.",learn,comprehension,architect;developer,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Avionics protocols and crypto constraints
aerospace-pqc-learn-009,aerospace-pqc,Aerospace PQC,"How does the 'Harvest Now, Decrypt Later' (HNDL) threat specifically impact satellites launched in 2028?","Satellites launched in 2028 will likely still be operational when quantum computers capable of breaking classical cryptography become available. Since their hardware cannot be physically upgraded post-launch, telemetry and command links encrypted with RSA or ECDSA today are vulnerable to future decryption.",learn,comprehension,architect;researcher,advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,Curious Summary: Why It Matters
aerospace-pqc-learn-010,aerospace-pqc,Aerospace PQC,What is the primary reason that changing cryptographic algorithms in safety-critical avionics requires full DO-178C re-certification?,"Any change to cryptographic algorithms in safety-critical software impacts the Design Assurance Level (DAL) requirements, necessitating a full re-certification process. This involves extensive testing and validation, potentially taking 3–7 years and costing tens of millions of dollars per aircraft type.",learn,comprehension,executive;architect,advanced,Global,Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Certification and airworthiness
aerospace-pqc-learn-011,aerospace-pqc,Aerospace PQC,Why are hash-based algorithms like LMS or XMSS recommended for ultra-constrained or highly radiated hardware?,"Hash-based algorithms rely entirely on public data and do not use fragile lattice matrices, making them more resilient to Single Event Upsets (SEUs) caused by cosmic radiation. They also offer smaller signature sizes suitable for protocols where ML-DSA's large overhead is prohibitive.",learn,comprehension,architect;developer,advanced,Global,Aerospace;Satellite,,,,,,,,/learn/aerospace-pqc,,Curious Summary: The Key Takeaway
aerospace-pqc-learn-012,aerospace-pqc,Aerospace PQC,How does the latency of Geostationary Earth Orbit (GEO) satellites impact interactive key exchange protocols?,"GEO satellites have a round-trip latency of approximately 500 ms due to their altitude of 35,786 km. This significant delay negatively impacts interactive key exchange protocols that rely on rapid handshakes, requiring careful protocol design to maintain session efficiency.",learn,comprehension,architect;ops,advanced,Global,Satellite;Aerospace,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Satellite orbit types and link budget impact
aerospace-pqc-learn-013,aerospace-pqc,Aerospace PQC,What is the relationship between ITAR/EAR regulations and the export of PQC-equipped aerospace products?,"ITAR governs military avionics cryptography, while EAR covers dual-use items. The classification of specific PQC algorithms like ML-DSA under these regimes is subject to review by the Bureau of Industry and Security (BIS), with formal rulings pending as of early 2026.",learn,comprehension,executive;architect,advanced,USA;Global,Aerospace;Defense,,,,,,,,/learn/aerospace-pqc,,RAG Summary: Export control
