question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
arch-quantum-impact-learn-001,arch-quantum-impact,Architect Quantum Impact,What are the specific ciphertext sizes for ML-KEM-768 and ML-KEM-1024 compared to RSA-OAEP 256?,"ML-KEM-768 produces a ciphertext of 1,088 bytes, while ML-KEM-1024 produces 1,568 bytes. In contrast, RSA-OAEP 256 generates a significantly smaller ciphertext of 256 bytes. This size increase necessitates redesigning key wrapping hierarchies to accommodate the larger post-quantum data structures.",learn,recall,architect;developer,beginner,Global,General,,,,,ML-KEM-1024;ML-KEM-768,,,/algorithms?highlight=ML-KEM-1024;/algorithms?highlight=ML-KEM-768;/learn/arch-quantum-impact,algorithm:ML-KEM-1024 IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv,RAG Summary: Key Concepts - KMS Migration Complexity
arch-quantum-impact-learn-002,arch-quantum-impact,Architect Quantum Impact,Which HSM vendors are classified as Tier 1 with General Availability (GA) firmware for ML-DSA and ML-KEM?,"Tier 1 HSMs with GA firmware supporting ML-DSA and ML-KEM include Thales Luna Network HSM 7.x, Utimaco Q-Safe, and IBM 4769. These vendors have completed the necessary firmware upgrades to support hardware-backed PQC key generation.",learn,recall,architect;ops,beginner,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/arch-quantum-impact,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts - HSM PQC Maturity Tiers
arch-quantum-impact-learn-003,arch-quantum-impact,Architect Quantum Impact,What is the approximate size of a pure ML-DSA-65 certificate chain compared to a classical leaf + intermediate + root chain?,"A classical certificate chain (leaf, intermediate, and root) is approximately 3 KB in size. A pure ML-DSA-65 chain expands significantly to between 12 KB and 14 KB due to the larger signature sizes inherent to post-quantum algorithms.",learn,recall,architect;developer,beginner,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/arch-quantum-impact,algorithm:ML-DSA-65 IN algorithms_csv,RAG Summary: Key Concepts - Certificate Chain Size Explosion
arch-quantum-impact-learn-004,arch-quantum-impact,Architect Quantum Impact,Why must hybrid KEM combiners concatenate shared secrets through a domain-separated KDF?,"Hybrid KEM combiners, such as those following the X-Wing or SP 800-227 patterns, must use a domain-separated Key Derivation Function (KDF) to prevent downgrade attacks. This ensures that the security of the combined key relies on both the classical and post-quantum components rather than allowing an attacker to isolate and break one path.",learn,comprehension,architect;developer;researcher,intermediate,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/arch-quantum-impact,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts - Hybrid Architecture Design
arch-quantum-impact-learn-005,arch-quantum-impact,Architect Quantum Impact,How does the TLS handshake latency for X25519MLKEM768 hybrid compare to classical P-256?,"The TLS 1.3 handshake latency for the X25519MLKEM768 hybrid scheme is approximately 9ms (P50) and 28ms (P99). This represents a significant increase compared to the classical P-256 algorithm, which has latencies of 4ms (P50) and 12ms (P99), impacting systems with strict sub-50ms SLA requirements.",learn,comprehension,architect;ops,intermediate,Global,General,,,,,,,,/learn/arch-quantum-impact,,RAG Summary: Key Concepts - TLS Handshake Latency Budgets
arch-quantum-impact-learn-006,arch-quantum-impact,Architect Quantum Impact,What is the primary architectural risk of hardcoding algorithm identifiers in configuration files or wire protocols?,"Hardcoding algorithm identifiers, such as OID strings or cipher suite constants, creates 'crypto-agility debt' that acts as a migration blocker. This practice prevents systems from abstracting algorithm selection behind a policy interface, making it difficult to swap algorithms without rewriting application code or database schemas.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/arch-quantum-impact,,RAG Summary: Key Concepts - Crypto-Agility Debt
arch-quantum-impact-workshop-007,arch-quantum-impact,Architect Quantum Impact,"In a scenario where an IoT device has a 16KB TLS buffer limit and uses a 3-level certificate chain, why is ML-DSA-65 problematic?","ML-DSA-65 certificates create chains of approximately 12 KB to 14 KB, which consumes the majority of a 16KB TLS buffer limit on constrained IoT devices. This leaves insufficient space for other protocol overhead, potentially causing handshake failures or requiring complex fragmentation strategies that degrade performance.",workshop,application,architect;developer,intermediate,Global,IoT;Manufacturing,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/arch-quantum-impact,algorithm:ML-DSA-65 IN algorithms_csv,Module Content: Scenario - IoT Certificate Size Constraint
arch-quantum-impact-workshop-008,arch-quantum-impact,Architect Quantum Impact,"If an HSM vendor announces ML-DSA support for Q3 2027, what immediate architectural step is required to maintain the chain of trust?",Architects must design a hybrid certificate strategy that allows the current RSA-4096 root CA to sign new hybrid or PQC leaf certificates before the HSM firmware upgrade is available. This involves planning for cross-signed certificates and ensuring the PKI hierarchy can support dual-algorithm paths during the transition period.,workshop,application,architect;ops,intermediate,Global,General,,,,,RSA-4096,,,/algorithms?highlight=RSA-4096;/learn/arch-quantum-impact,algorithm:RSA-4096 IN algorithms_csv,Module Content: Scenario - HSM Root of Trust Migration
arch-quantum-impact-workshop-009,arch-quantum-impact,Architect Quantum Impact,How should an architect prioritize the rollout of hybrid TLS across a mesh of 200 microservices to avoid service disruption?,"The architect should implement a phased rollout starting with non-critical or low-traffic services to validate the hybrid code paths and monitoring. This approach allows for the identification of mixed environment issues, such as independent failure modes where classical succeeds but PQC fails, before scaling to critical production services.",workshop,application,architect;ops,intermediate,Global,General,,,,,,,,/learn/arch-quantum-impact,,Module Content: Scenario - Microservice Mesh PQC Rollout
arch-quantum-impact-learn-010,arch-quantum-impact,Architect Quantum Impact,Synthesize the impact of ML-KEM ciphertext sizes on HSM key wrapping hierarchies and the resulting operational requirements.,"The increase in ML-KEM ciphertext sizes (1,088–1,568 bytes) compared to RSA-OAEP (256 bytes) forces a redesign of key wrapping hierarchies within HSMs. This necessitates re-encrypting all existing Data Encryption Keys (DEKs) under new PQC Key Encryption Keys (KEKs), creating a massive envelope re-encryption task at scale that requires careful operational planning.",learn,synthesis,architect;ops,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/arch-quantum-impact,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts - KMS Migration Complexity
