question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
healthcare-pqc-learn-001,healthcare-pqc,Healthcare PQC,Which NIST FIPS standards define the ML-KEM and ML-DSA algorithms used for post-quantum cryptography?,"ML-KEM is defined in FIPS 203, while ML-DSA is defined in FIPS 204. These standards provide the quantum-resistant key encapsulation and digital signature mechanisms required for securing sensitive data against future quantum threats.",learn,recall,developer;architect;ops,beginner;intermediate,Global,Healthcare,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/healthcare-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"RAG Summary: Key Topics, Authoritative Source Context: FIPS 203, FIPS 204"
healthcare-pqc-learn-002,healthcare-pqc,Healthcare PQC,What is the recommended PQC algorithm combination for protecting fingerprint templates according to the module?,"The module recommends using ML-KEM-768 for encryption and ML-DSA-65 for signatures to protect fingerprint templates. This recommendation is based on the irreplaceable nature of fingerprint data, which cannot be rotated once compromised.",learn,recall,developer;architect,intermediate,Global,Healthcare,,,,,ML-DSA-65;ML-KEM-768,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-KEM-768;/learn/healthcare-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv,"RAG Summary: Key Topics, Component Data: BIOMETRIC_PROFILES"
healthcare-pqc-learn-003,healthcare-pqc,Healthcare PQC,How long is the confidentiality obligation for clinical trial data under FDA regulations mentioned in the text?,"Clinical trial data has a 15-year confidentiality obligation. Additionally, FDA 21 CFR Part 11 requires that signed audit trails for this data remain non-repudiable for the same 15-year period.",learn,recall,researcher;executive,intermediate,USA,Healthcare;Pharmaceuticals,,,,,,,,/learn/healthcare-pqc,,RAG Summary: Key Topics
healthcare-pqc-learn-004,healthcare-pqc,Healthcare PQC,Which biometric data type is identified as having the highest risk and truly irreplaceable status with a 5 MB template size?,"The DNA-SNP profile is identified as having the highest risk and being truly irreplaceable, representing a single lifetime record. It has a template size of approximately 5 MB and requires ML-KEM-1024 and ML-DSA-87 for protection.",learn,recall,researcher;architect,intermediate,Global,Healthcare;Genomics,,,,,ML-DSA-87;ML-KEM-1024,,,/algorithms?highlight=ML-DSA-87;/algorithms?highlight=ML-KEM-1024;/learn/healthcare-pqc,algorithm:ML-DSA-87 IN algorithms_csv|algorithm:ML-KEM-1024 IN algorithms_csv,"RAG Summary: Key Topics, Component Data: BIOMETRIC_PROFILES"
healthcare-pqc-learn-005,healthcare-pqc,Healthcare PQC,What specific FDA guidance from September 2023 mandates premarket cybersecurity submissions for medical devices?,The FDA cybersecurity guidance issued in September 2023 mandates premarket cybersecurity submission requirements for devices that contain software. This ensures that cryptographic weaknesses are addressed before the device reaches the market.,learn,recall,developer;ops;executive,intermediate,USA,Healthcare;Medical Devices,,,,,,,,/learn/healthcare-pqc,,RAG Summary: Key Topics
healthcare-pqc-learn-006,healthcare-pqc,Healthcare PQC,"What is the minimum retention requirement for PHI under HIPAA, and how does it vary?","HIPAA mandates a minimum 7-year retention requirement for Protected Health Information (PHI). However, this duration is often longer in many specific states and jurisdictions depending on local laws.",learn,recall,executive;ops,beginner;intermediate,USA,Healthcare,,,,,,,HIPAA,/learn/healthcare-pqc,compliance_ref:HIPAA EXISTS,RAG Summary: Key Topics
healthcare-pqc-learn-007,healthcare-pqc,Healthcare PQC,"Why is the 'Harvest Now, Decrypt Later' (HNDL) threat particularly critical for genomic research datasets?","Genomic research datasets face a 75-year exposure window, which is the longest HNDL window in any industry vertical. Adversaries can steal encrypted data today and decrypt it decades later when quantum computers are available, compromising participant-linked data permanently.",learn,comprehension,researcher;executive,intermediate,Global,Healthcare;Genomics,,,,,,,,/learn/healthcare-pqc,,"RAG Summary: Key Topics, Curious Summary"
healthcare-pqc-learn-008,healthcare-pqc,Healthcare PQC,How does the revocability of facial geometry data differ from that of fingerprints or iris scans?,"While fingerprints and iris scans are considered completely irreplaceable, facial geometry is described as partially replaceable with difficulty due to aging and angle variants. However, it still poses a critical risk because quantum-decrypted embeddings can be used for deepfakes long after the breach.",learn,comprehension,architect;developer,intermediate,Global,Healthcare,,,,,,,,/learn/healthcare-pqc,,"RAG Summary: Key Topics, Component Data: BIOMETRIC_PROFILES"
healthcare-pqc-learn-009,healthcare-pqc,Healthcare PQC,What is the relationship between GDPR Article 9 and the protection of biometric data in healthcare?,"GDPR Article 9 classifies biometric and genetic data as special category data, requiring explicit consent and appropriate technical safeguards. This regulatory requirement necessitates stronger encryption standards like PQC to ensure compliance with privacy laws.",learn,comprehension,executive;ops,intermediate,EU,Healthcare,,,,,,,GDPR,/learn/healthcare-pqc,compliance_ref:GDPR EXISTS,RAG Summary: Key Topics
healthcare-pqc-learn-010,healthcare-pqc,Healthcare PQC,Why do implantable medical devices like pacemakers require ultra-low-power cryptography?,"Implantable devices such as pacemakers and insulin pumps have in-body lifetimes of 10 to 15 years, necessitating ultra-low-power cryptographic solutions. These devices must maintain security over long periods without frequent battery replacement or firmware updates.",learn,comprehension,developer;architect,intermediate,Global,Healthcare;Medical Devices,,,,,,,,/learn/healthcare-pqc,,RAG Summary: Key Topics
healthcare-pqc-learn-011,healthcare-pqc,Healthcare PQC,"How does the 'Harvest Now, Decrypt Later' strategy impact pharmaceutical intellectual property protection?","Pharmaceutical IP is exposed to HNDL attacks because drug compound structures have a 20-year patent window. Data encrypted today with classical algorithms can be harvested now and decrypted later, potentially exposing active development data during the critical patent period.",learn,comprehension,executive;researcher,intermediate,Global,Pharmaceuticals;Healthcare,,,,,,,,/learn/healthcare-pqc,,"RAG Summary: Key Topics, Curious Summary"
