id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
fund-001,pqc-fundamentals,multiple-choice,beginner,both,Which quantum algorithm poses the primary threat to RSA and elliptic-curve cryptography?,Grover's Algorithm,Shor's Algorithm,Deutsch-Jozsa Algorithm,Bernstein-Vazirani Algorithm,b,"Shor's Algorithm can factor large integers and compute discrete logarithms in polynomial time on a quantum computer, breaking RSA, ECDSA, ECDH, and other public-key algorithms. Grover's Algorithm only provides a quadratic speedup for symmetric key search, effectively halving the bit-security of symmetric ciphers.",/learn/pqc-101,researcher|executive|developer|ops,
fund-002,pqc-fundamentals,multiple-choice,beginner,both,What does HNDL stand for in the context of quantum threats?,Hash-Normalized Decryption Layer,"Harvest Now, Decrypt Later",Hybrid Network Defense Lattice,Hardware-Neutralized Data Lock,b,"Harvest Now, Decrypt Later (HNDL) is a strategy where adversaries intercept and store encrypted data today, planning to decrypt it once a cryptographically relevant quantum computer (CRQC) becomes available. Data with long-term sensitivity (10+ years) is especially at risk.",/learn/pqc-101,researcher|executive|developer|ops,
fund-003,pqc-fundamentals,true-false,beginner,both,True or False: Quantum computers threaten symmetric encryption algorithms like AES-256 just as severely as they threaten RSA.,True,False,,,false,"False. Grover's Algorithm reduces symmetric key security by half (e.g., AES-256 becomes ~128-bit equivalent), but this is manageable by doubling key sizes. Shor's Algorithm, in contrast, completely breaks public-key algorithms like RSA and ECC. Symmetric encryption remains relatively safe with sufficient key lengths.",/learn/pqc-101,researcher|executive|developer|ops,
fund-004,pqc-fundamentals,multiple-choice,intermediate,both,What is a Cryptographically Relevant Quantum Computer (CRQC)?,Any quantum computer with more than 100 qubits,A quantum computer capable of breaking current public-key cryptography,A quantum computer that can only perform hash computations,A classical-quantum hybrid used for key generation,b,"A CRQC is a quantum computer powerful enough to run Shor's Algorithm at scale, requiring thousands of stable logical qubits. Estimates for when a CRQC might exist range from 2030 to 2040, with significant uncertainty.",/threats,researcher|executive|developer|ops,
fund-005,pqc-fundamentals,multiple-choice,intermediate,both,What is the primary purpose of hybrid cryptography in the PQC transition?,To reduce key sizes by combining two algorithms,To maintain security even if one algorithm is broken,To speed up encryption by parallelizing operations,To comply with FIPS 140-3 requirements,b,"Hybrid cryptography combines a classical algorithm (e.g., X25519) with a PQC algorithm (e.g., ML-KEM-768). If either algorithm is later found to be insecure, the other still provides protection. This is a recommended transition strategy during the migration period.",/learn/pqc-101,researcher|executive|developer|ops,
fund-006,pqc-fundamentals,multiple-choice,intermediate,both,What is crypto agility?,The speed at which a cryptographic algorithm runs,The ability to quickly swap cryptographic algorithms without redesigning systems,A metric for measuring quantum computer performance,The process of compressing encrypted data,b,"Crypto agility is the ability of a system to switch cryptographic algorithms, parameters, or protocols with minimal disruption. It is critical for the PQC transition because it allows organizations to adopt new standards as they mature without requiring full system rebuilds.",/migrate,researcher|executive|developer|ops,
fund-007,pqc-fundamentals,true-false,beginner,both,True or False: Post-quantum cryptography requires quantum computers to operate.,True,False,,,false,"False. Post-quantum cryptographic algorithms are designed to run on classical (non-quantum) computers. They are called ""post-quantum"" because they are resistant to attacks from quantum computers, not because they require quantum hardware.",/learn/pqc-101,researcher|executive|developer|ops,
fund-008,pqc-fundamentals,multiple-choice,advanced,full,Which mathematical problem forms the security foundation for lattice-based PQC algorithms like ML-KEM and ML-DSA?,Integer Factorization Problem,Discrete Logarithm Problem,Learning With Errors (LWE),Hash Collision Resistance,c,"Lattice-based PQC algorithms rely on the Learning With Errors (LWE) problem and its structured variant, Module-LWE. These problems are believed to be hard for both classical and quantum computers. Integer factorization and discrete logarithms are the problems broken by quantum computers.",/algorithms,researcher|executive|developer|ops,
fund-009,pqc-fundamentals,multi-select,intermediate,both,Which of the following classical algorithms are vulnerable to quantum attacks via Shor's Algorithm? (Select all that apply),RSA,AES-256,ECDSA,ECDH,a|c|d,"RSA, ECDSA, and ECDH are all broken by Shor's Algorithm because they rely on integer factorization or discrete logarithm problems. AES-256 is a symmetric cipher and is only weakened (to ~128-bit equivalent) by Grover's Algorithm, not broken.",/algorithms,researcher|executive|developer|ops,
fund-010,pqc-fundamentals,multiple-choice,advanced,full,What does Q-Day refer to?,The day NIST publishes final PQC standards,The day a quantum computer first breaks a widely used public-key algorithm,The deadline for organizations to complete PQC migration,The day quantum key distribution becomes commercially available,b,Q-Day is the hypothetical future date when a cryptographically relevant quantum computer (CRQC) first breaks a widely deployed public-key cryptographic algorithm like RSA or ECC. It is a critical planning milestone because HNDL attacks mean data must be protected well before Q-Day arrives.,/threats,researcher|executive|developer|ops,
algo-001,algorithm-families,multiple-choice,beginner,both,What was ML-KEM formerly known as during the NIST PQC competition?,Falcon,SPHINCS+,CRYSTALS-Kyber,NTRU,c,ML-KEM (Module-Lattice-Based Key Encapsulation Mechanism) was originally known as CRYSTALS-Kyber during the NIST PQC standardization competition. It was standardized as FIPS 203 in August 2024.,/algorithms,researcher|architect,
algo-002,algorithm-families,multiple-choice,beginner,both,Which PQC algorithm family does SLH-DSA (formerly SPHINCS+) belong to?,Lattice-based,Code-based,Hash-based,Multivariate,c,"SLH-DSA (Stateless Hash-Based Digital Signature Algorithm) is hash-based. Its security relies solely on the properties of hash functions, making it one of the most conservative PQC signature schemes. It was standardized as FIPS 205.",/algorithms,researcher|architect,
algo-003,algorithm-families,multiple-choice,intermediate,both,Which PQC algorithm was selected by NIST in March 2025 as a backup KEM to provide algorithmic diversity from ML-KEM?,FrodoKEM,Classic McEliece,HQC,BIKE,c,"HQC (Hamming Quasi-Cyclic) was selected in March 2025 as the 5th PQC standard. As a code-based KEM, it provides algorithmic diversity from the lattice-based ML-KEM, serving as a backup if lattice-based vulnerabilities are discovered.",/algorithms,researcher|architect,
algo-004,algorithm-families,multiple-choice,intermediate,both,What is the key advantage of FN-DSA (formerly Falcon) over ML-DSA?,Stronger security at the same parameter level,Much more compact signatures,Faster key generation,Simpler implementation requirements,b,"FN-DSA produces extremely compact signatures (~0.65KB for FN-DSA-512 vs ~2.4KB for ML-DSA-44). This makes it ideal for certificates and constrained devices. However, it requires careful floating-point implementation to resist side-channel attacks.",/algorithms,researcher|architect,
algo-005,algorithm-families,multiple-choice,advanced,full,"What is the approximate public key size of Classic McEliece-8192128, and why does this limit its deployment?",~1.3MB — too large for most network protocols and constrained devices,~64KB — manageable but requires protocol adjustments,~256 bytes — comparable to classical algorithms,~10KB — similar to FrodoKEM,a,"Classic McEliece-8192128 has public keys of approximately 1.3MB, making it impractical for most network protocols (TLS, SSH) and constrained environments. However, it is one of the oldest and most conservative PQC proposals (dating to 1978) with extremely fast decapsulation.",/algorithms,researcher|architect,
algo-006,algorithm-families,true-false,beginner,both,True or False: ML-KEM is a digital signature algorithm.,True,False,,,false,"False. ML-KEM (FIPS 203) is a Key Encapsulation Mechanism (KEM) used for key exchange, not for digital signatures. ML-DSA (FIPS 204) is the corresponding lattice-based digital signature algorithm.",/algorithms,researcher|architect,
