question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
digital-id-learn-001,digital-id,Digital ID,By what date must all 27 EU member states provide citizens with at least one EUDI Wallet according to eIDAS 2.0?,"According to Regulation (EU) 2024/1183, also known as eIDAS 2.0, all 27 EU member states are mandated to provide citizens with at least one European Digital Identity (EUDI) Wallet by late 2026. This regulation entered into force in May 2024 and includes five implementing regulations adopted in December 2024.",learn,recall,executive;architect;curious,beginner;intermediate,EU,Government;General,,,,,,,,/learn/digital-id,,RAG Summary: eIDAS 2.0 regulation; Curious Summary: What's Happening
digital-id-learn-002,digital-id,Digital ID,What are the two primary credential formats supported by the EUDI Architecture Reference Framework (ARF 2.0)?,"The EUDI Architecture Reference Framework supports mso_mdoc, which uses CBOR binary encoding optimized for proximity via NFC/BLE per ISO 18013-5, and vc+sd-jwt, which is JSON text-based per RFC 9901 and optimized for remote verification. These formats allow for different use cases depending on whether the interaction is physical or online.",learn,recall,developer;architect,intermediate;advanced,EU,Technology;Government,,,,,,,,/learn/digital-id,,RAG Summary: Key Concepts - Credential formats
digital-id-learn-003,digital-id,Digital ID,Which NIST standards define the post-quantum signature algorithms ML-DSA and SLH-DSA?,"ML-DSA is defined in FIPS 204, while SLH-DSA is defined in FIPS 205. These standards are expected to replace current classical algorithms like ECDSA in future European digital identity implementations to ensure post-quantum readiness.",learn,recall,developer;researcher;architect,intermediate;advanced,Global,Technology;Cybersecurity,FIPS 204;FIPS 205,,,,,,NIST,/library?ref=FIPS%20204;/library?ref=FIPS%20205;/learn/digital-id,library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|compliance_ref:NIST EXISTS,"RAG Summary: Post-quantum readiness; Authoritative Source Context: FIPS 204, FIPS 205"
digital-id-learn-004,digital-id,Digital ID,What is the legal status of a Qualified Electronic Signature (QES) under eIDAS 2.0?,"Under eIDAS 2.0, a Qualified Electronic Signature (QES) carries the legal equivalent of a handwritten signature across all EU member states. These signatures are provided by Qualified Trust Service Providers (QTSPs) and are legally binding.",learn,recall,executive;architect;curious,beginner;intermediate,EU,Legal;Government;Finance,,,,,Signature,,,/algorithms?highlight=Signature;/learn/digital-id,algorithm:Signature IN algorithms_csv,RAG Summary: Key Concepts - Qualified Electronic Signatures
digital-id-learn-005,digital-id,Digital ID,What is the foundational credential issued by a national PID Issuer that serves as a prerequisite for other attestations?,"The Person Identification Data (PID) is the foundational credential issued by a national PID Issuer after citizen authentication. All other attestations, such as university diplomas or bank credentials, build upon this PID credential.",learn,recall,developer;architect,intermediate,EU,Government;Technology,,,,,,,,/learn/digital-id,,RAG Summary: Key Concepts - Person Identification Data
digital-id-learn-006,digital-id,Digital ID,Which specific regulation number corresponds to eIDAS 2.0?,The regulation number for eIDAS 2.0 is Regulation (EU) 2024/1183. This regulation mandates the establishment of European Digital Identity Wallets and sets the timeline for their deployment across the EU.,learn,recall,executive;architect,beginner;intermediate,EU,Government;Legal,,,,,,,,/learn/digital-id,,RAG Summary: Module Description; Authoritative Source Context: eIDAS-2-Regulation
digital-id-learn-007,digital-id,Digital ID,How does the EUDI Wallet architecture enforce GDPR Article 5(1)(c) regarding data minimization?,"The EUDI Wallet enforces data minimization through selective disclosure, a privacy-by-design principle where only the specific attributes requested by a verifier are revealed. All other claims remain cryptographically hidden, ensuring that no unnecessary personal data is exposed during verification.",learn,comprehension,architect;developer;researcher,intermediate;advanced,EU,Technology;Legal,,,,,,,GDPR,/learn/digital-id,compliance_ref:GDPR EXISTS,RAG Summary: Key Concepts - Selective disclosure
digital-id-learn-008,digital-id,Digital ID,Why is the mso_mdoc format preferred for proximity interactions compared to SD-JWT?,"The mso_mdoc format uses CBOR binary encoding, which is optimized for low-bandwidth, high-speed proximity interactions via NFC or BLE. In contrast, SD-JWT is JSON text-based and better suited for remote or online verification scenarios where bandwidth is less constrained.",learn,comprehension,developer;architect,intermediate;advanced,EU,Technology,,,,,,,,/learn/digital-id,,RAG Summary: Key Concepts - Credential formats
digital-id-learn-009,digital-id,Digital ID,What is the role of National Trusted Lists within the EUDI trust framework?,National Trusted Lists serve as machine-readable registers that list Qualified Trust Service Providers (QTSPs) for each EU member state. They are essential for verifying the validity of QTSPs and ensuring cross-border mutual recognition of Qualified Electronic Attestations and Signatures.,learn,comprehension,architect;ops,intermediate;advanced,EU,Government;Technology,,,,,,,,/learn/digital-id,,RAG Summary: Key Concepts - Trust framework layers
digital-id-learn-010,digital-id,Digital ID,How does the concept of unlinkability protect user privacy in the EUDI ecosystem?,"Unlinkability ensures that different presentations of credentials to different Relying Parties cannot be correlated to identify the same user. This is achieved through mechanisms like batch-issued credentials and pseudonymous identifiers, preventing tracking across services.",learn,comprehension,architect;researcher,advanced,EU,Technology;Privacy,,,,,,,,/learn/digital-id,,RAG Summary: Key Concepts - Unlinkability
