question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
os-pqc-learn-001,os-pqc,Operating System & Platform Crypto PQC,What are the four primary areas of OS-level cryptography covered in the PQC migration module?,"The module covers system TLS policies, SSH host key migration, package signing (RPM/DEB), and FIPS mode compatibility for PQC-enabled operating systems. These areas represent the core infrastructure components requiring updates to quantum-safe algorithms.",learn,recall,architect;ops;developer,beginner;intermediate,Global,General,,,,,,,,/learn/os-pqc,,"Module Description, Module Content (extracted)"
os-pqc-learn-002,os-pqc,Operating System & Platform Crypto PQC,Which specific post-quantum algorithm is recommended for migrating SSH host keys in this module?,"The module recommends migrating SSH host keys to ML-DSA-65. This algorithm is part of the draft RFC status for ssh-mldsa44, ssh-mldsa65, and ssh-mldsa87 key types.",learn,recall,ops;developer,beginner;intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/os-pqc,algorithm:ML-DSA-65 IN algorithms_csv,"Learn Section 2, SSHHostKeyMigrator.tsx"
os-pqc-learn-003,os-pqc,Operating System & Platform Crypto PQC,What is the expected standardization year for the draft RFC regarding ML-DSA SSH key types?,"The expected standardization for the draft RFC covering ssh-mldsa44, ssh-mldsa65, and ssh-mldsa87 key types is 2026. Until then, support remains experimental.",learn,recall,researcher;architect,intermediate,Global,General,,,,,,,,/learn/os-pqc,,SSHHostKeyMigrator.tsx
os-pqc-learn-004,os-pqc,Operating System & Platform Crypto PQC,Which package signing formats are explicitly mentioned for migration from GPG RSA-4096 to ML-DSA?,The module explicitly mentions migrating RPM and DEB package signing formats. The migration involves moving from GPG RSA-4096 to ML-DSA-65 while performing trust chain analysis.,learn,recall,ops;developer,beginner;intermediate,Global,General,,,,,ML-DSA-65;RSA-4096,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=RSA-4096;/learn/os-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:RSA-4096 IN algorithms_csv,"Learn Section 4, Module Content (extracted)"
os-pqc-learn-005,os-pqc,Operating System & Platform Crypto PQC,What is the current status of ML-DSA host key support as of March 2026 according to the module?,"As of March 2026, ML-DSA host key support is still considered experimental. Organizations are advised to maintain Ed25519 fallback keys until all clients in their environment support PQC key types.",learn,recall,ops;architect,intermediate,Global,General,,,,,Ed25519,,,/algorithms?highlight=Ed25519;/learn/os-pqc,algorithm:Ed25519 IN algorithms_csv,SSHHostKeyMigrator.tsx
os-pqc-learn-006,os-pqc,Operating System & Platform Crypto PQC,Which Windows components are listed for configuring system-wide TLS PQC policy?,"The module identifies CNG (Cryptography Next Generation) combined with Schannel as the Windows framework for configuring system-wide TLS PQC policy. CNG is the underlying cryptography provider while Schannel is the TLS protocol handler; both must be configured together. This is contrasted with crypto-policies on RHEL and openssl.cnf on Ubuntu.",learn,recall,ops;developer,beginner;intermediate,Global,General,,,,,,,,/learn/os-pqc,,"Learn Section 3, SystemTLSConfigurator.tsx"
os-pqc-both-007,os-pqc,Operating System & Platform Crypto PQC,Why is it necessary to maintain Ed25519 fallback keys during the SSH migration process?,Ed25519 fallback keys must be maintained because ML-DSA host key support is experimental and not yet universally supported by all SSH clients. This ensures connectivity is preserved for legacy or non-updated clients.,both,comprehension,ops;architect,intermediate,Global,General,,,,,Ed25519,,,/algorithms?highlight=Ed25519;/learn/os-pqc,algorithm:Ed25519 IN algorithms_csv,SSHHostKeyMigrator.tsx
os-pqc-both-008,os-pqc,Operating System & Platform Crypto PQC,How does the module suggest handling trust chains when migrating package signing to PQC?,The module suggests performing a trust chain analysis when migrating RPM and DEB package signing from GPG RSA-4096 to ML-DSA-65. This ensures that the new quantum-safe signatures are properly validated by existing repository infrastructure.,both,comprehension,ops;developer,intermediate,Global,General,,,,,ML-DSA-65;RSA-4096,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=RSA-4096;/learn/os-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:RSA-4096 IN algorithms_csv,"Learn Section 4, Module Content (extracted)"
os-pqc-both-009,os-pqc,Operating System & Platform Crypto PQC,What is the relationship between FIPS 140-3 module status and PQC inclusion in regulated environments?,The module indicates that organizations must analyze the FIPS 140-3 module PQC inclusion status to design hybrid strategies. This is critical for ensuring compliance in regulated environments where FIPS mode is mandatory.,both,comprehension,architect;executive,intermediate;advanced,USA;EU,Government;Finance,,,,,,,,/learn/os-pqc,,"Learn Section 5, Module Content (extracted)"
os-pqc-both-010,os-pqc,Operating System & Platform Crypto PQC,Why is the OS Crypto Inventory step performed before configuring TLS or SSH policies?,"The OS Crypto Inventory step audits all OS-level crypto components, including system TLS, SSH daemon, and package managers, to establish a baseline. This ensures that subsequent configuration changes target the correct components and do not break existing dependencies.",both,comprehension,ops;architect,intermediate,Global,General,,,,,,,,/learn/os-pqc,,"Workshop Steps, Module Content (extracted)"
os-pqc-both-011,os-pqc,Operating System & Platform Crypto PQC,How do the configuration methods for system-wide TLS differ between RHEL and Ubuntu in this context?,"For RHEL, the module specifies using crypto-policies to configure system-wide TLS PQC policy. In contrast, Ubuntu requires modifications to the openssl.cnf file to achieve the same result.",both,comprehension,ops;developer,intermediate,Global,General,,,,,,,,/learn/os-pqc,,Module Content (extracted)
os-pqc-both-012,os-pqc,Operating System & Platform Crypto PQC,What is the significance of the 'hybrid' approach mentioned for SSH key types?,"The hybrid approach, such as ssh-ecdsa-nistp256-mldsa65, combines classical and post-quantum algorithms to provide security against both current and future quantum threats. This ensures backward compatibility while introducing PQC resilience.",both,comprehension,architect;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/os-pqc,,SSHHostKeyMigrator.tsx
os-pqc-both-013,os-pqc,Operating System & Platform Crypto PQC,"If an organization uses OpenSSH 10.0+, what command is used to generate a new ML-DSA-65 host key?","The command to generate a new ML-DSA-65 host key on an OpenSSH 10.0+ server is `sudo ssh-keygen -t mldsa65 -f /etc/ssh/ssh_host_mldsa65_key -N """"`. This creates the private and public key files required for PQC SSH authentication.",both,application,ops;developer,intermediate,Global,General,,,,,ML-DSA-65,OpenSSH,,/algorithms?highlight=ML-DSA-65;/migrate?q=OpenSSH;/learn/os-pqc,algorithm:ML-DSA-65 IN algorithms_csv|migrate_ref:OpenSSH EXISTS,SSHHostKeyMigrator.tsx
os-pqc-both-014,os-pqc,Operating System & Platform Crypto PQC,How should an administrator verify that the ML-DSA-65 key was successfully created on the server?,"An administrator can verify the key creation by listing the files in `/etc/ssh/` using `sudo ls -la /etc/ssh/ssh_host_mldsa65_key*`. They should expect to see a private key file of approximately 4,032 bytes and a public key file of approximately 1,952 bytes.",both,application,ops;developer,intermediate,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/os-pqc,algorithm:ML-DSA-65 IN algorithms_csv,SSHHostKeyMigrator.tsx
os-pqc-both-015,os-pqc,Operating System & Platform Crypto PQC,What steps must be taken after generating the ML-DSA host key to ensure fleet-wide connectivity?,"After generating the key, administrators must update the `sshd_config` file and manage the `known_hosts` files across their entire fleet. This ensures that all clients recognize the new PQC host key fingerprint.",both,application,ops;developer,intermediate,Global,General,,,,,,,,/learn/os-pqc,,Module Content (extracted)
os-pqc-both-016,os-pqc,Operating System & Platform Crypto PQC,"In a regulated environment requiring FIPS mode, what strategy should be designed regarding PQC algorithms?",Organizations must design hybrid FIPS + PQC strategies that account for the current inclusion status of PQC algorithms in FIPS 140-3 modules. This ensures compliance while preparing for future quantum-safe mandates.,both,application,architect;executive,advanced,USA,Government;Finance,,,,,,,,/learn/os-pqc,,"Learn Section 5, Module Content (extracted)"
os-pqc-both-017,os-pqc,Operating System & Platform Crypto PQC,How would you configure a Windows server to support PQC in TLS using the tools mentioned in the module?,"To configure a Windows server for PQC in TLS, you must update the Schannel settings. This involves modifying the system-wide TLS policy to include post-quantum cipher suites supported by the OS.",both,application,ops;developer,intermediate,Global,General,,,,,,,,/learn/os-pqc,,"Learn Section 3, Module Content (extracted)"
os-pqc-both-018,os-pqc,Operating System & Platform Crypto PQC,What is the first step in the workshop process before attempting to migrate SSH host keys?,The first step is performing an OS Crypto Inventory to audit all components including the SSH daemon. This ensures that the environment is ready for migration and identifies any dependencies on classical algorithms.,both,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/os-pqc,,"Workshop Steps, Module Content (extracted)"
os-pqc-both-019,os-pqc,Operating System & Platform Crypto PQC,"If a client does not support ML-DSA yet, what configuration ensures the SSH connection remains functional?",The server must be configured to maintain Ed25519 fallback keys alongside the new ML-DSA keys. This allows clients that do not support PQC key types to continue connecting using classical algorithms.,both,application,ops;developer,intermediate,Global,General,,,,,Ed25519,,,/algorithms?highlight=Ed25519;/learn/os-pqc,algorithm:Ed25519 IN algorithms_csv,SSHHostKeyMigrator.tsx
