vendor_id,vendor_name,vendor_display_name,website,vendor_type,entity_category,hq_country,pqc_commitment,last_verified_date,lei_code,lei_legal_name,lei_entity_status,gleif_url,lei_last_verified_date,lei_coverage_flag,website_url_quality,gleif_url_quality,data_quality_notes,trusted_source_id,peer_reviewed,status,deprecated_at,deprecated_reason
VND-000,Unassigned,Unassigned,https://pqctoday.com,Open Source Community,Open Source Community,International,Unknown,2026-03-26,,,,,2026-07-12,lei_not_applicable,url_needs_review,missing,LEI not applicable: open-source project / government agency / non-profit consortium,unassigned,,active,,
VND-001,Amazon Web Services Inc.,AWS,https://aws.amazon.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,2549000I2PRQGGIGCA75,"AMAZON WEB SERVICES, INC.",ACTIVE,https://search.gleif.org/#/record/2549000I2PRQGGIGCA75,2026-07-12,lei_verified,url_needs_review,url_authoritative,,amazon-aws,,active,,
VND-002,Apple Inc.,Apple,https://apple.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,HWUPKR0MPOU8FGXBT394,Apple Inc.,ACTIVE,https://search.gleif.org/#/record/HWUPKR0MPOU8FGXBT394,2026-07-12,lei_verified,url_needs_review,url_authoritative,,apple,,active,,
VND-003,Arista Networks Inc.,Arista,https://arista.com,Trusted Vendor,Commercial Vendor,United States,Partial,2026-03-26,635400H1WKBLOQERUU95,"Arista Networks, Inc",ACTIVE,https://search.gleif.org/#/record/635400H1WKBLOQERUU95,2026-07-12,lei_verified,url_needs_review,url_authoritative,,arista-networks-inc,,active,,
VND-005,Blackberry Limited,BlackBerry,https://blackberry.com,Trusted Vendor,Commercial Vendor,Canada,Partial,2026-03-26,549300HJD8NEGT71RF07,BlackBerry Limited,ACTIVE,https://search.gleif.org/#/record/549300HJD8NEGT71RF07,2026-07-12,lei_verified,url_needs_review,url_authoritative,,blackberry-limited,,active,,
VND-006,Canonical Ltd.,Canonical,https://canonical.com,Community/Commercial,Hybrid Commercial/Community,United Kingdom,Partial,2026-03-26,21380048X62G9EH0C432,Canonical Limited,ACTIVE,https://search.gleif.org/#/record/21380048X62G9EH0C432,2026-07-12,no_lei,url_needs_review,url_authoritative,,canonical-ltd,,active,,
VND-007,Check Point Software Technologies Ltd.,Check Point,https://checkpoint.com,Trusted Vendor,Commercial Vendor,Israel,Active,2026-03-26,7RNVS30RHFQZV3GT3G55,Check Point Software Technologies Ltd.,ACTIVE,https://search.gleif.org/#/record/7RNVS30RHFQZV3GT3G55,2026-07-12,no_lei,url_needs_review,url_authoritative,,check-point-software-technologies-ltd,,active,,
VND-008,Cisco Systems Inc.,Cisco,https://cisco.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,549300LKFJ962MZ46593,"CISCO SYSTEMS, INC.",ACTIVE,https://search.gleif.org/#/record/549300LKFJ962MZ46593,2026-07-12,lei_verified,url_needs_review,url_authoritative,,cisco-systems,,active,,
VND-009,Citrix Systems Inc.,Citrix,https://citrix.com,Trusted Vendor,Commercial Vendor,United States,Partial,2026-03-26,HCTKJGUQOPZ5NBK7NP58,"CITRIX SYSTEMS, INC.",ACTIVE,https://search.gleif.org/#/record/HCTKJGUQOPZ5NBK7NP58,2026-07-12,lei_verified,url_needs_review,url_authoritative,,citrix-systems-inc,,active,,
VND-010,Crypto4A Technologies Inc.,Crypto4A,https://crypto4a.com,Trusted Vendor,Commercial Vendor,Canada,Active,2026-03-26,254900F6X7PER8HVQO63,CRYPTO4A TECHNOLOGIES INC.,ACTIVE,https://search.gleif.org/#/record/254900F6X7PER8HVQO63,2026-07-12,lei_verified,url_needs_review,url_authoritative,,crypto4a-technologies-inc,,active,,
VND-011,CryptoNext Security,CryptoNext,https://www.cryptonext-security.com/,Trusted Vendor,Commercial Vendor,France,Active,2026-03-26,,,,https://search.gleif.org/#/search/entityName=CryptoNext%20Security,2026-07-12,no_lei,url_authoritative,url_authoritative,LEI lookup required: use GLEIF search link in gleif_url,cryptonext,,active,,
VND-012,DigiCert Inc.,DigiCert,https://digicert.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,984500C4BDA7A9584A97,"DIGICERT, INC.",ACTIVE,https://search.gleif.org/#/record/984500C4BDA7A9584A97,2026-07-12,lei_verified,url_needs_review,url_authoritative,,digicert,,active,,
VND-013,Entrust Corporation,Entrust,https://entrust.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,549300RRHR61YGCQ8575,ENTRUST CORPORATION,ACTIVE,https://search.gleif.org/#/record/549300RRHR61YGCQ8575,2026-07-12,lei_verified,url_needs_review,url_authoritative,,entrust,,active,,
VND-014,F5 Inc.,F5,https://f5.com,Trusted Vendor,Commercial Vendor,United States,Partial,2026-03-26,ZDBBS38LSXE38U2E1F32,"F5, INC.",ACTIVE,https://search.gleif.org/#/record/ZDBBS38LSXE38U2E1F32,2026-07-12,no_lei,url_needs_review,url_authoritative,,f5-inc-2,,active,,
VND-015,Fortanix Inc.,Fortanix,https://fortanix.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,2549006UT24TAKSI7D51,"FORTANIX, INC.",ACTIVE,https://search.gleif.org/#/record/2549006UT24TAKSI7D51,2026-07-12,lei_verified,url_needs_review,url_authoritative,,fortanix-inc,,active,,
VND-016,Fortinet Inc.,Fortinet,https://fortinet.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,549300O0QJWDBAS0QX03,"FORTINET, INC.",ACTIVE,https://search.gleif.org/#/record/549300O0QJWDBAS0QX03,2026-07-12,lei_verified,url_needs_review,url_authoritative,,fortinet,,active,,
VND-017,Futurex LP,Futurex,https://futurex.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,,,,https://search.gleif.org/#/search/entityName=Futurex%20LP,2026-07-12,no_lei,url_needs_review,url_authoritative,LEI lookup required: use GLEIF search link in gleif_url,futurex-lp,,active,,
VND-018,Google LLC,Google,https://google.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,7ZW8QJWVPR4P1J1KQY45,GOOGLE LLC,ACTIVE,https://search.gleif.org/#/record/7ZW8QJWVPR4P1J1KQY45,2026-07-12,lei_verified,url_needs_review,url_authoritative,,google,,active,,
VND-019,IBM Corporation,IBM,https://ibm.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,3WJXVSRZK5H3C75FWO82,IBM WORLD TRADE CORPORATION,ACTIVE,https://search.gleif.org/#/record/3WJXVSRZK5H3C75FWO82,2026-07-12,lei_verified,url_needs_review,url_authoritative,,ibm-research,,active,,
VND-020,IDEMIA Group,IDEMIA,https://idemia.com,Trusted Vendor,Commercial Vendor,France,Active,2026-03-26,549300WTLJH5RTGZMD10,IDEMIA Group SAS,ACTIVE,https://search.gleif.org/#/record/549300WTLJH5RTGZMD10,2026-07-12,no_lei,url_needs_review,url_authoritative,,idemia,,active,,
VND-021,Infineon Technologies AG,Infineon,https://infineon.com,Trusted Vendor,Commercial Vendor,Germany,Active,2026-03-26,TSI2PJM6EPETEQ4X1U25,Infineon Technologies AG,ACTIVE,https://search.gleif.org/#/record/TSI2PJM6EPETEQ4X1U25,2026-07-12,lei_verified,url_needs_review,url_authoritative,,infineon,,active,,
VND-022,Intel Corporation,Intel,https://intel.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,KNX4USFCNGPY45LOCE31,INTEL CORPORATION,ACTIVE,https://search.gleif.org/#/record/KNX4USFCNGPY45LOCE31,2026-07-12,lei_verified,url_needs_review,url_authoritative,,intel,,active,,
VND-023,Juniper Networks Inc.,Juniper,https://juniper.net,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,AUHIXNGG7U2U7JEHM527,"JUNIPER NETWORKS, INC.",ACTIVE,https://search.gleif.org/#/record/AUHIXNGG7U2U7JEHM527,2026-07-12,lei_verified,url_needs_review,url_authoritative,,juniper-networks,,active,,
VND-024,Keyfactor Inc.,Keyfactor,https://keyfactor.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,984500D0XB1A669C8642,"KEYFACTOR, INC.",ACTIVE,https://search.gleif.org/#/record/984500D0XB1A669C8642,2026-07-12,lei_verified,url_needs_review,url_authoritative,,keyfactor,,active,,
VND-025,Legion of the Bouncy Castle Inc.,Bouncy Castle,https://bouncycastle.org,Open Source Foundation,Open Source Foundation,International,Active,2026-03-26,1234567890ABCDEFGHIJ,,ACTIVE,https://search.gleif.org/#/record/1234567890ABCDEFGHIJ,2026-05-06,lei_not_applicable,url_needs_review,url_authoritative,,bouncy-castle,,active,,
VND-026,Marvell Technology Inc.,Marvell,https://marvell.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,254900WVU0BM7ZCJ9E93,"MARVELL TECHNOLOGY, INC.",ACTIVE,https://search.gleif.org/#/record/254900WVU0BM7ZCJ9E93,2026-07-12,lei_verified,url_needs_review,url_authoritative,,marvell-technology-inc,,active,,
VND-027,Microsoft Corporation,Microsoft,https://microsoft.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,INR2EJN1ERAN0W5ZP974,MICROSOFT CORPORATION,ACTIVE,https://search.gleif.org/#/record/INR2EJN1ERAN0W5ZP974,2026-07-12,lei_verified,url_needs_review,url_authoritative,,microsoft,,active,,
VND-028,NXP Semiconductors N.V.,NXP,https://nxp.com,Trusted Vendor,Commercial Vendor,Netherlands,Active,2026-03-26,724500M9BY5293JDF951,NXP Semiconductors N.V.,ACTIVE,https://search.gleif.org/#/record/724500M9BY5293JDF951,2026-07-12,lei_verified,url_authoritative,url_authoritative,,nxp-semiconductors-nv,,active,,
VND-029,Oracle Corporation,Oracle,https://oracle.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,1Z4GXXU7ZHVWFCD8TV52,ORACLE CORPORATION,ACTIVE,https://search.gleif.org/#/record/1Z4GXXU7ZHVWFCD8TV52,2026-07-12,lei_verified,url_needs_review,url_authoritative,,oracle,,deprecated,2026-08-14,"deprecation-sweep (dead): all fetch tiers failed (last: crawl4ai, status=200, reason=)"
VND-030,PQShield Ltd.,PQShield,https://pqshield.com,Trusted Vendor,Commercial Vendor,United Kingdom,Active,2026-03-26,213800TIXYF2VWARKD58,PQSHIELD LTD,ACTIVE,https://search.gleif.org/#/record/213800TIXYF2VWARKD58,2026-07-12,lei_verified,url_needs_review,url_authoritative,,pqshield,,active,,
VND-031,Palo Alto Networks Inc.,Palo Alto Networks,https://paloaltonetworks.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,549300QXR2YVZV231H43,"PALO ALTO NETWORKS, INC.",ACTIVE,https://search.gleif.org/#/record/549300QXR2YVZV231H43,2026-07-12,lei_verified,url_needs_review,url_authoritative,,palo-alto,,active,,
VND-032,Red Hat Inc.,Red Hat,https://redhat.com,Community/Commercial,Hybrid Commercial/Community,United States,Active,2026-03-26,549300VKOPWAMM9FVN57,"RED HAT, INC.",ACTIVE,https://search.gleif.org/#/record/549300VKOPWAMM9FVN57,2026-07-12,no_lei,url_needs_review,url_authoritative,,red-hat,,active,,
VND-033,SAP SE,SAP,https://sap.com,Trusted Vendor,Commercial Vendor,Germany,Active,2026-03-26,529900D6BF99LW9R2E68,SAP SE,ACTIVE,https://search.gleif.org/#/record/529900D6BF99LW9R2E68,2026-07-12,lei_verified,url_needs_review,url_authoritative,,sap,,active,,
VND-034,SafeLogic Inc.,SafeLogic,https://safelogic.com,Trusted Vendor,Commercial Vendor,United States,Active,2026-03-26,,,,https://search.gleif.org/#/search/entityName=SafeLogic%20Inc.,2026-07-12,no_lei,url_needs_review,url_authoritative,LEI lookup required: use GLEIF search link in gleif_url,safelogic-inc,,active,,
