question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
tls-basics-learn-001,tls-basics,TLS Basics,Which RFC standard defines the TLS 1.3 protocol improvements discussed in the module?,"The TLS 1.3 protocol is defined by RFC 8446. This standard outlines the removal of RSA key exchange and CBC cipher modes, while mandating ECDHE forward secrecy and simplifying the handshake to a single round trip.",learn,recall,developer;architect;ops,beginner;intermediate,Global,General,RFC 8446,,,,,,,/library?ref=RFC%208446;/learn/tls-basics,library_ref:RFC 8446 EXISTS,"RAG Summary: Overview, Key Concepts, Related Standards"
tls-basics-learn-002,tls-basics,TLS Basics,What are the five specific cipher suites supported in TLS 1.3 according to the module?,"TLS 1.3 supports exactly five cipher suites: TLS_AES_256_GCM_SHA384, TLS_AES_128_GCM_SHA256, TLS_CHACHA20_POLY1305_SHA256, TLS_AES_128_CCM_SHA256, and TLS_AES_128_CCM_8_SHA256. These suites specify only symmetric encryption and hash algorithms, as key exchange is negotiated separately.",learn,recall,developer;architect,intermediate,Global,General,,,,,,,,/learn/tls-basics,,RAG Summary: Key Concepts
tls-basics-learn-003,tls-basics,TLS Basics,Which FIPS standards correspond to the ML-KEM and ML-DSA algorithms mentioned in the module?,"ML-KEM is standardized under FIPS 203, while ML-DSA is standardized under FIPS 204. These standards define the post-quantum cryptographic primitives used for key encapsulation and digital signatures respectively.",learn,recall,researcher;architect,intermediate;advanced,Global,General,FIPS 203;FIPS 204,,,,KEM,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/tls-basics,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv,RAG Summary: Related Standards
tls-basics-learn-004,tls-basics,TLS Basics,How does the HKDF key schedule in TLS 1.3 derive session keys from the initial shared secret?,"The HKDF key schedule uses Extract and Expand operations to derive all session keys. It progresses from an Early Secret (derived from PSK) to a Handshake Secret (from ECDHE/KEM), which produces client and server handshake traffic secrets, and finally to a Master Secret for application traffic.",learn,comprehension,developer;architect;researcher,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/tls-basics,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
tls-basics-learn-005,tls-basics,TLS Basics,Why is the hybrid X25519MLKEM768 key exchange considered more secure than using classical ECDH alone?,"The hybrid approach combines classical X25519 with post-quantum ML-KEM, ensuring security even if one of the algorithms is broken. This provides a defense-in-depth strategy against both current computational attacks and future quantum computer threats.",learn,comprehension,architect;researcher;executive,intermediate;advanced,Global,General,,,,,KEM;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=X25519;/learn/tls-basics,algorithm:KEM IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
tls-basics-learn-006,tls-basics,TLS Basics,What is the primary trade-off when migrating from classical X25519 to pure PQC ML-KEM-768 in TLS handshakes?,"The primary trade-off is the significant increase in key size, with ML-KEM-768 public keys being approximately 1,184 bytes compared to 32 bytes for X25519. This larger size increases handshake overhead and bandwidth consumption during the connection establishment.",learn,comprehension,ops;architect;developer,intermediate,Global,General,,,,,ML-KEM-768;X25519,,,/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/tls-basics,algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
tls-basics-learn-007,tls-basics,TLS Basics,"In a scenario where an adversary records TLS-encrypted traffic today, what specific threat does the HNDL concept describe?","The HNDL (Harvest Now, Decrypt Later) threat describes an adversary recording encrypted traffic now with the intent to decrypt it later once quantum computers are capable of breaking the classical ECDH key exchange. This would allow the recovery of symmetric session keys and the decryption of past communications.",learn,application,executive;architect;ops,intermediate;advanced,Global,General,,,,,,,,/learn/tls-basics,,RAG Summary: Key Concepts
tls-basics-workshop-008,tls-basics,TLS Basics,"If a developer configures the TLS simulator to use mutual authentication (mTLS), what additional requirement must be met by the client?","In a mutual TLS configuration, the client must present a valid certificate to the server for authentication, just as the server presents one to the client. The simulator supports this by allowing the configuration of client certificates and verifying them against the server's trust store.",workshop,application,developer;ops,intermediate,Global,General,,,,,,,,/learn/tls-basics,,"RAG Summary: Key Concepts, Workshop / Interactive Activities"
tls-basics-workshop-009,tls-basics,TLS Basics,How would you configure the TLS simulator to test post-quantum authentication using ML-DSA?,"To test post-quantum authentication, you must configure the server panel to use pre-loaded ML-DSA-65 or ML-DSA-87 certificates instead of classical RSA or ECDSA. The simulator includes these specific PQC certificates to demonstrate signature verification in the handshake.",workshop,application,developer;researcher,intermediate;advanced,Global,General,,,,,ML-DSA-65;ML-DSA-87,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-DSA-87;/learn/tls-basics,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-DSA-87 IN algorithms_csv,"RAG Summary: Key Concepts, Workshop / Interactive Activities"
tls-basics-learn-010,tls-basics,TLS Basics,Synthesize the relationship between TLS 1.3's removal of RSA key exchange and the necessity of PQC migration for forward secrecy.,"TLS 1.3 removed static RSA key exchange to mandate ephemeral ECDHE, ensuring forward secrecy where session keys cannot be recovered if long-term keys are compromised. However, since classical ECDH is vulnerable to quantum attacks, migrating to PQC algorithms like ML-KEM is necessary to maintain this forward secrecy against future quantum adversaries.",learn,synthesis,architect;researcher;executive,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/tls-basics,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
tls-basics-learn-011,tls-basics,TLS Basics,Analyze how the integration of FIPS 203 (ML-KEM) and FIPS 204 (ML-DSA) into a TLS 1.3 handshake addresses both confidentiality and integrity.,"FIPS 203 (ML-KEM) provides post-quantum key encapsulation to establish a shared secret for symmetric encryption, ensuring confidentiality against quantum decryption. FIPS 204 (ML-DSA) provides post-quantum digital signatures for the CertificateVerify message, ensuring the integrity and authenticity of the handshake participants.",learn,synthesis,architect;researcher;developer,advanced,Global,General,FIPS 203;FIPS 204,,,,KEM,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/tls-basics,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv,"RAG Summary: Related Standards, Key Concepts"
tls-basics-learn-012,tls-basics,TLS Basics,Evaluate the operational impact of deploying hybrid X25519MLKEM768 in production environments considering both security and performance.,"Deploying hybrid X25519MLKEM768 offers immediate quantum resistance while maintaining compatibility with classical systems, but it introduces a significant bandwidth overhead due to the 1,184-byte ML-KEM keys. Organizations must weigh this increased handshake size against the critical need to protect long-term sensitive data from HNDL attacks.",learn,synthesis,executive;ops;architect,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/tls-basics,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts
tls-basics-workshop-013,tls-basics,TLS Basics,How does the TLS simulator's use of OpenSSL WASM and PKCS#11 HSM operations demonstrate a realistic production environment for PQC?,"The simulator uses OpenSSL WASM to execute real handshake logic and integrates with SoftHSM3 via PKCS#11 v3.2 to mimic Hardware Security Module operations. This demonstrates how private keys for ML-DSA signatures are generated and used securely within an HSM, reflecting production-grade key management practices.",workshop,synthesis,developer;ops;architect,advanced,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/tls-basics,migrate_ref:OpenSSL EXISTS,"Module Content (extracted), RAG Summary: Workshop / Interactive Activities"
