question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
energy-utilities-pqc-learn-001,energy-utilities-pqc,Energy & Utilities PQC,Which NIST FIPS standards define the ML-KEM and ML-DSA algorithms used for post-quantum key encapsulation and digital signatures?,ML-KEM is defined in FIPS 203 as the standardized algorithm for quantum-resistant key encapsulation. ML-DSA is defined in FIPS 204 for protecting sensitive unclassified information in federal systems. These standards are critical for ensuring compliance in energy sector migrations.,learn,recall,architect;developer;compliance,beginner;intermediate,USA;Global,Energy & Utilities,FIPS 203;FIPS 204,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/energy-utilities-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,"Authoritative Source Context: FIPS 203, FIPS 204"
energy-utilities-pqc-learn-002,energy-utilities-pqc,Energy & Utilities PQC,What is the maximum end-to-end delivery time required for IEC 61850 GOOSE messages in Class P2/P3 protection applications?,"IEC 61850 GOOSE messages require an end-to-end delivery time of under 4 milliseconds for Class P2/P3 protection applications. Any cryptographic processing that exceeds this budget in the relay trip path can cause a breaker failure-to-trip, resulting in a safety-critical event.",learn,recall,engineer;ops;architect,intermediate,Global,Energy & Utilities,,,,,,,,/learn/energy-utilities-pqc,,Module Content: Safety-critical timing constraints
energy-utilities-pqc-learn-003,energy-utilities-pqc,Energy & Utilities PQC,Which NERC CIP standard specifically addresses the encryption of communications between control centers?,NERC CIP-012 addresses Communications Between Control Centers and is classified as critical urgency. It mandates the encryption of inter-control-center communications to protect grid operations from interception and manipulation.,learn,recall,compliance;executive;architect,intermediate,USA,Energy & Utilities,,,,,,,,/learn/energy-utilities-pqc,,Module Content: NERC-CIP compliance
energy-utilities-pqc-learn-004,energy-utilities-pqc,Energy & Utilities PQC,"Why is the 'Harvest Now, Decrypt Later' (HNDL) threat particularly acute for smart meters with 20+ year lifetimes?","Smart meters often have lifespans exceeding 20 years, meaning data encrypted today could be stored by attackers and decrypted in the future once cryptographically relevant quantum computers exist. This allows adversaries to reveal behavioral patterns and sensitive usage data from decades ago.",learn,comprehension,researcher;executive;architect,intermediate,Global,Energy & Utilities,,,,,,,,/learn/energy-utilities-pqc,,Module Content: Smart metering and AMI; Curious Summary
energy-utilities-pqc-learn-005,energy-utilities-pqc,Energy & Utilities PQC,How does the lack of native asymmetric crypto in IEC 62351-6 affect the security of GOOSE and Sampled Values protocols?,"IEC 62351-6 profiles for GOOSE and Sampled Values do not currently support native asymmetric cryptography, relying instead on multicast mechanisms. Consequently, PQC migration for these real-time protocols cannot be inserted directly into the data path but must rely on pre-shared symmetric MACs or offloaded security appliances.",learn,comprehension,architect;developer;ops,intermediate;advanced,Global,Energy & Utilities,,,,,,,,/learn/energy-utilities-pqc,,Module Content: OT protocols and crypto feasibility
energy-utilities-pqc-learn-006,energy-utilities-pqc,Energy & Utilities PQC,What is the primary cryptographic vulnerability in DNP3 Secure Authentication v5 that necessitates PQC migration?,"DNP3 Secure Authentication v5 uses HMAC-SHA256 for challenge-response, which is quantum-safe, but its asymmetric update key change ceremony relies on RSA-2048. This RSA component is vulnerable to quantum attacks and must be migrated to ML-DSA to secure the key distribution channel.",learn,comprehension,architect;developer;security,intermediate,Global,Energy & Utilities,,,,,RSA-2048,,,/algorithms?highlight=RSA-2048;/learn/energy-utilities-pqc,algorithm:RSA-2048 IN algorithms_csv,Module Content: OT protocols and crypto feasibility
energy-utilities-pqc-workshop-007,energy-utilities-pqc,Energy & Utilities PQC,"If a utility plans to migrate a transmission substation's TLS cipher suites, which PQC algorithm should be prioritized for key encapsulation according to the module?","For migrating TLS cipher suites in IEC 62351 Part 3 profiles, utilities should prioritize ML-KEM for key encapsulation. The module indicates that draft profiles for this migration are expected between 2026 and 2027.",workshop,application,architect;developer;ops,intermediate;advanced,Global,Energy & Utilities,,,,,KEM,,,/algorithms?highlight=KEM;/learn/energy-utilities-pqc,algorithm:KEM IN algorithms_csv,Module Content: IEC 62351 PQC migration status
energy-utilities-pqc-workshop-008,energy-utilities-pqc,Energy & Utilities PQC,A utility is managing a smart meter fleet using DLMS/COSEM. Which symmetric encryption algorithm should be retained for payload data to ensure Grover-safety?,"The utility should retain AES-256-GCM for symmetric data encryption in the DLMS/COSEM protocol. While key establishment must migrate to ML-KEM, AES-256 is considered safe against Grover's algorithm, unlike AES-128.",workshop,application,architect;developer;ops,intermediate,Global,Energy & Utilities,,,,,KEM,,,/algorithms?highlight=KEM;/learn/energy-utilities-pqc,algorithm:KEM IN algorithms_csv,Module Content: Smart metering and AMI
energy-utilities-pqc-workshop-009,energy-utilities-pqc,Energy & Utilities PQC,How should a grid operator handle algorithm changes in a Bulk Electric System (BCS) to remain compliant with NERC CIP?,Algorithm changes in the BCS must be documented in the Cyber Security Management System (CSMS) and approved by the grid operator. Unilateral algorithm changes without a documented CSMS update constitute a compliance violation under NERC CIP requirements.,workshop,application,compliance;executive;ops,intermediate;advanced,USA,Energy & Utilities,,,,,,,,/learn/energy-utilities-pqc,,Module Content: NERC-CIP compliance
energy-utilities-pqc-both-010,energy-utilities-pqc,Energy & Utilities PQC,Synthesize the impact of replacing classical ECDH keys with ML-KEM ciphertexts on a smart meter network using Power Line Communication (PLC).,"Replacing 33-byte classical ECDH keys with 1,088-byte ML-KEM ciphertexts creates a massive bandwidth bottleneck on slow PLC networks. This transformation turns routine background key rotations into multi-day network operations, requiring careful scheduling to avoid service disruption.",both,synthesis,architect;ops;executive,advanced,Global,Energy & Utilities,,,,,KEM,,,/algorithms?highlight=KEM;/learn/energy-utilities-pqc,algorithm:KEM IN algorithms_csv,Curious Summary: What's Happening
