question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
secrets-management-pqc-learn-001,secrets-management-pqc,Secrets Management & PQC,Which NIST standard defines the Module-Lattice-Based Key-Encapsulation Mechanism (ML-KEM)?,"FIPS 203 defines the Module-Lattice-Based Key-Encapsulation Mechanism, known as ML-KEM. This standard is referenced in the module for securing key encapsulation processes in post-quantum cryptography. It serves as a foundational specification for PQC migration strategies involving key exchange.",learn,recall,architect;developer;researcher,beginner;intermediate,Global,General,FIPS 203,,,,KEM,,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/learn/secrets-management-pqc,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Standards Referenced section
secrets-management-pqc-learn-002,secrets-management-pqc,Secrets Management & PQC,What is the specific PQC algorithm planned for HashiCorp Vault's transit engine upgrade path?,HashiCorp Vault Enterprise plans to upgrade its transit engine with ML-KEM-768 and ML-DSA-65 algorithms. This migration is scheduled for 2026 according to the cloud provider roadmaps provided in the module. These algorithms replace legacy elliptic curve cryptography to mitigate quantum threats.,learn,recall,ops;architect,intermediate;advanced,Global,General,,,,,ML-DSA-65;ML-KEM-768,HashiCorp Vault,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-KEM-768;/migrate?q=HashiCorp%20Vault;/learn/secrets-management-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv|migrate_ref:HashiCorp Vault EXISTS,Cloud Provider PQC Status (March 2026)
secrets-management-pqc-learn-003,secrets-management-pqc,Secrets Management & PQC,Which secret category is classified as having 'immediate HNDL risk' and requires ML-DSA-87 for code signing?,Code/Document Signing Keys are classified as critical with immediate Harvest-Now-Decrypt-Later (HNDL) risk. The module specifies that these keys require protection using the ML-DSA-87 algorithm. This classification ensures long-term integrity against future quantum decryption capabilities.,learn,recall,developer;architect,intermediate;advanced,Global,General,,,,,ML-DSA-87,,,/algorithms?highlight=ML-DSA-87;/learn/secrets-management-pqc,algorithm:ML-DSA-87 IN algorithms_csv,Secret Categories Covered
secrets-management-pqc-learn-004,secrets-management-pqc,Secrets Management & PQC,What is the recommended envelope encryption pattern for Data Encryption Keys (DEKs) in a PQC context?,The recommended pattern uses AES-256-GCM for the Data Encryption Key (DEK) and ML-KEM-768 or ML-KEM-1024 for the Key Encryption Key (KEK). This envelope encryption approach ensures that the data itself is encrypted with a symmetric algorithm while the key protecting it is secured against quantum attacks. It aligns with NIST SP 800-57 Part 1 Rev. 5 recommendations.,learn,recall,architect;developer,advanced,Global,General,,,,,ML-KEM-1024;ML-KEM-768,,NIST,/algorithms?highlight=ML-KEM-1024;/algorithms?highlight=ML-KEM-768;/learn/secrets-management-pqc,algorithm:ML-KEM-1024 IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv|compliance_ref:NIST EXISTS,Key Topics
secrets-management-pqc-learn-005,secrets-management-pqc,Secrets Management & PQC,Which cloud provider is listed as having PQC planned for 2027?,"Delinea Secret Server is the only provider listed in the module with a PQC implementation planned for 2027. Other providers like AWS, Azure, and GCP have earlier timelines or preview capabilities available by March 2026. This delay impacts long-term migration planning for organizations using Delinea.",learn,recall,executive;ops,beginner;intermediate,Global,General,,,,,,Delinea Secret Server,,/migrate?q=Delinea%20Secret%20Server;/learn/secrets-management-pqc,migrate_ref:Delinea Secret Server EXISTS,Cloud Provider PQC Status (March 2026)
secrets-management-pqc-learn-006,secrets-management-pqc,Secrets Management & PQC,What is the 'Secret Zero' problem in the context of HashiCorp Vault migration?,"The Secret Zero problem refers to the challenge of migrating the vault seal key itself, which protects all other secrets within the system. The module highlights that this requires specific attention during ML-KEM vault seal key migration. Failure to address this leaves the entire secrets infrastructure vulnerable to quantum decryption.",learn,recall,architect;ops,advanced,Global,General,,,,,KEM,HashiCorp Vault,,/algorithms?highlight=KEM;/migrate?q=HashiCorp%20Vault;/learn/secrets-management-pqc,algorithm:KEM IN algorithms_csv|migrate_ref:HashiCorp Vault EXISTS,Key Topics
secrets-management-pqc-both-007,secrets-management-pqc,Secrets Management & PQC,Why are Database Credentials classified as having 'immediate HNDL risk'?,"Database credentials are classified with immediate HNDL risk because they provide direct access to sensitive data that could be harvested now and decrypted later by quantum computers. Unlike API keys which might have delayed exposure, database access often grants broad permissions requiring urgent PQC protection. The module recommends dynamic secrets with an 8-hour TTL for these credentials.",both,comprehension,developer;architect;ops,intermediate;advanced,Global,General,,,,,,,,/learn/secrets-management-pqc,,Secret Categories Covered
secrets-management-pqc-both-008,secrets-management-pqc,Secrets Management & PQC,How does the HNDL risk classification differ between API Keys and TLS Certificates?,"API Keys are classified as having 'delayed' HNDL risk, whereas TLS Certificates & Private Keys have 'immediate' HNDL risk. This distinction arises because TLS keys often protect long-term communications that can be recorded now and decrypted later, while API keys may have shorter lifespans or different exposure vectors. Consequently, TLS keys require immediate migration to ML-DSA certificates.",both,comprehension,architect;developer,intermediate;advanced,Global,General,,,,,,,,/learn/secrets-management-pqc,,Secret Categories Covered
secrets-management-pqc-both-009,secrets-management-pqc,Secrets Management & PQC,What is the relationship between ML-KEM and the protection of Data Encryption Keys (DEKs)?,"ML-KEM is used to protect the Key Encryption Key (KEK) which in turn encrypts the Data Encryption Key (DEK). The DEK itself typically uses a symmetric algorithm like AES-256-GCM for performance, while ML-KEM secures the asymmetric layer. This separation ensures that even if the quantum computer breaks the KEK, the immediate data access remains protected by the symmetric DEK until the KEK is compromised.",both,comprehension,architect;researcher,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/secrets-management-pqc,algorithm:KEM IN algorithms_csv,Key Topics
secrets-management-pqc-both-010,secrets-management-pqc,Secrets Management & PQC,Why is the 'Secret Zero' problem considered a critical bottleneck in PQC migration for Vault?,"The Secret Zero problem is critical because the seal key protects the entire vault's encryption keys; if it is not migrated to PQC, all secrets remain vulnerable. Migrating this specific key requires careful coordination to avoid downtime or data loss during the transition. It represents the root of trust for the entire secrets management platform.",both,comprehension,architect;ops,advanced,Global,General,,,,,,,,/learn/secrets-management-pqc,,Key Topics
secrets-management-pqc-both-011,secrets-management-pqc,Secrets Management & PQC,How does the use of ML-DSA in CI/CD pipelines relate to short-lived certificate patterns?,"ML-DSA is used to sign short-lived certificates in CI/CD pipelines, replacing traditional RSA or ECDSA signatures. This pattern aligns with OIDC workflows where credentials are ephemeral, reducing the window for HNDL attacks. The combination of short TTLs and PQC signatures ensures that even if a certificate is intercepted, it cannot be forged or used long-term.",both,comprehension,developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/secrets-management-pqc,,Key Topics
secrets-management-pqc-both-012,secrets-management-pqc,Secrets Management & PQC,What is the significance of the 'delayed' HNDL risk classification for OAuth Tokens?,"OAuth Tokens are classified with 'delayed' HNDL risk because they typically have short lifespans and are often refreshed frequently, limiting the window for harvesting. However, they still require PQC protection via ML-DSA signing to prevent forgery of future tokens or replay attacks. The delayed classification suggests a slightly lower priority than immediate risks but still mandates migration.",both,comprehension,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/secrets-management-pqc,,Secret Categories Covered
secrets-management-pqc-both-013,secrets-management-pqc,Secrets Management & PQC,"A company uses AWS Secrets Manager for database credentials. Based on the module, what PQC mechanism should they enable?","The company should enable PQC via AWS KMS using the GA ML-KEM key specification. The module indicates that AWS Secrets Manager supports PQC through its integration with Cloud KMS. This ensures that the database credentials are encrypted with post-quantum algorithms, mitigating immediate HNDL risks.",both,application,ops;architect,intermediate;advanced,Global,General,,,,,KEM,AWS KMS,,/algorithms?highlight=KEM;/migrate?q=AWS%20KMS;/learn/secrets-management-pqc,algorithm:KEM IN algorithms_csv|migrate_ref:AWS KMS EXISTS,Cloud Provider PQC Status (March 2026)
secrets-management-pqc-both-014,secrets-management-pqc,Secrets Management & PQC,You are designing a rotation policy for Crypto Seed Phrases. What algorithm and risk level should you apply?,Crypto Seed Phrases should be classified as critical with immediate HNDL risk and protected using ML-KEM combined with an HSM. The module explicitly lists this category requiring the highest level of protection due to the irreversible nature of seed phrase compromise. Rotation policies must ensure these keys are never exposed in plaintext.,both,application,architect;ops,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/secrets-management-pqc,algorithm:KEM IN algorithms_csv,Secret Categories Covered
secrets-management-pqc-both-015,secrets-management-pqc,Secrets Management & PQC,An organization wants to secure Kubernetes secrets at rest. Which plugin and algorithm combination is recommended?,The organization should use the KMS plugin with ML-KEM to enable encryption-at-rest for Kubernetes secrets. This aligns with the CIS Kubernetes Benchmark v1.9 section 1.2.33 regarding etcd encryption. The module specifically mentions integrating PQC-safe secrets into Kubernetes via this mechanism.,both,application,ops;developer,intermediate;advanced,Global,General,,,,,KEM,Kubernetes,,/algorithms?highlight=KEM;/migrate?q=Kubernetes;/learn/secrets-management-pqc,algorithm:KEM IN algorithms_csv|migrate_ref:Kubernetes EXISTS,Key Topics
