Classical Algorithm,Key Size,PQC Replacement,Function,Deprecation Date,Standardization Date
RSA,2048-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),2024 (FIPS 203)
RSA,3072-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
RSA,4096-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
ECDH (P-256),256-bit,ML-KEM-512 (NIST Level 1),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
ECDH (P-384),384-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
ECDH (P-521),521-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
X25519,256-bit,ML-KEM-768 (NIST Level 3),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
X448,448-bit,ML-KEM-1024 (NIST Level 5),Encryption/KEM,2035 (Disallowed),2024 (FIPS 203)
RSA,2048-bit,HQC-128 (NIST Level 1),Encryption/KEM,2030 (Deprecated) / 2035 (Disallowed),Selected 2025 (Draft ~2027)
RSA,3072-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
RSA,4096-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
ECDH (P-256),256-bit,HQC-128 (NIST Level 1),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
ECDH (P-384),384-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
ECDH (P-521),521-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
X25519,256-bit,HQC-192 (NIST Level 3),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
X448,448-bit,HQC-256 (NIST Level 5),Encryption/KEM,2035 (Disallowed),Selected 2025 (Draft ~2027)
X25519,256-bit,X25519MLKEM768 (Hybrid Level 3),Hybrid KEM,2035 (Disallowed),~2026 (IETF RFC Pending)
ECDH (P-256),256-bit,SecP256r1MLKEM768 (Hybrid Level 3),Hybrid KEM,2035 (Disallowed),~2026 (IETF RFC Pending)
ECDH (P-384),384-bit,SecP384r1MLKEM1024 (Hybrid Level 5),Hybrid KEM,2035 (Disallowed),~2026 (IETF RFC Pending)
RSA-PSS,2048-bit,ML-DSA-44 (NIST Level 2),Signature,2030 (Deprecated) / 2035 (Disallowed),2024 (FIPS 204)
RSA-PSS,3072-bit,ML-DSA-65 (NIST Level 3),Signature,2035 (Disallowed),2024 (FIPS 204)
ECDSA (P-256),256-bit,ML-DSA-44 (NIST Level 2),Signature,2035 (Disallowed),2024 (FIPS 204)
ECDSA (P-384),384-bit,ML-DSA-65 (NIST Level 3),Signature,2035 (Disallowed),2024 (FIPS 204)
ECDSA (P-521),521-bit,ML-DSA-87 (NIST Level 5),Signature,2035 (Disallowed),2024 (FIPS 204)
RSA-PSS,4096-bit,ML-DSA-87 (NIST Level 5),Signature,2035 (Disallowed),2024 (FIPS 204)
RSA-PSS,2048-bit,FN-DSA-512 (NIST Level 1),Signature,2030 (Deprecated) / 2035 (Disallowed),Draft 2025 (Final ~2026-2027)
RSA-PSS,3072-bit,FN-DSA-1024 (NIST Level 5),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
ECDSA (P-256),256-bit,FN-DSA-512 (NIST Level 1),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
ECDSA (P-384),384-bit,FN-DSA-1024 (NIST Level 5),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
ECDSA (P-521),521-bit,FN-DSA-1024 (NIST Level 5),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
Ed25519,256-bit,FN-DSA-512 (NIST Level 1),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
Ed448,456-bit,FN-DSA-1024 (NIST Level 5),Signature,2035 (Disallowed),Draft 2025 (Final ~2026-2027)
Ed25519,256-bit,ML-DSA-44 (NIST Level 2),Signature,2035 (Disallowed),2024 (FIPS 204)
Ed25519,256-bit,SLH-DSA-SHA2-128s (Level 1),Signature,2035 (Disallowed),2024 (FIPS 205)
Ed448,456-bit,SLH-DSA-SHA2-192s (Level 3),Signature,2035 (Disallowed),2024 (FIPS 205)
Any (Stateless),N/A,SLH-DSA (All Variants),Signature,N/A,2024 (FIPS 205)
Any (Firmware Signing),N/A,LMS-SHA256/192 (Stateful),Signature,N/A,2020 (SP 800-208)
Any (Firmware Signing),N/A,XMSS-SHA2_20 (Stateful),Signature,N/A,2020 (SP 800-208)
SHA-1,160-bit,SHA3-256 (FIPS 202),Hash,"Deprecated 2011 / Disallowed 2030 — Grover: no additional risk (classically broken)",2015 (FIPS 202)
MD5,128-bit,SHA3-256 (FIPS 202),Hash,"Disallowed — classically broken; Grover not primary concern",2015 (FIPS 202)
SHA-256,256-bit,SHA3-256 (FIPS 202),Hash,"Grover reduces to ~128-bit — still quantum-safe; upgrade recommended for new PQC systems",2015 (FIPS 202)
HMAC-MD5,128-bit,HMAC-SHA256 (FIPS 198-1),Hash,"Disallowed — classically broken; migrate immediately",2002 (FIPS 198-1)
SHA-1 (HMAC),160-bit,HMAC-SHA256 (FIPS 198-1),Hash,"Deprecated 2011 / Disallowed 2030",2002 (FIPS 198-1)
AES-256,256-bit,AES-256 (FIPS 197),Symmetric,"Safe beyond 2030 — Grover reduces to ~128-bit; remains quantum-resistant for symmetric encryption",2001 (FIPS 197)
AES-128,128-bit,AES-256 (FIPS 197),Symmetric,"Not deprecated by NIST — Grover's theoretically halves security but deemed impractical (NIST 2024); CNSA 2.0 recommends AES-256 for national security systems",2001 (FIPS 197)
AES-192,192-bit,AES-256 (FIPS 197),Symmetric,"Grover reduces to ~96-bit quantum security — upgrade recommended",2001 (FIPS 197)
3DES,112-bit effective,AES-256 (FIPS 197),Symmetric,"Disallowed Jan 2024 — Grover reduces to ~56-bit; migrate immediately",2001 (FIPS 197)
DES,56-bit,AES-256 (FIPS 197),Symmetric,"Disallowed — broken classically and by Grover",2001 (FIPS 197)
