question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
entropy-randomness-learn-001,entropy-randomness,Entropy & Randomness,Which NIST Special Publication defines the framework for Deterministic Random Bit Generator (DRBG) mechanisms?,"NIST SP 800-90A defines the framework for DRBG mechanisms, including CTR_DRBG, Hash_DRBG, HMAC_DRBG, and XOF_DRBG. This standard outlines how to construct secure random bit generators from approved cryptographic primitives.",learn,recall,developer;architect,intermediate;advanced,Global,General,NIST SP 800-90A,,,,,,NIST,/library?ref=NIST%20SP%20800-90A;/learn/entropy-randomness,library_ref:NIST SP 800-90A EXISTS|compliance_ref:NIST EXISTS,Key Concepts: NIST SP 800-90 family
entropy-randomness-learn-002,entropy-randomness,Entropy & Randomness,What specific seed size in bytes is required by both FIPS 203 (ML-KEM) and FIPS 204 (ML-DSA)?,Both FIPS 203 (ML-KEM) and FIPS 204 (ML-DSA) require exactly 32 bytes of full entropy for their seed inputs. This requirement ensures the Random Bit Generator operates at a 256-bit security strength suitable for Category 5 applications.,learn,recall,developer;architect,advanced,Global,General,FIPS 203;FIPS 204,,,,KEM,,,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/algorithms?highlight=KEM;/learn/entropy-randomness,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|algorithm:KEM IN algorithms_csv,Key Concepts: PQC seed requirements
entropy-randomness-learn-003,entropy-randomness,Entropy & Randomness,Which NIST standard covers the validation of entropy sources specifically?,"NIST SP 800-90B is the standard that covers entropy source validation. It details the requirements for raw entropy sources, including health tests and min-entropy estimation methods.",learn,recall,architect;ops,intermediate;advanced,Global,General,NIST SP 800-90B,,,,,,NIST,/library?ref=NIST%20SP%20800-90B;/learn/entropy-randomness,library_ref:NIST SP 800-90B EXISTS|compliance_ref:NIST EXISTS,Key Concepts: NIST SP 800-90 family
entropy-randomness-learn-004,entropy-randomness,Entropy & Randomness,What historical vulnerability is cited as an example of entropy failure due to PID-only seeding?,"The 2008 Debian OpenSSL bug is cited as a historical failure where PID-only seeding resulted in only approximately 32,768 possible keys. This demonstrated that a perfectly designed algorithm is worthless if the underlying random number generator is predictable.",learn,recall,developer;security_engineer,intermediate;advanced,Global,General,,,,,,OpenSSL,,/migrate?q=OpenSSL;/learn/entropy-randomness,migrate_ref:OpenSSL EXISTS,Key Concepts: Entropy fundamentals
entropy-randomness-learn-005,entropy-randomness,Entropy & Randomness,Which DRBG mechanism is noted as being ideal for PQC algorithms like ML-KEM and ML-DSA?,"XOF_DRBG, which is based on SHAKE, is identified as ideal for PQC algorithms such as ML-KEM and ML-DSA. It was introduced in NIST SP 800-90A Revision 2 to support the specific needs of post-quantum cryptography.",learn,recall,developer;architect,advanced,Global,General,NIST SP 800-90A,,,,KEM,,NIST,/library?ref=NIST%20SP%20800-90A;/algorithms?highlight=KEM;/learn/entropy-randomness,library_ref:NIST SP 800-90A EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Key Concepts: DRBG mechanisms
entropy-randomness-learn-006,entropy-randomness,Entropy & Randomness,When was the NIST Entropy Source Validation (ESV) Program launched under the CMVP?,"The NIST ESV Program was launched in April 2022. It provides formal entropy source validation through the Cryptographic Module Validation Program (CMVP), separate from FIPS 140-3 module validation.",learn,recall,architect;ops,intermediate;advanced,USA;Global,General,,,,,,,NIST,/learn/entropy-randomness,compliance_ref:NIST EXISTS,Key Concepts: NIST ESV Program
entropy-randomness-learn-007,entropy-randomness,Entropy & Randomness,How does the quality of entropy directly impact cryptographic security?,"The quality of entropy determines the strength of cryptographic keys, nonces, and initialization vectors. If the underlying random number generator is predictable, even a perfectly designed algorithm becomes worthless.",learn,comprehension,architect;executive,intermediate;advanced,Global,General,,,,,,,,/learn/entropy-randomness,,Module Description; Key Concepts: Entropy fundamentals
entropy-randomness-learn-008,entropy-randomness,Entropy & Randomness,What is the primary difference between a TRNG and a QRNG in terms of their entropy source?,"A TRNG (True Random Number Generator) typically uses classical hardware phenomena like Intel RDRAND or ARM RNDR, while a QRNG derives randomness directly from quantum mechanical phenomena such as photon detection or vacuum fluctuations. Both are considered quantum-safe.",learn,comprehension,developer;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/entropy-randomness,,Key Concepts: TRNG vs QRNG
entropy-randomness-learn-009,entropy-randomness,Entropy & Randomness,Why is XOF_DRBG considered more suitable for PQC than traditional DRBGs like CTR_DRBG?,XOF_DRBG is based on SHAKE and was specifically introduced in NIST SP 800-90A Rev 2 to support the variable output length requirements of PQC algorithms like ML-KEM and ML-DSA. Traditional DRBGs may not natively support these specific post-quantum needs as efficiently.,learn,comprehension,developer;architect,advanced,Global,General,NIST SP 800-90A,,,,KEM,,NIST,/library?ref=NIST%20SP%20800-90A;/algorithms?highlight=KEM;/learn/entropy-randomness,library_ref:NIST SP 800-90A EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Key Concepts: DRBG mechanisms
entropy-randomness-learn-010,entropy-randomness,Entropy & Randomness,How does combining entropy sources using XOR contribute to defense-in-depth?,"XOR combination preserves the entropy of the stronger source, ensuring that if one source is compromised or biased, the output remains secure. This technique, combined with HMAC or hash conditioning, implements a defense-in-depth strategy per NIST SP 800-90C.",learn,comprehension,architect;developer,advanced,Global,General,,,,,,,NIST,/learn/entropy-randomness,compliance_ref:NIST EXISTS,Key Concepts: Combining sources for PQC
