role_id,variant_id,slot,slot_index,content,status,deprecated_at,deprecated_reason,last_reviewed,notes
ops,capacity,hero_eyebrow,,IT Ops · 12k certs · 4 HSM partitions · next renewal window in 90 days,active,,,2026-08-02,
ops,capacity,hero_badge_text,,"Americas · Energy & Utilities, Telecommunications",active,,,2026-08-02,
ops,capacity,hero_badge_tone,,sourced,active,,,2026-08-02,
ops,capacity,headline,,Size your fleet before renewal day.,active,,,2026-08-02,Was 'Will your HSMs survive the cutover?' until 2026-08-02 — an over-promise the tool cannot back up. See personaConfig.ts git history for the full rationale.
ops,capacity,sub,,"{Hsm_use_cases_count} enterprise workflows, sized side by side: RSA-3072 and ECDSA P-256 today against ML-DSA-44/65/87. Storage, bandwidth, and CPU cores per workflow, with a totals row.",active,,,2026-08-02,
ops,capacity,cta_primary_label,,Size your HSM fleet,active,,,2026-08-02,De-duplicated 2026-08-02: every board now points at its own destination — tls-simulator was on 6 boards and /migrate on 5.
ops,capacity,cta_primary_href,,/playground/hsm-capacity,active,,,2026-08-02,De-duplicated 2026-08-02: every board now points at its own destination — tls-simulator was on 6 boards and /migrate on 5.
ops,capacity,cta_secondary_label,,Align to funded refreshes,active,,,2026-08-02,Secondary CTA and item 2 are now this board's own BUSINESS tool (/tools/*). Before 2026-08-02 the boards leaned entirely on playground workshops.
ops,capacity,cta_secondary_href,,/business/tools/refresh-cycle-alignment,active,,,2026-08-02,"Path corrected 2026-08-02: business tools are nested under /business (/business/tools/:toolId). /tools/<id> fell through to the catch-all route and silently rendered the HOME BOARD — the destination resolved, so nothing failed, it just showed the wrong page. Secondary CTA and item 2 are now this board's own BUSINESS tool (/tools/*). Before 2026-08-02 the boards leaned entirely on playground workshops."
ops,capacity,proof_chip,0,Sizing from real FIPS 203/204 key sizes,active,,,2026-08-02,
ops,capacity,proof_chip,1,Sizing model with its sources published,active,,,2026-08-23,"Reworded 2026-08-23: 'Benchmarked through a real PKCS#11 engine' is true of the workshops, not of the 150 ops/s figure it sits beside on this board (see side_card_row_label,1's note) — hsmCapacityDefaults.ts documents it as a software estimate, not a PKCS#11 benchmark."
ops,capacity,proof_chip,2,CNSA 2.0 mandate dates built in,active,,,2026-08-02,
ops,capacity,side_card_title,,What changes on renewal day,active,,,2026-08-02,
ops,capacity,side_card_tone,,warn,active,,,2026-08-02,
ops,capacity,side_card_provenance,,sourced,active,,,2026-08-02,
ops,capacity,side_card_row_label,0,ML-DSA-65 signature,active,,,2026-08-02,
ops,capacity,side_card_row_value,0,{ml_dsa_65_signature_only},active,,,2026-08-02,
ops,capacity,side_card_row_label,1,ML-DSA-65 in classical HSM firmware,active,,,2026-08-23,"Reworded 2026-08-23: hsmCapacityDefaults.ts:391 calls this figure 'ML-DSA software fallback ~150 ops/s (NIST PQC evaluation reports)' on a classical (non-PQC) HSM — an estimate, not a benchmark of a PQC-capable HSM. The arithmetic (20,000/150≈133x) is sound; only the label overstated what the number measures."
ops,capacity,side_card_row_value,1,{ops_sidecard_throughput_row},active,,,2026-08-02,
ops,capacity,side_card_row_label,2,Per OCSP / CRL response,active,,,2026-08-02,
ops,capacity,side_card_row_value,2,{ops_sidecard_ocsp_row},active,,,2026-08-02,
ops,capacity,side_card_punchline,,Your next renewal window is your migration window.,active,,,2026-08-02,
ops,capacity,side_card_footnote,,"Real figures, not illustrative — the same defaults behind the HSM Capacity Calculator this page links to.",active,,,2026-08-02,
ops,capacity,grid_title,,What you walk out with,active,,,2026-08-02,"Rewritten 2026-08-02: the three items now map 1:1 onto THIS board's own destinations (1=primary CTA, 2=secondary CTA, 3=the workshop it rests on). They previously described tools the board did not link to."
ops,capacity,grid_sub,,"A sizing verdict, not a guess",active,,,2026-08-02,"Rewritten 2026-08-02: the three items now map 1:1 onto THIS board's own destinations (1=primary CTA, 2=secondary CTA, 3=the workshop it rests on). They previously described tools the board did not link to."
ops,capacity,grid_card_title,0,"Your HSM fleet, sized",active,,,2026-08-02,"Rewritten 2026-08-02: the three items now map 1:1 onto THIS board's own destinations (1=primary CTA, 2=secondary CTA, 3=the workshop it rests on). They previously described tools the board did not link to."
