question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
secure-boot-pqc-learn-001,secure-boot-pqc,Secure Boot & Firmware PQC,Which specific post-quantum digital signature algorithm is highlighted for firmware signing migration in this module?,The module specifically identifies ML-DSA-65 as the post-quantum algorithm used for migrating firmware signatures. This algorithm replaces traditional cryptographic methods to ensure quantum resistance in the boot process.,learn,recall,developer;architect,intermediate;advanced,Global,Hardware Infrastructure;General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/secure-boot-pqc,algorithm:ML-DSA-65 IN algorithms_csv,"Module Description, Learn Section 3, Workshop Step 2"
secure-boot-pqc-learn-002,secure-boot-pqc,Secure Boot & Firmware PQC,What are the three primary keys that constitute the UEFI Secure Boot key hierarchy mentioned in the content?,"The UEFI Secure Boot key hierarchy consists of the Platform Key (PK), the Key Exchange Key (KEK), and the Signature Database (db). These keys form the chain of trust required to validate firmware and bootloaders.",learn,recall,developer;ops,intermediate;advanced,Global,Hardware Infrastructure,,,,,Signature,,,/algorithms?highlight=Signature;/learn/secure-boot-pqc,algorithm:Signature IN algorithms_csv,"Module Description, Learn Section 1"
secure-boot-pqc-learn-003,secure-boot-pqc,Secure Boot & Firmware PQC,Which hardware security standard is referenced for attestation and key hierarchies in the context of PQC migration?,The module references TPM 2.0 (Trusted Platform Module) as the standard for measured boot attestation and managing key hierarchies during the transition to post-quantum cryptography.,learn,recall,architect;developer,intermediate;advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Module Description, Learn Section 2"
secure-boot-pqc-workshop-004,secure-boot-pqc,Secure Boot & Firmware PQC,List the firmware and BIOS vendors explicitly tracked in the PQC readiness matrix within this module.,"The matrix tracks 8 vendors: AMI (roadmap 2026), Insyde (evaluation 2027), Phoenix Technologies/SecureCore (not-started — no committed timeline), EDK2/TianoCore (merged Q1 2026), Dell (roadmap 2026), HPE (available — iLO 6.20+ GA Q4 2025), Lenovo (roadmap Q3 2026), and Intel Boot Guard (roadmap 2026, Granite Rapids+). HPE is the only vendor with GA status.",workshop,recall,executive;architect,intermediate;advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Workshop Step 4, FirmwareVendorMatrix.tsx"
secure-boot-pqc-learn-005,secure-boot-pqc,Secure Boot & Firmware PQC,What is the name of the framework mentioned for establishing hardware roots of trust in the context of PQC?,The module identifies DICE (Distributed Identity Composition Engine) as the framework used for establishing hardware roots of trust. It is a key component in securing the supply chain integrity at scale.,learn,recall,architect;researcher,advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Module Description, Learn Section 4"
secure-boot-pqc-workshop-006,secure-boot-pqc,Secure Boot & Firmware PQC,What are the five specific workshop steps provided to guide users through the Secure Boot PQC migration?,"The five workshop steps are: Secure Boot Chain Analyzer, Firmware Signing Migrator, TPM Key Hierarchy Explorer, Firmware Vendor Matrix, and Attestation Flow Designer. These steps cover analysis, migration, exploration, comparison, and design.",workshop,recall,developer;ops,intermediate;advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Workshop Steps, index.tsx"
secure-boot-pqc-learn-007,secure-boot-pqc,Secure Boot & Firmware PQC,"How does the module describe the relationship between the PK, KEK, and db keys in the UEFI Secure Boot process?","The module describes these keys as a hierarchy where the Platform Key (PK) is the root of trust, the Key Exchange Key (KEK) authorizes updates to the signature database, and the db contains the allowed signatures for bootloaders. This structure ensures that only authorized code executes during the boot process.",learn,comprehension,architect;developer,intermediate;advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Learn Section 1, Workshop Step 1"
secure-boot-pqc-learn-008,secure-boot-pqc,Secure Boot & Firmware PQC,Why is the migration of firmware signing to ML-DSA-65 considered critical for long-term security?,Migrating to ML-DSA-65 is critical because it provides quantum resistance against future attacks that could break current classical algorithms like RSA or ECC. This ensures the integrity of the boot chain remains secure even when quantum computers become capable of breaking existing signatures.,learn,comprehension,executive;architect,intermediate;advanced,Global,Hardware Infrastructure,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/secure-boot-pqc,algorithm:ML-DSA-65 IN algorithms_csv,"Module Description, Learn Section 3"
secure-boot-pqc-learn-009,secure-boot-pqc,Secure Boot & Firmware PQC,What is the significance of using a hybrid approach involving RSA TPM keys and ML-DSA software keys for attestation?,The hybrid approach leverages existing hardware capabilities (RSA in TPM 2.0) while introducing post-quantum security at the software layer (ML-DSA). This allows organizations to maintain compatibility with current hardware while preparing for a fully quantum-safe future.,learn,comprehension,architect;developer,advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,Workshop Step 3
secure-boot-pqc-workshop-010,secure-boot-pqc,Secure Boot & Firmware PQC,How does the Firmware Vendor Matrix assist organizations in planning their PQC migration strategy?,"The matrix allows organizations to compare the PQC readiness of different vendors like Dell, HPE, and AMI by filtering for migration status and product availability. This helps identify which hardware platforms are ready for deployment and which require further vendor engagement.",workshop,comprehension,executive;ops,intermediate;advanced,Global,Hardware Infrastructure,,,,,,,,/learn/secure-boot-pqc,,"Workshop Step 4, FirmwareVendorMatrix.tsx"
