question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
hybrid-crypto-learn-001,hybrid-crypto,Hybrid Cryptography,What is the primary security benefit of combining classical and post-quantum algorithms in a hybrid approach?,Hybrid cryptography ensures that security holds even if one component (either the classical or the PQC algorithm) is broken. This defense-in-depth strategy mitigates the risk during the quantum transition period where PQC algorithms are newer and less battle-tested than classical ones.,learn,recall,architect;developer;executive,beginner;intermediate,Global,General,,,,,,,,/learn/hybrid-crypto,,RAG Summary: Overview and Key Concepts
hybrid-crypto-learn-002,hybrid-crypto,Hybrid Cryptography,Which French agency mandates the use of hybrid mode during the PQC transition period?,"ANSSI (Agence nationale de la sécurité des systèmes d'information) requires hybrid mode during the PQC transition. They do not accept PQC-only implementations until the algorithms have sufficiently matured, with exceptions for specific hash-based signatures.",learn,recall,architect;compliance officer,intermediate,EU,Government;General,,,,,,,ANSSI,/learn/hybrid-crypto,compliance_ref:ANSSI EXISTS,RAG Summary: Key Concepts
hybrid-crypto-learn-003,hybrid-crypto,Hybrid Cryptography,What is the specific hybrid KEM combination that integrates Curve25519 ECDH with ML-KEM-768?,The leading hybrid KEM combining these algorithms is named X25519MLKEM768. It derives a combined shared secret using a Key Derivation Function (KDF) applied to the concatenation of the X25519 and ML-KEM shared secrets.,learn,recall,developer;architect,intermediate,Global,General,,,,,KEM;ML-KEM-768;X25519,,,/algorithms?highlight=KEM;/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/hybrid-crypto,algorithm:KEM IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Key Concepts
hybrid-crypto-learn-004,hybrid-crypto,Hybrid Cryptography,Which NIST publication recommends hybrid key exchange for TLS and other protocols during the transition?,NIST Special Publication 800-227 (SP 800-227) recommends the use of hybrid key exchange mechanisms. This guidance supports the adoption of combined classical and PQC algorithms to secure protocols like TLS while PQC standards mature.,learn,recall,architect;developer,intermediate,USA,General,,,,,,,NIST,/learn/hybrid-crypto,compliance_ref:NIST EXISTS,RAG Summary: Key Concepts
hybrid-crypto-learn-005,hybrid-crypto,Hybrid Cryptography,What is the approximate size difference between a composite signature and a standard ECDSA signature?,"Composite signatures are approximately 3.4 KB in size, whereas a standard ECDSA signature is only about 72 bytes. This significant increase in size is a trade-off for the enhanced security provided by combining two distinct algorithms.",learn,recall,developer;ops,intermediate,Global,General,,,,,,,,/learn/hybrid-crypto,,RAG Summary: Key Concepts
hybrid-crypto-learn-006,hybrid-crypto,Hybrid Cryptography,Which RFC standardizes the terminology distinguishing between 'composite' and 'non-composite' hybrid schemes?,"RFC 9794 standardizes the terminology for hybrid schemes, defining 'composite' as a single OID where both algorithms must verify, and 'non-composite' as parallel independent algorithms. It also establishes the 'PQ/T' naming convention.",learn,recall,architect;researcher,intermediate,Global,General,RFC 9794,,,,,,,/library?ref=RFC%209794;/learn/hybrid-crypto,library_ref:RFC 9794 EXISTS,RAG Summary: Key Concepts
hybrid-crypto-learn-007,hybrid-crypto,Hybrid Cryptography,Why is a hybrid approach recommended despite the existence of pure PQC algorithms?,"A hybrid approach is recommended because PQC algorithms are newer and less battle-tested than classical ones, creating a fundamental dilemma. Waiting for full maturity exposes systems to HNDL (Harvest Now, Decrypt Later) threats, while hybridization provides immediate defense in depth.",learn,comprehension,executive;architect,intermediate,Global,General,,,,,,,,/learn/hybrid-crypto,,RAG Summary: Overview
hybrid-crypto-learn-008,hybrid-crypto,Hybrid Cryptography,How does the 'Composite' certificate format differ from the 'Parallel (alt-sig)' format in terms of verification?,"In the Composite format, a single OID identifies the algorithm pair, and both signatures must verify for the certificate to be valid. In contrast, the Alt-Sig format uses a primary classical signature with PQC key/signature in X.509 extensions (OIDs 2.5.29.72/73/74), maximizing backward compatibility.",learn,comprehension,architect;developer,intermediate,Global,General,,,,,,,,/learn/hybrid-crypto,,RAG Summary: Key Concepts
hybrid-crypto-learn-009,hybrid-crypto,Hybrid Cryptography,What is the impact of using X25519MLKEM768 on the size of the ClientHello message in TLS 1.3?,"Integrating X25519MLKEM768 causes the ClientHello key_share extension to grow from 32 bytes to 1,216 bytes, representing a 38-fold increase. This expansion may push the ClientHello message beyond a single TCP packet, potentially affecting network performance.",learn,comprehension,developer;ops,intermediate,Global,General,,,,,,,,/learn/hybrid-crypto,,RAG Summary: Key Concepts
hybrid-crypto-learn-010,hybrid-crypto,Hybrid Cryptography,"Why are hash-based signatures like SLH-DSA, LMS, and XMSS treated differently by ANSSI compared to other PQC algorithms?","ANSSI allows hash-based signatures like SLH-DSA, LMS, and XMSS to be used in standalone mode without hybridization. This exception exists because these specific algorithms are considered mature enough or distinct enough from the lattice-based approaches that require hybrid defense.",learn,comprehension,architect;researcher,intermediate,EU,General,,,,,,,ANSSI,/learn/hybrid-crypto,compliance_ref:ANSSI EXISTS,RAG Summary: Key Concepts
