category_id,category_name,pqc_priority,total_software_products,pqc_ready_products,readiness_percentage,related_threats,timeline_pressure,urgency_score,recommended_action_timeline,industries_affected
CSC-025,Cryptographic Agility Frameworks,Critical,4,4,100.0,15,12,60.1,2026-Q3,All industries
CSC-002,Hardware Security Module (HSM) Software,Critical,17,14,82.4,17,23,66.4,2026-Q3,"Finance, Government, Healthcare, Defense"
CSC-004,Public Key Infrastructure (PKI) Software,Critical,15,11,73.3,14,16,65.0,2026-Q3,All industries
CSC-003,Key Management Systems (KMS),Critical,14,9,64.3,31,23,76.0,2026-Q2,All industries
CSC-029,Payment Cryptography Systems,Critical,3,1,33.3,29,36,98.8,2025-Q4,"Finance, Retail"
CSC-016,Post-Quantum Cryptography Libraries,Critical,20,20,100.0,7,20,60.1,2026-Q3,All industries
CSC-001,Cryptographic Libraries,Critical,45,42,93.3,10,12,59.0,2026-Q3,All industries
CSC-015,API Security and JWT Libraries,High,11,2,18.2,16,20,77.0,2026-Q2,All industries
CSC-026,Secure Boot and Firmware Security,High,6,1,16.7,23,25,83.8,2026-Q1,All industries
CSC-005,TLS/SSL Implementation Software,Critical,8,7,87.5,4,15,58.0,2026-Q3,All industries
CSC-006,Disk and File Encryption Software,High,4,0,0.0,12,6,60.8,2026-Q3,All industries
CSC-007,Database Encryption Software,High,11,6,54.5,12,5,59.3,2026-Q3,"Finance, Healthcare, Retail, Government"
CSC-009,Digital Signature Software,High,9,2,22.2,22,5,68.6,2026-Q3,"Finance, Legal, Government, Healthcare"
CSC-008,Email Encryption Software,High,10,3,30.0,12,5,58.9,2026-Q3,All industries
CSC-017,Code Signing and Software Integrity,High,11,6,54.5,10,5,59.0,2026-Q3,All industries
CSC-028,Cloud Encryption Gateways,High,7,6,85.7,15,4,58.1,2026-Q3,All industries
CSC-018,Cryptographic Protocol Analyzers,Medium,8,6,75.0,14,13,62.7,2026-Q3,All industries
CSC-010,VPN and IPsec Software,High,13,7,53.8,3,5,54.0,2026-Q3,All industries
CSC-030,Quantum Key Distribution Software,Low,4,2,50.0,36,44,80.0,2026-Q1,"Defense, Government, Finance"
CSC-011,Secure Messaging and Communication,High,7,3,42.9,11,2,57.7,2026-Q3,"Defense, Government, Finance, Healthcare"
CSC-014,SSH Implementation Software,High,6,4,66.7,4,15,59.5,2026-Q3,All industries
CSC-031,Operating Systems,High,18,17,94.4,18,22,65.8,2026-Q3,All industries
CSC-032,Network Operating Systems,High,7,5,71.4,14,18,66.8,2026-Q3,"Enterprise, Telecom, Government"
CSC-033,Network Security Software,High,17,15,88.2,16,16,69.0,2026-Q3,All industries
CSC-034,Hardware Security and Semiconductors,High,24,17,70.8,12,14,67.1,2026-Q3,"Government, Defense, Finance, IoT"
CSC-057,Digital Asset Custody,High,12,0,0.0,12,18,72.5,2026-Q2,"Cryptocurrency, Finance, Enterprise"
CSC-058,Blockchain & DLT Protocols,Critical,18,6,33.3,14,22,71.4,2026-Q2,"Cryptocurrency, DeFi, Web3, Finance, Enterprise"
CSC-036,Remote Access and VDI Software,High,8,3,37.5,6,12,62.4,2026-Q3,"Enterprise, Finance, Government"
CSC-037,Web Browsers,Critical,4,4,100.0,6,16,58.2,2026-Q3,All industries
CSC-049,Cryptographic Discovery Platforms,Critical,23,8,34.8,10,20,65.9,2026-Q3,All industries
CSC-038,Application Servers,High,12,7,58.3,12,15,64.3,2026-Q3,All industries
CSC-040,CI/CD & Artifact Management,High,17,9,52.9,14,12,65.3,2026-Q3,All industries
CSC-041,Certificate Lifecycle Management,Critical,13,8,61.5,25,22,73.5,2026-Q2,All industries
CSC-042,Identity & Access Management (IAM),Critical,12,3,25.0,18,18,73.0,2026-Q2,All industries
CSC-043,Data Security & Protection,High,18,3,16.7,20,16,72.5,2026-Q2,"Finance, Healthcare, Government"
CSC-044,Customer Identity & Access Management (CIAM),Medium,6,0,0.0,12,10,66.5,2026-Q3,"Retail, Finance, Healthcare"
