question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
pqc-risk-management-workshop-001,pqc-risk-management,PQC Risk Management,What is the primary purpose of the CRQC Scenario Planner tool described in the PQC Risk Management module?,"The CRQC Scenario Planner allows users to model the cascading impact of a Cryptographically Relevant Quantum Computer arriving between 2028 and 2045. It visualizes which algorithms break, which compliance deadlines are missed, and calculates the Harvest Now, Decrypt Later (HNDL) exposure window based on data retention periods.",workshop,recall,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-risk-management,,Module Description; Key Concepts: CRQC Scenario Planning
pqc-risk-management-learn-002,pqc-risk-management,PQC Risk Management,"Which four severity bands are used in the PQC Risk Scoring matrix, and what are their corresponding score ranges?","The risk scoring matrix uses four severity bands based on the product of Likelihood and Impact scores: Critical (20-25), High (12-19), Medium (6-11), and Low (1-5). These bands help organizations prioritize migration efforts for their cryptographic assets.",learn,recall,executive;ops,beginner,Global,General,,,,,,,,/learn/pqc-risk-management,,Key Concepts: Risk Scoring
pqc-risk-management-learn-003,pqc-risk-management,PQC Risk Management,What are the six specific threat vector categories used when constructing a PQC risk register?,"The six threat vector categories are Harvest Now, Decrypt Later (HNDL); Shor's Algorithm (Key Exchange/Signing); Grover's Algorithm (Symmetric Weakening); Signature Forgery (Code Signing/Certs); Identity Impersonation (TLS/Auth); and Supply Chain Attack (Firmware/Updates).",learn,recall,developer;architect,beginner,Global,General,,,,,Signature,,,/algorithms?highlight=Signature;/learn/pqc-risk-management,algorithm:Signature IN algorithms_csv,Key Concepts: Threat Vectors
pqc-risk-management-learn-004,pqc-risk-management,PQC Risk Management,How does the HNDL Exposure Window calculation relate to data retention periods and the estimated CRQC arrival date?,The HNDL Exposure Window calculates the number of years of harvested encrypted data that could be decrypted by determining the overlap between an organization's data retention period and the time until a Cryptographically Relevant Quantum Computer arrives. This metric highlights the urgency for assets with long retention periods.,learn,comprehension,executive;architect,beginner,Global,General,,,,,,,,/learn/pqc-risk-management,,Key Concepts: HNDL Exposure Window
pqc-risk-management-learn-005,pqc-risk-management,PQC Risk Management,Why is the Risk Heatmap considered a critical tool for executive decision-making in PQC migration?,"The Risk Heatmap provides a visual 5x5 grid that plots risk register entries by likelihood and impact, color-coded by severity. This visualization allows executives to quickly identify Critical and High-risk assets, enabling them to prioritize migration resources effectively based on quantified exposure.",learn,comprehension,executive,beginner,Global,General,,,,,,,,/learn/pqc-risk-management,,Key Concepts: Risk Heatmap; Curious Summary: The Key Takeaway
pqc-risk-management-learn-006,pqc-risk-management,PQC Risk Management,How does the module integrate compliance frameworks like CNSA 2.0 into the risk assessment process?,The module integrates compliance frameworks by modeling which specific deadlines are missed based on the CRQC arrival timeline and current algorithm usage. This ensures that the risk register and subsequent heatmaps reflect not just technical vulnerability but also regulatory non-compliance risks.,learn,comprehension,executive;architect,beginner,USA,Government;General,,,,,,,,/learn/pqc-risk-management,,Overview; Key Concepts: CRQC Scenario Planning
pqc-risk-management-workshop-007,pqc-risk-management,PQC Risk Management,"In the Financial Services HNDL scenario, if a bank retains records for 7 years and a CRQC arrives in 2034, how is the exposure window determined?",The exposure window is determined by calculating the duration of data currently stored that will remain encrypted until 2034. Any wire transfer records created within the last 7 years (or up to the point where retention ends before 2034) are vulnerable to being harvested now and decrypted later once the CRQC arrives.,workshop,application,executive;architect,beginner,Global,Financial Services,,,,,,,,/learn/pqc-risk-management,,Module Content: Scenario: Financial Services HNDL
pqc-risk-management-workshop-008,pqc-risk-management,PQC Risk Management,"For a hospital using ECDSA P-256 for records valid for 30 years, how would you estimate the risk score and identify the threat vector?","The threat vector is Shor's Algorithm (Key Exchange/Signing) or Signature Forgery. The risk score is estimated by assigning a Likelihood (1-5) based on the CRQC timeline relative to the 30-year validity and an Impact (1-5) based on the sensitivity of health records, then multiplying them to get a score between 1 and 25.",workshop,application,architect;developer,beginner,Global,Healthcare,,,,,ECDSA P-256;Signature,,,/algorithms?highlight=ECDSA%20P-256;/algorithms?highlight=Signature;/learn/pqc-risk-management,algorithm:ECDSA P-256 IN algorithms_csv|algorithm:Signature IN algorithms_csv,Module Content: Scenario: Healthcare Data at Risk
pqc-risk-management-workshop-009,pqc-risk-management,PQC Risk Management,How would you construct a prioritized risk register for a government agency with 200+ systems using RSA-3072 and AES-128 to meet CNSA 2.0 by 2030?,"You would create entries for at least four asset types (e.g., TLS, Database, Code Signing, VPN) identifying the specific threat vectors like Shor's Algorithm or Grover's Algorithm. Each entry must include a likelihood and impact score to calculate severity, ensuring high-risk items are prioritized for migration before the 2030 deadline.",workshop,application,executive;architect,beginner,USA,Government,,,,,RSA-3072,,,/algorithms?highlight=RSA-3072;/learn/pqc-risk-management,algorithm:RSA-3072 IN algorithms_csv,Module Content: Scenario: Government Compliance Deadline
pqc-risk-management-both-010,pqc-risk-management,PQC Risk Management,"Synthesize the relationship between NIST IR 8547, CNSA 2.0, and the CRQC Scenario Planner to explain why immediate action is required for long-lived data.","NIST IR 8547 highlights the urgency of the Harvest Now, Decrypt Later threat, while CNSA 2.0 sets strict compliance deadlines for migration. The CRQC Scenario Planner demonstrates that even if a quantum computer arrives in 2034, data harvested today with long retention periods is already compromised, necessitating immediate inventory and migration.",both,synthesis,executive;architect,intermediate,USA,General,NIST IR 8547,,,,,,NIST,/library?ref=NIST%20IR%208547;/learn/pqc-risk-management,library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,"Related Standards: NIST IR 8547, NSA CNSA 2.0; Key Concepts: HNDL Exposure Window"
pqc-risk-management-learn-011,pqc-risk-management,PQC Risk Management,How does the distinction between Shor's Algorithm and Grover's Algorithm influence the risk scoring of asymmetric versus symmetric cryptographic assets?,"Shor's Algorithm breaks asymmetric cryptography (like RSA/ECC) completely, leading to high impact scores for key exchange and signing assets. In contrast, Grover's Algorithm only weakens symmetric keys, requiring a doubling of key size rather than full replacement, which may result in different likelihood or impact assessments depending on current key lengths.",learn,synthesis,architect;developer,intermediate,Global,General,,,,,,,,/learn/pqc-risk-management,,Key Concepts: Threat Vectors
pqc-risk-management-workshop-012,pqc-risk-management,PQC Risk Management,Explain how the Risk Register Builder and Risk Heatmap Generator work together to support a phased PQC migration strategy.,"The Risk Register Builder systematically catalogs assets with specific threat vectors and calculates risk scores, while the Risk Heatmap Generator visualizes these scores on a 5x5 grid. This combination allows organizations to identify Critical and High-risk clusters first, enabling a data-driven, phased migration that addresses the most severe exposures before moving to lower-priority assets.",workshop,synthesis,executive;ops,intermediate,Global,General,,,,,,,,/learn/pqc-risk-management,,"Workshop / Interactive Activities; Key Concepts: Risk Register Construction, Risk Heatmap"
pqc-risk-management-learn-013,pqc-risk-management,PQC Risk Management,"Considering the six threat vectors, how might a Supply Chain Attack differ from an Identity Impersonation attack in terms of mitigation strategy within a risk register?","A Supply Chain Attack targets firmware or updates, requiring mitigation strategies focused on vendor verification and secure update channels. Conversely, an Identity Impersonation attack targets TLS/Auth mechanisms, necessitating the replacement of vulnerable certificates with PQC-resistant alternatives to prevent unauthorized access.",learn,synthesis,architect;developer,intermediate,Global,General,,,,,,,,/learn/pqc-risk-management,,Key Concepts: Threat Vectors
pqc-risk-management-workshop-014,pqc-risk-management,PQC Risk Management,"If an organization models a CRQC arrival in 2028 versus 2045, how does this shift impact the HNDL exposure window for data with a 10-year retention policy?","Modeling a 2028 arrival creates a significantly larger HNDL exposure window for 10-year retained data compared to a 2045 arrival, as more historical data falls within the harvestable timeframe before decryption becomes possible. This shift would likely elevate the risk score from Medium or Low to Critical, demanding immediate migration.",workshop,synthesis,executive;architect,intermediate,Global,General,,,,,,,,/learn/pqc-risk-management,,"Key Concepts: CRQC Scenario Planning, HNDL Exposure Window"
pqc-risk-management-learn-015,pqc-risk-management,PQC Risk Management,How can the integration of ISO 27005 and NIST SP 800-30 standards enhance the PQC Risk Management process described in the module?,"Integrating ISO 27005 and NIST SP 800-30 provides a standardized framework for conducting risk assessments, ensuring that the PQC-specific risk registers and heatmaps align with broader information security management practices. This alignment helps organizations validate their quantum risk quantification against established industry best practices.",learn,synthesis,executive;architect,intermediate,Global,General,,,,,,,NIST,/learn/pqc-risk-management,compliance_ref:NIST EXISTS,"Related Standards: ISO 27005, NIST SP 800-30"
