industry,threat_id,threat_description,criticality,crypto_at_risk,pqc_replacement,main_source,source_url,accuracy_pct,related_modules,trusted_source_id,local_file,peer_reviewed,vetting_body,source_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,last_verified,applicable_industries_normalized,status,deprecated_at,deprecated_reason,related_standards
Aerospace / Aviation,AERO-001,Aircraft avionics cryptographic exposure: RTCA DO-326A defines airworthiness security processes for aircraft systems with 30-40 year service lives. ARINC 664 (AFDX) network security and flight management systems rely on RSA/ECDSA. Aircraft entering service today will operate well beyond CRQC arrival with no practical mid-life cryptographic retrofit path.,Critical,"Avionics PKI, ARINC 664 network security, flight management system authentication","Crypto-agile avionics design, ML-DSA for flight software signing, hybrid certificate chains",RTCA DO-326A / DO-356A Airworthiness Security,https://www.federalregister.gov/documents/2008/10/03/E8-23308/special-conditions-boeing-model-787-8-airplane-systems-data-networks-security-from-unauthorized,80,code-signing|kms-pqc|hsm-pqc|iot-ot-pqc|aerospace-pqc,rtca,,no,,url_needs_review,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: URL regression reverted (rtca.org/wp-content/.../DO-326A-...html 404s. FAA cybersecurity page references DO-326A as AMC. (Regression from 05182026 lineage.)). Deprecated 2026-05-21: local_file public/threats/AERO-001.html not present on disk. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: Federal Register special-conditions doc for Boeing 787 networks/systems security — concrete avionics cybersecurity precedent. Playwright can render the page (curl gets captcha gate).,60,,aerospace;aviation,deprecated,2026-05-21,Snapshot failed at https://www.federalregister.gov/documents/2008/10/03/E8-23308/special-conditions-boeing-model-787-8-airplane-systems-data-networks-security-from-unauthorized,
Aerospace / Aviation,AERO-002,"Satellite communication HNDL vulnerability: Military and commercial satellites have 15-25 year operational lifespans. NSA CNSA 2.0 mandates PQC for all national security systems including satellite uplink/downlink — NSS equipment must phase out quantum-vulnerable algorithms by 2033 (CNSA 2.0 FAQ Dec 2024 sets December 31, 2030 for phasing out non-CNSA 2.0 equipment, mandatory CNSA 2.0 use by December 31, 2031, full NSS quantum resistance by 2033). Currently intercepted satellite communications are harvestable for future quantum decryption.",Critical,"Satellite uplink/downlink RSA/ECDSA, ground station TLS, inter-satellite link encryption","ML-KEM-1024, ML-DSA-87 per CNSA 2.0, AES-256",NSA CNSA 2.0 Cybersecurity Advisory,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,65,kms-pqc|hsm-pqc|vpn-ssh-pqc|hybrid-crypto|aerospace-pqc,iso-iec-sc27,threats/AERO-002.pdf,yes,ISO,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended. Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Reactivated 2026-05-21: headless-browser snapshot via Playwright (586858 bytes). Editorial 2026-05-21: applied audit substitution ""2035"" → ""2033"" inline (CNSA 2.0 sets 2030 (preferred) and 2033 (required) for NSS satellite/HAIPE systems — never 2035.). Re-snapshotted 2026-06-09: fresh Playwright proof (586858 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: doc is Sep 2022 CNSA 2.0 advisory covering all NSS, not satellite/aerospace-specific; Dec 2024 FAQ milestones cited in description are not in this 2022 document.",55,2026-07-16,aerospace;aviation,active,,,CNSA-2.0
Aerospace / Aviation,AERO-003,"While ICAO Assembly Resolution A41-19 addresses aviation cybersecurity, current ADS-B transmissions remain unencrypted and unauthenticated, exposing the sector to immediate classical spoofing risks. The post-quantum threat emerges prospectively only if authenticated ADS-B is deployed using public-key cryptography. Consequently, migrating to post-quantum cryptography becomes essential to secure these future authenticated communications against quantum-enabled attacks.",High,"ADS-B (unencrypted), Mode S, ATC data links, ACARS messaging","Authenticated ADS-B with ML-DSA, quantum-safe ATC protocols",ICAO Assembly Resolution A41-19,https://www.icao.int/sites/default/files/sp-files/aviationcybersecurity/Documents/A41-19.pdf,85,quantum-threats|pqc-101|aerospace-pqc,icao,threats/AERO-003.pdf,no,ICAO,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). [2026-07-16 re-sourced] Original evidence was the wrong/generic document (deprecated in the same-day accuracy audit); replaced with the real cited source, verified by content, and reactivated.",80,2026-07-16,aerospace;aviation,active,,,
Automotive / Connected Vehicles,AUTO-001,V2X PKI quantum transition: ISO/SAE 21434 (published August 2021) establishes cybersecurity engineering requirements for road vehicles. V2X communications use ECDSA P-256 certificates per IEEE 1609.2. Vehicles have 12+ year lifecycles meaning 2026 production vehicles remain on roads through 2038+ when CRQCs may be operational.,Critical,"ECDSA P-256 V2X certificates, IEEE 1609.2 PKI, digital key infrastructure","ML-DSA V2X certificates, hybrid V2X authentication, FN-DSA for constrained ECUs",ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,65,iot-ot-pqc|pki-workshop|hybrid-crypto|automotive-pqc,iso-iec-sc27,threats/AUTO-001.html,yes,ISO,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: Evidence is ISO store/catalog page, not standard text; No V2X, ECDSA P-256, IEEE 1609.2, or quantum content.",55,2026-07-16,automotive;connected-vehicles,active,,,ISO-SAE-21434
Automotive / Connected Vehicles,AUTO-002,"Connected vehicle remote access quantum risk: SAE J3061 (2016, largely replaced in practice by ISO/SAE 21434) provided cybersecurity guidance for cyber-physical vehicle systems. Modern connected vehicles use TLS for OTA update channels, RSA for key management, and ECDSA for firmware signing. Vehicles must retain cryptographic agility for 15-20 year operational periods.",Critical,"RSA/ECDSA code signing, secure boot chains, ECU firmware verification","ML-DSA firmware signing, SLH-DSA for safety-critical ECUs, dual-signature verification",SAE J3061 / ISO/SAE 21434 Vehicle Cybersecurity,https://www.sae.org/standards/content/j3061_202112/,70,code-signing|iot-ot-pqc|stateful-signatures|automotive-pqc|secure-boot-pqc,iso-iec-sc27,threats/AUTO-002.html,yes,ISO,url_needs_review,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit inaccurate correction appended; local_file wired to existing public/threats/AUTO-002.html. Editorial 2026-05-21: applied audit substitution ""superseded by"" → ""largely replaced in practice by"" inline (SAE has not formally withdrawn J3061; ISO/SAE 21434 supplants it de facto but not de jure.). Re-snapshotted 2026-06-09: fresh Playwright proof (9941 bytes). Fix 2026-07-09: 2026-06-09 snapshot was an AWS WAF ""Human Verification"" CAPTCHA interstitial (9977 bytes), not J3061 content — SAE fronts automated fetches with WAF; proof replaced with Wayback Machine raw capture (2025-05-05) of the same SAE J3061_202112 landing page (63622 bytes, title/scope/rationale verified).",75,2026-07-16,automotive;connected-vehicles,deprecated,2026-07-16,"Evidence audit 2026-07-16 (UNREADABLE): evidence file is an AWS WAF CAPTCHA page (Human Verification), zero content",ISO-SAE-21434
Automotive / Connected Vehicles,AUTO-003,UNECE WP.29 R155/R156 cybersecurity regulation gap: Mandatory for new vehicle type approvals in EU since July 2022 and extended to all new vehicles July 2024. Requires cybersecurity management systems and secure OTA updates but does not yet address post-quantum cryptography creating a future compliance gap.,High,"TLS for telematics, RSA/ECDSA for OTA signing, connected car cloud API authentication","Hybrid TLS 1.3 with ML-KEM, ML-DSA OTA signing, crypto-agile telematics",UNECE WP.29 Regulations R155/R156,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A42021X0387,65,tls-basics|iot-ot-pqc|hybrid-crypto|automotive-pqc,unece,threats/AUTO-003.html,no,,url_authoritative,registered,Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: UN-ECE R155 published via EU OJ (CELEX 42021X0387) — authoritative text. Playwright bypasses the unece.org bot-block. Reactivated 2026-05-21: Playwright snapshot at alternate source (560548B). Re-snapshotted 2026-06-09: fresh Playwright proof (560661 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: Evidence is R155 full text only; R156 not included; July 2022/2024 application dates not in document.,55,2026-08-16,automotive;connected-vehicles,active,,,
Automotive / Connected Vehicles,AUTO-004,"In-vehicle network security quantum exposure: ISO/SAE 21434 covers the full vehicle cybersecurity lifecycle including CAN bus, LIN, FlexRay, and automotive Ethernet backbone networks. Embedded ECUs have limited computational resources and constrained crypto-agility, making mid-lifecycle PQC migration impractical for vehicles already in production.",High,"CAN bus authentication, secure boot in ECUs, in-vehicle Ethernet encryption, HSM key storage","Hardware security modules with PQC support, crypto-agile ECU design, ML-DSA for secure boot",ISO/SAE 21434 Road Vehicle Cybersecurity,https://www.iso.org/standard/70918.html,65,iot-ot-pqc|kms-pqc|hsm-pqc|crypto-agility|automotive-pqc|secure-boot-pqc,iso-iec-sc27,threats/AUTO-004.html,yes,ISO,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: evidence is ISO store/overview page, not standard text; zero quantum/PQC/crypto content.",55,2026-07-16,automotive;connected-vehicles,active,,,ISO-SAE-21434
Cloud Computing / Data Centers,CLOUD-001,Cloud backup and disaster recovery HNDL risk: Air-gapped backups and long-term archival storage encrypted with RSA/ECDSA key wrapping are vulnerable to harvest-now-decrypt-later. Cloud backup data often retained for 7+ years for compliance.,High,"Backup encryption key wrapping, archival storage TLS, disaster recovery replication","PQC-enabled backup encryption, ML-KEM key wrapping, AES-256 for archival",Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/post-quantum-cryptography-key-management,85,kms-pqc|hsm-pqc|hybrid-crypto|data-asset-sensitivity|secrets-management-pqc,csa-cloud,threats/CLOUD-001.html,no,Cloud Security Alliance,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (CSA quantum-safe security key-management artifact — deep-link to actual whitepaper.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: CSA Quantum-Safe Security topic hub (84 KB). The /artifacts/key-management… 404d. [2026-07-16 re-sourced] Original evidence was the wrong/generic document (deprecated in the same-day accuracy audit); replaced with the real cited source, verified by content, and reactivated. | 2026-08-21: Re-sourced to CSA's dedicated 'Post-Quantum Cryptography Key Management' artifact (content-verified: title/description directly on-topic for this row's key-wrapping claim) — a better match than the prior generic 'Practitioner's Guide' document. Real HTML downloaded and cached (163,997 bytes), not a redirect/shell page.",80,2026-08-21,cloud;data-centers,active,,,
Cloud Computing / Data Centers,CLOUD-002,Cloud Security Alliance quantum readiness guidance: CSA published quantum-safe security guidance identifying crypto-agility as critical requirement for cloud deployments. Multi-cloud environments using 5+ key management systems face fragmented PQC migration paths.,High,"Cloud KMS key wrapping, multi-cloud encryption, BYOK/HYOK solutions, secrets management","Unified PQC key management, ML-KEM cloud HSM integration, crypto-agile KMS",Cloud Security Alliance — A Practitioner's Guide to Post-Quantum Cryptography,https://cloudsecurityalliance.org/artifacts/post-quantum-cryptography-key-management,70,kms-pqc|hsm-pqc|crypto-agility|secrets-management-pqc,csa-cloud,threats/CLOUD-002.html,no,Cloud Security Alliance,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Salvage 2026-05-21: deep-link substituted (Same CSA quantum-safe key-management artifact.). Deprecated 2026-05-21: no downloadable proof — source URL bot-blocked or unreachable. Re-source with a deep-link primary document to reactivate. Resource swap 2026-05-21: Same CSA Quantum-Safe Security topic hub. [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: working-group overview page, not the guidance publication; crypto-agility requirement and KMS fragmentation claims not on page. [2026-07-16 upgraded, PARTIAL-row pass] Replaced with a real, content-verified CSA quantum-safe cryptography practitioner's guide document (still not perfectly matching every technical specific the row claims — remains PARTIAL, not fully supported). | 2026-08-21: Re-sourced to CSA's dedicated 'Post-Quantum Cryptography Key Management' artifact — directly on-topic for this row's KMS/crypto-agility claim, closer fit than the prior generic 'Practitioner's Guide' document. Real HTML downloaded and cached (163,997 bytes), not a redirect/shell page.",62,2026-08-21,cloud;data-centers,active,,,
Cloud Computing / Data Centers,CLOUD-003,"FedRAMP High and Moderate authorized cloud services currently lack specific post-quantum cryptography requirements in their authorization packages. While OMB M-23-02 mandates federal agency CISOs to inventory cryptographic systems and develop migration plans, this compliance obligation flows to cloud providers through agency contracts rather than FedRAMP baseline controls. Consequently, certified providers processing government data face extended compliance runways without direct regulatory deadlines.",Critical,"Federal cloud TLS, FedRAMP-authorized encryption, cloud HSM FIPS modules","FIPS 203 (ML-KEM), FIPS 204 (ML-DSA), FIPS 205 (SLH-DSA) cloud implementations",NIST IR 8547 / NIST SP 800-210,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,65,compliance-strategy|migration-program|pqc-101|pqc-governance,nist-csrc,threats/CLOUD-003.pdf,yes,NIST,url_authoritative,registered,"Proposed 2026-05-06: source_url_quality flag added; trusted_source_id_status tagged (etsi and w3c now resolved via proposed trusted_sources). Fix 2026-05-21: audit misleading correction appended. Salvage 2026-05-21: deep-link substituted (Same IR 8547 IPD canonical PDF.). LLM rewrite 2026-05-21: audit-2026-05-18 corrections merged inline via qwen3.6:27b with self-grounding check (drops appended Correction sentence; confidence restored). Re-snapshotted 2026-06-09: fresh Playwright proof (722379 bytes). [2026-07-16 accuracy check] Cited source is on-topic but does not directly evidence this row's quantum/crypto-specific claims: IR 8547 is generic cross-industry transition report, not cloud/FedRAMP-specific; No FedRAMP or OMB M-23-02 content.",55,2026-07-16,cloud;data-centers,active,,,FIPS-203;SP-800-210;IR-8547;FIPS-204;FIPS-205
