question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
automotive-pqc-learn-001,automotive-pqc,Automotive PQC,Which NIST FIPS standard defines the ML-DSA algorithm used for digital signatures in automotive PQC migration?,The ML-DSA (Module-Lattice-Based Digital Signature Algorithm) is defined in FIPS 204. This standard approves ML-DSA for protecting sensitive unclassified information and is a primary target for replacing classical ECDSA in automotive OTA signing chains.,learn,recall,developer;architect,intermediate;advanced,Global,Automotive,FIPS 204,,,,Signature,,NIST,/library?ref=FIPS%20204;/algorithms?highlight=Signature;/learn/automotive-pqc,library_ref:FIPS 204 EXISTS|algorithm:Signature IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: OTA software update architecture; Authoritative Source Context: FIPS 204
automotive-pqc-learn-002,automotive-pqc,Automotive PQC,What is the projected vehicle lifecycle duration that necessitates crypto-agility in modern automotive designs?,"Modern vehicles have a projected lifecycle of 15 to 20 years. This duration significantly exceeds the estimated 2030–2035 window for cryptographically relevant quantum computers (CRQC), creating a 'harvest now, decrypt later' risk for vehicles sold today.",learn,recall,executive;architect,beginner;intermediate,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Overview; Module Description
automotive-pqc-learn-003,automotive-pqc,Automotive PQC,Which specific bus protocol is identified as the primary target for PQC migration on automotive backbone links?,"Automotive Ethernet (ranging from 100BASE-T1 to 10GBASE-T1) is the primary PQC migration target for backbone links. It supports MACsec and TLS 1.3, unlike legacy buses such as CAN or LIN which lack native asymmetric crypto support.",learn,recall,developer;architect,intermediate;advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: In-vehicle network buses
automotive-pqc-learn-004,automotive-pqc,Automotive PQC,"What is the maximum payload size of a CAN-FD frame, and how does this impact PQC signature feasibility?","CAN-FD supports a maximum payload of 64 bytes. This limited capacity makes asymmetric PQC signatures infeasible for direct transmission on CAN-FD buses, necessitating the use of symmetric mechanisms like AUTOSAR SecOC with AES-CMAC instead.",learn,recall,developer;architect,intermediate;advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: In-vehicle network buses
automotive-pqc-learn-005,automotive-pqc,Automotive PQC,Which ISO standard defines the Automotive Safety Integrity Levels (ASIL) ranging from A to D?,"ISO 26262 defines the Automotive Safety Integrity Levels (ASIL), ranging from ASIL A (lowest risk) to ASIL D (highest risk). Critical functions like braking and steering are classified as ASIL-D, requiring strict deterministic timing for crypto operations.",learn,recall,architect;developer,intermediate;advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Functional safety levels
automotive-pqc-learn-006,automotive-pqc,Automotive PQC,What is the specific PQC algorithm recommended for sensor-to-HPC signing in LiDAR data streams?,"ML-DSA-44 is the recommended algorithm for sensor-to-HPC signing of LiDAR point cloud data. At a frequency of 100 Hz, this generates a signature overhead of approximately 242 KB/s due to the 2,420-byte signature size.",learn,recall,developer;researcher,advanced,Global,Automotive,,,,,ML-DSA-44,,,/algorithms?highlight=ML-DSA-44;/learn/automotive-pqc,algorithm:ML-DSA-44 IN algorithms_csv,RAG Summary: Sensor data integrity for ADAS
automotive-pqc-learn-007,automotive-pqc,Automotive PQC,Which regulation mandates the Software Update Management System (SUMS) security requirements for vehicles?,UNECE WP.29 Regulation 156 mandates the security requirements for the Software Update Management System (SUMS). This regulation is critical for ensuring that OTA update architectures maintain integrity and authenticity throughout the vehicle lifecycle.,learn,recall,executive;ops,intermediate;advanced,EU;Japan;Korea,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: OTA software update architecture
automotive-pqc-learn-008,automotive-pqc,Automotive PQC,Why is constant-time implementation mandatory for PQC signature verification on ASIL-D components?,Constant-time implementation is mandatory because PQC signature verification on ASIL-D components must not introduce timing jitter that exceeds the deterministic timing budget. Violating this constraint could compromise the functional safety of critical systems like braking or steering.,learn,comprehension,developer;architect,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Functional safety levels
automotive-pqc-learn-009,automotive-pqc,Automotive PQC,How does the zonal architecture differ from domain-based architecture regarding PQC upgrade points?,"In a zonal architecture, high-performance central compute nodes (HPCs) aggregate control from multiple domains, introducing new PQC upgrade points at zone boundaries. In contrast, domain-based architectures use separate ECUs per domain, distributing the crypto load differently.",learn,comprehension,architect;developer,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Vehicle electrical architecture evolution
automotive-pqc-learn-010,automotive-pqc,Automotive PQC,Why is HMAC-SHA256 preferred over per-frame PQC signing for camera data streams?,HMAC-SHA256 is preferred for H.265 compressed camera streams because it offers lower overhead compared to per-frame PQC signing. Applying asymmetric signatures to every frame would create excessive bandwidth and latency issues unsuitable for real-time video processing.,learn,comprehension,developer;architect,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Sensor data integrity for ADAS
automotive-pqc-learn-011,automotive-pqc,Automotive PQC,What is the relationship between the 15-year vehicle lifetime and the CRQC projection window?,"The 15-year vehicle lifetime extends well beyond the projected 2030–2035 CRQC window. This temporal mismatch means vehicles sold today with classical cryptography (RSA/ECDSA) will be exposed to quantum attacks while still in service, necessitating early PQC migration.",learn,comprehension,executive;architect,intermediate;advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: OTA software update architecture
automotive-pqc-learn-012,automotive-pqc,Automotive PQC,How does the CCC Digital Key 3.0 protocol utilize hybrid key exchange for security?,"CCC Digital Key 3.0 utilizes CPCQ (Classical/PQ Combined Key agreement), which combines ML-KEM-768 with X25519. This hybrid approach ensures security against both classical and future quantum threats while maintaining compatibility with existing infrastructure.",learn,comprehension,developer;architect,advanced,Global,Automotive,,,,,ML-KEM-768;X25519,,,/algorithms?highlight=ML-KEM-768;/algorithms?highlight=X25519;/learn/automotive-pqc,algorithm:ML-KEM-768 IN algorithms_csv|algorithm:X25519 IN algorithms_csv,RAG Summary: Digital car key protocols
automotive-pqc-learn-013,automotive-pqc,Automotive PQC,Why is offline operation a critical requirement for PQC key verification in digital car keys?,"Offline operation is required because digital car keys must function without cellular connectivity, such as in tunnels or remote areas. The vehicle's HSM must be capable of verifying PQC signatures locally to ensure access control remains robust regardless of network availability.",learn,comprehension,architect;developer,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Digital car key protocols
automotive-pqc-learn-014,automotive-pqc,Automotive PQC,"What is the significance of the 'Harvest Now, Decrypt Later' (HNDL) threat in the context of OTA updates?","The HNDL threat implies that attackers can intercept and store encrypted OTA update traffic today to decrypt it later once quantum computers are available. Since vehicles have 15-year lifespans, data signed with classical algorithms today is vulnerable to future decryption.",learn,comprehension,executive;ops;security,intermediate;advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: OTA software update architecture; Authoritative Source Context: NIST IR 8547
automotive-pqc-learn-015,automotive-pqc,Automotive PQC,How do the signature sizes of ML-DSA variants impact bandwidth on high-frequency sensor links?,"ML-DSA signatures are significantly larger than classical ECDSA signatures, with ML-DSA-44 producing 2,420-byte signatures. On high-frequency links like LiDAR (100 Hz), this results in substantial bandwidth overhead (e.g., 242 KB/s), requiring careful network capacity planning.",learn,comprehension,architect;developer,advanced,Global,Automotive,,,,,ML-DSA-44,,,/algorithms?highlight=ML-DSA-44;/learn/automotive-pqc,algorithm:ML-DSA-44 IN algorithms_csv,RAG Summary: Sensor data integrity for ADAS
automotive-pqc-workshop-016,automotive-pqc,Automotive PQC,"If a vehicle manufacturer plans to use ML-DSA-87 for the OEM root CA, what are the implications for the ECU group signing CA?","Using ML-DSA-87 for the offline OEM root CA implies a hierarchical trust chain where the ECU group signing CA typically uses a smaller variant like ML-DSA-65. This tiered approach balances security strength with performance constraints on online, partitioned Tier-1 systems.",workshop,application,architect;developer,advanced,Global,Automotive,,,,,ML-DSA-65;ML-DSA-87,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=ML-DSA-87;/learn/automotive-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:ML-DSA-87 IN algorithms_csv,RAG Summary: OTA software update architecture
automotive-pqc-workshop-017,automotive-pqc,Automotive PQC,How would you configure the crypto stack for a radar sensor communicating over CAN-FD?,"For a radar sensor on CAN-FD, you must use symmetric cryptography via AUTOSAR SecOC with AES-CMAC. Asymmetric PQC signatures are not feasible due to the 64-byte payload limit of CAN-FD, so integrity is ensured through MACs rather than digital signatures.",workshop,application,developer;architect,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Sensor data integrity for ADAS
automotive-pqc-workshop-018,automotive-pqc,Automotive PQC,"In a zonal architecture, where should the PQC verification logic be placed to minimize latency for ADAS decisions?","In a zonal architecture, PQC verification logic should be placed at the zone boundaries or within the High-Performance Central Compute (HPC) nodes. This centralizes the heavy cryptographic processing, preventing latency jitter on individual domain ECUs and ensuring deterministic timing.",workshop,application,architect;developer,advanced,Global,Automotive,,,,,,,,/learn/automotive-pqc,,RAG Summary: Vehicle electrical architecture evolution
automotive-pqc-workshop-019,automotive-pqc,Automotive PQC,What strategy should be employed to secure a digital car key exchange if the user's phone has limited battery and processing power?,The vehicle should offload the heavy PQC verification to its own HSM while the phone performs the lighter classical part of the hybrid key exchange (X25519). This leverages the CPCQ protocol to balance security with the resource constraints of mobile devices.,workshop,application,developer;architect,advanced,Global,Automotive,,,,,X25519,,,/algorithms?highlight=X25519;/learn/automotive-pqc,algorithm:X25519 IN algorithms_csv,RAG Summary: Digital car key protocols
