question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
ops-quantum-impact-learn-001,ops-quantum-impact,Ops Quantum Impact,What is the maximum validity period for PQC certificates according to CA/Browser Forum baseline requirements mentioned in the module?,PQC certificates are expected to have a maximum validity period of 90 days per CA/Browser Forum baseline requirements. This shorter lifespan significantly increases rotation frequency compared to classical one-year certificates.,learn,recall,ops;architect,beginner,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: PQC Certificate Rotation at Scale
ops-quantum-impact-learn-002,ops-quantum-impact,Ops Quantum Impact,Which enrollment protocol is preferred for enterprise and device fleet PQC certificate automation?,EST (RFC 7030) is the preferred enrollment protocol for automating PQC certificates in enterprise and device fleets. It is highlighted as the standard approach alongside ACME v2 for specific use cases.,learn,recall,ops;developer,beginner,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: PQC Certificate Rotation at Scale
ops-quantum-impact-learn-003,ops-quantum-impact,Ops Quantum Impact,What specific algorithm string should be added to OpenSSH `KexAlgorithms` for PQC support in version 9.0 and later?,Operators must add the string `mlkem768x25519-sha256` to the `KexAlgorithms` configuration in OpenSSH 9.0+ to enable PQC key exchange. This ensures compatibility with hybrid KEM ciphersuites.,learn,recall,ops;developer,beginner,Global,General,,,,,KEM,OpenSSH,,/algorithms?highlight=KEM;/migrate?q=OpenSSH;/learn/ops-quantum-impact,algorithm:KEM IN algorithms_csv|migrate_ref:OpenSSH EXISTS,Key Concepts: VPN/SSH Algorithm Negotiation Changes
ops-quantum-impact-learn-004,ops-quantum-impact,Ops Quantum Impact,"How does the size of a PQC TLS handshake compare to a classical handshake, and what is the specific byte difference mentioned?","PQC TLS handshakes are 3–4 times larger than classical handshakes, specifically increasing from 4 KB to approximately 18 KB. This significant increase in data volume impacts network throughput and buffer requirements.",learn,comprehension,ops;architect,beginner,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: Monitoring Threshold Recalibration
ops-quantum-impact-learn-005,ops-quantum-impact,Ops Quantum Impact,"Why must operators recalibrate connection timeout alerts after deploying PQC, and what is the recommended adjustment for slow links?","Operators must recalibrate timeouts because larger PQC handshakes take longer to complete, causing false positives on existing thresholds. The module recommends increasing connection timeouts from 30 seconds to 60 seconds for initial PQC handshakes on slow links.",learn,comprehension,ops;sre,intermediate,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: Monitoring Threshold Recalibration
ops-quantum-impact-learn-006,ops-quantum-impact,Ops Quantum Impact,"What is the primary reason Docker Content Trust (Notary v1) is not recommended for PQC migration, and what should operators do instead?","Docker Content Trust (Notary v1) has no roadmap for PQC support, making it unsuitable for future-proof signing pipelines. Operators are advised to migrate immediately to alternatives like cosign or Notation which have active PQC roadmaps.",learn,comprehension,ops;developer,intermediate,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: CI/CD Signing Pipeline Migration
ops-quantum-impact-workshop-007,ops-quantum-impact,Ops Quantum Impact,"In a scenario where an organization has 10,000 certificates on 90-day cycles, how does the rotation event frequency compare to using 1-year classical certificates?","With 10,000 certificates on 90-day cycles, rotation events increase by a factor of four compared to using 1-year classical certificates. This quadrupling of operational load requires robust automation via tools like cert-manager or EST.",workshop,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/ops-quantum-impact,,Key Concepts: PQC Certificate Rotation at Scale
ops-quantum-impact-workshop-008,ops-quantum-impact,Ops Quantum Impact,"If a Kubernetes cluster migrates to ML-DSA certificates which are 10x larger, what specific infrastructure components must be evaluated for capacity?","Operators must evaluate CRD storage limits, etcd size constraints, cert-manager renewal performance, and ingress controller memory usage. The increased certificate size directly impacts these storage and processing resources.",workshop,application,ops;developer,intermediate,Global,General,,,,,,Kubernetes,,/migrate?q=Kubernetes;/learn/ops-quantum-impact,migrate_ref:Kubernetes EXISTS,Module Content: Scenario: Kubernetes Certificate Migration
ops-quantum-impact-workshop-009,ops-quantum-impact,Ops Quantum Impact,"When upgrading a VPN fleet with end-of-life concentrators, what are the key design considerations for the phased upgrade plan?","The upgrade plan must prioritize which devices to replace first, decide between hybrid or pure PQC implementations, adjust monitoring thresholds for new handshake sizes, and define clear rollback procedures. This ensures minimal disruption during the transition.",workshop,application,ops;architect,intermediate,Global,General,,,,,,,,/learn/ops-quantum-impact,,Module Content: Scenario: VPN Fleet Upgrade
ops-quantum-impact-learn-010,ops-quantum-impact,Ops Quantum Impact,"How should an operator configure strongSwan IKEv2 to support PQC, and what specific algorithms must be included in the proposal strings?",Operators must add `ML-KEM-768` and `X25519MLKEM768` to both the `esp` and `ike` proposal strings in strongSwan IKEv2 configurations. This ensures the VPN tunnel negotiates using hybrid KEM ciphersuites compatible with PQC standards.,learn,synthesis,ops;architect,intermediate,Global,General,,,,,KEM;ML-KEM-768,strongSwan,,/algorithms?highlight=KEM;/algorithms?highlight=ML-KEM-768;/migrate?q=strongSwan;/learn/ops-quantum-impact,algorithm:KEM IN algorithms_csv|algorithm:ML-KEM-768 IN algorithms_csv|migrate_ref:strongSwan EXISTS,Key Concepts: VPN/SSH Algorithm Negotiation Changes
