question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
hsm-pqc-learn-001,hsm-pqc,HSM & PQC Operations,Which specific PKCS#11 version is referenced in the module for supporting PQC mechanisms?,"The module references PKCS#11 v3.2 as the standard for PQC mechanisms, specifically noting it as an OASIS PQC draft. This version introduces new key types and mechanisms required for post-quantum algorithms.",learn,recall,developer;architect,intermediate;advanced,Global,General,,,,,,,,/learn/hsm-pqc,,"Module Description, Key Standards"
hsm-pqc-learn-002,hsm-pqc,HSM & PQC Operations,"List the three NIST FIPS standards mentioned for ML-KEM, ML-DSA, and SLH-DSA.","The module cites FIPS 203 for ML-KEM, FIPS 204 for ML-DSA, and FIPS 205 for SLH-DSA. These standards define the specifications for the respective post-quantum cryptographic algorithms.",learn,recall,researcher;developer,intermediate;advanced,USA,General,FIPS 203;FIPS 204;FIPS 205,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=KEM;/learn/hsm-pqc,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Key Standards
hsm-pqc-learn-003,hsm-pqc,HSM & PQC Operations,What are the specific on-prem HSM products and versions listed in the module?,"The module lists Thales Luna v7.9.2, Entrust nShield v13.8.0, and Utimaco Quantum Protect as the specific on-prem HSM products for deep dive analysis.",learn,recall,ops;architect,advanced,Global,General,,,,,,Entrust nShield,,/migrate?q=Entrust%20nShield;/learn/hsm-pqc,migrate_ref:Entrust nShield EXISTS,Topics Covered
hsm-pqc-learn-004,hsm-pqc,HSM & PQC Operations,Which NSA standard is referenced regarding stateful signature state management?,The module references CNSA 2.0 (National Security Agency) in the context of stateful signature state management and LMS/HSS NVRAM persistence.,learn,recall,architect;researcher,advanced,USA,Government;Defense,,,,,,,NSA,/learn/hsm-pqc,compliance_ref:NSA EXISTS,"Topics Covered, Key Standards"
hsm-pqc-workshop-005,hsm-pqc,HSM & PQC Operations,What are the four specific workshop steps included in this module?,"The four workshop steps are: PKCS#11 PQC Simulator, Vendor Comparison, HSM Migration Planner, and FIPS Validation Tracker.",workshop,recall,developer;ops,intermediate;advanced,Global,General,,,,,,,,/learn/hsm-pqc,,Workshop Steps
hsm-pqc-learn-006,hsm-pqc,HSM & PQC Operations,How does the module define the relationship between PKCS#11 v3.2 and PQC key types?,"The module indicates that PKCS#11 v3.2 introduces specific mechanisms (CKM*ML_KEM*, CKM*ML_DSA*) and key types (CKK_*) to support post-quantum algorithms within the HSM interface.",learn,comprehension,developer;architect,advanced,Global,General,,,,,,,,/learn/hsm-pqc,,Topics Covered
hsm-pqc-learn-007,hsm-pqc,HSM & PQC Operations,Why is NIST SP 800-208 relevant to the HSM operations discussed in this module?,"NIST SP 800-208 is relevant because it provides guidance on Stateful Hash-Based Signatures, which directly impacts how HSMs manage state for algorithms like LMS and HSS.",learn,comprehension,architect;researcher,advanced,USA,General,NIST SP 800-208,,,,,,NIST,/library?ref=NIST%20SP%20800-208;/learn/hsm-pqc,library_ref:NIST SP 800-208 EXISTS|compliance_ref:NIST EXISTS,"Key Standards, Topics Covered"
hsm-pqc-learn-008,hsm-pqc,HSM & PQC Operations,What is the significance of the 'dual-partition strategy' in HSM firmware migration?,The dual-partition strategy is a method used during HSM firmware migration to allow for safe upgrades from classical to PQC firmware while maintaining operational continuity and facilitating FIPS re-validation.,learn,comprehension,ops;architect,advanced,Global,General,,,,,,,,/learn/hsm-pqc,,"Topics Covered, Workshop Steps"
hsm-pqc-learn-009,hsm-pqc,HSM & PQC Operations,How do side-channel attack surfaces differ for PQC algorithms compared to classical ones in HSMs?,"The module highlights specific PQC side-channel risks such as NTT power analysis and EM emanation, alongside fault injection, which require countermeasures like ML-DSA hedged signing.",learn,comprehension,researcher;architect,advanced,Global,General,,,,,,,,/learn/hsm-pqc,,Topics Covered
hsm-pqc-workshop-010,hsm-pqc,HSM & PQC Operations,What is the purpose of the Vendor Comparison workshop step?,"The Vendor Comparison step allows users to evaluate nine HSM vendors based on their PQC maturity score, algorithm support, and FIPS validation status using an interactive matrix.",workshop,comprehension,executive;architect,intermediate;advanced,Global,General,,,,,,,,/learn/hsm-pqc,,"Workshop Steps, VendorComparison.tsx"
hsm-pqc-workshop-011,hsm-pqc,HSM & PQC Operations,"If an organization needs to migrate from classical to PQC algorithms, what specific planning tool does the module provide?","The module provides the HSM Migration Planner, a four-phase wizard designed to guide organizations through firmware migration paths and dual-partition strategies.",workshop,application,ops;architect,advanced,Global,General,,,,,,,,/learn/hsm-pqc,,Workshop Steps
hsm-pqc-workshop-012,hsm-pqc,HSM & PQC Operations,How would a developer use the PKCS#11 Simulator to compare on-prem and cloud HSMs?,"A developer can use the PKCS#11 Simulator to step through eight specific PQC operations, observing differences in performance or implementation between on-prem and cloud environments.",workshop,application,developer;ops,advanced,Global,General,,,,,,,,/learn/hsm-pqc,,Workshop Steps
hsm-pqc-workshop-013,hsm-pqc,HSM & PQC Operations,"In a scenario requiring FIPS 140-3 Level 3 validation, how does the module assist in vendor selection?","The module assists by providing a FIPS Validation Tracker that displays CMVP/CAVP PQC validation status per vendor, allowing users to filter for those meeting specific FIPS 140-3 levels.",workshop,application,architect;executive,advanced,USA,Government;Finance,,,,,,,,/learn/hsm-pqc,,"Workshop Steps, Topics Covered"
hsm-pqc-learn-014,hsm-pqc,HSM & PQC Operations,How does the module address the challenge of maintaining state for LMS/HSS signatures in HSMs?,The module addresses this by discussing NVRAM persistence requirements for stateful signatures and referencing CNSA 2.0 guidelines for managing these states securely within HSM operations.,learn,application,architect;developer,advanced,USA,Defense;Government,,,,,,,,/learn/hsm-pqc,,Topics Covered
