code,name,flag_code,region,compliance_bloc,show_in_picker,eu_member,authority,hybrid,end_state,sim_archetype,note,status,deprecated_at,deprecated_reason,instrument_url,applies_to,force,scope_basis,review_date
US,United States,us,americas,North America,yes,no,NSA/CNSA 2.0,interim,pure,US,Hybrid is an accepted interim step; the end state is pure PQC.,active,,,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,Specified US federal-agency systems. National security systems are excluded from EO 14412 and are governed separately by NSA CNSA 2.0. Private-sector organisations are not bound by either.,requirement,national,
CA,Canada,ca,americas,North America,yes,no,CCCS,interim,pure,CA,"CCCS roadmap ITSM.40.001 allows hybrid as a transitional stage; high-priority systems by 2031, full migration to pure PQC by 2035.",active,,,https://www.cyber.gc.ca/en/guidance/roadmap-migration-post-quantum-cryptography-government-canada-itsm40001,"Government of Canada systems, via the CCCS migration roadmap.",guidance,national,
MX,Mexico,mx,americas,Latin America,no,no,,,,US,,active,,,,,,unknown,
BR,Brazil,br,americas,Latin America,no,no,,,,US,,active,,,https://repositorio.iti.gov.br/instrucoes-normativas/IN2026_35_DOC_ICP_01.01_PQC.htm,,,unknown,
AR,Argentina,ar,americas,Latin America,no,no,,,,US,,active,,,,,,unknown,
CL,Chile,cl,americas,Latin America,no,no,,,,US,,active,,,https://www.minciencia.gob.cl/noticias/chile-presenta-sus-estrategias-nacionales-de-biotecnologia-y-tecnologias-cuanticas/,,,unknown,
CO,Colombia,co,americas,Latin America,no,no,,,,US,,active,,,,,,unknown,
PE,Peru,pe,americas,Latin America,no,no,,,,US,,active,,,,,,unknown,
UY,Uruguay,uy,americas,Latin America,no,no,,,,US,,active,,,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/book/8671/download,,,unknown,
EU,European Union,eu,eu,European Union,yes,yes,ENISA / EU Commission,required,pure,EU,ENISA recommends PQ/T hybrid schemes through the transition; NIS Cooperation Group roadmap targets high-risk systems by 2030 and full PQC by 2035.,active,,,https://ec.europa.eu/newsroom/dae/redirection/document/117507,EU-level coordinated implementation roadmap addressed to member states; member states implement nationally.,guidance,national,
UK,United Kingdom,gb,eu,United Kingdom,yes,no,NCSC,interim,pure,UK,Hybrid is acceptable as an interim; NCSC prefers a pure-PQC end state.,active,,,https://www.ncsc.gov.uk/guidance/pqc-migration-timelines,Staged migration targets published as NCSC guidance for UK organisations; not a single binding cut-off date.,guidance,national,
FR,France,fr,eu,European Union,yes,yes,ANSSI,required,hybrid,FR,"Hybrid is required through the transition; ANSSI accepts hybrid as a long-term posture, not only an interim step.",active,,,https://messervices.cyber.gouv.fr/documents-guides/EN_Position.pdf,ANSSI position paper and security-visa qualification requirements; applies to products seeking French qualification.,guidance,national,
DE,Germany,de,eu,European Union,yes,yes,BSI,required,hybrid,DE,"Hybrid (classical + PQC) is required through the transition; BSI accepts hybrid as a long-term posture, not only an interim step.",active,,,https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/Publications/TechGuidelines/TG02102/BSI-TR-02102-1.pdf,"BSI TR-02102 technical guideline; binding for German federal systems, advisory elsewhere.",guidance,national,
CZ,Czech Republic,cz,eu,European Union,no,yes,NUKIB,,,DE,,active,,,https://nukib.gov.cz/en/,,,unknown,
IT,Italy,it,eu,European Union,no,yes,ACN,,,DE,,active,,,https://www.acn.gov.it/portale/documents/20119/85999/ACN_Crittografia_Quantum_Safe.pdf,,,unknown,
ES,Spain,es,eu,European Union,no,yes,CCN,,,DE,,active,,,https://www.ccn.cni.es/index.php/es/docman/documentos-publicos/boletines-pytec/495-ccn-tec-009-recomendaciones-transicion-postcuantica-segura/file,,,unknown,
NL,Netherlands,nl,eu,European Union,no,yes,,,,DE,,active,,,https://english.aivd.nl/site/binaries/site-content/collections/documents/2024/12/3/the-pqc-migration-handbook/The+PQC+Migration+Handbook+.pdf,,,unknown,
BE,Belgium,be,eu,European Union,no,yes,,,,DE,,active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
PL,Poland,pl,eu,European Union,no,yes,,,,DE,,active,,,https://www.psnc.pl/pionier-q-construction-of-cross-border-quantum-key-encryption-connections/,,,unknown,
SE,Sweden,se,eu,European Union,no,yes,,,,DE,,active,,,https://www.ncsc.se/siteassets/publikationer/nationella-rekommendationer-for-overgangen-till-kvantsaker-kryptografi-2026_tga.pdf,,,unknown,
AT,Austria,at,eu,European Union,no,yes,,,,DE,,active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
DK,Denmark,dk,eu,European Union,no,yes,,,,DE,,active,,,https://samsik.dk/cybersikkerhed/temaer/overgangen-til-kvantesikker-kryptografi/,,,unknown,
FI,Finland,fi,eu,European Union,no,yes,,,,DE,,active,,,https://www.traficom.fi/fi/uutiset/ohje-kvanttiturvalliseen-salaukseen-siirtymisesta-julkaistu-kay-tutustumassa,,,unknown,
IE,Ireland,ie,eu,European Union,no,yes,,,,DE,,active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
EE,Estonia,ee,eu,European Union,no,yes,,,,DE,,active,,,https://cyber.ee/resources/news/estonia-pqc-transition/,,,unknown,
CH,Switzerland,ch,europe-noneu,Europe (non-EU),no,no,,,,DE,,active,,,https://www.ncsc.admin.ch/dam/ncsc/en/dokumente/dokumentation/technologiebetrachtungen/technologiebetrachtung-qcpqc-en.pdf.download.pdf/technologiebetrachtung-qcpqc-en.pdf,,,unknown,
NO,Norway,no,europe-noneu,Europe (non-EU),no,no,,,,DE,,active,,,https://nsm.no/getfile.php/1313362-1697097505/NSM/Filer/Dokumenter/Rapporter/Veileder%20i%20kvanteflytting%20fra%20NSM.pdf,,,unknown,
TR,Turkey,tr,europe-noneu,Europe (non-EU),no,no,,,,US,,active,,,,,,unknown,
RU,Russia,ru,europe-noneu,Europe (non-EU),no,no,,,,US,,active,,,https://tc26.ru/about/structure/,,,unknown,
JP,Japan,jp,apac,Asia-Pacific,yes,no,CRYPTREC,discouraged,pure,JP,"CRYPTREC adding ML-KEM/ML-DSA to Ciphers List; national roadmap expected ~2027, full transition ~2035.",active,,,https://www.cryptrec.go.jp/en/method.html,"Japanese government systems, via the Cabinet Secretariat PQC transition report and CRYPTREC ciphers list.",guidance,national,
KR,South Korea,kr,apac,Asia-Pacific,yes,no,KISA / NIS,interim,pure,KR,National PQC master plan targets full transition by 2035; hybrid is an interim step.,active,,,https://seed.kisa.or.kr/kisa/ngc/pqc.do,KISA/NIS national PQC roadmap for Korean public-sector systems.,guidance,national,
AU,Australia,au,apac,Asia-Pacific,yes,no,ASD,discouraged,pure,AU,ASD does not mandate hybrid and permits adopting final PQC standards directly; recommends a pure end state.,active,,,https://www.cyber.gov.au/business-government/secure-design/planning-for-post-quantum-cryptography,Australian government systems under the ASD Information Security Manual.,requirement,national,
SG,Singapore,sg,apac,Asia-Pacific,yes,no,CSA,interim,pure,SG,CSA Quantum-Safe Handbook treats hybrid as an optional transitional choice toward a pure end state.,active,,,https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/trpd/mas-quantum-advisory/mas-quantum-advisory.pdf,"Financial institutions regulated by MAS, via the MAS quantum-security advisory/circular.",requirement,national,
NZ,New Zealand,nz,apac,Asia-Pacific,no,no,GCSB / NCSC-NZ,,,AU,,active,,,https://www.ncsc.govt.nz/news/nzism-v3-9-release/,,,unknown,
CN,China,cn,apac,Asia-Pacific,no,no,OSCCA / TC260,,,US,,active,,,https://en.qapp.tech/help/cacr,,,unknown,
IN,India,in,apac,Asia-Pacific,no,no,DST/NQM + CERT-In,,,IN,DST/NQM National Quantum Mission roadmap (2023) and CERT-In guidelines mandate PQC adoption for Critical Information Infrastructure by 2027 and full nationwide adoption by 2033. Published guidance aligns with NIST standards toward pure PQC; no explicit hybrid requirement published.,active,,,https://dst.gov.in/sites/default/files/Quantum-Safe-Ecosystem-in-India.pdf,"Critical Information Infrastructure operators, via the DST/National Quantum Mission quantum-safe roadmap; CERT-In BOM guidelines cover CBOM/QBOM reporting. A national roadmap with dated milestones rather than a binding cut-off for all organisations.",guidance,national,
TW,Taiwan,tw,apac,Asia-Pacific,no,no,NICS / FSC,,,US,,active,,,https://moda.gov.tw/ADI/news/latest-news/16090,,,unknown,
HK,Hong Kong,hk,apac,Asia-Pacific,no,no,HKMA / HKCERT,,,US,,active,,,https://www.hkma.gov.hk/media/eng/doc/key-information/press-release/2026/20260727e3a1.pdf,,,unknown,
MY,Malaysia,my,apac,Asia-Pacific,no,no,CyberSecurity Malaysia,,,US,,active,,,https://nacsa.gov.my,,,unknown,
ID,Indonesia,id,apac,Asia-Pacific,no,no,,,,US,,active,,,https://bsn.go.id/main/berita/detail/25342/bsn-bssn-perkuat-sinergi-persiapan-migrasi-ke-algoritma-post-quantum-cryptography,,,unknown,
PH,Philippines,ph,apac,Asia-Pacific,no,no,,,,US,,active,,,,,,unknown,
TH,Thailand,th,apac,Asia-Pacific,no,no,,,,US,,active,,,https://pqc-learn.ncsa.or.th/migration.html,,,unknown,
VN,Vietnam,vn,apac,Asia-Pacific,no,no,,,,US,,active,,,,,,unknown,
IL,Israel,il,mena,Middle East,no,no,INCD,,,US,,active,,,https://www.gov.il/BlobFolder/generalpage/quantum_computing/he/Best%20Practices%20-%20Organizational%20Cyber%20Readiness%20to%20the%20Post-Quantum%20Age%20v.1.85.pdf,,,unknown,
AE,United Arab Emirates,ae,mena,Middle East,no,no,UAE CTRA,,,US,,active,,,https://csrc.nist.gov/projects/pqc-dig-sig/round-2-additional-signatures,,,unknown,
SA,Saudi Arabia,sa,mena,Middle East,no,no,NCA,,,US,,active,,,https://cdn.nca.gov.sa/api/files/public/upload/86e09090-44e4-481f-bc28-355673607654_ECC--2024-EN.pdf,,,unknown,
BH,Bahrain,bh,mena,Middle East,no,no,NCSC-BH,,,US,,active,,,https://www.sandboxaq.com/press/bahrain-government-takes-definitive-step-toward-building-a-quantum-safe-economy-through-strategic-partnership-with-sandboxaq,,,unknown,
JO,Jordan,jo,mena,Middle East,no,no,NITC,,,US,,active,,,https://thequantuminsider.com/2026/01/05/central-bank-of-jordan-releases-road-map-to-prepare-for-quantum-transition/,,,unknown,
EG,Egypt,eg,mena,Africa,no,no,,,,US,,active,,,https://www.legal500.com/developments/thought-leadership/overview-of-the-executive-regulations-of-the-egyptian-personal-data-protection-law/,,,unknown,
ZA,South Africa,za,africa,Africa,no,no,,,,US,,active,,,https://www.gov.za/sites/default/files/gcis_document/201409/3706726-11act4of2013popi.pdf,,,unknown,
NG,Nigeria,ng,africa,Africa,no,no,,,,US,,active,,,https://ndpc.gov.ng/download/nigeria-data-protection-act-2023,,,unknown,
KE,Kenya,ke,africa,Africa,no,no,,,,US,,active,,,https://new.kenyalaw.org/akn/ke/act/ln/2021/263/eng@2022-01-14/source.pdf,,,unknown,
BG,Bulgaria,bg,eu,European Union,no,yes,"CERT Bulgaria (Ministry of e-Government, Cybersecurity Directorate)",,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
CY,Cyprus,cy,eu,European Union,no,yes,Digital Security Authority (DSA),,,DE,"Added 2026-07-31 (WP-5 batch B2, remediation plan) -- closes one of the 13 EU member states missing a jurisdictions row, against the EU coordinated PQC roadmap obligation that all member states begin national transition by end of 2026. Authority is the national NIS2 competent/cybersecurity authority, verified live; no country-specific PQC deadline/mandate found beyond the EU-wide roadmap, so hybrid/end_state are left blank rather than invented.",active,,,https://digital-strategy.ec.europa.eu/en/library/recommendation-coordinated-implementation-roadmap-transition-post-quantum-cryptography,No national PQC instrument on file in this catalogue; the EU coordinated implementation roadmap applies to this member state.,guidance,inherited-eu,
