question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
qkd-learn-001,qkd,Quantum Key Distribution,What fundamental physical principle distinguishes Quantum Key Distribution (QKD) security from Post-Quantum Cryptography (PQC)?,"QKD derives its security from the laws of quantum physics, specifically the no-cloning theorem and the principle that measuring a quantum state inevitably disturbs it. In contrast, PQC relies on computationally hard mathematical problems that are resistant to quantum computer attacks.",learn,recall,executive;architect;researcher,beginner;intermediate,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - QKD vs PQC
qkd-learn-002,qkd,Quantum Key Distribution,Which NIST document outlines the transition to Post-Quantum Cryptography and what is its stance on QKD?,"NIST IR 8547 ('Transition to Post-Quantum Cryptography Standards,' final March 2025) does not generally recommend QKD as a primary solution. NIST recommends PQC standards (FIPS 203, 204, and 205) as the primary migration path, while acknowledging QKD may have niche applications in high-security environments requiring information-theoretic security guarantees.",learn,recall,executive;architect;ops,intermediate;advanced,USA,General,FIPS 203;NIST IR 8547,,,,,,NIST,/library?ref=FIPS%20203;/library?ref=NIST%20IR%208547;/learn/qkd,library_ref:FIPS 203 EXISTS|library_ref:NIST IR 8547 EXISTS|compliance_ref:NIST EXISTS,RAG Summary: Key Concepts - NIST position
qkd-learn-003,qkd,Quantum Key Distribution,What are the two conjugate bases used in the BB84 protocol for encoding single photons?,The BB84 protocol uses single photons encoded in two conjugate bases: the rectilinear basis and the diagonal basis. These bases are essential for the qubit preparation and measurement steps of the protocol.,learn,recall,developer;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - BB84 protocol
qkd-learn-004,qkd,Quantum Key Distribution,What is the approximate Quantum Bit Error Rate (QBER) threshold used in BB84 to detect eavesdropping?,"In the BB84 protocol, an eavesdropper is detected if the Quantum Bit Error Rate (QBER) exceeds a threshold of approximately 11%. This step occurs during the basis reconciliation and error checking phase.",learn,recall,developer;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - BB84 protocol
qkd-learn-005,qkd,Quantum Key Distribution,"Which specific NIST standards define the ML-KEM, ML-DSA, and SLH-DSA algorithms?","The NIST standards defining these algorithms are FIPS 203 for ML-KEM, FIPS 204 for ML-DSA, and FIPS 205 for SLH-DSA. These are the primary PQC solutions recommended by NIST over QKD.",learn,recall,developer;architect,intermediate;advanced,USA,General,FIPS 203;FIPS 204;FIPS 205,,,,KEM,,NIST,/library?ref=FIPS%20203;/library?ref=FIPS%20204;/library?ref=FIPS%20205;/algorithms?highlight=KEM;/learn/qkd,library_ref:FIPS 203 EXISTS|library_ref:FIPS 204 EXISTS|library_ref:FIPS 205 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,RAG Summary: Related Standards
qkd-learn-006,qkd,Quantum Key Distribution,What is the maximum demonstrated distance for satellite-based QKD using entanglement without key material on the satellite?,"The Micius satellite demonstrated entanglement-based QKD over a distance of 1,120 km in 2020. This mode does not store key material on the satellite, distinguishing it from trusted-node relay modes.",learn,recall,researcher;architect,advanced,APAC;Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - Satellite QKD
qkd-learn-007,qkd,Quantum Key Distribution,How does the security model of QKD differ from PQC regarding the underlying assumptions?,"QKD provides information-theoretic security based on physical laws, meaning it remains secure even against adversaries with unlimited computational power. PQC provides computational security based on the assumption that certain mathematical problems remain hard for quantum computers.",learn,comprehension,architect;executive;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - QKD vs PQC
qkd-learn-008,qkd,Quantum Key Distribution,Why is the sifted key in the BB84 protocol approximately 50% of the transmitted bits?,"The sifted key is roughly 50% of the transmitted bits because Alice and Bob must discard all measurements where they used different bases. Since there are two conjugate bases chosen randomly, they only match about half the time.",learn,comprehension,developer;researcher,intermediate;advanced,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - BB84 protocol
qkd-learn-009,qkd,Quantum Key Distribution,What is the primary operational limitation of fiber-based QKD without trusted nodes?,"The primary limitation is distance, as fiber single links are currently limited to approximately 100 km due to signal loss. Extending beyond this requires trusted nodes, which introduce a risk of compromise.",learn,comprehension,architect;ops,intermediate;advanced,Global,General,,,,,,,,/learn/qkd,,RAG Summary: Key Concepts - Limitations
qkd-learn-010,qkd,Quantum Key Distribution,How does the 'defense in depth' strategy apply to hybrid QKD and PQC integration?,"In a hybrid approach, security holds if either the QKD-derived key or the ML-KEM shared secret remains unbroken. This combines information-theoretic security from physics with computational security from mathematics.",learn,comprehension,architect;developer,advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/qkd,algorithm:KEM IN algorithms_csv,RAG Summary: Key Concepts - QKD + PQC hybrid integration
