question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
network-security-pqc-learn-001,network-security-pqc,Network Security & PQC Migration,What is the approximate size of an ML-DSA-65 certificate compared to an RSA-2048 certificate?,"An ML-DSA-65 certificate is approximately 2.5KB, which represents a 108% increase over the ~1.2KB size of an RSA-2048 certificate. This significant size difference impacts network buffer allocations and transmission latency.",learn,recall,ops;architect,intermediate;advanced,Global,General,,,,,ML-DSA-65;RSA-2048,,,/algorithms?highlight=ML-DSA-65;/algorithms?highlight=RSA-2048;/learn/network-security-pqc,algorithm:ML-DSA-65 IN algorithms_csv|algorithm:RSA-2048 IN algorithms_csv,Key Data Points
network-security-pqc-learn-002,network-security-pqc,Network Security & PQC Migration,Which NIST standard specifically addresses Key Encapsulation Mechanisms (ML-KEM) in TLS?,"NIST SP 800-227 is the standard that covers Key Encapsulation Mechanisms, including the implementation of ML-KEM within TLS protocols. This document provides the foundational guidelines for integrating these post-quantum algorithms.",learn,recall,researcher;architect,intermediate;advanced,USA,General,NIST SP 800-227,,,,KEM,,NIST,/library?ref=NIST%20SP%20800-227;/algorithms?highlight=KEM;/learn/network-security-pqc,library_ref:NIST SP 800-227 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Standards References
network-security-pqc-learn-003,network-security-pqc,Network Security & PQC Migration,What is the maximum certificate chain size limit for most 2025 NGFW inspection buffers?,"Most Next-Generation Firewall (NGFW) inspection buffers in 2025 have a limit of 4KB. This constraint is critical because hybrid ECDSA+ML-DSA-65 chains can reach ~8.5KB, exceeding this buffer capacity.",learn,recall,ops;developer,intermediate;advanced,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/network-security-pqc,algorithm:ML-DSA-65 IN algorithms_csv,Key Data Points
network-security-pqc-learn-004,network-security-pqc,Network Security & PQC Migration,"According to CNSA 2.0, by what year must NSS environments exclusively use PQC?","Under the CNSA 2.0 standard, National Security Systems (NSS) environments are required to transition to exclusively Post-Quantum Cryptography (PQC) by the year 2033. Prior to this, hybrid implementations are mandated by 2026.",learn,recall,executive;architect,intermediate;advanced,USA,Government;Defense,,,,,,,,/learn/network-security-pqc,,Standards References
network-security-pqc-learn-005,network-security-pqc,Network Security & PQC Migration,Which vendors are explicitly listed in the module's migration roadmap section?,"The module explicitly lists Cisco, Palo Alto, Fortinet, Juniper, Check Point, Sophos, SonicWall, and pfSense/OPNsense as vendors with specific PQC migration roadmaps. These vendors provide varying levels of support for ML-KEM and ML-DSA.",learn,recall,ops;architect,intermediate;advanced,Global,General,,,,,KEM,OPNsense,,/algorithms?highlight=KEM;/migrate?q=OPNsense;/learn/network-security-pqc,algorithm:KEM IN algorithms_csv|migrate_ref:OPNsense EXISTS,Key Topics
network-security-pqc-learn-006,network-security-pqc,Network Security & PQC Migration,What is the software-only Deep Packet Inspection (DPI) latency for pure PQC traffic?,The TLS inspection latency for pure PQC traffic using software-only DPI is approximately 35ms. This is significantly higher than classical crypto (~9ms) and hybrid modes (~28ms).,learn,recall,ops;developer,intermediate;advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Data Points
network-security-pqc-learn-007,network-security-pqc,Network Security & PQC Migration,How does the size of a hybrid ECDSA+ML-DSA-65 certificate chain compare to standard NGFW buffer limits?,"A hybrid ECDSA+ML-DSA-65 certificate chain is approximately 8.5KB, which exceeds the typical 4KB inspection buffer limit found in most 2025 NGFWs. This overflow can cause inspection failures or require hardware upgrades.",learn,comprehension,architect;ops,intermediate;advanced,Global,General,,,,,ML-DSA-65,,,/algorithms?highlight=ML-DSA-65;/learn/network-security-pqc,algorithm:ML-DSA-65 IN algorithms_csv,Key Data Points
network-security-pqc-learn-008,network-security-pqc,Network Security & PQC Migration,Why is hardware offload critical for PQC inspection in network security appliances?,"Hardware offload is critical because it reduces the PQC inspection overhead by 60-70%, mitigating the high latency associated with software-only processing. Without offload, pure PQC traffic can incur ~35ms latency, impacting real-time security operations.",learn,comprehension,architect;ops,intermediate;advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Data Points
network-security-pqc-learn-009,network-security-pqc,Network Security & PQC Migration,What is the primary risk associated with detecting downgrade attacks in PQC environments?,"Detecting downgrade attacks in PQC environments carries a high false positive risk, requiring significant tuning to achieve only 65% coverage. This contrasts with hybrid KEM detection, which offers 92% coverage with low false positive risk.",learn,comprehension,ops;researcher,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/network-security-pqc,algorithm:KEM IN algorithms_csv,Key Data Points
network-security-pqc-learn-010,network-security-pqc,Network Security & PQC Migration,How does the migration priority order for Zero Trust Network Access (ZTNA) components differ from general network upgrades?,"The ZTNA PQC migration priority follows a specific sequence: Identity Provider (IdP), Policy Engine, Application Gateway, and finally Micro-Segmentation. This order ensures that authentication and policy enforcement are secured before extending protection to network segmentation.",learn,comprehension,architect;executive,advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Topics
network-security-pqc-learn-011,network-security-pqc,Network Security & PQC Migration,What is the relationship between NIST IR 8547 and the timeline for classical crypto deprecation?,"NIST IR 8547 outlines the classical cryptography deprecation timeline, setting targets for 2030 and 2035. This document guides organizations on when to phase out classical algorithms in favor of PQC standards like ML-KEM.",learn,comprehension,researcher;architect,intermediate;advanced,USA,General,NIST IR 8547,,,,KEM,,NIST,/library?ref=NIST%20IR%208547;/algorithms?highlight=KEM;/learn/network-security-pqc,library_ref:NIST IR 8547 EXISTS|algorithm:KEM IN algorithms_csv|compliance_ref:NIST EXISTS,Standards References
network-security-pqc-learn-012,network-security-pqc,Network Security & PQC Migration,Why might a TLS intercept proxy fail when processing PQC certificate chains?,"A TLS intercept proxy may fail because PQC certificate chains, particularly hybrid ones at ~8.5KB, exceed the 4KB buffer limits of many NGFW inspection engines. This results in buffer overflows or dropped packets during the deep packet inspection process.",learn,comprehension,ops;developer,intermediate;advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Topics
network-security-pqc-workshop-013,network-security-pqc,Network Security & PQC Migration,"If an organization enables pure PQC on a software-only NGFW, what latency impact should they expect compared to classical crypto?",Enabling pure PQC on a software-only NGFW will increase TLS inspection latency from approximately 9ms (classical) to 35ms. This nearly fourfold increase can degrade user experience and application performance without hardware acceleration.,workshop,application,ops;architect,intermediate;advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Data Points
network-security-pqc-workshop-014,network-security-pqc,Network Security & PQC Migration,How should an IDS administrator configure rules to detect hybrid KEM handshakes while minimizing false positives?,"An IDS administrator should prioritize rule categories for hybrid KEM detection, which offers 92% coverage with low false positive risk. They must balance this against downgrade attack detection rules, which have high false positive rates and require careful tuning.",workshop,application,ops;researcher,intermediate;advanced,Global,General,,,,,KEM,,,/algorithms?highlight=KEM;/learn/network-security-pqc,algorithm:KEM IN algorithms_csv,Key Data Points
network-security-pqc-workshop-015,network-security-pqc,Network Security & PQC Migration,What action should a network architect take if their current NGFW has a 4KB buffer limit but needs to inspect hybrid PQC traffic?,"The architect must either upgrade the NGFW hardware to support larger buffers or switch to pass-through mode for TLS inspection, as hybrid chains (~8.5KB) exceed the 4KB limit. Hardware offload capabilities should also be verified to manage latency.",workshop,application,architect;ops,advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Data Points
network-security-pqc-workshop-016,network-security-pqc,Network Security & PQC Migration,How would you prioritize the migration of a Zero Trust architecture based on the module's recommended sequence?,"Migration should begin with the Identity Provider (IdP), followed by the Policy Engine, then the Application Gateway, and finally Micro-Segmentation. This ensures that identity verification and policy decisions are quantum-safe before securing network boundaries.",workshop,application,architect;executive,advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Key Topics
network-security-pqc-workshop-017,network-security-pqc,Network Security & PQC Migration,"In the NGFW Cipher Analyzer workshop, what metrics should be compared when evaluating PQC readiness?","The analyzer should compare certificate size, handshake latency, and hardware offload capabilities across classical, hybrid, and pure PQC modes. These metrics determine if the current infrastructure can handle the increased overhead of PQC algorithms.",workshop,application,ops;developer,intermediate;advanced,Global,General,,,,,,,,/learn/network-security-pqc,,Workshop Steps
