question_id,module_id,module_title,question,answer,content_type,difficulty,applicable_roles,applicable_levels,applicable_regions,applicable_industries,library_refs,threat_refs,timeline_refs,leader_refs,algorithm_refs,migrate_refs,compliance_refs,deep_links,consistency_assertions,source_citations
vpn-ssh-pqc-learn-001,vpn-ssh-pqc,VPN/IPsec & SSH,Which NIST standard defines the ML-KEM algorithm used for post-quantum key encapsulation in IKEv2 and SSH?,The ML-KEM algorithm is defined by FIPS 203. This standard specifies the lattice-based key encapsulation mechanism that replaces or augments classical Diffie-Hellman exchanges in protocols like IKEv2 and OpenSSH to provide quantum resistance.,learn,recall,developer;architect;researcher,beginner;intermediate,Global,General,FIPS 203,,,,KEM,OpenSSH,NIST,/library?ref=FIPS%20203;/algorithms?highlight=KEM;/migrate?q=OpenSSH;/learn/vpn-ssh-pqc,library_ref:FIPS 203 EXISTS|algorithm:KEM IN algorithms_csv|migrate_ref:OpenSSH EXISTS|compliance_ref:NIST EXISTS,"Key Concepts: ML-KEM in IKEv2, Related Standards: FIPS 203"
vpn-ssh-pqc-learn-002,vpn-ssh-pqc,VPN/IPsec & SSH,What specific OpenSSH version introduced the NIST-standard mlkem768x25519-sha256 hybrid key exchange algorithm?,"OpenSSH version 9.9, released in 2024, added support for the mlkem768x25519-sha256 hybrid key exchange algorithm. This update followed earlier versions that introduced NTRU-based hybrids like sntrup761x25519-sha512.",learn,recall,ops;developer,intermediate;advanced,Global,General,,,,,,OpenSSH,NIST,/migrate?q=OpenSSH;/learn/vpn-ssh-pqc,migrate_ref:OpenSSH EXISTS|compliance_ref:NIST EXISTS,Key Concepts: SSH PQC evolution
vpn-ssh-pqc-learn-003,vpn-ssh-pqc,VPN/IPsec & SSH,Which RFC defines the Additional Key Exchange (AKE) framework used to integrate ML-KEM into IKEv2 without modifying the core state machine?,RFC 9370 defines the Additional Key Exchange (AKE) framework. This framework allows draft-ietf-ipsecme-ikev2-mlkem to add ML-KEM encapsulation in the IKE_INTERMEDIATE phase while preserving the existing IKEv2 handshake logic.,learn,recall,architect;developer,intermediate;advanced,Global,General,draft-ietf-ipsecme-ikev2-mlkem,,,,KEM,,,/library?ref=draft-ietf-ipsecme-ikev2-mlkem;/algorithms?highlight=KEM;/learn/vpn-ssh-pqc,library_ref:draft-ietf-ipsecme-ikev2-mlkem EXISTS|algorithm:KEM IN algorithms_csv,"Key Concepts: ML-KEM in IKEv2, Related Standards: RFC 9370"
vpn-ssh-pqc-learn-004,vpn-ssh-pqc,VPN/IPsec & SSH,How does the Rosenpass solution enable post-quantum security for WireGuard despite WireGuard's lack of crypto agility?,"Rosenpass acts as a companion daemon that performs a separate PQC key exchange using ML-KEM-768 and Classic McEliece. It then injects the resulting shared secret into WireGuard's pre-shared key (PSK) slot, effectively adding quantum resistance without altering WireGuard's fixed cipher suite.",learn,comprehension,architect;developer;ops,intermediate;advanced,Global,General,,,,,ML-KEM-768,WireGuard,,/algorithms?highlight=ML-KEM-768;/migrate?q=WireGuard;/learn/vpn-ssh-pqc,algorithm:ML-KEM-768 IN algorithms_csv|migrate_ref:WireGuard EXISTS,"Key Concepts: Rosenpass, WireGuard"
vpn-ssh-pqc-learn-005,vpn-ssh-pqc,VPN/IPsec & SSH,Why is the data plane of modern VPN and SSH protocols considered quantum-resistant even before migrating the control plane to PQC?,"The data plane already utilizes symmetric algorithms like AES-GCM and ChaCha20-Poly1305, which are resistant to quantum attacks when using standard 256-bit key lengths. These keys provide sufficient security against Grover's algorithm, meaning the immediate threat is limited to the control plane's key exchange and authentication.",learn,comprehension,architect;researcher;executive,intermediate;advanced,Global,General,,,,,,,,/learn/vpn-ssh-pqc,,Key Concepts: Control plane vs data plane
vpn-ssh-pqc-learn-006,vpn-ssh-pqc,VPN/IPsec & SSH,"In the context of SSH hybrid key exchange, how are classical and post-quantum public keys combined during the handshake?",SSH hybrid key exchange works by concatenating classical and PQC public keys within the SSH_MSG_KEX_ECDH_INIT message. The resulting shared secrets from both algorithms are then combined in the SSH_MSG_KEX_ECDH_REPLY to derive the final session key.,learn,comprehension,developer;architect,advanced,Global,General,,,,,,,,/learn/vpn-ssh-pqc,,Key Concepts: SSH hybrid KEX
vpn-ssh-pqc-learn-007,vpn-ssh-pqc,VPN/IPsec & SSH,"If an organization needs to upgrade their IKEv2 infrastructure to support ML-KEM, which specific draft standard should they reference for the key exchange mechanism?",The organization should reference draft-ietf-ipsecme-ikev2-mlkem. This draft outlines the integration of ML-KEM into IKEv2 using the Additional Key Exchange (AKE) framework to add encapsulation in the IKE_INTERMEDIATE phase.,learn,application,architect;ops;developer,advanced,Global,General,draft-ietf-ipsecme-ikev2-mlkem,,,,KEM,,,/library?ref=draft-ietf-ipsecme-ikev2-mlkem;/algorithms?highlight=KEM;/learn/vpn-ssh-pqc,library_ref:draft-ietf-ipsecme-ikev2-mlkem EXISTS|algorithm:KEM IN algorithms_csv,"Key Concepts: ML-KEM in IKEv2, Related Standards"
vpn-ssh-pqc-learn-008,vpn-ssh-pqc,VPN/IPsec & SSH,An administrator is configuring OpenSSH 9.0 and wants to ensure the default key exchange algorithm provides post-quantum resistance. Which algorithm will be used by default?,"In OpenSSH 9.0, the default key exchange algorithm is sntrup761x25519-sha512. This hybrid algorithm combines NTRU lattice-based cryptography with classical X25519 to provide post-quantum security.",learn,application,ops;developer,intermediate;advanced,Global,General,,,,,X25519,OpenSSH,,/algorithms?highlight=X25519;/migrate?q=OpenSSH;/learn/vpn-ssh-pqc,algorithm:X25519 IN algorithms_csv|migrate_ref:OpenSSH EXISTS,Key Concepts: SSH PQC evolution
vpn-ssh-pqc-learn-009,vpn-ssh-pqc,VPN/IPsec & SSH,"A network engineer is deploying WireGuard in a high-security environment requiring quantum resistance. Since WireGuard does not support algorithm negotiation, what specific tool must they deploy alongside it?","The engineer must deploy Rosenpass alongside WireGuard. Rosenpass handles the post-quantum key exchange externally and injects the resulting pre-shared key into WireGuard, bypassing its lack of crypto agility.",learn,application,ops;architect,advanced,Global,General,,,,,,WireGuard,,/migrate?q=WireGuard;/learn/vpn-ssh-pqc,migrate_ref:WireGuard EXISTS,"Key Concepts: Rosenpass, WireGuard"
vpn-ssh-pqc-learn-010,vpn-ssh-pqc,VPN/IPsec & SSH,Compare the handshake size impact of adding PQC to IKEv2 versus SSH. Which protocol experiences a larger percentage increase in packet size?,"SSH experiences a larger percentage increase in handshake size when adding PQC. While IKEv2 increases by 169% (from 1,400 B to 3,768 B), SSH increases by 235% (from 984 B to 3,296 B).",learn,synthesis,architect;researcher,advanced,Global,General,,,,,,,,/learn/vpn-ssh-pqc,,Key Concepts: Protocol size impact
