reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status
FIPS 203,Module-Lattice-Based Key-Encapsulation Mechanism Standard (ML-KEM),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-KEM (Kyber) with three parameter sets (512, 768, 1024) for quantum-resistant key establishment. Errata Oct 2024.",Algorithm,"Generic IT; Finance; Telecom; Government; Healthcare; Critical Infrastructure",NIST,"NIST PQC Project; CRYSTALS-Kyber",USA; Global,Lattice-based,"L1,L3,L5","TLS 1.3, QUIC, SSH, IPsec/IKE, CMS key wrapping","OpenSSL 3.5+; BoringSSL; AWS-LC",High,Validated
FIPS 204,Module-Lattice-Based Digital Signature Standard (ML-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies ML-DSA (Dilithium) signature algorithms with three parameter sets (44, 65, 87). Errata Oct 2024.",Algorithm,"IT; Finance; Telecom; Government; Identity Management",NIST,"CRYSTALS-Dilithium; FIPS 186-5",USA; Global,Lattice-based,"L2,L3,L5","X.509 certificates, TLS authentication, code signing, document signature","OpenSSL 3.5+; BoringSSL; AWS-LC",High,Validated
FIPS 205,Stateless Hash-Based Digital Signature Standard (SLH-DSA),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.pdf,2023-08-24,2024-08-13,Final Standard,"Specifies SLH-DSA (SPHINCS+) stateless hash-based signatures with 12 parameter sets.",Algorithm,"Firmware; Critical Infrastructure; Software Updates; Long-term Archival",NIST,"SPHINCS+; SP 800-208",USA; Global,"Hash-based (stateless)","L1,L3,L5","CMS signatures, software signing, long-term archival signing","liboqs; BoringSSL",Medium,Validated
FIPS 186-5,Digital Signature Standard (DSS),https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.186-5.pdf,2023-02-03,2025-05-12,Final Standard,"Specifies RSA, ECDSA, EdDSA. Removes DSA. Errata May 2025.",Algorithm,"IT; Finance; Gov; Web PKI",NIST,"PKCS#1; EdDSA RFCs",USA; Global,Classical,"Various","TLS, CMS, PKI, code signing",Universal,Medium,Validated
NIST SP 800-208,Recommendation for Stateful Hash-Based Signature Schemes,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf,2020-10-29,2020-10-29,Final,"Specifies LMS and XMSS stateful hash-based signature schemes for firmware signing.",Algorithm,"Firmware; Embedded Systems; IoT; Boot Security",NIST,"RFC 8554; RFC 8391",USA; Global,"Hash-based (stateful)","L1-L5 equivalent","Firmware signing, secure boot, archival","wolfSSL; Bouncy Castle",Medium,New
NIST SP 800-227,Recommendations for Key-Encapsulation Mechanisms,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-227.pdf,2025-01-06,2025-09-18,Final,"Guidance for implementing KEMs securely including hybrid KEMs and FIPS 140 validation requirements.",Compliance/Guidance,"IT; Finance; Gov; Cloud; HSM Vendors",NIST,"FIPS 203; SP 800-56C",USA; Global,Lattice-based,"L1,L3,L5","KEM usage guidelines for TLS/VPN/SSH",N/A,High,Updated
NIST IR 8547,Transition to Post-Quantum Cryptography Standards,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8547.ipd.pdf,2024-11-12,2024-11-12,Initial Public Draft,"Roadmap for transitioning to PQC. Proposes 2030 deprecation and 2035 disallowment of classical asymmetric crypto.",Compliance/Guidance,"IT; Gov; Finance; Telecom; Cloud",NIST,"FIPS 203/204/205",USA; Global,N/A,N/A,"Enterprise-wide PQC migration planning",N/A,High,Validated
NIST IR 8545,Status Report on the Fourth Round of the NIST PQC Standardization Process,https://nvlpubs.nist.gov/nistpubs/ir/2025/NIST.IR.8545.pdf,2025-03-11,2025-03-11,Final,"Documents HQC selection as fourth PQC standard providing code-based cryptographic diversity.",Research/Report,"IT; Cryptography Research",NIST,"FIPS 203; HQC",USA; Global,Code-based,"L1,L3,L5","Future FIPS standard (HQC)",N/A,Medium,New
HQC Specification,Hamming Quasi-Cyclic (HQC) Algorithm Specification,https://pqc-hqc.org/download.php?file=hqc-specification_2024-02-23.pdf,2024-02-23,2024-02-23,NIST Round 4 Selection,"Code-based KEM selected March 2025 as backup to ML-KEM. Draft FIPS expected 2026, final 2027.",Algorithm,"IT; Gov; Critical Infrastructure",NIST/HQC Team,"NIST PQC Round 4",USA; Global,Code-based,"L1,L3,L5","Future TLS/IPsec/SSH integration",Reference implementation,Medium,New
RFC 9629,Using Key Encapsulation Mechanism (KEM) Algorithms in CMS,https://www.rfc-editor.org/rfc/rfc9629.html,2024-08-01,2024-08-01,Proposed Standard,"Defines CMS KEMRecipientInfo structure for PQ KEMs including ML-KEM.",Protocol,"IT; Email; Web PKI; Secure Messaging","IETF LAMPS","RFC 5652; RFC 5280; FIPS 203",International,Lattice-based,"L1,L3,L5","CMS encryption, S/MIME","OpenSSL CMS",High,Validated
