id,label,description,industries,industries_source_text,countries,requires_pqc,deadline,deadline_kind,deadline_dates,notes,enforcement_body,library_refs,learn_modules,timeline_refs,body_type,website,local_file,trusted_source_id,peer_reviewed,vetting_body,website_url_quality,confidence_score,cswp39_tags,naics_codes,status,deprecated_at,deprecated_reason,related_standards,last_verified
NIST,NIST,National Institute of Standards and Technology — US federal agency that standardized the first PQC algorithms,Government & Defense;Finance & Insurance;Information Technology;Healthcare & Life Sciences;Energy & Utilities,92;52;54;62;22,US,expected,Ongoing,ongoing,,"NIST IR 8547 uses ""should"" for migration; the real enforcement teeth (2030 deprecate deadline functioning as a compliance date for federal high-value assets) come from Executive Order 14412 and OMB M-26-15, not from NIST itself -- consistent with body_type=standardization_body.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227;FIPS 206,,United States:NIST,standardization_body,https://csrc.nist.gov/projects/post-quantum-cryptography,compliance/NIST.pdf,nist-csrc,yes,NIST,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:lifecycle,92;52;54;62;22,active,,,FIPS-203;FIPS-204;FIPS-205;NIST-IR-8547,2026-08-16
ENISA,ENISA,European Union Agency for Cybersecurity — EU's PQC guidance authority and EUCC scheme co-manager,Government & Defense;Information Technology;Finance & Insurance,92;54;52,PQC-REGION-EU,guidance,Ongoing,ongoing,,"ENISA's 2021 PQC report (fetched 2026-07-31, replacing a generic prior evidence page): ""the last chapter offers 2 proposals that system owners can implement now"" -- voluntary framing, independently confirmed by a live fetch of the same document.",ENISA,ENISA PQC Guidelines;ENISA-Crypto-Market-Analysis-2024;ENISA-State-of-Cybersecurity-2024;ENISA-Threat-Landscape-2025,,European Union:EC,standardization_body,https://www.enisa.europa.eu/publications/post-quantum-cryptography-current-state-and-quantum-mitigation,compliance/ENISA.pdf,enisa,yes,ENISA,url_authoritative,85,cswp39:assurance;cswp39:governance,92;54;52,active,,,,
ISO-IEC,ISO/IEC JTC 1/SC 27,"ISO/IEC Joint Technical Committee 1, Subcommittee 27 — international body standardizing PQC algorithms for global adoption",Government & Defense;Information Technology;Finance & Insurance;Healthcare & Life Sciences,92;54;52;62,PQC-REGION-GLOBAL,no,Ongoing,ongoing,,No PQC-specific content found in this row's own cached evidence document; confirmed by a broad quantum/PQC keyword sweep across the full extracted text.,ISO/IEC,ISO/IEC 14888-4:2024;ISO/IEC 18033-2:2006/AMD1:2017,,International:ISO/IEC,standardization_body,https://www.iso.org/committee/45306.html,compliance/ISO-IEC.html,iso-iec-sc27,yes,ISO/IEC,url_authoritative,85,cswp39:governance,92;54;52;62,active,,,,
IETF,IETF,"Internet Engineering Task Force — open standards body integrating PQC algorithms into internet protocols (TLS, SSH, CMS, S/MIME)",Information Technology;Finance & Insurance,54;51;52,PQC-REGION-GLOBAL,no,Ongoing,ongoing,,No PQC-specific content found in this row's own cached evidence document; confirmed by a broad quantum/PQC keyword sweep across the full extracted text.,IETF,RFC 9794; RFC 9881; RFC 9882; draft-ietf-tls-ecdhe-mlkem-05; RFC-9958,,International:IETF,standardization_body,https://datatracker.ietf.org/wg/pquip/about/,compliance/IETF.html,ietf,yes,IETF,url_authoritative,85,cswp39:governance,54;51;52,active,,,NIST;RFC 9794,2026-08-16
FIPS-140-3,FIPS 140-3,NIST cryptographic module validation program,Government & Defense;Finance & Insurance;Information Technology,92;52;54,US;CA;AU,expected,2030 (NIST IR 8547 deprecation target),fixed,2030:nist ir 8547 deprecation target,"Confirmed independently: FIPS 140-3 does not currently require PQC algorithms, but CMVP is actively extending the validation program to incorporate ML-KEM/ML-DSA/SLH-DSA as NIST finalizes them.",NIST,FIPS 203;FIPS 204;FIPS 205;NIST SP 800-227,,United States:NIST,certification_body,https://csrc.nist.gov/projects/cryptographic-module-validation-program,compliance/FIPS-140-3.pdf,nist-csrc,yes,NIST,url_authoritative,85,cswp39:assurance;cswp39:lifecycle,92;52;54,active,,,NIST-SP-800-140B;NIST-SP-800-140C;NIST-SP-800-140D,2026-08-16
COMMON-CRITERIA,Common Criteria,International security evaluation framework,Government & Defense;Information Technology,92;54,PQC-REGION-GLOBAL,no,Ongoing — PQC protection profiles emerging,ongoing,,No PQC-specific content found in this row's own cached evidence document; confirmed by a broad quantum/PQC keyword sweep across the full extracted text.,CC Recognition Arrangement,EUCC v2.0 ACM,,,certification_body,https://commoncriteriaportal.org/files/ccfiles/CC2022PART1R1.pdf,compliance/COMMON-CRITERIA.pdf,iso-iec-sc27,yes,CC Recognition Arrangement,url_authoritative,85,cswp39:assurance,92;54,active,,,,2026-08-16
ANSSI,ANSSI,French national cybersecurity agency regulation,Government & Defense;Finance & Insurance,92;52,FR,guidance,,none,,"ANSSI recommends hybrid PQC for new systems via its position paper (not a legal mandate). Phase 2 (not before 2025): hybrid for PQC assurance; Phase 3 (not before 2030): standalone PQC optional. ANSSI issued its first PQC security certifications Sept-Oct 2025 (Thales MultiApp 5.2 Premium PQC, Samsung S3SSE2A). | 2026-08-16: replaced generic ssi.gouv.fr homepage with ANSSI's dedicated PQC page (topically correct, far fuller).",ANSSI,ANSSI PQC Position Paper;ANSSI PQC Follow-up Paper;ANSSI-PQC-FAQ-2025;ANSSI-PG-083-v3-2026,,France:ANSSI,compliance_framework,https://www.ssi.gouv.fr/enjeux-technologiques/cryptographie-post-quantique/,compliance/ANSSI.pdf,anssi,yes,ANSSI,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory,92;52,active,,,,2026-08-16
CNSA-2,CNSA 2.0,NSA mandate for national security systems,Government & Defense,92,US,yes,2025-2033 (phased by category),phased,2025:start;2033:phased by category,"NSA mandate for U.S. national security systems. Phased deadlines by category: software/firmware signing prefer 2025 exclusively 2030; web/cloud prefer 2025 exclusively 2033; networking prefer 2026 exclusively 2030; OS prefer 2027 exclusively 2033; niche/legacy 2030-2033. Revised May 2025 algorithm document specifies ML-KEM-1024, ML-DSA-87, AES-256, SHA-384/512, LMS/XMSS. Executive Order 14306 (June 2025) ties CNSA 2.0 to federal procurement mandates via CISA product category list. | Verified 2026-08-09 by retrieving the instrument itself. Verdict CONFIRMED yes (CNSSP 11/15 + NIAP, binding on NSS with a waiver regime): 'If a commercial product does not use CNSA 2.0 algorithms, it is not allowed to be used to protect NSS'. Two note corrections: the PDF served at the May-2025 URL is still stamped SEP 2022 v1.0 and names CRYSTALS-Kyber/Dilithium, not ML-KEM-1024/ML-DSA-87; and the controlling dates per the Dec 2024 FAQ are 2027 (acquisitions), 2030 (phase-out), 2031 (mandated use), not the superseded 2025-2033 anticipated timetable.",NSA,NSA CNSA 2.0;NSA CNSA 2.0 FAQ;NSA CSfC PQC Guidance Addendum;EO-14306;DoD-CIO-PQC-Memo-2025;NIST CSWP 39,,United States:NSA,compliance_framework,https://media.defense.gov/2025/May/30/2003728741/-1/-1/0/CSA_CNSA_2.0_ALGORITHMS.PDF,compliance/CNSA-2.pdf,nsa-advisory,yes,NSA,url_authoritative,85,cswp39:governance,92,active,,,,2026-08-16
EIDAS,eIDAS 2.0,EU Digital Identity and Trust Services regulation,Information Technology;Finance & Insurance,54;52,PQC-REGION-EU,expected,2026 (wallet deployments); 2030 (PQC high-risk); 2035 (PQC full),phased,2026:wallet deployments;2030:pqc high-risk;2035:pqc full,"The 2026/2030/2035 PQC milestones are from the NIS Cooperation Group Coordinated Implementation Roadmap for the Transition to Post-Quantum Cryptography (Jun 2025), mandated by EC Recommendation 2024/1101 (Apr 2024) — not from eIDAS itself. eIDAS 2.0 digital wallets fall under NIS2 essential-entity scope, which is how eIDAS-governed systems become subject to those timelines. Roadmap: digital-strategy.ec.europa.eu/en/library/coordinated-implementation-roadmap-transition-post-quantum-cryptography",European Commission,ENISA PQC Guidelines;EUDI-Wallet-ARF,digital-id;trust-services-pqc,European Union:EC,compliance_framework,https://digital-strategy.ec.europa.eu/en/policies/eidas-regulation,compliance/EIDAS.html,ec,yes,European Commission,url_authoritative,85,cswp39:governance,54;52,active,,,,
PCI-DSS,PCI DSS,Payment Card Industry Data Security Standard,Finance & Insurance;Retail Trade,52;44,PQC-REGION-GLOBAL,no,No explicit PQC timeline yet,none,,PCI DSS 4.0 Requirement 12.3.3 (mandatory since March 2025) requires documented cryptographic cipher suite inventory and a plan for anticipated crypto changes — effectively a crypto-agility mandate. Payment card industry will follow NIST guidance for PQC algorithm specifics.,PCI SSC,FIPS 203;FIPS 204;FIPS 205,emv-payment-pqc,,compliance_framework,https://www.pcisecuritystandards.org,compliance/PCI-DSS.html,pci-ssc,yes,PCI SSC,url_authoritative,85,cswp39:assurance;cswp39:governance;cswp39:inventory,52;44,active,,,,
